,TEX
2000-01-03,728750000
2000-01-04,725450000
2000-01-05,737550000
2000-01-06,751300000
2000-01-07,787050000
2000-01-10,770000000
2000-01-11,730400000
2000-01-12,727100000
2000-01-13,752950000
2000-01-14,777150000
2000-01-18,770000000
2000-01-19,742500000
2000-01-20,733700000
2000-01-21,701250000
2000-01-24,658350000
2000-01-25,642950000
2000-01-26,632500000
2000-01-27,605000000
2000-01-28,601700000
2000-01-31,625900000
2000-02-01,618750000
2000-02-02,622050000
2000-02-03,613800000
2000-02-04,594550000
2000-02-07,601700000
2000-02-08,605000000
2000-02-09,594550000
2000-02-10,577500000
2000-02-11,550000000
2000-02-14,543400000
2000-02-15,557150000
2000-02-16,548350000
2000-02-17,524149999
2000-02-18,522500000
2000-02-22,507100000
2000-02-23,484550000
2000-02-24,488400000
2000-02-25,364650000
2000-02-28,330000000
2000-02-29,326700000
2000-03-01,330000000
2000-03-02,331650000
2000-03-03,388300000
2000-03-06,386650000
2000-03-07,360800000
2000-03-08,330000000
2000-03-09,326700000
2000-03-10,330000000
2000-03-13,319550000
2000-03-14,337150000
2000-03-15,367950000
2000-03-16,378400000
2000-03-17,366300000
2000-03-20,380050000
2000-03-21,407550000
2000-03-22,403700000
2000-03-23,414150000
2000-03-24,407550000
2000-03-27,407550000
2000-03-28,398750000
2000-03-29,402050000
2000-03-30,378400000
2000-03-31,788024000
2000-04-03,815424000
2000-04-04,863648000
2000-04-05,794600000
2000-04-06,801176000
2000-04-07,801176000
2000-04-10,788024000
2000-04-11,808848000
2000-04-12,797888000
2000-04-13,794600000
2000-04-14,705824000
2000-04-17,709112000
2000-04-18,733224000
2000-04-19,715688000
2000-04-20,739800000
2000-04-24,726648000
2000-04-25,794600000
2000-04-26,863648000
2000-04-27,849400000
2000-04-28,855976000
2000-05-01,886664000
2000-05-02,866936000
2000-05-03,859264000
2000-05-04,880087999
2000-05-05,883376000
2000-05-08,907487999
2000-05-09,900912000
2000-05-10,876800000
2000-05-11,891048000
2000-05-12,870224000
2000-05-15,873512000
2000-05-16,876800000
2000-05-17,880087999
2000-05-18,891048000
2000-05-19,876800000
2000-05-22,883376000
2000-05-23,886664000
2000-05-24,894336000
2000-05-25,894336000
2000-05-26,900912000
2000-05-30,907487999
2000-05-31,873512000
2000-06-01,931600000
2000-06-02,941464000
2000-06-05,925024000
2000-06-06,931600000
2000-06-07,910776000
2000-06-08,891048000
2000-06-09,846112000
2000-06-12,855976000
2000-06-13,855976000
2000-06-14,849400000
2000-06-15,849400000
2000-06-16,839536000
2000-06-19,822000000
2000-06-20,767200000
2000-06-21,767200000
2000-06-22,757336000
2000-06-23,743088000
