,TDC
2007-10-01,5047592000
2007-10-02,4970020000
2007-10-03,4789620000
2007-10-04,4870800000
2007-10-05,4897860000
2007-10-08,4919508000
2007-10-09,4933940000
2007-10-10,4865388000
2007-10-11,4838328000
2007-10-12,5123360000
2007-10-15,5246032000
2007-10-16,5237012000
2007-10-17,5202736000
2007-10-18,5199128000
2007-10-19,4966412000
2007-10-22,5016924000
2007-10-23,5031356000
2007-10-24,5098104000
2007-10-25,5132380000
2007-10-26,5213560000
2007-10-29,5020532000
2007-10-30,5112536000
2007-10-31,5146812000
2007-11-01,4991668000
2007-11-02,5040376000
2007-11-05,4942960000
2007-11-06,4915900000
2007-11-07,4804052000
2007-11-08,4730088000
2007-11-09,4468508000
2007-11-12,4482940000
2007-11-13,4681380000
2007-11-14,4510000000
2007-11-15,4403564000
2007-11-16,4293520000
2007-11-19,4172652000
2007-11-20,4351248000
2007-11-21,4331404000
2007-11-23,4481136000
2007-11-26,4376504000
2007-11-27,4436036000
2007-11-28,4708440000
2007-11-29,4780600000
2007-11-30,4683184000
2007-12-03,4724676000
2007-12-04,4771580000
2007-12-05,4831112000
2007-12-06,4847348000
2007-12-07,4784208000
2007-12-10,4814876000
2007-12-11,4607416000
2007-12-12,4719264000
2007-12-13,4804052000
2007-12-14,4892448000
2007-12-17,4811268000
2007-12-18,4840132000
2007-12-19,4769776000
2007-12-20,4807660000
2007-12-21,4847348000
2007-12-24,4944764000
2007-12-26,4878016000
2007-12-27,4834720000
2007-12-28,4961000000
2007-12-31,4944764000
2008-01-02,4841936000
2008-01-03,4850956000
2008-01-04,4802248000
2008-01-07,4847348000
2008-01-08,4805856000
2008-01-09,4868996000
2008-01-10,4822092000
2008-01-11,4645300000
2008-01-14,4603808000
2008-01-15,4529844000
2008-01-16,4630868000
2008-01-17,4481136000
2008-01-18,4360268000
2008-01-22,4197908000
2008-01-23,4055392000
2008-01-24,4132964000
2008-01-25,4152808000
2008-01-28,4302540000
2008-01-29,4232184000
2008-01-30,4165436000
2008-01-31,4293520000
2008-02-01,4259244000
2008-02-04,4378308000
2008-02-05,4252028000
2008-02-06,4212340000
2008-02-07,4194300000
2008-02-08,4087864000
2008-02-11,4077040000
