,LNC
2001-01-23,8223177077
2001-01-24,8434269406
2001-01-25,8340031759
2001-01-26,8422960888
2001-01-29,8458771194
2001-01-30,8485157735
2001-01-31,8453116935
2001-02-01,8536046065
2001-02-02,8566202112
2001-02-05,8799911476
2001-02-06,8716982347
2001-02-07,8675517782
2001-02-08,8594473406
2001-02-09,8624629453
2001-02-12,8922420417
2001-02-13,8632168465
2001-02-14,8554893594
2001-02-15,8581280135
2001-02-16,8764101171
2001-02-20,8245794112
2001-02-21,8038471289
2001-02-22,8104437642
2001-02-23,8057318818
2001-02-26,8355109783
2001-02-27,8545469829
2001-02-28,8268411147
2001-03-01,8232600841
2001-03-02,8255217877
2001-03-05,8194905783
2001-03-06,8160980230
2001-03-07,8317414724
2001-03-08,8394689594
2001-03-09,8289143430
2001-03-12,8483272982
2001-03-13,8848915053
2001-03-14,8387150583
2001-03-15,8443693171
2001-03-16,8326838488
2001-03-19,8253333124
2001-03-20,7910308089
2001-03-21,7900884324
2001-03-22,7369383995
2001-03-23,7529587995
2001-03-26,7708639524
2001-03-27,7840572230
2001-03-28,7793453406
2001-03-29,7848111242
2001-03-30,8004545736
2001-04-02,7937216006
2001-04-03,7702232638
2001-04-04,7905511901
2001-04-05,8202038533
2001-04-06,7963325269
2001-04-09,8071492217
2001-04-10,7972650006
2001-04-11,8023003585
2001-04-12,8105061270
2001-04-16,8108791164
2001-04-17,8177794217
2001-04-18,8401587901
2001-04-19,8345639480
2001-04-20,8228147796
2001-04-23,8140495270
2001-04-24,8009948954
2001-04-25,8263581796
2001-04-26,8280366322
2001-04-27,8511619796
2001-04-30,8608597059
2001-05-01,8830525796
2001-05-02,8737278428
2001-05-03,8625381586
2001-05-04,8718628954
2001-05-07,8672005270
2001-05-08,8672005270
2001-05-09,8670140323
2001-05-10,8677600112
2001-05-11,8733548533
2001-05-14,8800686639
2001-05-15,8903258744
2001-05-16,9063644218
2001-05-17,9231489481
2001-05-18,9091618428
2001-05-21,9121457586
2001-05-22,9158756534
2001-05-23,8920043270
2001-05-24,9166216323
2001-05-25,9140107060
2001-05-29,9186730744
2001-05-30,9117727691
2001-05-31,9183000849
2001-06-01,9233354428
2001-06-04,9287437902
2001-06-05,9390010007
2001-06-06,9371360534
2001-06-07,9414254323
2001-06-08,9470202744
2001-06-11,9464607902
2001-06-12,9434768744
2001-06-13,9537340850
2001-06-14,9354576007
2001-06-15,9321006955
2001-06-18,9386280113
2001-06-19,9403064639
2001-06-20,9619398534
2001-06-21,9716375797
2001-06-22,9587694429
2001-06-25,9501906850
2001-06-26,9576504744
2001-06-27,9464607902
2001-06-28,9660427376
2001-06-29,9651102639
2001-07-02,9970231256
2001-07-03,9846907748
2001-07-05,9759632651
2001-07-06,9457964379
2001-07-09,9438991531
2001-07-10,9486423650
2001-07-11,9368791996
2001-07-12,9492115504
2001-07-13,9537650337
2001-07-16,9539547622
2001-07-17,9657179275
2001-07-18,9494012788
2001-07-19,9382072989
2001-07-20,9135425974
2001-07-23,8964670349
2001-07-24,9125939551
2001-07-25,9110761273
2001-07-26,9201830940
2001-07-27,9328949017
2001-07-30,9619233581
2001-07-31,9681843977
2001-08-01,9659076560
2001-08-02,9719789671
2001-08-03,9630617289
2001-08-06,9372586566
2001-08-07,9522472059
2001-08-08,9478834511
2001-08-09,9457964379
2001-08-10,9452272524
2001-08-13,9486423650
2001-08-14,9604055303
2001-08-15,9617336296
2001-08-16,9554725900
2001-08-17,9524369344
2001-08-20,9535753052
2001-08-21,9469348087
2001-08-22,9353613718
2001-08-23,9678049407
2001-08-24,9719789671
2001-08-27,9626822720
2001-08-28,9660973845
2001-08-29,9583185171
2001-08-30,9499704643
2001-08-31,9459861663
2001-09-04,9368791996
2001-09-05,9342230010
2001-09-06,9084199287
2001-09-07,8884984390
2001-09-10,9116453127
2001-09-17,8575726979
2001-09-18,8499835590
2001-09-19,8291134270
2001-09-20,8063460102
2001-09-21,8006541560
2001-09-24,8435327909
2001-09-25,8404971353
2001-09-26,8480862743
2001-09-27,8558651417
2001-09-28,8847038695
2001-10-01,8518935566
2001-10-02,8654845906
2001-10-03,8860599058
2001-10-04,8817183255
2001-10-05,8615205390
2001-10-08,8318845345
2001-10-09,8350935286
2001-10-10,8243339601
2001-10-11,8109316905
2001-10-12,7880912030
2001-10-15,7871473812
2001-10-16,7928103120
2001-10-17,7767653414
2001-10-18,7748776977
2001-10-19,7716687036
2001-10-22,7979069497
2001-10-23,7996058289
2001-10-24,8075339320
2001-10-25,8215024947
2001-10-26,8275429542
2001-10-29,8071564033
2001-10-30,8154620352
2001-10-31,7994170646
2001-11-01,8198036154
2001-11-02,8286755404
2001-11-05,8471744476
2001-11-06,8590666023
2001-11-07,8492508556
