,IT
2000-01-03,1447040000
2000-01-04,1338240000
2000-01-05,1283840000
2000-01-06,1283840000
2000-01-07,1283840000
2000-01-10,1349120000
2000-01-11,1381760000
2000-01-12,1430720000
2000-01-13,1436160000
2000-01-14,1392640000
2000-01-18,1414400000
2000-01-19,1479680000
2000-01-20,1485120000
2000-01-21,1479680000
2000-01-24,1447040000
2000-01-25,1403520000
2000-01-26,1365440000
2000-01-27,1398080000
2000-01-28,1381760000
2000-01-31,1354560000
2000-02-01,1376320000
2000-02-02,1343680000
2000-02-03,1327360000
2000-02-04,1321920000
2000-02-07,1289280000
2000-02-08,1262080000
2000-02-09,1229440000
2000-02-10,1245760000
2000-02-11,1267520000
2000-02-14,1240320000
2000-02-15,1224000000
2000-02-16,1207680000
2000-02-17,1185920000
2000-02-18,1164160000
2000-02-22,1153280000
2000-02-23,1169600000
2000-02-24,1164160000
2000-02-25,1104320000
2000-02-28,1202240000
2000-02-29,1245760000
2000-03-01,1267520000
2000-03-02,1245760000
2000-03-03,1267520000
2000-03-06,1229440000
2000-03-07,1245760000
2000-03-08,1234880000
2000-03-09,1251200000
2000-03-10,1224000000
2000-03-13,1202240000
2000-03-14,1175040000
2000-03-15,1196800000
2000-03-16,1267520000
2000-03-17,1224000000
2000-03-20,1240320000
2000-03-21,1349120000
2000-03-22,1931200000
2000-03-23,1746240000
2000-03-24,1833280000
2000-03-27,1800640000
2000-03-28,1653760000
2000-03-29,1583040000
2000-03-30,1544960000
2000-03-31,1359083250
2000-04-03,1380656000
2000-04-04,1353690062
2000-04-05,1332117312
2000-04-06,1326724125
2000-04-07,1348296875
2000-04-10,1418408312
2000-04-11,1429194687
2000-04-12,1342903687
2000-04-13,1283578625
2000-04-14,1121783000
2000-04-17,1105603437
2000-04-18,1100210250
2000-04-19,1116389812
2000-04-20,1110996625
2000-04-24,1121783000
2000-04-25,1208074000
2000-04-26,1186501250
2000-04-27,1175714875
2000-04-28,1164928500
2000-05-01,1251219500
2000-05-02,1224253562
2000-05-03,1164928500
2000-05-04,1175714875
2000-05-05,1159535312
2000-05-08,1100210250
2000-05-09,1116389812
2000-05-10,1078637500
2000-05-11,1078637500
2000-05-12,1046278375
2000-05-15,1067851125
2000-05-16,1062457937
2000-05-17,1073244312
2000-05-18,1100210250
2000-05-19,1073244312
2000-05-22,1013919250
2000-05-23,1003132875
2000-05-24,1035492000
2000-05-25,1030098812
2000-05-26,1051671562
2000-05-30,1170321687
2000-05-31,1148748937
2000-06-01,1186501250
2000-06-02,1202680812
2000-06-05,1186501250
2000-06-06,1175714875
2000-06-07,1175714875
2000-06-08,1148748937
2000-06-09,1137962562
2000-06-12,1110996625
2000-06-13,1078637500
2000-06-14,1046278375
2000-06-15,1035492000
2000-06-16,1019312437
2000-06-19,1062457937
2000-06-20,1035492000
2000-06-21,1078637500
2000-06-22,1046278375
2000-06-23,1013919250
2000-06-26,1003132875
2000-06-27,1035492000
2000-06-28,1051671562
2000-06-29,1105603437
2000-06-30,1012668000
2000-07-03,1033765250
2000-07-05,1097057000
2000-07-06,1023216625
2000-07-07,1028490937
2000-07-10,1039039562
2000-07-11,1028490937
2000-07-12,1049588187
2000-07-13,1123428562
2000-07-14,1181446000
2000-07-17,1271109312
2000-07-18,1244737750
2000-07-19,1202543250
2000-07-20,1207817562
2000-07-21,1191994625
2000-07-24,1181446000
2000-07-25,1181446000
2000-07-26,1170897375
2000-07-27,1155074437
2000-07-28,1123428562
2000-07-31,1191994625
2000-08-01,1123428562
2000-08-02,1097057000
2000-08-03,1091782687
2000-08-04,1112879937
2000-08-07,1176171687
2000-08-08,1181446000
2000-08-09,1176171687
2000-08-10,1112879937
2000-08-11,1139251500
2000-08-14,1191994625
2000-08-15,1155074437
2000-08-16,1086508375
2000-08-17,1181446000
2000-08-18,1181446000
2000-08-21,1165623062
2000-08-22,1118154250
2000-08-23,1091782687
2000-08-24,1097057000
2000-08-25,1102331312
2000-08-28,1060136812
