,PKG
2001-02-20,1491924280
2001-02-21,1484475300
2001-02-22,1447230400
2001-02-23,1477026320
2001-02-26,1543003000
2001-02-27,1522784340
2001-02-28,1543003000
2001-03-01,1530233320
2001-03-02,1543003000
2001-03-05,1594081720
2001-03-06,1574927200
2001-03-07,1586632740
2001-03-08,1564285800
2001-03-09,1568542360
2001-03-12,1520656060
2001-03-13,1450422820
2001-03-14,1461064220
2001-03-15,1404664800
2001-03-16,1436589000
2001-03-19,1447230400
2001-03-20,1423819320
2001-03-21,1415306200
2001-03-22,1383382000
2001-03-23,1388702700
2001-03-26,1473833900
2001-03-27,1484475300
2001-03-28,1469577340
2001-03-29,1452551100
2001-03-30,1404664800
2001-04-02,1433541350
2001-04-03,1433541350
2001-04-04,1428212200
2001-04-05,1481503700
2001-04-06,1460187100
2001-04-09,1466582080
2001-04-10,1481503700
2001-04-11,1490030340
2001-04-12,1460187100
2001-04-16,1561440950
2001-04-17,1543321840
2001-04-18,1497491150
2001-04-19,1511346940
2001-04-20,1502820300
2001-04-23,1511346940
2001-04-24,1485767020
2001-04-25,1460187100
2001-04-26,1465516250
2001-04-27,1483635360
2001-04-30,1506017790
2001-05-01,1518807750
2001-05-02,1513478600
2001-05-03,1495359490
2001-05-04,1516676090
2001-05-07,1502820300
2001-05-08,1490030340
2001-05-09,1492162000
2001-05-10,1486832850
2001-05-11,1492162000
2001-05-14,1497491150
2001-05-15,1517741920
2001-05-16,1686143060
2001-05-17,1758619500
2001-05-18,1731973750
2001-05-21,1769277800
2001-05-22,1710657150
2001-05-23,1715986300
2001-05-24,1724512940
2001-05-25,1737302900
2001-05-29,1753290350
2001-05-30,1721315449
2001-05-31,1705328000
2001-06-01,1705328000
2001-06-04,1724512940
2001-06-05,1743697880
2001-06-06,1774606949
2001-06-07,1737302900
2001-06-08,1743697880
2001-06-11,1721315449
2001-06-12,1710657150
2001-06-13,1692538040
2001-06-14,1614732450
2001-06-15,1582757550
2001-06-18,1652036500
2001-06-19,1678682250
2001-06-20,1704262170
2001-06-21,1708525490
2001-06-22,1658431480
2001-06-25,1598745000
2001-06-26,1662694800
2001-06-27,1607271640
2001-06-28,1608337470
2001-06-29,1655233990
2001-07-02,1771091080
2001-07-03,1738036400
2001-07-05,1713511960
2001-07-06,1715644520
2001-07-09,1768958520
2001-07-10,1781753880
2001-07-11,1811609719
2001-07-12,1819073679
2001-07-13,1828670199
2001-07-16,1874520239
2001-07-17,1917171440
2001-07-18,1957690080
2001-07-19,1957690080
2001-07-20,2025932000
2001-07-23,2057920400
2001-07-24,1940629600
2001-07-25,2062185520
2001-07-26,2036594800
2001-07-27,2009937800
2001-07-30,2104836719
2001-07-31,2105903000
2001-08-01,2053655280
2001-08-02,2098439040
2001-08-03,2118698360
2001-08-06,2121897199
2001-08-07,2100571600
2001-08-08,2089908800
2001-08-09,2105903000
2001-08-10,2106969280
2001-08-13,2126162320
2001-08-14,2185874000
2001-08-15,2180542600
2001-08-16,2180542600
2001-08-17,2134692560
2001-08-20,2121897199
2001-08-21,2068583199
2001-08-22,2068583199
2001-08-23,2036594800
2001-08-24,2030197120
2001-08-27,2038727360
2001-08-28,2036594800
2001-08-29,2024865719
2001-08-30,1936364480
2001-08-31,1959822640
2001-09-04,1983280800
2001-09-05,2015269199
2001-09-06,1995009880
2001-09-07,1949159840
2001-09-10,1935298199
2001-09-17,1786019000
2001-09-18,1782820159
2001-09-19,1716710800
2001-09-20,1636739800
2001-09-21,1612215360
2001-09-24,1702849160
2001-09-25,1674059600
2001-09-26,1650601440
2001-09-27,1658065400
2001-09-28,1647402600
2001-10-01,1580030480
2001-10-02,1561044800
2001-10-03,1645425600
2001-10-04,1729806399
2001-10-05,1782544399
2001-10-08,1730861160
2001-10-09,1738244480
2001-10-10,1824734800
2001-10-11,1891184680
2001-10-12,1857432360
2001-10-15,1877472800
2001-10-16,1898568000
2001-10-17,1857432360
2001-10-18,1861651399
2001-10-19,1854268079
2001-10-22,1892239440
2001-10-23,1846884760
2001-10-24,1850049040
2001-10-25,1896458480
2001-10-26,1914389399
2001-10-29,1851103800
2001-10-30,1867979960
2001-10-31,1866925200
2001-11-01,1886965640
2001-11-02,1883801360
2001-11-05,1904896559
2001-11-06,1898568000
2001-11-07,1856377600
2001-11-08,1750901600
2001-11-09,1766723000
2001-11-12,1759339680
2001-11-13,1812077680
2001-11-14,1818406239
2001-11-15,1817351480
2001-11-16,1828953840
2001-11-19,1824734800
2001-11-20,1797311040
2001-11-21,1830008600
2001-11-23,1888020399
2001-11-26,1908060840
2001-11-27,1956579800
2001-11-28,1882746600
2001-11-29,1865870440
2001-11-30,1845830000
2001-12-03,1867979960
2001-12-04,1851103800
2001-12-05,1852158559
2001-12-06,1928101280
2001-12-07,1928101280
2001-12-10,1867979960
2001-12-11,1844775239
2001-12-12,1797311040
2001-12-13,1793092000
2001-12-14,1817351480
2001-12-17,1832118120
2001-12-18,1801530079
2001-12-19,1837391920
2001-12-20,1824734800
2001-12-21,1879582320
2001-12-24,1881691840
2001-12-26,1918608440
2001-12-27,1911225120
2001-12-28,1951306000
2001-12-31,1914389399
2002-01-02,1924937000
2002-01-03,1929156040
2002-01-04,1941813160
2002-01-07,1940758399
2002-01-08,1995605920
2002-01-09,1999824960
2002-01-10,2013536840
2002-01-11,2011427320
2002-01-14,1993496399
2002-01-15,1973455960
2002-01-16,1951306000
2002-01-17,1820515760
2002-01-18,1775161079
2002-01-22,1744573040
2002-01-23,1800475320
2002-01-24,1837391920
2002-01-25,1857432360
2002-01-28,1856377600
2002-01-29,1827899079
2002-01-30,1873253760
2002-01-31,1892239440
2002-02-01,1927046520
2002-02-04,1875363280
2002-02-05,1856377600
2002-02-06,1824734800
2002-02-07,1814187200
2002-02-08,1879582320
2002-02-11,1905951320
2002-02-12,1861651399
2002-02-13,1919663200
2002-02-14,1872199000
2002-02-15,1882746600
2002-02-19,1862706160
2002-02-20,1918608440
2002-02-21,1921772719
2002-02-22,1963963120
2002-02-25,1998770200
2002-02-26,2011427320
2002-02-27,2028303480
2002-02-28,2023029680
2002-03-01,2055727239
2002-03-04,2067329600
2002-03-05,2064165320
2002-03-06,2070493880
2002-03-07,2065220079
2002-03-08,2056782000
2002-03-11,2038851079
2002-03-12,2038851079
2002-03-13,1986113079
2002-03-14,1996660680
2002-03-15,2052562960
2002-03-18,2072603399
2002-03-19,2066274840
2002-03-20,2062055800
2002-03-21,2056782000
2002-03-22,2057836760
2002-03-25,2046234399
2002-03-26,2071548640
2002-03-27,2088424800
2002-03-28,2087370040
2002-04-01,2084158250
2002-04-02,2089434600
2002-04-03,2105263650
2002-04-04,2127424320
2002-04-05,2109484729
2002-04-08,2105263650
2002-04-09,2079937170
2002-04-10,2094710950
2002-04-11,2068329200
2002-04-12,2067273930
2002-04-15,2110540000
2002-04-16,2109484729
2002-04-17,2097876760
2002-04-18,2085213520
2002-04-19,2101042570
2002-04-22,2073605549
2002-04-23,2075716090
2002-04-24,2028228939
2002-04-25,2026118400
2002-04-26,2036671100
2002-04-29,2037726369
2002-04-30,2084158250
2002-05-01,2060942310
2002-05-02,2099987299
2002-05-03,2136921750
2002-05-06,2173856200
2002-05-07,2186519440
2002-05-08,2154861340
2002-05-09,2152750800
2002-05-10,2109484729
2002-05-13,2146419180
2002-05-14,2189685250
2002-05-15,2201293220
2002-05-16,2181243090
2002-05-17,2142198100
2002-05-20,2099987299
2002-05-21,2104208380
2002-05-22,2089434600
2002-05-23,2084158250
2002-05-24,2076771360
2002-05-28,2105263650
2002-05-29,2080992439
2002-05-30,2074660820
2002-05-31,2125313780
2002-06-03,2045113260
2002-06-04,2031394750
2002-06-05,2072550280
2002-06-06,2032450020
2002-06-07,2078881900
2002-06-10,2080992439
2002-06-11,2036671100
2002-06-12,2063052850
2002-06-13,2031394750
2002-06-14,2055665960
2002-06-17,2080992439
2002-06-18,2095766220
2002-06-19,2087324060
2002-06-20,2061997580
2002-06-21,2066218659
2002-06-24,2063052850
2002-06-25,2084158250
2002-06-26,2084158250
2002-06-27,2068329200
2002-06-28,2098932030
2002-07-01,2021109750
2002-07-02,1971865500
2002-07-03,1988629500
2002-07-05,2037873750
2002-07-08,1997011499
2002-07-09,1969770000
2002-07-10,1922621250
2002-07-11,1915287000
2002-07-12,1918430249
2002-07-15,1833562500
2002-07-16,1803177750
2002-07-17,1833562500
2002-07-18,1812607500
2002-07-19,1791652500
2002-07-22,1741360500
2002-07-23,1758124500
2002-07-24,1792700250
2002-07-25,1855565250
2002-07-26,1943576250
2002-07-29,2011680000
2002-07-30,2014823250
2002-07-31,1990725000
2002-08-01,1989677249
2002-08-02,1946719499
2002-08-05,1879663500
2002-08-06,1940433000
2002-08-07,1979199750
2002-08-08,2003298000
2002-08-09,1976056500
2002-08-12,1965579000
2002-08-13,1937289749
2002-08-14,1954053749
2002-08-15,1980247499
2002-08-16,1946719499
2002-08-19,1982343000
2002-08-20,1986534000
2002-08-21,2021109750
2002-08-22,2029491750
2002-08-23,1982343000
2002-08-26,2013775500
2002-08-27,1995963750
2002-08-28,1957197000
2002-08-29,1964531250
2002-08-30,1972913249
2002-09-03,1936242000
2002-09-04,1933098750
2002-09-05,1876520250
2002-09-06,1910048250
2002-09-09,1906905000
2002-09-10,1917382500
2002-09-11,1912143750
2002-09-12,1885950000
2002-09-13,1859756250
2002-09-16,1871281500
2002-09-17,1874424750
2002-09-18,1853469750
2002-09-19,1829371500
2002-09-20,1838801250
2002-09-23,1809464250
2002-09-24,1807368750
2002-09-25,1844040000
2002-09-26,1880711250
2002-09-27,1864995000
2002-09-30,1828761910
2002-10-01,1887248870
2002-10-02,1808918120
2002-10-03,1820406630
2002-10-04,1784896690
2002-10-07,1773408180
2002-10-08,1801607250
2002-10-09,1775497000
2002-10-10,1775497000
2002-10-11,1808918120
2002-10-14,1773408180
2002-10-15,1853827750
2002-10-16,1780719050
2002-10-17,1815184580
2002-10-18,1776541410
2002-10-21,1836072779
2002-10-22,1803696070
2002-10-23,1841294830
2002-10-24,1768186130
2002-10-25,1855916570
2002-10-28,1803696070
2002-10-29,1802651660
2002-10-30,1782807870
2002-10-31,1815184580
2002-11-01,1819362220
2002-11-04,1796385200
2002-11-05,1778630230
2002-11-06,1796385200
2002-11-07,1774452589
2002-11-08,1767141720
2002-11-11,1707610350
2002-11-12,1736853830
2002-11-13,1737898240
2002-11-14,1800562839
2002-11-15,1826673089
2002-11-18,1784896690
2002-11-19,1780719050
2002-11-20,1775497000
2002-11-21,1859049800
2002-11-22,1836072779
2002-11-25,1828761910
2002-11-26,1799518430
2002-11-27,1832939550
2002-11-29,1869493899
2002-12-02,1879938000
2002-12-03,1839206010
2002-12-04,1847561290
2002-12-05,1846516880
2002-12-06,1852783339
2002-12-09,1813095760
2002-12-10,1822495450
2002-12-11,1827717500
2002-12-12,1823539860
2002-12-13,1817273399
2002-12-16,1886204459
2002-12-17,1853827750
2002-12-18,1828761910
2002-12-19,1885160050
2002-12-20,1906048250
2002-12-23,1848605700
2002-12-24,1832939550
2002-12-26,1840250420
2002-12-27,1833983959
2002-12-30,1856960980
2002-12-31,1907539199
2003-01-02,1907539199
2003-01-03,1945188000
2003-01-06,1954600200
2003-01-07,1971333000
2003-01-08,1950416999
2003-01-09,1976561999
2003-01-10,1987020000
2003-01-13,1993294799
2003-01-14,1991203200
2003-01-15,1974470400
2003-01-16,1984928400
2003-01-17,1948325400
2003-01-21,1908585000
2003-01-22,1897081200
2003-01-23,1857340800
2003-01-24,1853157600
2003-01-27,1776814199
2003-01-28,1777860000
2003-01-29,1777860000
2003-01-30,1740211200
2003-01-31,1753806600
2003-02-03,1794592800
2003-02-04,1797730200
2003-02-05,1813417200
2003-02-06,1798776000
2003-02-07,1798776000
2003-02-10,1789363800
2003-02-11,1784134799
2003-02-12,1772631000
2003-02-13,1777860000
2003-02-14,1769493600
2003-02-18,1793546999
2003-02-19,1768447800
2003-02-20,1720341000
2003-02-21,1757989799
2003-02-24,1769493600
2003-02-25,1772631000
2003-02-26,1764264600
2003-02-27,1792501200
2003-02-28,1804005000
2003-03-03,1778905800
2003-03-04,1773676800
2003-03-05,1759035600
2003-03-06,1765310400
2003-03-07,1778905800
2003-03-10,1736028000
2003-03-11,1725570000
2003-03-12,1743348600
2003-03-13,1744394400
2003-03-14,1800867600
2003-03-17,1836424799
2003-03-18,1839562200
2003-03-19,1882440000
2003-03-20,1861524000
2003-03-21,1924271999
2003-03-24,1853157600
2003-03-25,1869890400
2003-03-26,1852111800
2003-03-27,1853157600
2003-03-28,1886623200
2003-03-31,1880586190
2003-04-01,1856569820
2003-04-02,1924442170
2003-04-03,1900425800
2003-04-04,1893116470
2003-04-07,1896249040
2003-04-08,1880586190
2003-04-09,1853437250
2003-04-10,1873276860
2003-04-11,1878497809
2003-04-14,1946370160
2003-04-15,1912956080
2003-04-16,1886851330
2003-04-17,1900425800
2003-04-21,1910867700
2003-04-22,1930707309
2003-04-23,1942193400
2003-04-24,1918177030
2003-04-25,1942193400
2003-04-28,1958900440
2003-04-29,1964121389
2003-04-30,1964121389
2003-05-01,1942193400
2003-05-02,1944281780
2003-05-05,1946370160
2003-05-06,1947414349
2003-05-07,1934884070
2003-05-08,1931751500
2003-05-09,1947414349
2003-05-12,1939060830
2003-05-13,1919221220
2003-05-14,1906690940
2003-05-15,1922353790
2003-05-16,1910867700
2003-05-19,1891028090
2003-05-20,1897293230
2003-05-21,1897293230
2003-05-22,1914000269
2003-05-23,1914000269
2003-05-27,1901469990
2003-05-28,1886851330
2003-05-29,1851348870
2003-05-30,1879542000
2003-06-02,1879542000
2003-06-03,1873276860
2003-06-04,1884762950
2003-06-05,1874321050
2003-06-06,1846127920
2003-06-09,1816890599
2003-06-10,1827332500
2003-06-11,1854481440
2003-06-12,1872232670
2003-06-13,1869100099
2003-06-16,1886851330
2003-06-17,1902514180
2003-06-18,1895204849
2003-06-19,1891028090
2003-06-20,1917132840
2003-06-23,1892072280
2003-06-24,1904602559
2003-06-25,1912956080
2003-06-26,1916088650
2003-06-27,1947414349
2003-06-30,1922304290
2003-07-01,1921261260
2003-07-02,1928562469
2003-07-03,1918132170
2003-07-07,1926476410
2003-07-08,1918132170
2003-07-09,1893099449
2003-07-10,1860765520
2003-07-11,1904572780
2003-07-14,1882669150
2003-07-15,1930648530
2003-07-16,1944207920
2003-07-17,1906658840
2003-07-18,1938992770
2003-07-21,1935863679
2003-07-22,1981757000
2003-07-23,1945250949
2003-07-24,1962982460
2003-07-25,1960896400
2003-07-28,1978627910
2003-07-29,1975498820
2003-07-30,1985929120
2003-07-31,1971326699
2003-08-01,1960896400
2003-08-04,1976541850
2003-08-05,1970283670
2003-08-06,1973412760
2003-08-07,1983843060
2003-08-08,2014090929
2003-08-11,2026607290
2003-08-12,2041209710
2003-08-13,2044338800
2003-08-14,2077715760
2003-08-15,2106920600
2003-08-18,2110049690
2003-08-19,2102748480
2003-08-20,2118393929
2003-08-21,2132996350
2003-08-22,2078758790
2003-08-25,2065199400
2003-08-26,2057898190
2003-08-27,2072500610
2003-08-28,2109006660
2003-08-29,2100662420
2003-09-02,2112135750
2003-09-03,2096490300
2003-09-04,2112135750
2003-09-05,2096490300
