,PH
2001-01-23,4925852992
2001-01-24,4982471992
2001-01-25,5104288628
2001-01-26,4912127174
2001-01-29,4918990083
2001-01-30,5049385355
2001-01-31,5009923628
2001-02-01,5006492173
2001-02-02,4949873173
2001-02-05,4879528355
2001-02-06,4925852992
2001-02-07,4917274355
2001-02-08,4876096901
2001-02-09,4853792446
2001-02-12,4876096901
2001-02-13,4896685628
2001-02-14,4831487992
2001-02-15,4918990083
2001-02-16,4846929537
2001-02-20,4896685628
2001-02-21,4785163356
2001-02-22,4766290356
2001-02-23,4747417356
2001-02-26,4939578810
2001-02-27,4953304628
2001-02-28,4922421537
2001-03-01,4898401355
2001-03-02,4929284446
2001-03-05,5112867264
2001-03-06,5051101082
2001-03-07,5150613264
2001-03-08,5267282718
2001-03-09,5147181810
2001-03-12,5119730173
2001-03-13,5044238173
2001-03-14,4931000173
2001-03-15,5044238173
2001-03-16,4881244083
2001-03-19,4953304628
2001-03-20,4780016174
2001-03-21,4610159174
2001-03-22,4508931265
2001-03-23,4617022083
2001-03-26,4661630992
2001-03-27,4594717629
2001-03-28,4546677265
2001-03-29,4551824447
2001-03-30,4543245810
2001-04-02,4593297131
2001-04-03,4462990829
2001-04-04,4552147773
2001-04-05,4685883187
2001-04-06,4651592055
2001-04-09,4754465451
2001-04-10,4819618602
2001-04-11,4703028753
2001-04-12,4802473036
2001-04-16,4778469244
2001-04-17,4915633772
2001-04-18,5292836224
2001-04-19,5177960932
2001-04-20,5155671696
2001-04-23,5150528026
2001-04-24,5201964724
2001-04-25,5241399526
2001-04-26,5296265337
2001-04-27,5332271026
2001-04-30,5328841912
2001-05-01,5356274818
2001-05-02,5323698243
2001-05-03,5301409007
2001-05-04,5371705827
2001-05-07,5320269129
2001-05-08,5315125460
2001-05-09,5294550780
2001-05-10,5405996959
2001-05-11,5385422280
2001-05-14,5388851393
2001-05-15,5352845705
2001-05-16,5567165280
2001-05-17,5608314638
2001-05-18,5694042468
2001-05-21,5718046261
2001-05-22,5718046261
2001-05-23,5606600082
2001-05-24,5592883629
2001-05-25,5570594393
2001-05-29,5524301365
2001-05-30,5371705827
2001-05-31,5522586808
2001-06-01,5484866563
2001-06-04,5478008337
2001-06-05,5567165280
2001-06-06,5440288091
2001-06-07,5478008337
2001-06-08,5404282403
2001-06-11,5332271026
2001-06-12,5337414695
2001-06-13,5306552677
2001-06-14,5143669800
2001-06-15,5107664111
2001-06-18,5111093224
2001-06-19,5080231205
2001-06-20,5021936281
2001-06-21,5045940073
2001-06-22,4972214140
2001-06-25,4956783130
2001-06-26,4949924904
2001-06-27,4900202762
2001-06-28,4913919215
2001-06-29,4850480621
2001-07-02,4884771753
2001-07-03,5028794507
2001-07-05,5100805885
2001-07-06,4980786923
2001-07-09,5025365394
2001-07-10,5003076158
2001-07-11,5001361602
2001-07-12,5181390045
2001-07-13,5207108394
2001-07-16,4994503375
2001-07-17,5148813469
2001-07-18,5121380564
2001-07-19,5128238790
2001-07-20,5129953347
2001-07-23,5052798300
2001-07-24,4943066677
2001-07-25,4989359706
2001-07-26,4977357809
2001-07-27,4963641357
2001-07-30,5085374875
2001-07-31,5109378668
2001-08-01,5092233102
2001-08-02,5099091328
2001-08-03,5165959035
2001-08-06,5097376771
2001-08-07,5128238790
2001-08-08,5076802092
2001-08-09,5092233102
2001-08-10,5183104601
2001-08-13,5203679281
2001-08-14,5237970413
2001-08-15,5263688762
2001-08-16,5243114082
2001-08-17,5241399526
2001-08-20,5236255856
2001-08-21,5159100809
2001-08-22,5080231205
2001-08-23,5063085639
2001-08-24,5117951451
2001-08-27,5099091328
2001-08-28,5097376771
2001-08-29,5035652734
2001-08-30,4949924904
2001-08-31,5028794507
2001-09-04,5090518545
2001-09-05,5111093224
2001-09-06,4967070470
2001-09-07,4732176216
2001-09-10,4716745206
2001-09-17,4188661773
2001-09-18,4229811132
2001-09-19,4063499142
2001-09-20,3794313755
2001-09-21,3617714426
2001-09-24,3886899812
2001-09-25,4015491557
2001-09-26,3814888435
2001-09-27,3818317548
2001-09-28,3921190944
2001-10-01,3958244400
2001-10-02,4186671720
2001-10-03,4350581400
2001-10-04,4319194440
2001-10-05,4376737200
2001-10-08,4294782360
2001-10-09,4214571240
2001-10-10,4347093960
2001-10-11,4462179480
2001-10-12,4374993480
2001-10-15,4479616680
2001-10-16,4530184560
2001-10-17,4467410640
2001-10-18,4401149280
2001-10-19,4287807480
2001-10-22,4381968360
2001-10-23,4406380440
2001-10-24,4416842760
2001-10-25,4380224640
2001-10-26,4531928280
2001-10-29,4357556280
2001-10-30,4204108920
2001-10-31,4172721960
2001-11-01,4320938160
2001-11-02,4444742280
2001-11-05,4542390600
2001-11-06,4542390600
2001-11-07,4524953400
2001-11-08,4554596640
2001-11-09,4547621760
2001-11-12,4401149280
2001-11-13,4563315240
2001-11-14,4610395680
2001-11-15,4626089160
2001-11-16,4601677080
2001-11-19,4716762600
2001-11-20,4636551480
2001-11-21,4565058960
2001-11-23,4603420800
2001-11-26,4699325400
2001-11-27,4662707280
2001-11-28,4692350520
2001-11-29,4741174680
2001-11-30,4772561640
2001-12-03,4721993760
2001-12-04,4859747640
2001-12-05,5037607080
2001-12-06,5109099600
2001-12-07,5072481480
2001-12-10,5048069400
2001-12-11,5114330760
2001-12-12,5119561920
2001-12-13,5105612160
2001-12-14,5103868440
2001-12-17,5266034400
2001-12-18,5347989240
2001-12-19,5407275720
2001-12-20,5445637560
2001-12-21,5346245520
2001-12-24,5393325960
2001-12-26,5393325960
2001-12-27,5463074760
2001-12-28,5389838520
2001-12-31,5342159223
2002-01-02,5385790056
2002-01-03,5474796956
2002-01-04,5537625356
2002-01-07,5542861056
2002-01-08,5427675656
2002-01-09,5460835089
2002-01-10,5439892289
2002-01-11,5352630623
2002-01-14,5253152323
2002-01-15,5295037923
2002-01-16,5078628990
2002-01-17,5265368956
2002-01-18,5261878489
2002-01-22,5295037923
2002-01-23,5253152323
2002-01-24,5429420889
2002-01-25,5548096756
2002-01-28,5631867955
2002-01-29,5478287422
2002-01-30,5621396555
2002-01-31,5705167755
2002-02-01,5682479722
2002-02-04,5602198989
2002-02-05,5558568156
2002-02-06,5609179922
2002-02-07,5398006689
2002-02-08,5450363689
2002-02-11,5527153956
2002-02-12,5537625356
2002-02-13,5635358422
2002-02-14,5637103655
2002-02-15,5621396555
2002-02-19,5560313389
2002-02-20,5680734489
2002-02-21,5712148689
2002-02-22,5830824555
2002-02-25,5949500421
2002-02-26,5946009955
2002-02-27,5830824555
2002-02-28,5795919888
2002-03-01,5841295955
2002-03-04,6265387654
2002-03-05,6108316655
2002-03-06,6331706521
2002-03-07,6282839988
2002-03-08,6291566154
2002-03-11,6312508954
2002-03-12,6356139787
2002-03-13,6281094754
2002-03-14,6267132888
2002-03-15,5933793322
2002-03-18,5898888655
2002-03-19,5954736121
2002-03-20,5879691088
2002-03-21,5673753555
2002-03-22,5708658222
2002-03-25,5637103655
2002-03-26,5754034289
2002-03-27,5757524755
2002-03-28,5806391288
2002-04-01,5659426318
2002-04-02,5578797935
2002-04-03,5340343779
2002-04-04,5513609029
2002-04-05,5704029254
2002-04-08,5657710820
2002-04-09,5614823382
2002-04-10,5640555845
2002-04-11,5594237412
2002-04-12,5657710820
2002-04-15,5633693855
2002-04-16,5765787164
2002-04-17,5757209677
2002-04-18,5752063184
2002-04-19,5827545075
2002-04-22,5743485696
2002-04-23,5698882761
2002-04-24,5686874278
2002-04-25,5700598258
2002-04-26,5676581293
2002-04-29,5580513432
2002-04-30,5712606741
2002-05-01,5716037736
2002-05-02,5758925174
2002-05-03,5752063184
2002-05-06,5431265148
2002-05-07,5451851118
2002-05-08,5662857313
2002-05-09,5537625994
2002-05-10,5455282113
2002-05-13,5484445571
2002-05-14,5655995323
2002-05-15,5728046219
2002-05-16,5710891244
2002-05-17,5779511144
2002-05-20,5704029254
2002-05-21,5607961392
2002-05-22,5546203482
2002-05-23,5707460249
2002-05-24,5683443283
2002-05-28,5661141816
2002-05-29,5599383905
2002-05-30,5577082437
2002-05-31,5604530397
2002-06-03,5469006093
2002-06-04,5525617511
2002-06-05,5609676890
2002-06-06,5408963680
2002-06-07,5307749326
2002-06-10,5396955197
2002-06-11,5330050794
2002-06-12,5312895819
2002-06-13,5175656017
2002-06-14,5175656017
2002-06-17,5395239700
2002-06-18,5355783257
2002-06-19,5405532685
2002-06-20,5403817188
2002-06-21,5398670695
2002-06-24,5408963680
2002-06-25,5460428606
2002-06-26,5391808705
2002-06-27,5505031541
2002-06-28,5465575098
2002-07-01,5394528603
2002-07-02,5325931728
2002-07-03,5288994949
2002-07-05,5545793507
2002-07-08,5434983170
2002-07-09,5424429805
2002-07-10,5317137257
2002-07-11,5310101680
2002-07-12,5324172834
2002-07-15,5236228122
2002-07-16,4995259613
2002-07-17,4995259613
2002-07-18,4902038219
2002-07-19,4722631007
2002-07-22,4603026199
2002-07-23,4508045911
2002-07-24,4812334613
2002-07-25,4696247594
2002-07-26,4610061776
2002-07-29,4784192305
2002-07-30,4715595430
2002-07-31,4720872113
2002-08-01,4632927401
2002-08-02,4474626921
2002-08-05,4319844228
2002-08-06,4557294949
2002-08-07,4671623074
2002-08-08,4831682449
2002-08-09,4835200238
2002-08-12,4840476920
2002-08-13,4750773315
2002-08-14,4764844469
2002-08-15,4712077642
2002-08-16,4683935334
2002-08-19,4919627161
2002-08-20,4821129084
2002-08-21,4912591584
2002-08-22,5028678603
2002-08-23,4902038219
2002-08-26,4947769468
2002-08-27,4912591584
2002-08-28,4794745670
2002-08-29,4720872113
2002-08-30,4756049997
2002-09-03,4603026199
2002-09-04,4689212017
2002-09-05,4539706007
2002-09-06,4659310815
2002-09-09,4659310815
2002-09-10,4685694228
2002-09-11,4690970911
2002-09-12,4603026199
2002-09-13,4442966824
2002-09-16,4462314661
2002-09-17,4391958892
2002-09-18,4321603123
2002-09-19,4418342305
2002-09-20,4462314661
2002-09-23,4476385815
2002-09-24,4362057690
2002-09-25,4451761296
2002-09-26,4613579565
2002-09-27,4458796873
2002-09-30,4347497452
2002-10-01,4589878543
2002-10-02,4516481452
2002-10-03,4443084361
2002-10-04,4275807270
2002-10-07,4238255270
2002-10-08,4190461815
2002-10-09,3942959997
2002-10-10,4057322906
2002-10-11,4229720725
2002-10-14,4146082179
2002-10-15,4610361452
2002-10-16,4489170906
2002-10-17,4803242179
2002-10-18,4733258906
2002-10-21,5064399270
2002-10-22,4967105451
2002-10-23,5054157815
2002-10-24,4893708361
2002-10-25,5009778179
2002-10-28,4883466906
2002-10-29,4968812360
2002-10-30,4996122906
2002-10-31,4965398542
2002-11-01,5071226906
2002-11-04,5074640724
2002-11-05,5064399270
2002-11-06,5175348360
2002-11-07,5062692360
2002-11-08,5095123633
2002-11-11,4830552724
2002-11-12,4938087997
2002-11-13,4950036361
2002-11-14,5079761451
2002-11-15,5081468360
2002-11-18,5052450906
2002-11-19,5057571633
2002-11-20,5195831269
2002-11-21,5334090906
2002-11-22,5301659633
2002-11-25,5344332360
2002-11-26,5153158542
2002-11-27,5340918542
2002-11-29,5313607997
2002-12-02,5322142542
2002-12-03,5166813815
2002-12-04,5253866179
2002-12-05,5231676360
2002-12-06,5235090179
2002-12-09,5098537451
2002-12-10,5159986179
2002-12-11,5173641451
2002-12-12,5221434906
2002-12-13,5107071997
2002-12-16,5310194178
2002-12-17,5334090906
2002-12-18,5303366542
2002-12-19,5279469815
2002-12-20,5313607997
2002-12-23,5296538906
2002-12-24,5269228360
2002-12-26,5265814542
2002-12-27,5218021088
2002-12-30,5223141815
2002-12-31,5344240191
2003-01-02,5531940335
2003-01-03,5535416263
2003-01-06,5653597835
2003-01-07,5458945834
2003-01-08,5253866048
2003-01-09,5271245691
2003-01-10,5278197548
2003-01-13,5312956834
2003-01-14,5215630834
2003-01-15,5153064119
2003-01-16,5095711298
2003-01-17,4987957512
2003-01-21,4857610190
2003-01-22,4730738797
2003-01-23,4826326833
2003-01-24,4704669333
2003-01-27,4640364654
2003-01-28,4699455440
2003-01-29,4718573047
2003-01-30,4577797939
2003-01-31,4669910047
2003-02-03,4760284190
2003-02-04,4781139761
2003-02-05,4826326833
2003-02-06,4850658333
2003-02-07,4786353654
2003-02-10,4796781440
2003-02-11,4744642511
2003-02-12,4695979511
2003-02-13,4636888725
2003-02-14,4729000833
2003-02-18,4854134261
2003-02-19,4756808261
2003-02-20,4739428618
2003-02-21,4805471261
2003-02-24,4687289690
2003-02-25,4680337832
2003-02-26,4572584046
2003-02-27,4680337832
2003-02-28,4669910047
2003-03-03,4668172082
2003-03-04,4461354332
2003-03-05,4450926546
2003-03-06,4358814439
2003-03-07,4447450618
2003-03-10,4365766296
2003-03-11,4238894903
2003-03-12,4224991188
2003-03-13,4605605368
2003-03-14,4572584046
2003-03-17,4770711976
2003-03-18,4767236047
2003-03-19,4638626690
2003-03-20,4701193404
2003-03-21,4871513904
2003-03-24,4695979511
2003-03-25,4791567547
2003-03-26,4689027654
2003-03-27,4636888725
2003-03-28,4527396975
2003-03-31,4527593443
2003-04-01,4587190104
2003-04-02,4811554007
2003-04-03,4706383428
2003-04-04,4699372056
2003-04-07,4748451659
2003-04-08,4671326568
2003-04-09,4615235592
2003-04-10,4560897459
2003-04-11,4557391774
2003-04-14,4627505493
2003-04-15,4674832254
2003-04-16,4706383428
2003-04-17,4685349312
2003-04-21,4709889114
2003-04-22,4774744304
2003-04-23,4744945973
2003-04-24,4697619213
2003-04-25,4639775394
2003-04-28,4750204502
2003-04-29,4729170387
2003-04-30,4753710188
2003-05-01,4659056667
2003-05-02,4706383428
2003-05-05,4702877742
2003-05-06,4762474403
2003-05-07,4790519891
2003-05-08,4737934601
2003-05-09,4781755676
2003-05-12,4899196157
2003-05-13,4818565379
2003-05-14,4762474403
2003-05-15,4790519891
2003-05-16,4760721560
2003-05-19,4639775394
2003-05-20,4597707162
2003-05-21,4625752650
2003-05-22,4758968717
2003-05-23,4716900486
2003-05-27,4767732932
2003-05-28,4702877742
2003-05-29,4608224220
2003-05-30,4723911858
2003-06-02,4811554007
2003-06-03,4667820882
2003-06-04,4909713214
2003-06-05,5162122605
2003-06-06,5135829960
2003-06-09,5000861050
2003-06-10,5018389480
2003-06-11,5174392506
2003-06-12,5246259069
2003-06-13,5069221927
2003-06-16,5312867102
2003-06-17,5328642689
2003-06-18,5281315928
2003-06-19,5141088489
2003-06-20,5137582803
2003-06-23,5028906538
2003-06-24,4986838306
2003-06-25,4871150669
2003-06-26,4951781446
2003-06-27,4874656355
2003-06-30,4958690906
2003-07-01,4926802218
2003-07-02,5004752343
2003-07-03,4933888593
2003-07-07,4960462500
2003-07-08,5075616093
2003-07-09,5063214937
2003-07-10,4994122781
2003-07-11,5045499000
2003-07-14,5119905937
2003-07-15,5103961593
2003-07-16,5142936656
2003-07-17,5256318656
2003-07-18,5355527906
2003-07-21,5359071093
2003-07-22,5305923281
2003-07-23,5408675718
2003-07-24,5460051937
2003-07-25,5484854250
2003-07-28,5383873406
2003-07-29,5344898343
2003-07-30,5265176625
2003-07-31,5444107593
2003-08-01,5504341781
2003-08-04,5475996281
2003-08-05,5344898343
2003-08-06,5323639218
2003-08-07,5380330218
2003-08-08,5426391656
2003-08-11,5438792812
2003-08-12,5502570187
2003-08-13,5585835093
2003-08-14,5633668125
2003-08-15,5669100000
2003-08-18,5816142281
2003-08-19,5752364906
2003-08-20,5727562593
2003-08-21,5775395625
2003-08-22,5739963750
2003-08-25,5669100000
2003-08-26,5642526093
2003-08-27,5637211312
2003-08-28,5720476218
2003-08-29,5848030968
2003-09-02,5982672093
2003-09-03,5833858218
2003-09-04,5837401406
2003-09-05,5724019406
2003-09-08,5793111562
2003-09-09,5646069281
2003-09-10,5475996281
2003-09-11,5543316843
2003-09-12,5545088437
2003-09-15,5514971343
2003-09-16,5699217093
2003-09-17,5601779437
2003-09-18,5635439718
2003-09-19,5545088437
2003-09-22,5458280343
2003-09-23,5483082656
2003-09-24,5369700656
2003-09-25,5320096031
2003-09-26,5243917500
2003-09-29,5274034593
2003-09-30,5304178079
2003-10-01,5441232345
2003-10-02,5608545345
2003-10-03,5672622664
2003-10-06,5758059089
2003-10-07,5777638270
2003-10-08,5754499238
2003-10-09,5766958717
2003-10-10,5722460578
2003-10-13,5750939387
2003-10-14,5838155738
2003-10-15,6078445684
2003-10-16,5994789185
2003-10-17,5975210004
2003-10-20,5980549780
2003-10-21,5912912610
2003-10-22,5779418195
2003-10-23,5804337153
2003-10-24,5797217451
2003-10-27,5882653876
2003-10-28,5923592163
2003-10-29,5964530451
2003-10-30,6082005536
2003-10-31,6048186950
2003-11-03,6142523004
2003-11-04,6197700695
2003-11-05,6249318535
2003-11-06,6509187663
2003-11-07,6429091014
2003-11-10,6381033025
2003-11-11,6395272429
2003-11-12,6461129673
2003-11-13,6470029301
2003-11-14,6425531163
2003-11-17,6348994365
2003-11-18,6194140844
2003-11-19,6217279876
2003-11-20,6252878386
2003-11-21,6281357195
2003-11-24,6391712578
2003-11-25,6496728184
2003-11-26,6505627812
2003-11-28,6525206992
2003-12-01,6671160886
2003-12-02,6551905875
2003-12-03,6525206992
2003-12-04,6776176492
2003-12-05,6808215152
2003-12-08,6815334854
2003-12-09,6849153439
2003-12-10,6710319248
2003-12-11,6884751950
2003-12-12,6872292471
2003-12-15,6872292471
2003-12-16,6877632247
2003-12-17,6850933364
2003-12-18,6964848598
2003-12-19,6984427779
2003-12-22,7030705843
2003-12-23,6984427779
2003-12-24,6950609194
2003-12-26,6961288747
2003-12-29,7036045620
2003-12-30,7043165322
2003-12-31,7052192588
2004-01-02,7064636588
2004-01-05,7196187445
2004-01-06,7123301160
2004-01-07,7197965160
2004-01-08,7219297731
2004-01-09,7059303445
