,C
2000-01-03,189372505500
2000-01-04,181312195500
2000-01-05,181983888000
2000-01-06,193845480000
2000-01-07,193397685000
2000-01-10,193173787500
2000-01-11,190268095500
2000-01-12,196980045000
2000-01-13,198995122500
2000-01-14,207727125000
2000-01-18,209518305000
2000-01-19,213991279500
2000-01-20,206383740000
2000-01-21,202129687500
2000-01-24,197651737500
2000-01-25,200114610000
2000-01-26,208174920000
2000-01-27,211309485000
2000-01-28,201010200000
2000-01-31,204144765000
2000-02-01,208622715000
2000-02-02,204368662500
2000-02-03,201681892500
2000-02-04,196084455000
2000-02-07,194741070000
2000-02-08,199666815000
2000-02-09,194069377500
2000-02-10,192283173000
2000-02-11,193397685000
2000-02-14,193397685000
2000-02-15,194517172500
2000-02-16,193049400000
2000-02-17,188029120500
2000-02-18,184222863000
2000-02-22,184446760500
2000-02-23,181312195500
2000-02-24,177282040500
2000-02-25,173251885500
2000-02-28,176834245500
2000-02-29,185566248000
2000-03-01,184894555500
2000-03-02,184446760500
2000-03-03,191387583000
2000-03-06,186909633000
2000-03-07,180416605500
2000-03-08,179073220500
2000-03-09,180416605500
2000-03-10,175490860500
2000-03-13,178849323000
2000-03-14,178177630500
2000-03-15,187133530500
2000-03-16,204144765000
2000-03-17,204144765000
2000-03-20,201234097500
2000-03-21,207951022500
2000-03-22,208553058000
2000-03-23,220932102000
2000-03-24,216901947000
2000-03-27,215110767000
2000-03-28,218469229500
2000-03-29,217573639500
2000-03-30,213100665000
2000-03-31,191514716400
2000-04-03,198113462400
2000-04-04,188719692000
2000-04-05,187319958000
2000-04-06,189719502000
2000-04-07,188719692000
2000-04-10,199113272400
2000-04-11,202912550400
2000-04-12,202312664400
2000-04-13,200113082400
2000-04-14,185520300000
2000-04-17,189519540000
2000-04-18,198713348400
2000-04-19,190714868400
2000-04-20,195913880400
2000-04-24,197713538400
2000-04-25,206311904400
2000-04-26,199913120400
2000-04-27,196713728400
2000-04-28,190519350000
2000-05-01,192914450400
2000-05-02,195513956400
2000-05-03,192314564400
2000-05-04,187519920000
2000-05-05,190519350000
2000-05-08,191114792400
2000-05-09,189719502000
2000-05-10,180521250000
2000-05-11,188519730000
2000-05-12,192514526400
2000-05-15,201112892400
2000-05-16,197313614400
2000-05-17,195313994400
2000-05-18,196913690400
2000-05-19,194914070400
2000-05-22,196113842400
2000-05-23,199313234400
2000-05-24,196313804400
2000-05-25,187319958000
2000-05-26,186320148000
2000-05-30,192914450400
2000-05-31,198913310400
2000-06-01,202512626400
2000-06-02,211906396800
2000-06-05,212506282800
2000-06-06,207311714400
2000-06-07,211706434800
2000-06-08,206311904400
2000-06-09,204712208400
2000-06-12,204712208400
2000-06-13,208906966800
2000-06-14,214705864800
2000-06-15,207511676400
2000-06-16,200513006400
2000-06-19,204712208400
2000-06-20,205911980400
2000-06-21,201512816400
2000-06-22,198713348400
2000-06-23,197913500400
2000-06-26,204912170400
2000-06-27,203912360400
2000-06-28,205112132400
2000-06-29,200912930400
2000-06-30,215921240300
2000-07-03,223762692800
2000-07-05,226675232300
2000-07-06,228915647300
2000-07-07,233620518800
2000-07-10,233839581600
2000-07-11,236528079600
2000-07-12,240560826600
2000-07-13,239664660600
2000-07-14,243473366100
2000-07-17,237872328600
2000-07-18,238992536100
2000-07-19,243249324600
2000-07-20,252883109100
2000-07-21,254446420900
2000-07-24,253555233600
2000-07-25,252435026100
2000-07-26,249522486600
2000-07-27,250642694100
2000-07-28,244817615100
2000-07-31,252883109100
2000-08-01,252659067600
2000-08-02,253555233600
2000-08-03,255342586900
2000-08-04,263408080900
2000-08-07,264304246900
2000-08-08,260943624400
2000-08-09,260271499900
2000-08-10,255118545399
2000-08-11,259599375399
2000-08-14,265424454400
2000-08-15,264976371400
2000-08-16,261167665900
2000-08-17,267888910900
2000-08-18,267888910900
2000-08-21,275501343200
2000-08-22,277517716700
2000-08-23,274386114400
2000-08-24,274829218700
2000-08-25,272145699400
2000-08-28,277144314200
2000-08-29,277741758200
2000-08-30,272967184900
2000-08-31,278936646200
2000-09-01,275650704200
2000-09-05,276845592200
2000-09-06,262511914900
2000-09-07,260719582899
2000-09-08,267590188900
2000-09-11,270577408900
2000-09-12,269382520900
2000-09-13,265499134900
2000-09-14,265200412899
2000-09-15,261317026900
2000-09-18,255641308900
2000-09-19,259225972899
2000-09-20,255940030900
2000-09-21,253555233600
2000-09-22,252061623600
2000-09-25,258628528900
2000-09-26,255641308900
2000-09-27,250269291600
2000-09-28,257134918900
2000-09-29,258329806900
2000-10-02,264496674900
2000-10-03,271663122900
2000-10-04,261510654900
2000-10-05,268079898899
2000-10-06,255538614900
2000-10-09,251363163600
2000-10-10,243599511600
2000-10-11,236433063600
2000-10-12,223299552300
2000-10-13,237926073600
2000-10-16,242703705600
2000-10-17,235835859600
2000-10-18,236731665600
2000-10-19,245092521600
2000-10-20,243300909600
2000-10-23,240912093600
2000-10-24,246884133600
2000-10-25,241807899600
2000-10-26,234044247600
2000-10-27,240016287600
2000-10-30,246286929600
2000-10-31,251363163600
2000-11-01,246884133600
2000-11-02,253453377600
2000-11-03,257628828899
2000-11-06,262107858899
2000-11-07,261510654900
2000-11-08,253453377600
2000-11-09,251661765600
2000-11-10,245988327600
2000-11-13,241210695600
2000-11-14,242405103600
2000-11-15,239717685600
2000-11-16,246884133600
2000-11-17,244082251500
2000-11-20,235835859600
2000-11-21,234641451600
2000-11-22,224792562300
2000-11-24,225986970300
2000-11-27,226584174300
2000-11-28,227479980300
2000-11-29,236134461600
2000-11-30,237926073600
2000-12-01,233745645600
2000-12-04,228375786300
2000-12-05,242405103600
2000-12-06,237627471600
2000-12-07,237627471600
2000-12-08,245988327600
2000-12-11,252557571600
2000-12-12,251363163600
2000-12-13,253154775600
2000-12-14,242405103600
2000-12-15,229570194300
2000-12-18,235835859600
2000-12-19,240016287600
2000-12-20,229271592300
2000-12-21,232854816300
2000-12-22,239120481600
2000-12-26,243300909600
2000-12-27,243002307600
2000-12-28,244793919600
2000-12-29,243898113600
2001-01-02,241598439600
2001-01-03,262828276900
2001-01-04,266417260900
2001-01-05,256846636900
2001-01-08,255351226900
2001-01-09,249673653600
2001-01-10,258042964899
2001-01-11,263127358900
2001-01-12,254159883600
2001-01-16,261631948900
2001-01-17,257444800900
2001-01-18,259538374899
2001-01-19,260136538900
2001-01-22,257743882900
2001-01-23,262529194899
2001-01-24,267015424899
2001-01-25,264622768900
2001-01-26,264024604899
2001-01-29,268869733300
2001-01-30,268869733300
2001-01-31,267768114599
2001-02-01,268436064400
2001-02-02,265330596299
2001-02-05,269348264500
2001-02-06,263750446400
2001-02-07,260066753100
2001-02-08,258820578100
2001-02-09,258581312500
2001-02-12,265280749300
2001-02-13,261168371800
2001-02-14,256667187699
2001-02-15,258681006500
2001-02-16,258342046900
2001-02-20,244948158000
2001-02-21,231075737900
2001-02-22,232511331500
2001-02-23,230597206700
2001-02-26,240641377200
2001-02-27,238248721200
2001-02-28,235282824700
2001-03-01,232750597100
2001-03-02,229640144300
2001-03-05,230836472300
2001-03-06,232650903100
2001-03-07,241359174000
2001-03-08,242794767600
2001-03-09,235043559100
2001-03-12,225333363500
2001-03-13,231504422100
2001-03-14,214805677100
2001-03-15,221983645100
2001-03-16,217676864300
2001-03-19,221505113900
2001-03-20,211939474600
2001-03-21,202129585000
2001-03-22,194233820200
2001-03-23,205000772200
2001-03-26,211460943400
2001-03-27,222222910700
2001-03-28,215762739500
2001-03-29,213848614700
2001-03-30,215189499000
2001-04-02,218410235600
2001-04-03,208854383200
2001-04-04,204073967200
2001-04-05,215063944400
2001-04-06,204312988000
2001-04-09,204696417200
2001-04-10,216976110800
2001-04-11,221472689600
2001-04-12,226058901200
2001-04-16,224385755600
2001-04-17,229021763200
2001-04-18,239200065600
2001-04-19,240395169600
2001-04-20,236192387200
2001-04-23,231745604400
2001-04-24,232751483600
2001-04-25,235614753600
2001-04-26,236620632800
2001-04-27,243313215200
2001-04-30,234897691200
2001-05-01,240873211200
2001-05-02,241829294400
2001-05-03,243741460800
2001-05-04,242690765200
2001-05-07,242068315200
2001-05-08,238004961600
2001-05-09,236331816000
2001-05-10,237048878400
2001-05-11,235425528800
2001-05-14,239439086400
2001-05-15,241590273600
2001-05-16,247515997600
2001-05-17,242257540000
2001-05-18,243074194400
2001-05-21,246415506000
2001-05-22,251151105600
2001-05-23,248566693200
2001-05-24,251245718000
2001-05-25,247849630800
2001-05-29,246609710400
2001-05-30,242690765200
2001-05-31,244936564800
2001-06-01,247565793600
2001-06-04,249861389200
2001-06-05,251245718000
2001-06-06,247849630800
2001-06-07,245798035600
2001-06-08,243502440000
2001-06-11,240873211200
2001-06-12,240778598800
2001-06-13,238438186800
2001-06-14,232318258400
2001-06-15,235614753600
2001-06-18,237960145200
2001-06-19,242546356800
2001-06-20,242068315200
2001-06-21,255926542000
2001-06-22,255209479600
2001-06-25,251151105600
2001-06-26,249238939200
2001-06-27,247087752000
2001-06-28,251390126400
2001-06-29,252535434400
2001-07-02,259760742400
2001-07-03,257675692800
2001-07-05,253935761600
2001-07-06,246693756800
2001-07-09,246744364800
2001-07-10,238586355200
2001-07-11,231202648000
2001-07-12,236546852800
2001-07-13,237321155200
2001-07-16,238728057600
2001-07-17,246309136000
2001-07-18,245868846400
2001-07-19,243586425600
2001-07-20,245580380800
2001-07-23,243925499200
2001-07-24,237857600000
2001-07-25,239699731200
2001-07-26,242857670400
2001-07-27,243100588800
2001-07-30,241111694400
2001-07-31,243879952000
2001-08-01,245965001600
2001-08-02,247958956800
2001-08-03,248348638400
2001-08-06,244801017600
2001-08-07,246744364800
2001-08-08,240914323200
2001-08-09,239993257600
2001-08-10,241111694400
2001-08-13,238631902400
2001-08-14,236789771200
2001-08-15,236061016000
2001-08-16,232564003200
2001-08-17,226344280000
2001-08-20,230230974400
2001-08-21,227801790400
2001-08-22,228287627200
2001-08-23,227265345600
2001-08-24,234603505600
2001-08-27,233145995200
2001-08-28,228530545600
2001-08-29,225615524800
2001-08-30,221146838400
2001-08-31,222457585600
2001-09-04,224208622400
2001-09-05,221389756800
2001-09-06,213960502400
2001-09-07,210898718400
2001-09-10,206187113600
2001-09-17,192345825600
2001-09-18,191080625600
2001-09-19,186758702400
2001-09-20,176606737600
2001-09-21,176606737600
2001-09-24,189430804800
2001-09-25,189623115200
2001-09-26,190933862400
2001-09-27,193656572800
2001-09-28,196713296000
2001-10-01,204421112000
2001-10-02,206869880000
2001-10-03,212894869600
2001-10-04,213578484000
2001-10-05,211032785600
2001-10-08,207701440800
2001-10-09,209073771200
2001-10-10,216955743200
2001-10-11,224006154400
2001-10-12,220628895200
2001-10-15,219353495200
2001-10-16,225674377600
2001-10-17,227975199200
2001-10-18,227679306400
2001-10-19,224495908000
2001-10-22,230179090400
2001-10-23,231301442400
2001-10-24,229832181600
2001-10-25,235515364000
2001-10-26,237862100000
2001-10-29,227189552800
2001-10-30,223026647200
2001-10-31,222883802400
2001-11-01,226454922400
2001-11-02,229786267200
2001-11-05,231449388800
2001-11-06,232821719200
2001-11-07,235515364000
2001-11-08,237474378400
2001-11-09,236494871200
2001-11-12,236005117600
2001-11-13,244570704000
2001-11-14,247019472000
2001-11-15,245259420000
2001-11-16,238943639200
2001-11-19,242856566400
2001-11-20,242611689600
2001-11-21,239428291200
2001-11-23,244524789600
2001-11-26,248784625600
2001-11-27,247509225600
2001-11-28,234046103200
2001-11-29,236785662400
2001-11-30,234535856800
2001-12-03,229689336800
2001-12-04,234194049600
2001-12-05,239918044800
2001-12-06,242856566400
2001-12-07,240948568000
2001-12-10,234632787200
2001-12-11,238010046400
2001-12-12,235760240800
2001-12-13,232331965600
2001-12-14,228607797600
2001-12-17,231939142400
2001-12-18,235515364000
2001-12-19,244815580800
2001-12-20,243397336000
2001-12-21,245550211200
2001-12-24,244667634400
2001-12-26,245892018400
2001-12-27,248437716800
2001-12-28,250641608000
2001-12-31,247598614500
2002-01-02,250199859000
2002-01-03,250394058000
2002-01-04,255054834000
2002-01-07,252060081000
2002-01-08,242789634000
2002-01-09,244215463500
2002-01-10,244506762000
2002-01-11,240684108000
2002-01-14,239748886500
2002-01-15,243873060000
2002-01-16,239651787000
2002-01-17,244752066000
2002-01-18,245048475000
