,ENDP
2014-03-03,9843330700
2014-03-04,9991967300
2014-03-05,9798483450
2014-03-06,9467895150
2014-03-07,9451237600
2014-03-10,9360261750
2014-03-11,9317977200
2014-03-12,9309007750
2014-03-13,9068113950
2014-03-14,9153964400
2014-03-17,9193686250
2014-03-18,9517867800
2014-03-19,9367949850
2014-03-20,9341041500
2014-03-21,9161652500
2014-03-24,8724712150
2014-03-25,8700366500
2014-03-26,8518414800
2014-03-27,8474848900
2014-03-28,8567106100
2014-03-31,10477028811
2014-04-01,10393090489
2014-04-02,10324413679
2014-04-03,10087860225
2014-04-04,9797891474
2014-04-07,9356833742
2014-04-08,9303418446
2014-04-09,9446876670
2014-04-10,9068391143
2014-04-11,8749425517
2014-04-14,8665487194
2014-04-15,8589179628
2014-04-16,8805893116
2014-04-17,8738742458
2014-04-21,9135541801
2014-04-22,9390409071
2014-04-23,9465190486
2014-04-24,9440772065
2014-04-25,9254581604
2014-04-28,9242372393
2014-04-29,9652907099
2014-04-30,9606359483
2014-05-01,10127540159
2014-05-02,10040549534
2014-05-05,10283207594
2014-05-06,10196216968
2014-05-07,10270998383
2014-05-08,10257263021
2014-05-09,10373250522
2014-05-12,10649483910
2014-05-13,10713582266
2014-05-14,10760892957
2014-05-15,10904351181
2014-05-16,10898246576
2014-05-19,10811255950
2014-05-20,10788363681
2014-05-21,10998972563
2014-05-22,11191267629
2014-05-23,11284362860
2014-05-27,11188215326
2014-05-28,11226369109
2014-05-29,10896720424
2014-05-30,10773102167
2014-06-02,10644905457
2014-06-03,10583859404
2014-06-04,10530444108
2014-06-05,10454136542
2014-06-06,10542653318
2014-06-09,10472450357
2014-06-10,10408352002
2014-06-11,10371724370
2014-06-12,10339675193
2014-06-13,10538074864
2014-06-16,10490764173
2014-06-17,10443453482
2014-06-18,10498394930
2014-06-19,10376302824
2014-06-20,10626591641
2014-06-23,10499921081
2014-06-24,10722739174
2014-06-25,10930295753
2014-06-26,10783785227
2014-06-27,10734948384
2014-06-30,10759929777
