,WOR
2000-01-03,873569228
2000-01-04,886953843
2000-01-05,903907689
2000-01-06,890523074
2000-01-07,935138459
2000-01-10,890523074
2000-01-11,859292305
2000-01-12,879815382
2000-01-13,879815382
2000-01-14,876246151
2000-01-18,879815382
2000-01-19,859292305
2000-01-20,825384613
2000-01-21,825384613
2000-01-24,799507690
2000-01-25,790584613
2000-01-26,814676920
2000-01-27,804861536
2000-01-28,783446151
2000-01-31,794153844
2000-02-01,818246151
2000-02-02,826276920
2000-02-03,825384613
2000-02-04,783446151
2000-02-07,780769228
2000-02-08,721876921
2000-02-09,759353844
2000-02-10,738830767
2000-02-11,756676921
2000-02-14,749538459
2000-02-15,794153844
2000-02-16,783446151
2000-02-17,770061536
2000-02-18,745969228
2000-02-22,773630767
2000-02-23,725446151
2000-02-24,718307690
2000-02-25,732584613
2000-02-28,708492305
2000-02-29,679580600
2000-03-01,679580600
2000-03-02,676253400
2000-03-03,695384800
2000-03-06,676253400
2000-03-07,657122000
2000-03-08,663776400
2000-03-09,698712000
2000-03-10,663776400
2000-03-13,641317800
2000-03-14,618859200
2000-03-15,634663400
2000-03-16,660449200
2000-03-17,641317800
2000-03-20,663776400
2000-03-21,657122000
2000-03-22,650467600
2000-03-23,641317800
2000-03-24,634663400
2000-03-27,641317800
2000-03-28,628009000
2000-03-29,618859200
2000-03-30,621354600
2000-03-31,634663400
2000-04-03,618859200
2000-04-04,628009000
2000-04-05,598896000
2000-04-06,621354600
2000-04-07,631336200
2000-04-10,593073400
2000-04-11,686235000
2000-04-12,672094400
2000-04-13,676253400
2000-04-14,615532000
2000-04-17,621354600
2000-04-18,609709400
2000-04-19,615532000
2000-04-20,615532000
2000-04-24,605550400
2000-04-25,643813200
2000-04-26,641317800
2000-04-27,624681800
2000-04-28,634663400
2000-05-01,641317800
2000-05-02,628009000
2000-05-03,628009000
2000-05-04,634663400
2000-05-05,624681800
2000-05-08,605550400
2000-05-09,598896000
2000-05-10,583091800
2000-05-11,586419000
2000-05-12,598896000
2000-05-15,612204800
2000-05-16,641317800
2000-05-17,608877600
2000-05-18,605550400
2000-05-19,615532000
2000-05-22,631336200
2000-05-23,615532000
2000-05-24,618859200
2000-05-25,608877600
2000-05-26,605550400
2000-05-30,621354600
2000-05-31,621354600
2000-06-01,612204800
2000-06-02,628009000
2000-06-05,615532000
2000-06-06,628009000
2000-06-07,621354600
2000-06-08,637990600
2000-06-09,653794800
2000-06-12,637990600
2000-06-13,615532000
2000-06-14,634663400
2000-06-15,637990600
2000-06-16,618859200
2000-06-19,605550400
2000-06-20,598896000
2000-06-21,596400600
2000-06-22,563960400
2000-06-23,579764600
2000-06-26,577269200
2000-06-27,573942000
2000-06-28,557306000
2000-06-29,551483400
2000-06-30,538174600
2000-07-03,563960400
2000-07-05,554810600
2000-07-06,560633200
2000-07-07,567287600
2000-07-10,567287600
2000-07-11,563960400
2000-07-12,560633200
2000-07-13,563960400
2000-07-14,557306000
2000-07-17,554810600
2000-07-18,554810600
2000-07-19,551483400
2000-07-20,544829000
2000-07-21,554810600
2000-07-24,554810600
2000-07-25,563960400
2000-07-26,554810600
2000-07-27,541501800
2000-07-28,538174600
2000-07-31,541501800
2000-08-01,560633200
2000-08-02,551483400
2000-08-03,567287600
2000-08-04,589746200
2000-08-07,593073400
2000-08-08,605550400
2000-08-09,602223200
2000-08-10,593073400
2000-08-11,598896000
2000-08-14,602223200
2000-08-15,577269200
2000-08-16,570614800
2000-08-17,557306000
2000-08-18,551483400
2000-08-21,551483400
2000-08-22,525697600
2000-08-23,525697600
2000-08-24,525697600
2000-08-25,529024800
2000-08-28,519043200
2000-08-29,515716000
2000-08-30,512388800
2000-08-31,552980000
2000-09-01,540080000
2000-09-05,550400000
2000-09-06,550400000
2000-09-07,540080000
2000-09-08,556420000
2000-09-11,556420000
2000-09-12,543520000
2000-09-13,543520000
2000-09-14,546960000
2000-09-15,529760000
2000-09-18,520300000
2000-09-19,516860000
2000-09-20,513420000
2000-09-21,500520000
2000-09-22,497080000
2000-09-25,484180000
2000-09-26,484180000
2000-09-27,477300000
2000-09-28,477300000
2000-09-29,497080000
2000-10-02,480740000
2000-10-03,477300000
2000-10-04,480740000
2000-10-05,477300000
2000-10-06,463540000
2000-10-09,466980000
2000-10-10,466980000
2000-10-11,457520000
2000-10-12,447200000
2000-10-13,484180000
2000-10-16,457520000
2000-10-17,463540000
2000-10-18,466980000
2000-10-19,473860000
2000-10-20,477300000
2000-10-23,490200000
2000-10-24,486760000
2000-10-25,477300000
2000-10-26,477300000
2000-10-27,473860000
2000-10-30,480740000
2000-10-31,506540000
2000-11-01,500520000
2000-11-02,500520000
2000-11-03,497080000
2000-11-06,490200000
2000-11-07,493640000
2000-11-08,490200000
2000-11-09,490200000
2000-11-10,473860000
2000-11-13,484180000
2000-11-14,490200000
2000-11-15,490200000
2000-11-16,480740000
2000-11-17,480740000
2000-11-20,470420000
2000-11-21,470420000
2000-11-22,473860000
2000-11-24,480740000
2000-11-27,484180000
2000-11-28,493640000
2000-11-29,493640000
2000-11-30,503174000
2000-12-01,493395000
2000-12-04,486283000
2000-12-05,489839000
2000-12-06,438277000
2000-12-07,445389000
2000-12-08,455168000
2000-12-11,462280000
2000-12-12,458724000
2000-12-13,469392000
2000-12-14,431164999
2000-12-15,407162000
2000-12-18,417830000
2000-12-19,404495000
2000-12-20,380492000
2000-12-21,352933000
2000-12-22,404495000
2000-12-26,386714999
2000-12-27,397383000
2000-12-28,407162000
2000-12-29,441833000
2001-01-02,448945000
2001-01-03,438277000
2001-01-04,452501000
2001-01-05,462280000
2001-01-08,445389000
2001-01-09,458724000
2001-01-10,469392000
2001-01-11,462280000
2001-01-12,486283000
2001-01-16,527177000
2001-01-17,493395000
2001-01-18,482727000
2001-01-19,489839000
2001-01-22,479171000
2001-01-23,479171000
2001-01-24,479171000
2001-01-25,482727000
2001-01-26,479171000
2001-01-29,495173000
2001-01-30,500507000
2001-01-31,526288000
2001-02-01,563626000
2001-02-02,547624000
2001-02-05,547624000
2001-02-06,561848000
2001-02-07,559181000
2001-02-08,568071000
2001-02-09,566293000
2001-02-12,559181000
2001-02-13,558292000
2001-02-14,556514000
2001-02-15,572516000
2001-02-16,559181000
2001-02-20,554736000
2001-02-21,537845000
2001-02-22,551180000
2001-02-23,539623000
2001-02-26,539623000
2001-02-27,536956000
2001-02-28,510058530
2001-03-01,517621177
2001-03-02,530225589
2001-03-05,531906177
2001-03-06,529385295
2001-03-07,531065883
2001-03-08,523503236
2001-03-09,517621177
2001-03-12,506697354
2001-03-13,471405001
2001-03-14,473925883
2001-03-15,484009413
2001-03-16,473925883
2001-03-19,479807942
2001-03-20,476446766
2001-03-21,471405001
2001-03-22,466363236
2001-03-23,472245295
2001-03-26,498294413
2001-03-27,486530295
2001-03-28,481488530
2001-03-29,494933236
2001-03-30,481488530
2001-04-02,484009413
2001-04-03,486530295
2001-04-04,499975001
2001-04-05,517621177
2001-04-06,492412354
2001-04-09,517621177
2001-04-10,554594119
2001-04-11,531065883
2001-04-12,541149413
2001-04-16,539468825
2001-04-17,569719413
2001-04-18,554594119
2001-04-19,564677648
2001-04-20,565517942
2001-04-23,568038825
2001-04-24,579802942
2001-04-25,600810295
2001-04-26,596608825
2001-04-27,595768531
2001-04-30,619296766
2001-05-01,603331178
2001-05-02,621817648
2001-05-03,601650589
2001-05-04,619296766
2001-05-07,603331178
