,TMO
2000-01-03,2022887700
2000-01-04,1946049330
2000-01-05,1963298760
2000-01-06,1963298760
2000-01-07,1988388840
2000-01-10,1972707540
2000-01-11,1988388840
2000-01-12,1938208680
2000-01-13,2005638269
2000-01-14,1972707540
2000-01-18,1946049330
2000-01-19,1920959250
2000-01-20,1955458110
2000-01-21,1946049330
2000-01-24,1972707540
2000-01-25,1988388840
2000-01-26,2098157940
2000-01-27,2225176470
2000-01-28,2190677610
2000-01-31,2334945570
2000-02-01,2385125730
2000-02-02,2342786220
2000-02-03,2367876300
2000-02-04,2350626870
2000-02-07,2350626870
2000-02-08,2275356630
2000-02-09,2233017120
2000-02-10,2190677610
2000-02-11,2174996310
2000-02-14,2207927040
2000-02-15,2242425900
2000-02-16,2215767690
2000-02-17,2148338100
2000-02-18,2115407370
2000-02-22,2225176470
2000-02-23,2207927040
2000-02-24,2165587530
2000-02-25,2098157940
2000-02-28,2107566720
2000-02-29,2107566720
2000-03-01,2325536790
2000-03-02,2714433030
2000-03-03,2957493180
2000-03-06,2907313020
2000-03-07,3236620320
2000-03-08,3539269410
2000-03-09,3489089250
2000-03-10,3481248600
2000-03-13,3371479500
2000-03-14,3092352360
2000-03-15,3076671060
2000-03-16,3109601789
2000-03-17,3024922770
2000-03-20,2999832690
2000-03-21,2822634000
2000-03-22,2822634000
2000-03-23,2957493180
2000-03-24,2949652530
2000-03-27,2874382289
2000-03-28,2780294490
2000-03-29,2654844090
2000-03-30,2647003440
2000-03-31,2747363760
2000-04-03,2683509600
2000-04-04,2616421860
2000-04-05,2658546720
2000-04-06,2700671580
2000-04-07,2875411740
2000-04-10,2825485980
2000-04-11,2766199140
2000-04-12,2658546720
2000-04-13,2641384740
2000-04-14,2482246380
2000-04-17,2472885300
2000-04-18,2557135020
2000-04-19,2557135020
2000-04-20,2574297000
2000-04-24,2524371240
2000-04-25,2666347620
2000-04-26,2666347620
2000-04-27,2616421860
2000-04-28,2599259880
2000-05-01,2599259880
2000-05-02,2683509600
