,ES
2000-01-03,2806978616
2000-01-04,2806978616
2000-01-05,2823258821
2000-01-06,2857175914
2000-01-07,2882952905
2000-01-10,2857175914
2000-01-11,2849035812
2000-01-12,2866672700
2000-01-13,2840895709
2000-01-14,2798838514
2000-01-18,2731004328
2000-01-19,2731004328
2000-01-20,2798838514
2000-01-21,2789341728
2000-01-24,2679450347
2000-01-25,2697087235
2000-01-26,2747284533
2000-01-27,2789341728
2000-01-28,2773061523
2000-01-31,2781201626
2000-02-01,2755424635
2000-02-02,2755424635
2000-02-03,2773061523
2000-02-04,2739144430
2000-02-07,2739144430
2000-02-08,2731004328
2000-02-09,2747284533
2000-02-10,2697087235
2000-02-11,2629253049
2000-02-14,2619756263
2000-02-15,2603476058
2000-02-16,2569558965
2000-02-17,2603476058
2000-02-18,2569558965
2000-02-22,2501724779
2000-02-23,2543781975
2000-02-24,2484087891
2000-02-25,2475947789
2000-02-28,2551922077
2000-02-29,2551922077
2000-03-01,2603476058
2000-03-02,2629253049
2000-03-03,2645533254
2000-03-06,2603476058
2000-03-07,2645533254
2000-03-08,2663170142
2000-03-09,2629253049
2000-03-10,2697087235
2000-03-13,2653673356
2000-03-14,2629253049
2000-03-15,2629253049
2000-03-16,2687590449
2000-03-17,2697087235
2000-03-20,2731004328
2000-03-21,2721507542
2000-03-22,2731004328
2000-03-23,2798838514
2000-03-24,2781201626
2000-03-27,2832755607
2000-03-28,2840895709
2000-03-29,2832755607
2000-03-30,2857175914
2000-03-31,3080616599
2000-04-03,3008974353
2000-04-04,3008974353
2000-04-05,2991780213
2000-04-06,3000377283
2000-04-07,3008974353
2000-04-10,3063422460
2000-04-11,3036198406
2000-04-12,3063422460
2000-04-13,3080616599
2000-04-14,3099243583
2000-04-17,3089213669
2000-04-18,3008974353
2000-04-19,3080616599
2000-04-20,3072019529
2000-04-24,3063422460
2000-04-25,3107840653
2000-04-26,3135064706
2000-04-27,3099243583
2000-04-28,3080616599
2000-05-01,3036198406
2000-05-02,3027601337
2000-05-03,3017571422
2000-05-04,3089213669
2000-05-05,3116437722
2000-05-08,3179482899
2000-05-09,3188079969
2000-05-10,3170885830
2000-05-11,3215304022
2000-05-12,3206706953
2000-05-15,3135064706
2000-05-16,3196677038
2000-05-17,3125034792
2000-05-18,3080616599
2000-05-19,3179482899
2000-05-22,3152258846
2000-05-23,3135064706
2000-05-24,3188079969
2000-05-25,3170885830
2000-05-26,3170885830
2000-05-30,3143661776
2000-05-31,3170885830
2000-06-01,3152258846
2000-06-02,3125034792
2000-06-05,3089213669
2000-06-06,3188079969
2000-06-07,3125034792
2000-06-08,3160855915
2000-06-09,3206706953
2000-06-12,3215304022
2000-06-13,3242528076
2000-06-14,3206706953
2000-06-15,3268319285
2000-06-16,3295543339
2000-06-19,3268319285
2000-06-20,3242528076
2000-06-21,3278349199
2000-06-22,3196677038
2000-06-23,3242528076
2000-06-26,3223901092
2000-06-27,3179482899
2000-06-28,3215304022
2000-06-29,3179482899
2000-06-30,3121889447
2000-07-03,3149161125
2000-07-05,3185044911
2000-07-06,3220928698
2000-07-07,3229540807
2000-07-10,3274036703
2000-07-11,3274036703
2000-07-12,3256812485
2000-07-13,3265424594
2000-07-14,3166385342
2000-07-17,3238152916
2000-07-18,3238152916
2000-07-19,3274036703
2000-07-20,3256812485
2000-07-21,3220928698
2000-07-24,3193657020
2000-07-25,3193657020
2000-07-26,3177868154
2000-07-27,3166385342
2000-07-28,3176432803
2000-07-31,3176432803
2000-08-01,3220928698
2000-08-02,3229540807
2000-08-03,3268295297
2000-08-04,3265424594
2000-08-07,3304179083
2000-08-08,3345804276
2000-08-09,3364463845
2000-08-10,3357287088
2000-08-11,3357287088
2000-08-14,3319967950
2000-08-15,3328580058
2000-08-16,3355851736
2000-08-17,3309920489
2000-08-18,3319967950
2000-08-21,3292696272
2000-08-22,3301308381
2000-08-23,3265424594
2000-08-24,3238152916
2000-08-25,3193657020
2000-08-28,3238152916
2000-08-29,3248200376
