,FIS
2001-06-20,891580080
2001-06-21,951655920
2001-06-22,955069320
2001-06-25,988520640
2001-06-26,987155280
2001-06-27,992616720
2001-06-28,1026068040
2001-06-29,1044500400
2001-07-02,1049855400
2001-07-03,1051913940
2001-07-05,1048483040
2001-07-06,1125335200
2001-07-09,1121904300
2001-07-10,1071126980
2001-07-11,1069068440
2001-07-12,1104749800
2001-07-13,1087595300
2001-07-16,1077988780
2001-07-17,1109553060
2001-07-18,1106122160
2001-07-19,1084164400
2001-07-20,1086222940
2001-07-23,1088281480
2001-07-24,1086909120
2001-07-25,1108180700
2001-07-26,1122590480
2001-07-27,1145234420
2001-07-30,1185719040
2001-07-31,1238554900
2001-08-01,1274922440
2001-08-02,1264629740
2001-08-03,1224831300
2001-08-06,1205618260
2001-08-07,1217283320
2001-08-08,1218655680
2001-08-09,1219341860
2001-08-10,1205618260
2001-08-13,1200128820
2001-08-14,1229634560
2001-08-15,1200128820
2001-08-16,1200128820
2001-08-17,1209049160
2001-08-20,1200815000
2001-08-21,1211793880
2001-08-22,1218655680
2001-08-23,1215224780
2001-08-24,1213166240
2001-08-27,1224831300
2001-08-28,1214538600
2001-08-29,1227576020
2001-08-30,1237868720
2001-08-31,1288646040
2001-09-04,1309231440
2001-09-05,1264629740
2001-09-06,1237868720
2001-09-07,1224145120
2001-09-10,1228262200
2001-09-17,1128766100
2001-09-18,1153468580
2001-09-19,1156213300
2001-09-20,1120531940
2001-09-21,1111611600
2001-09-24,1104063620
2001-09-25,1077302600
2001-09-26,959965820
2001-09-27,936635700
2001-09-28,973689420
2001-10-01,1062633240
2001-10-02,1053680400
2001-10-03,1099821960
2001-10-04,1166623920
2001-10-05,1136322000
2001-10-08,1072963440
2001-10-09,1125303120
2001-10-10,1119793680
2001-10-11,1083982320
2001-10-12,1046793600
2001-10-15,1091557800
2001-10-16,1080538920
2001-10-17,1079161560
2001-10-18,1108774800
2001-10-19,1106708760
2001-10-22,1110840840
2001-10-23,1123925760
2001-10-24,1130123880
2001-10-25,1129435200
2001-10-26,1127369160
2001-10-29,1110152160
2001-10-30,1045416240
2001-10-31,1072963440
2001-11-01,1049548320
2001-11-02,1045416240
2001-11-05,1055057760
2001-11-06,1051614360
2001-11-07,1053680400
2001-11-08,1075718160
2001-11-09,1059878520
2001-11-12,1081916280
2001-11-13,1092246480
2001-11-14,1106708760
2001-11-15,1125303120
2001-11-16,1130812560
2001-11-19,1159737120
2001-11-20,1142520120
2001-11-21,1148029560
2001-11-23,1148029560
2001-11-26,1148029560
2001-11-27,1148029560
2001-11-28,1137010680
2001-11-29,1128746520
2001-11-30,1107397440
2001-12-03,1095689880
2001-12-04,1099821960
2001-12-05,1154916360
2001-12-06,1148029560
2001-12-07,1156293720
2001-12-10,1164557880
2001-12-11,1184529600
2001-12-12,1202435280
2001-12-13,1212765480
2001-12-14,1242378720
2001-12-17,1249265520
2001-12-18,1285076880
2001-12-19,1246510800
2001-12-20,1266482520
