,JPM
2000-01-03,59411469000
2000-01-04,57678075000
2000-01-05,57324072000
2000-01-06,58141941000
2000-01-07,59203950000
2000-01-10,58190769000
2000-01-11,56811378000
2000-01-12,57165381000
2000-01-13,58032078000
2000-01-14,60119475000
2000-01-18,57775731000
2000-01-19,60326994000
2000-01-20,59411469000
2000-01-21,59362641000
2000-01-24,59411469000
2000-01-25,60729825000
2000-01-26,63635091000
2000-01-27,65661453000
2000-01-28,62414391000
2000-01-31,65661453000
2000-02-01,68151681000
2000-02-02,67040844000
2000-02-03,67700022000
2000-02-04,66528150000
2000-02-07,66882153000
2000-02-08,69225897000
2000-02-09,67443675000
2000-02-10,67651194000
2000-02-11,67236156000
2000-02-14,64343097000
2000-02-15,65966628000
2000-02-16,64697100000
2000-02-17,63781575000
2000-02-18,60827481000
2000-02-22,62866050000
2000-02-23,62963706000
2000-02-24,61852869000
2000-02-25,61743006000
2000-02-28,63427572000
2000-02-29,64794756000
2000-03-01,66735669000
2000-03-02,65563797000
2000-03-03,66015456000
2000-03-06,67907541000
2000-03-07,66576978000
2000-03-08,65002275000
2000-03-09,66015456000
2000-03-10,64037922000
2000-03-13,65160966000
2000-03-14,64294269000
2000-03-15,67651194000
2000-03-16,73339656000
2000-03-17,74059869000
2000-03-20,70446597000
2000-03-21,75280569000
2000-03-22,74511528000
2000-03-23,80163369000
2000-03-24,78283491000
2000-03-27,77062791000
2000-03-28,76696581000
2000-03-29,73547175000
2000-03-30,70800600000
2000-03-31,70790714000
2000-04-03,75101726000
2000-04-04,70230526000
2000-04-05,70120924000
2000-04-06,70985562000
2000-04-07,70120924000
2000-04-10,71545750000
2000-04-11,69816474000
2000-04-12,70486264000
2000-04-13,68598674000
2000-04-14,64031924000
2000-04-17,63837076000
2000-04-18,65359326000
2000-04-19,63325600000
2000-04-20,62765412000
2000-04-24,60682974000
2000-04-25,63374312000
2000-04-26,62059088000
2000-04-27,59976650000
2000-04-28,58551824000
2000-05-01,59879226000
2000-05-02,61803350000
2000-05-03,60281100000
2000-05-04,59465174000
2000-05-05,58612714000
2000-05-08,58454400000
2000-05-09,57541050000
2000-05-10,55811774000
2000-05-11,56834726000
2000-05-12,58149950000
2000-05-15,60585550000
2000-05-16,60281100000
2000-05-17,59879226000
2000-05-18,60987424000
2000-05-19,58856274000
2000-05-22,58612714000
2000-05-23,59367750000
2000-05-24,58149950000
2000-05-25,57029574000
2000-05-26,57236600000
2000-05-30,59672200000
2000-05-31,60634262000
2000-06-01,62619276000
2000-06-02,65505462000
2000-06-05,64445976000
2000-06-06,62509674000
2000-06-07,62412250000
2000-06-08,61852062000
2000-06-09,59526064000
2000-06-12,59221614000
2000-06-13,58685782000
2000-06-14,60963068000
2000-06-15,57845500000
2000-06-16,55336832000
2000-06-19,57090464000
2000-06-20,58381332000
2000-06-21,57090464000
2000-06-22,56481564000
2000-06-23,56700768000
2000-06-26,57918568000
2000-06-27,58381332000
2000-06-28,57236600000
2000-06-29,58003814000
2000-06-30,58371838000
2000-07-03,60272788000
2000-07-05,60513575000
2000-07-06,60830400000
2000-07-07,63441038000
2000-07-10,63048175000
2000-07-11,64315475000
2000-07-12,64074688000
2000-07-13,64315475000
2000-07-14,66774037000
2000-07-17,65975638000
2000-07-18,64556262000
2000-07-19,64239437000
2000-07-20,67331649000
2000-07-21,66774037000
2000-07-24,65341988000
2000-07-25,64949125000
2000-07-26,62579274000
2000-07-27,63212924000
2000-07-28,61311974000
2000-07-31,62972137000
2000-08-01,65582775000
2000-08-02,65189912000
2000-08-03,65265950000
2000-08-04,66457212000
2000-08-07,68193413000
2000-08-08,67800550000
2000-08-09,66292463000
2000-08-10,65747524000
2000-08-11,65899600000
2000-08-14,67166900000
2000-08-15,65658813000
2000-08-16,63846574000
2000-08-17,64239437000
2000-08-18,64239437000
2000-08-21,64556262000
2000-08-22,66533250000
2000-08-23,67648474000
2000-08-24,67483725000
2000-08-25,65975638000
2000-08-28,66697999000
2000-08-29,65747524000
2000-08-30,67483725000
2000-08-31,70816724000
2000-09-01,71361663000
2000-09-05,72400849000
2000-09-06,71602450000
2000-09-07,72552925000
2000-09-08,73262613000
2000-09-11,72869750000
2000-09-12,71044838000
2000-09-13,64239437000
2000-09-14,63757863000
2000-09-15,62262449000
2000-09-18,59170237000
2000-09-19,59411024000
2000-09-20,58929450000
2000-09-21,57826899000
2000-09-22,59955963000
2000-09-25,60196750000
2000-09-26,58371838000
2000-09-27,57586112000
2000-09-28,59411024000
2000-09-29,58536587000
2000-10-02,91603285687
2000-10-03,90156918018
2000-10-04,87862014651
2000-10-05,85702105599
2000-10-06,82693660848
2000-10-09,81112298863
2000-10-10,78701686082
2000-10-11,78470267255
2000-10-12,72916215407
2000-10-13,76541777030
2000-10-16,76291073301
2000-10-17,73166919136
2000-10-18,71122719498
2000-10-19,75095409361
2000-10-20,74015454835
2000-10-23,74015454835
2000-10-24,77255318413
2000-10-25,77139609000
2000-10-26,77139609000
2000-10-27,82327247705
2000-10-30,84371447343
2000-10-31,87746305237
2000-11-01,88112718380
2000-11-02,87746305237
2000-11-03,85702105599
2000-11-06,87746305237
2000-11-07,86666350711
2000-11-08,84005034201
2000-11-09,85104273629
2000-11-10,82558666532
2000-11-13,81247293179
2000-11-14,82076543976
2000-11-15,78585976668
2000-11-16,78836680398
2000-11-17,76426067616
2000-11-20,74362583076
2000-11-21,74613286805
2000-11-22,72202674024
2000-11-24,75461822504
2000-11-27,75943945060
2000-11-28,73282628550
2000-11-29,73166919136
2000-11-30,71122719498
2000-12-01,71951970294
2000-12-04,73166919136
2000-12-05,79665931194
2000-12-06,77255318413
2000-12-07,75577531917
2000-12-08,77139609000
2000-12-11,81960834562
2000-12-12,82925079675
2000-12-13,85817815012
2000-12-14,82693660848
2000-12-15,84737860486
2000-12-18,87514886410
2000-12-19,86415646982
2000-12-20,83889324787
2000-12-21,87148473267
2000-12-22,87997008966
2000-12-26,88228427793
2000-12-27,89443376635
2000-12-28,90523331161
2000-12-29,87630595824
2001-01-02,86530400000
2001-01-03,99568958000
2001-01-04,102263200000
2001-01-05,96245404000
2001-01-08,96855050000
2001-01-09,95753754000
2001-01-10,100178604000
2001-01-11,106452058000
2001-01-12,104839446000
2001-01-16,104603454000
2001-01-17,104229800000
2001-01-18,101161904000
2001-01-19,99431296000
2001-01-22,100060608000
2001-01-23,101653554000
2001-01-24,104721450000
2001-01-25,104347796000
2001-01-26,106570054000
2001-01-29,108398992000
2001-01-30,110090268000
2001-01-31,108143334000
2001-02-01,109834610000
2001-02-02,107455024000
2001-02-05,107376360000
2001-02-06,102813848000
2001-02-07,102912178000
2001-02-08,101633888000
2001-02-09,102164870000
2001-02-12,103344830000
2001-02-13,100571924000
2001-02-14,100670254000
2001-02-15,100512926000
2001-02-16,102243534000
2001-02-20,98231670000
2001-02-21,93118510000
2001-02-22,94986780000
2001-02-23,92528530000
2001-02-26,95478430000
2001-02-27,93610160000
2001-02-28,91761556000
2001-03-01,90679926000
2001-03-02,90070280000
2001-03-05,91958216000
2001-03-06,94318136000
2001-03-07,98821650000
2001-03-08,98801984000
2001-03-09,96265070000
2001-03-12,89460634000
2001-03-13,93216840000
2001-03-14,86038750000
2001-03-15,89008316000
2001-03-16,87671028000
2001-03-19,88791990000
2001-03-20,83757494000
2001-03-21,79057320000
2001-03-22,76520406000
2001-03-23,82026886000
2001-03-26,82813526000
2001-03-27,85271776000
2001-03-28,83678830000
2001-03-29,84563800000
2001-03-30,88300340000
2001-04-02,88236640000
2001-04-03,82301440000
2001-04-04,80105416000
2001-04-05,84082000000
2001-04-06,79907576000
2001-04-09,79966928000
2001-04-10,85664720000
2001-04-11,88513616000
2001-04-12,89760008000
2001-04-16,90017200000
2001-04-17,89760008000
2001-04-18,97139440000
2001-04-19,96545920000
2001-04-20,94567520000
2001-04-23,93578320000
2001-04-24,93776160000
2001-04-25,93934432000
2001-04-26,95952400000
2001-04-27,98623240000
2001-04-30,94923632000
2001-05-01,96407432000
2001-05-02,98069288000
2001-05-03,96941600000
2001-05-04,100107040000
2001-05-07,97337280000
2001-05-08,94468600000
2001-05-09,93479400000
2001-05-10,93993784000
2001-05-11,91876896000
2001-05-14,94250976000
2001-05-15,93538752000
2001-05-16,95576504000
2001-05-17,95339096000
2001-05-18,95279744000
2001-05-21,97792312000
2001-05-22,98959568000
2001-05-23,96783328000
2001-05-24,97614256000
2001-05-25,96348080000
2001-05-29,97594472000
2001-05-30,96189808000
2001-05-31,97238360000
2001-06-01,96723976000
2001-06-04,97930800000
2001-06-05,95952400000
2001-06-06,92668256000
2001-06-07,90274392000
2001-06-08,87445280000
2001-06-11,87405712000
2001-06-12,86040616000
2001-06-13,86851760000
2001-06-14,86238456000
2001-06-15,88830160000
2001-06-18,87662904000
2001-06-19,88078368000
2001-06-20,90215040000
2001-06-21,93222208000
2001-06-22,90808560000
2001-06-25,90650288000
2001-06-26,88394912000
2001-06-27,87089168000
2001-06-28,89028000000
2001-06-29,88236640000
2001-07-02,90468740000
2001-07-03,90172445000
2001-07-05,89935409000
2001-07-06,87920603000
2001-07-09,86893447000
2001-07-10,82982353000
2001-07-11,83061365000
2001-07-12,84029262000
2001-07-13,84049015000
2001-07-16,81382360000
2001-07-17,83555190000
2001-07-18,86083574000
2001-07-19,86320610000
2001-07-20,85728020000
2001-07-23,84957653000
2001-07-24,84305804000
2001-07-25,84740370000
2001-07-26,85411972000
2001-07-27,87328013000
2001-07-30,86537893000
2001-07-31,85530490000
2001-08-01,85925550000
2001-08-02,85925550000
2001-08-03,85569996000
2001-08-06,84463828000
2001-08-07,84483581000
2001-08-08,83120624000
2001-08-09,82765070000
2001-08-10,83456425000
2001-08-13,83199636000
2001-08-14,83456425000
2001-08-15,83258895000
2001-08-16,83318154000
2001-08-17,81935444000
2001-08-20,81165077000
2001-08-21,79821873000
2001-08-22,81382360000
2001-08-23,80434216000
2001-08-24,80849029000
2001-08-27,81184830000
2001-08-28,79979897000
2001-08-29,78162621000
2001-08-30,77510772000
2001-08-31,77826820000
2001-09-04,78676199000
2001-09-05,75752755000
2001-09-06,72967582000
2001-09-07,73086100000
2001-09-10,73599678000
2001-09-17,69629325000
2001-09-18,68819452000
2001-09-19,67377483000
2001-09-20,62340468000
2001-09-21,60878746000
2001-09-24,64355274000
2001-09-25,65678725000
2001-09-26,64375027000
2001-09-27,65421935999
2001-09-28,67456495000
2001-10-01,66949400000
2001-10-02,68898809000
2001-10-03,68268697000
2001-10-04,67264455999
2001-10-05,65787630999
2001-10-08,63877603999
2001-10-09,64881845000
2001-10-10,65748249000
2001-10-11,65807322000
2001-10-12,64763699000
2001-10-15,66063304999
2001-10-16,66831253999
2001-10-17,68130860000
2001-10-18,67225074000
2001-10-19,66693416999
2001-10-22,69528921000
2001-10-23,70415016000
2001-10-24,71320802000
2001-10-25,73801868000
2001-10-26,73939705000
2001-10-29,70316561000
2001-10-30,69922741000
2001-10-31,69627376000
2001-11-01,71557094000
2001-11-02,70966364000
2001-11-05,71596476000
2001-11-06,73920014000
2001-11-07,75987569000
2001-11-08,76401080000
2001-11-09,76893355000
2001-11-12,76401080000
2001-11-13,77484085000
2001-11-14,78074815000
2001-11-15,77877905000
2001-11-16,77602231000
2001-11-19,78960910000
2001-11-20,77582540000
2001-11-21,76479844000
2001-11-23,77562849000
2001-11-26,77759759000
2001-11-27,78370180000
2001-11-28,73841250000
2001-11-29,74943946000
2001-11-30,74274452000
2001-12-03,71970605000
2001-12-04,73289902000
2001-12-05,76834282000
2001-12-06,79512258000
2001-12-07,78311107000
2001-12-10,76164788000
2001-12-11,75810350000
2001-12-12,75554367000
2001-12-13,73033919000
2001-12-14,70966364000
2001-12-17,72265970000
2001-12-18,73230829000
2001-12-19,74825800000
2001-12-20,71911532000
2001-12-21,70395325000
2001-12-24,70966364000
