,NSI
2013-07-18,1798917.15
2013-07-19,1798917.15
2013-07-22,1798917.15
2013-07-23,1798917.15
2013-07-24,1798917.15
2013-07-25,1798917.15
2013-07-26,1798917.15
2013-07-29,1798917.15
2013-07-30,1798917.15
2013-07-31,1798917.15
2013-08-01,1798917.15
2013-08-02,1798917.15
2013-08-05,1798917.15
2013-08-06,1798917.15
2013-08-07,1798917.15
2013-08-08,1798917.15
2013-08-09,1798917.15
2013-08-12,1798917.15
2013-08-13,1798917.15
2013-08-14,1798917.15
2013-08-15,1798917.15
2013-08-16,1798917.15
2013-08-19,1798917.15
2013-08-20,1798917.15
2013-08-21,1798917.15
2013-08-22,1798917.15
2013-08-23,1798917.15
2013-08-26,1798917.15
2013-08-27,1798917.15
2013-08-28,1798917.15
2013-08-29,1798917.15
2013-08-30,1798917.15
2013-09-03,1798917.15
2013-09-04,1798917.15
2013-09-05,1798917.15
2013-09-06,1798917.15
2013-09-09,1798917.15
2013-09-10,1798917.15
2013-09-11,1798917.15
2013-09-12,1798917.15
2013-09-13,1798917.15
2013-09-16,1798917.15
2013-09-17,1798917.15
2013-09-18,1798917.15
2013-09-19,1798917.15
2013-09-20,1798917.15
2013-09-23,1798917.15
2013-09-24,1798917.15
2013-09-25,1798917.15
2013-09-26,1798917.15
2013-09-27,1798917.15
2013-09-30,1798917.15
2013-10-01,1798917.15
2013-10-02,1798917.15
2013-10-03,1798917.15
2013-10-04,1798917.15
2013-10-07,1798917.15
2013-10-08,1798917.15
2013-10-09,1798917.15
2013-10-10,1798917.15
2013-10-11,1798917.15
2013-10-14,1798917.15
2013-10-15,1798917.15
2013-10-16,1798917.15
2013-10-17,1798917.15
2013-10-18,1798917.15
2013-10-21,1798917.15
2013-10-22,1798917.15
2013-10-23,1798917.15
2013-10-24,1798917.15
2013-10-25,1798917.15
2013-10-28,1798917.15
2013-10-29,1798917.15
2013-10-30,1798917.15
2013-10-31,1798917.15
2013-11-01,1798917.15
2013-11-04,1798917.15
2013-11-05,1798917.15
2013-11-06,1798917.15
2013-11-07,1798917.15
2013-11-08,1798917.15
2013-11-11,1798917.15
2013-11-12,1798917.15
2013-11-13,1798917.15
2013-11-14,1798917.15
2013-11-15,1798917.15
2013-11-18,1798917.15
2013-11-19,1798917.15
2013-11-20,1798917.15
2013-11-21,1589259.18
2013-11-22,1615142.88
2013-11-25,1615142.88
2013-11-26,1615142.88
2013-11-27,1615142.88
2013-11-29,1615142.88
2013-12-02,1615142.88
2013-12-03,1615142.88
2013-12-04,1615142.88
2013-12-05,1615142.88
2013-12-06,1615142.88
2013-12-09,1615142.88
2013-12-10,1615142.88
2013-12-11,1615142.88
2013-12-12,1615142.88
2013-12-13,1615142.88
2013-12-16,1615142.88
2013-12-17,1615142.88
2013-12-18,1615142.88
2013-12-19,1615142.88
2013-12-20,1615142.88
2013-12-23,1591847.55
2013-12-24,1591847.55
2013-12-26,1565963.85
2013-12-27,1565963.85
2013-12-30,1565963.85
2013-12-31,1565963.85
2014-01-02,1565963.85
2014-01-03,1565963.85
2014-01-06,1565963.85
2014-01-07,1565963.85
2014-01-08,1604789.4
2014-01-09,1604789.4
2014-01-10,1604789.4
2014-01-13,1609966.14
2014-01-14,1609966.14
2014-01-15,1609966.14
2014-01-16,1609966.14
2014-01-17,1617731.25
2014-01-21,1617731.25
2014-01-22,1620319.62
2014-01-23,1620319.62
2014-01-24,1604789.4
2014-01-27,1604789.4
2014-01-28,1604789.4
2014-01-29,1604789.4
2014-01-30,1604789.4
2014-01-31,1604789.4
2014-02-03,1501254.6
2014-02-04,1501254.6
2014-02-05,1501254.6
2014-02-06,1501254.6
2014-02-07,1501254.6
2014-02-10,1501254.6
2014-02-11,1501254.6
2014-02-12,1565963.85
2014-02-13,1565963.85
2014-02-14,1565963.85
2014-02-18,1565963.85
2014-02-19,1620319.62
2014-02-20,1620319.62
2014-02-21,1620319.62
2014-02-24,1620319.62
2014-02-25,1620319.62
2014-02-26,1620319.62
2014-02-27,1560787.11
2014-02-28,1581494.07
2014-03-03,1581494.07
2014-03-04,1581494.07
2014-03-05,1581494.07
2014-03-06,1581494.07
2014-03-07,1581494.07
2014-03-10,1581494.07
2014-03-11,1581494.07
2014-03-12,1581494.07
2014-03-13,1581494.07
2014-03-14,1581494.07
2014-03-17,1581494.07
2014-03-18,1560787.11
2014-03-19,1560787.11
2014-03-20,1560787.11
2014-03-21,1503842.97
2014-03-24,1503842.97
2014-03-25,1503842.97
2014-03-26,1503842.97
2014-03-27,1503842.97
2014-03-28,1503842.97
2014-03-31,1503842.97
2014-04-01,1503842.97
2014-04-02,1503842.97
2014-04-03,1503842.97
2014-04-04,1503842.97
2014-04-07,1503842.97
2014-04-08,1503842.97
2014-04-09,1514196.45
2014-04-10,1514196.45
2014-04-11,1501254.6
