,UPS
2000-01-03,80176147039
2000-01-04,77641499980
2000-01-05,81299999980
2000-01-06,81299999980
2000-01-07,79363147039
2000-01-10,80176147039
2000-01-11,78012132333
2000-01-12,80558735274
2000-01-13,81670632332
2000-01-14,82567323509
2000-01-18,82124955862
2000-01-19,81598897038
2000-01-20,82352117626
2000-01-21,80403308803
2000-01-24,78908823510
2000-01-25,78765352921
2000-01-26,77868661745
2000-01-27,77868661745
2000-01-28,77641499980
2000-01-31,71735294100
2000-02-01,73385205864
2000-02-02,69643014688
2000-02-03,68901749983
2000-02-04,67407264689
2000-02-07,66654044101
2000-02-08,70994029394
2000-02-09,69344117630
2000-02-10,68220264689
2000-02-11,65912779395
2000-02-14,65016088219
2000-02-15,65685617630
2000-02-16,66952941160
2000-02-17,69344117630
2000-02-18,68076794100
2000-02-22,65757352925
2000-02-23,65685617630
2000-02-24,64633499984
2000-02-25,66355147042
2000-02-28,65757352925
2000-02-29,65314985278
2000-03-01,62768382337
2000-03-02,63736808807
2000-03-03,62995544102
2000-03-06,63067279396
2000-03-07,60532632338
2000-03-08,64932397042
2000-03-09,63366176455
2000-03-10,63892235278
2000-03-13,63067279396
2000-03-14,62840117631
2000-03-15,65685617630
2000-03-16,67251838218
2000-03-17,66355147042
2000-03-20,67622470571
2000-03-21,69571279394
2000-03-22,68005058806
2000-03-23,71292926453
2000-03-24,76218749981
2000-03-27,75549220569
2000-03-28,72034191158
2000-03-29,70611441159
2000-03-30,70013647041
2000-03-31,71755901620
2000-04-03,67654262277
2000-04-04,65865491786
2000-04-05,66298442605
2000-04-06,68223934408
2000-04-07,69363278670
2000-04-10,72918032768
2000-04-11,71995163915
2000-04-12,70069672113
2000-04-13,68645491785
2000-04-14,62663934410
2000-04-17,66081967196
2000-04-18,69146803260
2000-04-19,67289672113
2000-04-20,72348360637
2000-04-24,71357131129
2000-04-25,75698032767
2000-04-26,75413196701
2000-04-27,75128360636
2000-04-28,75766393423
2000-05-01,73202868833
2000-05-02,72701557358
2000-05-03,71072295063
2000-05-04,69431639326
2000-05-05,68223934408
2000-05-08,69568360637
2000-05-09,71209016375
2000-05-10,69283524572
2000-05-11,69784836047
2000-05-12,70138032768
2000-05-15,72131885227
2000-05-16,70639344244
2000-05-17,70992540965
2000-05-18,70787458998
2000-05-19,70502622932
2000-05-22,70001311457
2000-05-23,70502622932
2000-05-24,67939098343
2000-05-25,67084590146
2000-05-26,65159098343
2000-05-30,67289672113
2000-05-31,68223934408
2000-06-01,70069672113
2000-06-02,69499999982
2000-06-05,70138032768
2000-06-06,70354508178
2000-06-07,70707704899
2000-06-08,68645491785
2000-06-09,67574508179
2000-06-12,67608688507
2000-06-13,69853196703
2000-06-14,69784836047
2000-06-15,71072295063
2000-06-16,70354508178
2000-06-19,70787458998
2000-06-20,70001311457
2000-06-21,70354508178
2000-06-22,71710327850
2000-06-23,70001311457
2000-06-26,69215163916
2000-06-27,68508770474
2000-06-28,67939098343
2000-06-29,68645491785
2000-06-30,66701322609
2000-07-03,67301419383
2000-07-05,69067741965
2000-07-06,69418741965
2000-07-07,68716741964
2000-07-10,69067741965
2000-07-11,68852612932
2000-07-12,68716741964
2000-07-13,68286483900
2000-07-14,68931870997
2000-07-17,68433677448
2000-07-18,68784677448
2000-07-19,69350806481
2000-07-20,67437290351
2000-07-21,67369354867
2000-07-24,66803225835
2000-07-25,66452225834
2000-07-26,65818161318
2000-07-27,65818161318
2000-07-28,64968967769
2000-07-31,66520161318
2000-08-01,66021967770
2000-08-02,65886096802
2000-08-03,65603032286
2000-08-04,65319967769
2000-08-07,64968967769
2000-08-08,64402838737
2000-08-09,63123387123
2000-08-10,66237096802
2000-08-11,66803225835
2000-08-14,66384290350
2000-08-15,65535096802
2000-08-16,64889709705
2000-08-17,64255645188
2000-08-18,63621580672
2000-08-21,63191322607
2000-08-22,63689516156
2000-08-23,63123387123
2000-08-24,63904645188
2000-08-25,65252032285
2000-08-28,64255645188
2000-08-29,63689516156
2000-08-30,62421387123
2000-08-31,62772387123
2000-09-01,63270580672
2000-09-05,62908258091
2000-09-06,63191322607
2000-09-07,61776000026
2000-09-08,60360677445
2000-09-11,59307677444
2000-09-12,60643741961
2000-09-13,62274193575
2000-09-14,62772387123
2000-09-15,62704451639
2000-09-18,60009677445
2000-09-19,59443548412
2000-09-20,61141935510
2000-09-21,62557258091
2000-09-22,63406451640
2000-09-25,64255645188
2000-09-26,64470774221
2000-09-27,64119774220
2000-09-28,64889709705
2000-09-29,63836709704
2000-10-02,64325795943
2000-10-03,64257714311
2000-10-04,66663265332
2000-10-05,66379591863
2000-10-06,65880326556
2000-10-09,64541387780
2000-10-10,66810775536
2000-10-11,65244897985
2000-10-12,62124489820
2000-10-13,64257714311
2000-10-16,63474775535
2000-10-17,62555673494
2000-10-18,60206857166
2000-10-19,68081632680
2000-10-20,70351020436
2000-10-23,69000734721
2000-10-24,67797959210
2000-10-25,67661795945
2000-10-26,67797959210
2000-10-27,67298693904
2000-10-30,69363836762
2000-10-31,68932653088
2000-11-01,67661795945
2000-11-02,69647510231
2000-11-03,68717061251
2000-11-06,68081632680
2000-11-07,68013551047
2000-11-08,67797959210
2000-11-09,66527102067
2000-11-10,66164000026
2000-11-13,66946938802
2000-11-14,67797959210
2000-11-15,66946938802
2000-11-16,66311510230
2000-11-17,67230612271
2000-11-20,67298693904
2000-11-21,68433387782
2000-11-22,68297224516
2000-11-24,69080163292
2000-11-27,69363836762
2000-11-28,69284408190
2000-11-29,68512816353
2000-11-30,68864571455
2000-12-01,69080163292
2000-12-04,68433387782
2000-12-05,69216326558
2000-12-06,70702775538
2000-12-07,69999265333
2000-12-08,72268653089
2000-12-11,72620408192
2000-12-12,72121142885
2000-12-13,71065877579
2000-12-14,66595183699
2000-12-15,65176816352
2000-12-18,64541387780
2000-12-19,63259183698
2000-12-20,61772734718
2000-12-21,60706122473
2000-12-22,64110204107
2000-12-26,65176816352
2000-12-27,65029306148
2000-12-28,67162530638
2000-12-29,66663265332
2001-01-02,63653020000
2001-01-03,68372240000
2001-01-04,68936740000
2001-01-05,68451270000
2001-01-08,68936740000
2001-01-09,68869000000
2001-01-10,66046500000
2001-01-11,66893250000
2001-01-12,66543260000
2001-01-16,67107760000
2001-01-17,67040020000
2001-01-18,68022250000
2001-01-19,67740000000
2001-01-22,68089990000
2001-01-23,68801260000
2001-01-24,68022250000
2001-01-25,68169020000
2001-01-26,68169020000
2001-01-29,68643200000
2001-01-30,69546400000
2001-01-31,69885100000
2001-02-01,69512530000
2001-02-02,68981900000
2001-02-05,68010960000
2001-02-06,67299690000
2001-02-07,67378720000
2001-02-08,67694840000
2001-02-09,67536780000
2001-02-12,67965800000
2001-02-13,67773870000
2001-02-14,67841610000
2001-02-15,67898060000
2001-02-16,67773870000
2001-02-20,67852900000
2001-02-21,66498100000
2001-02-22,65809410000
2001-02-23,65030400000
2001-02-26,65086850000
2001-02-27,65606190000
2001-02-28,63822370000
2001-03-01,63224000000
2001-03-02,64285260000
2001-03-05,65199750000
2001-03-06,64770730000
2001-03-07,65877150000
2001-03-08,66836800000
2001-03-09,66419070000
2001-03-12,64759440000
2001-03-13,64804600000
2001-03-14,64183650000
2001-03-15,63957850000
2001-03-16,62941750000
2001-03-19,63235290000
2001-03-20,62682080000
2001-03-21,65143300000
2001-03-22,63099810000
2001-03-23,62377250000
2001-03-26,63393350000
2001-03-27,63720760000
2001-03-28,63562700000
2001-03-29,63382060000
2001-03-30,64240100000
2001-04-02,62638660000
2001-04-03,59967670000
2001-04-04,59685920000
2001-04-05,60091640000
2001-04-06,61060860000
2001-04-09,60463550000
2001-04-10,61545470000
2001-04-11,61376420000
2001-04-12,61094670000
2001-04-16,60519900000
2001-04-17,60734030000
2001-04-18,61365150000
2001-04-19,64317890000
2001-04-20,65625210000
2001-04-23,63393750000
2001-04-24,63607880000
2001-04-25,64148840000
2001-04-26,63788200000
2001-04-27,64453130000
2001-04-30,64746150000
2001-05-01,65253300000
2001-05-02,65568860000
2001-05-03,65444890000
2001-05-04,65456160000
2001-05-07,65253300000
2001-05-08,64971550000
2001-05-09,64949010000
2001-05-10,65027900000
2001-05-11,65354730000
2001-05-14,64915200000
2001-05-15,65027900000
2001-05-16,65444890000
2001-05-17,67203010000
2001-05-18,67450950000
2001-05-21,67518569999
2001-05-22,67349520000
2001-05-23,66752210000
2001-05-24,66718400000
2001-05-25,66301410000
2001-05-29,66267600000
2001-05-30,66267600000
2001-05-31,67000150000
2001-06-01,65985850000
2001-06-04,65704100000
2001-06-05,65692830000
2001-06-06,65444890000
2001-06-07,65850610000
2001-06-08,65467430000
2001-06-11,64937740000
2001-06-12,64982819999
2001-06-13,64509480000
2001-06-14,63991060000
2001-06-15,63900900000
2001-06-18,63731850000
2001-06-19,63089460000
2001-06-20,63483910000
2001-06-21,64565830000
2001-06-22,64216460000
2001-06-25,63145810000
2001-06-26,62886600000
2001-06-27,63382480000
2001-06-28,64351700000
2001-06-29,65140600000
2001-07-02,65431860000
2001-07-03,65938560000
2001-07-05,65938560000
2001-07-06,65003980000
2001-07-09,65195400000
2001-07-10,64846340000
2001-07-11,64711220000
2001-07-12,65082800000
2001-07-13,65690840000
2001-07-16,65533200000
2001-07-17,65623280000
2001-07-18,65341780000
2001-07-19,65521940000
2001-07-20,64857600000
2001-07-23,64148220000
2001-07-24,63787900000
2001-07-25,64182000000
2001-07-26,64125700000
2001-07-27,63506400000
2001-07-30,63765380000
2001-07-31,63990580000
2001-08-01,64125700000
2001-08-02,63787900000
2001-08-03,63528920000
2001-08-06,63438840000
2001-08-07,63191120000
2001-08-08,63112300000
2001-08-09,62875840000
2001-08-10,63146080000
2001-08-13,63022220000
2001-08-14,62977180000
2001-08-15,62875840000
2001-08-16,62774500000
2001-08-17,62718200000
2001-08-20,62504260000
2001-08-21,62312840000
2001-08-22,62380400000
2001-08-23,62526780000
2001-08-24,63044740000
2001-08-27,62493000000
2001-08-28,62369140000
2001-08-29,62470480000
2001-08-30,61738580000
2001-08-31,62188980000
2001-09-04,62335360000
2001-09-05,62312840000
2001-09-06,61761100000
2001-09-07,60488720000
2001-09-10,59790600000
2001-09-17,56716620000
2001-09-18,56468900000
2001-09-19,53991700000
2001-09-20,55793300000
2001-09-21,55962200000
2001-09-24,56097320000
2001-09-25,57763800000
2001-09-26,55680700000
2001-09-27,55984720000
2001-09-28,58529480000
2001-10-01,56927681114
2001-10-02,56320632381
2001-10-03,57444796700
2001-10-04,58456544588
2001-10-05,58771310597
2001-10-08,57815770926
2001-10-09,57276172053
2001-10-10,58231711724
2001-10-11,59344634400
2001-10-12,57276172053
2001-10-15,57197480550
2001-10-16,57163755621
2001-10-17,57073822475
2001-10-18,56781539752
2001-10-19,57051339189
2001-10-22,57141272334
2001-10-23,57590938062
2001-10-24,57231205480
2001-10-25,56927681114
2001-10-26,57107547405
2001-10-29,57152513977
2001-10-30,56410565527
2001-10-31,57332380269
2001-11-01,57332380269
2001-11-02,57692112851
2001-11-05,58096812005
2001-11-06,59074834963
2001-11-07,59558225620
