,MTCH
2000-01-03,1278008068
2000-01-04,1174477534
2000-01-05,1130349765
2000-01-06,1177871977
2000-01-07,1171083090
2000-01-10,1310255283
2000-01-11,1223696968
2000-01-12,1157505315
2000-01-13,1269521958
2000-01-14,1191449752
2000-01-18,1223696968
2000-01-19,1223696968
2000-01-20,1257641405
2000-01-21,1300071952
2000-01-24,1186358087
2000-01-25,1267824736
2000-01-26,1210119193
2000-01-27,1247458074
2000-01-28,1208421971
2000-01-31,1165991424
2000-02-01,1172780312
2000-02-02,1218605302
2000-02-03,1284796955
2000-02-04,1320438614
2000-02-07,1332319167
2000-02-08,1296677508
2000-02-09,1254246961
2000-02-10,1281402511
2000-02-11,1203330305
2000-02-14,1172780312
2000-02-15,1174477534
2000-02-16,1140533096
2000-02-17,1130349765
2000-02-18,1062460890
2000-02-22,1064158112
2000-02-23,1126955321
2000-02-24,1104891437
2000-02-25,1121863656
2000-02-28,1016635900
2000-02-29,1053974781
2000-03-01,1037002562
2000-03-02,992874793
2000-03-03,1030213675
2000-03-06,1016635900
2000-03-07,921591475
2000-03-08,1013241456
2000-03-09,1028516453
2000-03-10,1089616440
2000-03-13,996269237
2000-03-14,940260915
2000-03-15,952141469
2000-03-16,1065855334
2000-03-17,1018333122
2000-03-20,953838690
2000-03-21,989480350
2000-03-22,1062460890
2000-03-23,1072644221
2000-03-24,1086221996
2000-03-27,1089616440
2000-03-28,1084524774
2000-03-29,1037002562
2000-03-30,997966459
2000-03-31,1203771718
2000-04-03,1169103093
2000-04-04,1103617911
2000-04-05,1086283599
2000-04-06,1176807232
2000-04-07,1186437406
2000-04-10,1223032066
2000-04-11,1163324989
2000-04-12,1113248085
2000-04-13,1016946348
2000-04-14,920644610
2000-04-17,999612035
2000-04-18,976499618
2000-04-19,953387201
2000-04-20,966869444
2000-04-24,963017375
2000-04-25,1053541008
2000-04-26,1086283599
2000-04-27,1203771718
2000-04-28,1226884135
2000-05-01,1219179996
2000-05-02,1205697753
2000-05-03,1163324989
2000-05-04,1190289475
2000-05-05,1230736205
2000-05-08,1172955162
2000-05-09,1155620850
2000-05-10,1172955162
2000-05-11,1192215510
