,ACN
2001-07-19,14175890330
2001-07-20,14026375337
2001-07-23,14017030650
2001-07-24,13886205030
2001-07-25,13970307214
2001-07-26,13549796295
2001-07-27,13559140982
2001-07-30,13736690037
2001-07-31,13979651901
2001-08-01,14484265005
2001-08-02,14390818134
2001-08-03,14157200956
2001-08-06,14110477521
2001-08-07,14484265005
2001-08-08,14017030650
2001-08-09,14484265005
2001-08-10,14194579704
2001-08-13,14026375337
2001-08-14,13736690037
2001-08-15,13820792220
2001-08-16,13129285375
2001-08-17,13568485669
2001-08-20,14344094698
2001-08-21,14446886256
2001-08-22,14334750011
2001-08-23,14250647827
2001-08-24,14390818134
2001-08-27,14465575630
2001-08-28,14353439385
2001-08-29,14026375337
2001-08-30,13970307214
2001-08-31,13923583779
2001-09-04,6313317297
2001-09-05,6120387575
2001-09-06,5952087179
2001-09-07,5960296954
2001-09-10,6218904880
2001-09-17,5993136056
2001-09-18,5972611618
2001-09-19,5726318355
2001-09-20,5315829584
2001-09-21,5233731830
2001-09-24,5418451777
2001-09-25,5254256268
2001-09-26,5007963006
2001-09-27,4864291936
2001-09-28,5233731830
2001-10-01,5213207391
2001-10-02,5163948739
2001-10-03,5315829584
2001-10-04,5537493520
2001-10-05,5562122847
2001-10-08,5430766440
2001-10-09,5500549531
2001-10-10,5611381499
2001-10-11,6223009768
2001-10-12,6793589160
2001-10-15,7183553492
2001-10-16,7163029053
2001-10-17,6970099331
2001-10-18,6855162475
2001-10-19,6916735791
2001-10-22,7183553492
2001-10-23,7232812145
2001-10-24,7282070797
2001-10-25,7282070797
2001-10-26,7232812145
2001-10-29,7204077931
2001-10-30,7121980176
2001-10-31,7212287706
2001-11-01,7516049397
2001-11-02,7491420070
2001-11-05,7429846755
2001-11-06,7376483214
2001-11-07,7758237771
2001-11-08,8189250981
2001-11-09,8189250981
2001-11-12,8000426146
2001-11-13,8538166436
2001-11-14,8295978061
2001-11-15,8312397612
2001-11-16,8636683741
2001-11-19,9030752962
2001-11-20,8722886383
2001-11-21,8353446489
2001-11-23,8435544244
2001-11-26,8825508576
2001-11-27,9235997347
2001-11-28,8969179646
2001-11-29,8796774362
2001-11-30,9277046224
2001-12-03,9379304346
2001-12-04,9911753937
2001-12-05,10915216629
2001-12-06,10751385986
2001-12-07,10182074499
2001-12-10,10075584581
2001-12-11,10141116838
2001-12-12,10309043248
2001-12-13,9543134989
2001-12-14,9686486802
2001-12-17,10427820465
2001-12-18,10628513003
2001-12-19,10661279132
2001-12-20,11079047273
2001-12-21,10710428325
2001-12-24,10653087600
2001-12-26,10747290220
2001-12-27,10767769050
2001-12-28,10874258968
2001-12-31,11025802314
2002-01-02,10735002921
2002-01-03,10399150102
2002-01-04,11345272069
2002-01-07,10833301308
2002-01-08,11173249893
2002-01-09,11292027110
2002-01-10,11394421262
2002-01-11,10841492840
2002-01-14,10214840628
2002-01-15,10399150102
2002-01-16,10648991834
2002-01-17,10648991834
2002-01-18,10550693447
2002-01-22,10223032160
2002-01-23,10055105750
2002-01-24,10526118851
2002-01-25,10321330546
2002-01-28,9829838616
2002-01-29,9780689422
2002-01-30,10218936394
2002-01-31,10558884980
2002-02-01,11468145052
2002-02-04,11185537191
2002-02-05,11140483764
2002-02-06,11066759975
2002-02-07,11263356747
2002-02-08,11353463601
2002-02-11,10976653121
2002-02-12,10640800301
2002-02-13,10567076512
2002-02-14,11058568443
2002-02-15,11242877917
2002-02-19,11038089612
2002-02-20,11099526103
2002-02-21,10648991834
2002-02-22,10497448488
2002-02-25,10321330546
2002-02-26,10517927319
2002-02-27,10542501915
2002-02-28,10726811389
2002-03-01,10858942128
2002-03-04,11107620192
2002-03-05,11501360460
2002-03-06,11414323137
2002-03-07,11248537761
2002-03-08,12388312221
2002-03-11,12392456856
2002-03-12,12355155146
2002-03-13,12081609276
2002-03-14,11882666824
2002-03-15,12015295125
2002-03-18,12193514404
2002-03-19,10776049440
2002-03-20,11004004332
2002-03-21,11352153621
2002-03-22,11451624847
2002-03-25,11211236052
2002-03-26,11070318482
2002-03-27,10987425794
2002-03-28,11066173848
2002-04-01,11045450676
2002-04-02,10776049440
2002-04-03,10780194074
2002-04-04,10403032344
2002-04-05,10427900150
2002-04-08,9959556463
2002-04-09,10117052570
2002-04-10,10050738420
2002-04-11,9346150572
2002-04-12,9333716668
2002-04-15,9300559593
2002-04-16,9843506700
2002-04-17,9938833291
2002-04-18,9574105464
2002-04-19,10146065011
2002-04-22,10117052570
2002-04-23,9922254753
2002-04-24,9594828636
2002-04-25,9317138131
2002-04-26,9035302992
2002-04-29,8397029294
2002-04-30,8886096153
2002-05-01,8736889315
2002-05-02,8786624928
2002-05-03,8235388552
2002-05-06,8372161488
2002-05-07,8562814670
2002-05-08,9209377636
2002-05-09,8372161488
2002-05-10,8479921982
2002-05-13,8765901756
2002-05-14,9056026164
2002-05-15,9209377636
2002-05-16,8289268800
2002-05-17,8289268800
2002-05-20,8894385422
2002-05-21,8662285896
2002-05-22,8579393208
2002-05-23,8707876874
2002-05-24,8629128820
2002-05-28,8765901756
2002-05-29,8736889315
2002-05-30,8583537842
2002-05-31,8641562724
2002-06-03,9507506862
2002-06-04,9189185608
2002-06-05,9217272777
2002-06-06,9137692464
2002-06-07,9338983845
2002-06-10,9521550446
2002-06-11,9544956421
2002-06-12,9418564158
2002-06-13,9250041142
2002-06-14,9362389820
2002-06-17,9666667489
2002-06-18,9807103336
2002-06-19,9554318811
2002-06-20,9348346235
2002-06-21,9221953972
2002-06-24,8964488252
2002-06-25,8777240456
2002-06-26,8777240456
2002-06-27,8810008820
2002-06-28,8894270329
2002-07-01,7841001474
2002-07-02,7911219397
2002-07-03,8192091092
2002-07-05,8379338888
2002-07-08,8224859456
2002-07-09,7770783550
2002-07-10,7138822237
2002-07-11,7279258085
2002-07-12,6600484823
2002-07-15,6764326644
2002-07-16,6998386390
2002-07-17,6998386390
2002-07-18,6506860924
2002-07-19,6951574441
2002-07-22,6951574441
2002-07-23,6797095009
2002-07-24,7162228212
2002-07-25,6900081297
2002-07-26,6960936831
2002-07-29,7709928016
2002-07-30,7972074931
2002-07-31,7723971601
2002-08-01,7719290406
2002-08-02,7653753677
2002-08-05,7152865822
2002-08-06,7616304118
2002-08-07,7714609211
2002-08-08,7812914304
2002-08-09,7733333991
2002-08-12,7695884432
2002-08-13,7546086194
2002-08-14,7606941728
2002-08-15,8009524491
2002-08-16,8384020083
2002-08-19,8758515676
2002-08-20,8753834481
2002-08-21,8753834481
2002-08-22,8660210583
2002-08-23,8379338888
2002-08-26,8192091092
2002-08-27,7630347703
2002-08-28,7443099906
2002-08-29,7630347703
2002-08-30,7700565626
2002-09-03,7372881983
2002-09-04,7536723805
2002-09-05,7386925567
2002-09-06,7489911856
2002-09-09,7602260533
2002-09-10,7555448584
2002-09-11,7630347703
2002-09-12,7630347703
2002-09-13,7372881983
2002-09-16,7560129779
2002-09-17,7555448584
2002-09-18,7438418711
2002-09-19,6600484823
2002-09-20,6848588153
2002-09-23,6909443687
2002-09-24,6460048975
2002-09-25,6670702746
2002-09-26,6764326644
2002-09-27,6623890797
2002-09-30,6684746331
2002-10-01,6974980415
2002-10-02,6567716458
2002-10-03,6062147408
2002-10-04,5711057790
2002-10-07,5785956908
2002-10-08,6062147408
2002-10-09,5832768857
2002-10-10,6249395204
2002-10-11,6708152306
2002-10-14,6787732619
2002-10-15,7831639084
2002-10-16,7480549466
2002-10-17,7859726253
2002-10-18,7934625372
2002-10-21,8084423609
2002-10-22,7953350152
2002-10-23,8192091092
2002-10-24,8046974050
2002-10-25,8248265431
2002-10-28,8168685117
2002-10-29,7841001474
2002-10-30,7775464745
2002-10-31,7901857008
2002-11-01,7911219397
2002-11-04,7911219397
2002-11-05,7681840847
2002-11-06,7929944177
2002-11-07,8192091092
2002-11-08,8196772287
2002-11-11,8117191973
2002-11-12,8192091092
2002-11-13,8402744863
2002-11-14,8894270329
2002-11-15,8758515676
2002-11-18,9034706176
2002-11-19,8772559261
2002-11-20,8660210583
2002-11-21,8744472091
2002-11-22,8660210583
2002-11-25,8510412346
2002-11-26,8285714990
2002-11-27,8767878066
2002-11-29,9011300201
2002-12-02,9350889708
2002-12-03,9093997133
2002-12-04,8472784181
2002-12-05,8463442632
2002-12-06,8262599347
2002-12-09,8346673280
2002-12-10,8407393344
2002-12-11,8360685603
2002-12-12,8285953217
2002-12-13,8229903928
2002-12-16,8313977862
2002-12-17,8444759536
2002-12-18,8402722569
2002-12-19,8192537736
2002-12-20,8010377547
2002-12-23,8033731417
2002-12-24,8159842317
2002-12-26,8342002506
2002-12-27,8262599347
2002-12-30,8323319410
2002-12-31,8402722569
2003-01-02,8692310562
2003-01-03,8757701400
2003-01-06,8921178492
2003-01-07,8748359851
2003-01-08,8687639788
2003-01-09,8580211984
2003-01-10,7902949743
2003-01-13,8127146899
2003-01-14,7940315936
2003-01-15,7660069491
2003-01-16,7356469176
2003-01-17,7613361750
2003-01-21,7347127627
2003-01-22,7314432209
2003-01-23,7870254324
2003-01-24,7762826520
2003-01-27,7618032524
2003-01-28,7664740265
2003-01-29,7608690976
2003-01-30,7566654009
2003-01-31,7730131102
2003-02-03,7613361750
2003-02-04,7636715620
2003-02-05,7650727943
2003-02-06,7468567753
2003-02-07,7057539634
2003-02-10,7146284342
2003-02-11,7192992083
2003-02-12,6842684027
2003-02-13,6861367123
2003-02-14,7132272020
2003-02-18,7473238528
2003-02-19,7473238528
2003-02-20,7286407564
2003-02-21,7309761435
2003-02-24,7085564279
2003-02-25,7393835368
2003-02-26,7286407564
2003-02-27,7006161120
2003-02-28,7164967438
2003-03-03,7325491873
2003-03-04,7278862389
2003-03-05,7353469563
2003-03-06,7474706221
2003-03-07,7367458408
2003-03-10,7087681507
2003-03-11,6607397826
2003-03-12,6430205788
2003-03-13,6448857581
2003-03-14,6798578708
2003-03-17,7092344455
2003-03-18,7306840080
2003-03-19,7180940474
2003-03-20,7176277526
2003-03-21,7404761995
2003-03-24,7414087892
2003-03-25,7344143667
2003-03-26,7292851235
2003-03-27,7316165976
2003-03-28,7306840080
2003-03-31,7227569958
2003-04-01,6985096643
2003-04-02,7325491873
2003-04-03,7274199441
2003-04-04,7120322145
2003-04-07,7106333300
2003-04-08,6952456004
2003-04-09,6630712567
2003-04-10,6728634483
2003-04-11,6556105394
2003-04-14,6947793056
2003-04-15,6868522934
2003-04-16,6714645638
2003-04-17,6877848831
2003-04-21,6994422540
2003-04-22,7400099047
2003-04-23,7484032117
2003-04-24,7330154821
2003-04-25,7292851235
2003-04-28,7362795460
2003-04-29,7362795460
2003-04-30,7470043272
2003-05-01,7544650446
2003-05-02,7782460812
2003-05-05,7740494277
2003-05-06,7777797864
2003-05-07,7819764399
2003-05-08,7670550052
2003-05-09,7857067986
2003-05-12,7787123761
2003-05-13,7787123761
2003-05-14,7922349263
2003-05-15,8052911817
2003-05-16,8150833733
2003-05-19,7964315798
2003-05-20,7847742089
2003-05-21,7609931723
2003-05-22,7819764399
2003-05-23,8090215404
2003-05-27,7787123761
2003-05-28,7717179535
2003-05-29,7880382728
2003-05-30,8169485526
2003-06-02,9084603522
2003-06-03,8939166759
2003-06-04,9629991383
2003-06-05,9583243852
2003-06-06,9453389600
2003-06-09,9162516074
2003-06-10,9053438501
2003-06-11,8933972589
2003-06-12,8674264083
2003-06-13,8461303109
2003-06-16,9043050161
2003-06-17,9115768543
2003-06-18,9079409352
2003-06-19,9271593646
2003-06-20,9281981986
2003-06-23,9339117857
2003-06-24,9167710244
2003-06-25,9001496800
2003-06-26,9349506198
2003-06-27,9276787816
2003-06-30,9396253728
2003-07-01,9344312027
2003-07-02,9266399476
2003-07-03,9427418749
2003-07-07,9354700368
2003-07-08,10071495843
2003-07-09,9978000781
2003-07-10,9920864910
2003-07-11,9811787337
2003-07-14,9791010657
2003-07-15,10674019576
2003-07-16,10570136173
2003-07-17,10310427668
2003-07-18,10725961277
2003-07-21,10019554142
2003-07-22,10315621838
2003-07-23,10362369369
2003-07-24,10258485967
2003-07-25,10346786859
2003-07-28,10305233498
2003-07-29,10305233498
2003-07-30,10258485967
2003-07-31,10087078353
2003-08-01,10559747833
2003-08-04,10455864431
2003-08-05,10113049204
2003-08-06,9972806611
2003-08-07,10310427668
2003-08-08,10398728560
2003-08-11,10144214224
2003-08-12,10232515116
2003-08-13,10154602565
2003-08-14,10585718684
2003-08-15,10699990426
2003-08-18,10616883704
2003-08-19,10990863952
2003-08-20,10902563060
2003-08-21,11063582334
2003-08-22,11188242416
2003-08-25,10897368890
2003-08-26,10902563060
2003-08-27,10871398040
2003-08-28,10840233019
2003-08-29,10990863952
2003-09-02,11608970195
2003-09-03,12159552227
2003-09-04,12346542351
2003-09-05,12066057165
2003-09-08,11925814572
2003-09-09,11915426232
2003-09-10,11567416834
2003-09-11,11427174242
2003-09-12,11702465257
2003-09-15,11977756273
2003-09-16,12143969717
2003-09-17,11738824448
2003-09-18,11842707850
2003-09-19,11640135216
2003-09-22,11209019097
2003-09-23,11110329865
2003-09-24,11557028494
2003-09-25,11738824448
2003-09-26,11432368412
2003-09-29,11437562582
2003-09-30,11603776025
2003-10-01,11567416834
2003-10-02,11780377809
2003-10-03,11660911896
2003-10-06,11993338783
