,WHR
2000-12-01,2652000000
2000-12-04,2764047000
2000-12-05,2876094000
2000-12-06,2876094000
2000-12-07,2876094000
2000-12-08,2871453000
2000-12-11,2929797000
2000-12-12,2929797000
2000-12-13,2747472000
2000-12-14,2697747000
2000-12-15,2655978000
2000-12-18,2726919000
2000-12-19,2730897000
2000-12-20,2743494000
2000-12-21,2834325000
2000-12-22,3062397000
2000-12-26,3108144000
2000-12-27,3132675000
2000-12-28,3236103000
2000-12-29,3161847000
2001-01-02,3132675000
2001-01-03,3281850000
2001-01-04,3335553000
2001-01-05,3252678000
2001-01-08,3244722000
2001-01-09,3161847000
2001-01-10,3145272000
2001-01-11,3257319000
2001-01-12,3228147000
2001-01-16,3182400000
2001-01-17,3207594000
2001-01-18,3273894000
2001-01-19,3215550000
2001-01-22,3248700000
2001-01-23,3277872000
2001-01-24,3318978000
2001-01-25,3327597000
2001-01-26,3327597000
2001-01-29,3378648000
2001-01-30,3421743000
2001-01-31,3480087000
2001-02-01,3487380000
2001-02-02,3517878000
2001-02-05,3513900000
2001-02-06,3529812000
2001-02-07,3520530000
2001-02-08,3528486000
2001-02-09,3506607000
2001-02-12,3547050000
2001-02-13,3566940000
2001-02-14,3577548000
2001-02-15,3572244000
2001-02-16,3574896000
2001-02-20,3602742000
2001-02-21,3561636000
2001-02-22,3450915000
2001-02-23,3414450000
2001-02-26,3513237000
2001-02-27,3495336000
2001-02-28,3505281000
2001-03-01,3446274000
2001-03-02,3531138000
2001-03-05,3606057000
2001-03-06,3659097000
2001-03-07,3708822000
2001-03-08,3798327000
2001-03-09,3756558000
2001-03-12,3749265000
2001-03-13,3623295000
2001-03-14,3511911000
2001-03-15,3542409000
2001-03-16,3467490000
2001-03-19,3579537000
2001-03-20,3541083000
2001-03-21,3372681000
2001-03-22,3277872000
2001-03-23,3295773000
2001-03-26,3393234000
2001-03-27,3291132000
2001-03-28,3354780000
2001-03-29,3309696000
2001-03-30,3314337000
2001-04-02,3348275000
2001-04-03,3251185000
2001-04-04,3330985000
2001-04-05,3437385000
2001-04-06,3374875000
2001-04-09,3436720000
2001-04-10,3463985000
2001-04-11,3384850000
2001-04-12,3324335000
2001-04-16,3353595000
2001-04-17,3291750000
2001-04-18,3597650000
2001-04-19,3656170000
2001-04-20,3616935000
2001-04-23,3615605000
2001-04-24,3540460000
2001-04-25,3628240000
2001-04-26,3670135000
2001-04-27,3745945000
2001-04-30,3708705000
2001-05-01,3764565000
2001-05-02,3872295000
2001-05-03,3749935000
2001-05-04,3800475000
2001-05-07,3790500000
2001-05-08,3771215000
2001-05-09,3773875000
2001-05-10,3862320000
2001-05-11,3770550000
2001-05-14,3795155000
2001-05-15,3842370000
2001-05-16,4035885000
2001-05-17,4110365000
2001-05-18,4100390000
2001-05-21,4137630000
2001-05-22,4089750000
2001-05-23,4056500000
2001-05-24,4140290000
2001-05-25,4179525000
2001-05-29,4286589999
2001-05-30,4172875000
2001-05-31,4182185000
2001-06-01,4204130000
2001-06-04,4214770000
2001-06-05,4350430000
2001-06-06,4289250000
2001-06-07,4228735000
2001-06-08,4206125000
2001-06-11,4218095000
2001-06-12,4156915000
2001-06-13,4144945000
2001-06-14,4035885000
2001-06-15,3933475000
2001-06-18,4068470000
2001-06-19,4029235000
2001-06-20,4045860000
2001-06-21,4138960000
2001-06-22,4130315000
2001-06-25,4067805000
2001-06-26,4115020000
2001-06-27,4174870000
2001-06-28,4230065000
2001-06-29,4156250000
2001-07-02,4328200000
2001-07-03,4286660000
2001-07-05,4259860000
2001-07-06,4146630000
2001-07-09,4098390000
2001-07-10,4003920000
