,MDT
2000-01-03,41206800000
2000-01-04,41206800000
2000-01-05,43750872000
2000-01-06,45387200000
2000-01-07,50463400000
2000-01-10,50093136000
2000-01-11,50320072000
2000-01-12,50236464000
2000-01-13,51956400000
2000-01-14,52410272000
2000-01-18,53007472000
2000-01-19,53676336000
2000-01-20,52553600000
2000-01-21,52028064000
2000-01-24,51430864000
2000-01-25,53222464000
2000-01-26,55097672000
2000-01-27,55467936000
2000-01-28,53521064000
2000-01-31,54643800000
2000-02-01,55451928000
2000-02-02,53802000000
2000-02-03,54698700000
2000-02-04,57460536000
2000-02-07,58440928000
2000-02-08,59337628000
2000-02-09,58440928000
2000-02-10,57914864000
2000-02-11,54997600000
2000-02-14,55451928000
2000-02-15,54328064000
2000-02-16,54626964000
2000-02-17,55667136000
2000-02-18,57018164000
2000-02-22,58811564000
2000-02-23,57986600000
2000-02-24,59182200000
2000-02-25,56719264000
2000-02-28,57388800000
2000-02-29,57914864000
2000-03-01,58739828000
2000-03-02,58584400000
2000-03-03,61429928000
2000-03-06,59182200000
2000-03-07,59182200000
2000-03-08,58512664000
2000-03-09,59780000000
2000-03-10,61274500000
2000-03-13,60007164000
2000-03-14,56049728000
2000-03-15,58584400000
2000-03-16,62924428000
2000-03-17,62996164000
2000-03-20,63593964000
2000-03-21,63665700000
2000-03-22,65459100000
2000-03-23,67025336000
2000-03-24,65758000000
2000-03-27,68149200000
2000-03-28,66726436000
2000-03-29,66284064000
2000-03-30,60975600000
2000-03-31,61501664000
2000-04-03,65913428000
2000-04-04,66810128000
2000-04-05,66810128000
2000-04-06,66881864000
2000-04-07,67025336000
2000-04-10,68974164000
2000-04-11,66654700000
2000-04-12,64634136000
2000-04-13,60604964000
2000-04-14,58058336000
2000-04-17,57687700000
2000-04-18,62541836000
2000-04-19,62769000000
2000-04-20,62697264000
2000-04-24,64418928000
2000-04-25,63366800000
2000-04-26,63366800000
2000-04-27,65614528000
2000-04-28,62099464000
2000-05-01,62642525000
2000-05-02,64896457000
2000-05-03,64668666000
2000-05-04,65340050000
2000-05-05,67066466000
2000-05-08,66994532000
2000-05-09,65196182000
2000-05-10,65411984000
2000-05-11,66311159000
2000-05-12,64620710000
2000-05-15,67294257000
2000-05-16,68337300000
2000-05-17,67893707000
2000-05-18,66311159000
2000-05-19,63397832000
2000-05-22,60316659000
2000-05-23,57403332000
2000-05-24,59117759000
2000-05-25,60016934000
2000-05-26,59201682000
2000-05-30,61815284000
2000-05-31,61899207000
2000-06-01,60544450000
2000-06-02,58901957000
2000-06-05,59645275000
2000-06-06,60316659000
2000-06-07,58002782000
2000-06-08,56648025000
2000-06-09,58146650000
2000-06-12,57918859000
2000-06-13,58973891000
2000-06-14,60472516000
2000-06-15,60616384000
2000-06-16,59873066000
2000-06-19,60844175000
2000-06-20,60772241000
2000-06-21,60472516000
2000-06-22,57547200000
2000-06-23,57019684000
2000-06-26,57103607000
2000-06-27,56348300000
2000-06-28,56947750000
2000-06-29,57475266000
2000-06-30,59717209000
2000-07-03,58518309000
2000-07-05,57547200000
2000-07-06,58446375000
2000-07-07,60016934000
2000-07-10,60544450000
2000-07-11,61215834000
2000-07-12,60172791000
2000-07-13,61071966000
2000-07-14,60244725000
2000-07-17,61000032000
2000-07-18,62414734000
2000-07-19,60544450000
2000-07-20,61671416000
2000-07-21,60544450000
2000-07-24,62714459000
2000-07-25,63014184000
2000-07-26,62043075000
2000-07-27,64512809000
2000-07-28,62342800000
2000-07-31,61215834000
2000-08-01,65611593000
2000-08-02,65455632000
2000-08-03,65983500000
2000-08-04,66883275000
2000-08-07,66955257000
2000-08-08,66511368000
2000-08-09,67483125000
2000-08-10,67483125000
2000-08-11,65983500000
2000-08-14,65383650000
2000-08-15,64483875000
2000-08-16,66055482000
2000-08-17,62984250000
2000-08-18,60956757000
2000-08-21,63356157000
2000-08-22,59613093000
2000-08-23,61040736000
2000-08-24,61040736000
2000-08-25,62012493000
2000-08-28,62384400000
2000-08-29,62540361000
2000-08-30,63656082000
2000-08-31,61484625000
2000-09-01,62312418000
2000-09-05,61340661000
2000-09-06,61484625000
2000-09-07,62012493000
2000-09-08,60812793000
2000-09-11,61784550000
2000-09-12,60140961000
2000-09-13,59541111000
2000-09-14,59985000000
2000-09-15,59913018000
2000-09-18,58713318000
2000-09-19,57657582000
2000-09-20,56985750000
2000-09-21,59085225000
2000-09-22,59541111000
2000-09-25,59985000000
2000-09-26,58941261000
2000-09-27,58785300000
2000-09-28,60512868000
2000-09-29,62156457000
2000-10-02,61712568000
2000-10-03,63440136000
2000-10-04,62312418000
2000-10-05,63512118000
2000-10-06,62984250000
2000-10-09,63140211000
2000-10-10,63440136000
2000-10-11,62312418000
2000-10-12,63884025000
2000-10-13,62384400000
2000-10-16,62456382000
2000-10-17,63884025000
2000-10-18,64711818000
2000-10-19,64111968000
2000-10-20,62084475000
2000-10-23,61184700000
2000-10-24,61184700000
2000-10-25,62540361000
2000-10-26,61940511000
2000-10-27,62240436000
2000-10-30,64255932000
2000-10-31,65155707000
2000-11-01,66396000000
2000-11-02,66854736000
2000-11-03,67760136000
2000-11-06,68810400000
2000-11-07,67373832000
2000-11-08,67905000000
2000-11-09,67675632000
2000-11-10,66999600000
2000-11-13,66021768000
2000-11-14,66625368000
2000-11-15,66625368000
2000-11-16,62170800000
2000-11-17,57945600000
2000-11-20,59828832000
2000-11-21,61724136000
2000-11-22,63003768000
2000-11-24,63836736000
2000-11-27,64657632000
2000-11-28,65261232000
2000-11-29,65490600000
2000-11-30,64283400000
2000-12-01,65116368000
2000-12-04,66999600000
2000-12-05,66927168000
2000-12-06,66323568000
2000-12-07,66999600000
2000-12-08,67675632000
2000-12-11,66021768000
2000-12-12,65116368000
2000-12-13,67603200000
2000-12-14,70621200000
2000-12-15,68134368000
2000-12-18,67156536000
2000-12-19,66697800000
2000-12-20,65188800000
2000-12-21,66854736000
2000-12-22,70174536000
2000-12-26,71224800000
2000-12-27,73639200000
2000-12-28,73639200000
2000-12-29,72890736000
2001-01-02,71828400000
2001-01-03,71079936000
2001-01-04,66094200000
2001-01-05,64814568000
2001-01-08,64440336000
2001-01-09,64585200000
2001-01-10,63534936000
2001-01-11,63836736000
2001-01-12,66166632000
2001-01-16,66625368000
2001-01-17,65188800000
2001-01-18,65949336000
2001-01-19,66251136000
2001-01-22,67228968000
2001-01-23,66468432000
2001-01-24,64742136000
2001-01-25,65949336000
2001-01-26,66323568000
2001-01-29,65913120000
2001-01-30,65852760000
2001-01-31,65188800000
2001-02-01,65297448000
2001-02-02,64693848000
2001-02-05,64114392000
2001-02-06,62629536000
2001-02-07,61265400000
2001-02-08,62508816000
2001-02-09,62508816000
2001-02-12,63136560000
2001-02-13,63257280000
2001-02-14,62484672000
2001-02-15,61289544000
2001-02-16,61627560000
2001-02-20,62025936000
2001-02-21,62170800000
2001-02-22,60360000000
2001-02-23,59092440000
2001-02-26,61808640000
2001-02-27,62689896000
2001-02-28,61784496000
2001-03-01,59394240000
2001-03-02,59297664000
2001-03-05,59394240000
2001-03-06,59514960000
2001-03-07,59140728000
2001-03-08,60782520000
2001-03-09,60963600000
2001-03-12,57631728000
2001-03-13,56593536000
2001-03-14,54239496000
2001-03-15,57969744000
2001-03-16,56134800000
2001-03-19,56400384000
2001-03-20,57100560000
2001-03-21,55470840000
2001-03-22,52175184000
2001-03-23,53418600000
2001-03-26,53128872000
2001-03-27,54855168000
2001-03-28,56195160000
2001-03-29,56460744000
2001-03-30,55217328000
2001-04-02,53322024000
2001-04-03,50557536000
2001-04-04,49145112000
2001-04-05,52621848000
2001-04-06,51318072000
2001-04-09,51100776000
2001-04-10,50642040000
2001-04-11,49483128000
2001-04-12,51909600000
2001-04-16,52211400000
2001-04-17,54505080000
2001-04-18,54831024000
2001-04-19,56702184000
2001-04-20,55712280000
2001-04-23,55289760000
2001-04-24,53116800000
2001-04-25,53466888000
2001-04-26,51740592000
2001-04-27,53418600000
2001-04-30,53841120000
2001-05-01,54590688000
2001-05-02,55062549000
2001-05-03,53973639000
2001-05-04,55304529000
2001-05-07,54191421000
2001-05-08,53066214000
2001-05-09,52703244000
2001-05-10,52570155000
2001-05-11,51590136000
2001-05-14,51989403000
2001-05-15,52340274000
2001-05-16,53380788000
2001-05-17,55437618000
2001-05-18,54385005000
2001-05-21,53066214000
2001-05-22,53828451000
2001-05-23,50525424000
2001-05-24,51154572000
2001-05-25,51420750000
2001-05-29,51965205000
2001-05-30,52025700000
2001-05-31,52001502000
2001-06-01,52025700000
2001-06-04,52872630000
2001-06-05,53816352000
2001-06-06,54082530000
2001-06-07,54143025000
2001-06-08,53864748000
2001-06-11,54348708000
2001-06-12,53356590000
2001-06-13,53985738000
2001-06-14,53114610000
2001-06-15,52896828000
2001-06-18,54469698000
2001-06-19,56514429000
2001-06-20,58680150000
2001-06-21,58256685000
2001-06-22,57349260000
2001-06-25,56986290000
2001-06-26,56683815000
2001-06-27,55510212000
2001-06-28,57833220000
2001-06-29,55667499000
2001-07-02,56780607000
2001-07-03,56974191000
2001-07-05,56780607000
2001-07-06,56042568000
2001-07-09,56018370000
2001-07-10,57772725000
2001-07-11,54626985000
2001-07-12,55534410000
2001-07-13,56260350000
2001-07-16,56708013000
2001-07-17,56986290000
2001-07-18,57228270000
2001-07-19,57603339000
2001-07-20,58776942000
2001-07-23,58789041000
2001-07-24,57494448000
2001-07-25,58075200000
2001-07-26,58280883000
2001-07-27,58740645000
2001-07-30,58534962000
2001-07-31,58111497000
2001-08-01,55785610000
2001-08-02,56136539000
2001-08-03,55507287000
2001-08-06,56330155000
2001-08-07,55616196000
2001-08-08,54043065999
2001-08-09,55301570000
2001-08-10,54611813000
2001-08-13,54393995000
2001-08-14,52155310000
2001-08-15,53159693000
2001-08-16,53377511000
2001-08-17,53667935000
2001-08-20,54067268000
2001-08-21,55120055000
2001-08-22,55059550000
2001-08-23,55059550000
2001-08-24,56330155000
2001-08-27,56572175000
2001-08-28,56293852000
2001-08-29,56753690000
2001-08-30,55846115000
2001-08-31,55107954000
2001-09-04,54950640999
2001-09-05,54393995000
2001-09-06,51864886000
2001-09-07,51743876000
2001-09-10,51477654000
2001-09-17,49323676000
2001-09-18,48282990000
2001-09-19,47181799000
2001-09-20,48161980000
2001-09-21,47242304000
2001-09-24,49565696000
2001-09-25,49819817000
2001-09-26,49614100000
2001-09-27,51513957000
2001-09-28,52639350000
2001-10-01,53244400000
2001-10-02,53546925000
2001-10-03,53728440000
2001-10-04,53595329000
2001-10-05,53897854000
2001-10-08,53680036000
2001-10-09,54006763000
2001-10-10,53970460000
2001-10-11,54018864000
2001-10-12,54333490000
2001-10-15,54696520000
2001-10-16,54502904000
2001-10-17,53099188000
2001-10-18,52143209000
2001-10-19,52760360000
2001-10-22,53377511000
