,MGM
2000-01-03,2665348875
2000-01-04,2640669718
2000-01-05,2598362593
2000-01-06,2693553625
2000-01-07,2665348875
2000-01-10,2725283968
2000-01-11,2587785812
2000-01-12,2637144125
2000-01-13,2573683437
2000-01-14,2601888187
2000-01-18,2601888187
2000-01-19,2682976843
2000-01-20,2675925656
2000-01-21,2598362593
2000-01-24,2471441218
2000-01-25,2453813250
2000-01-26,2432659687
2000-01-27,2365673406
2000-01-28,2344519843
2000-01-31,2333943062
2000-02-01,2418557312
2000-02-02,2397403750
2000-02-03,2376250187
2000-02-04,2499645968
2000-02-07,2400929343
2000-02-08,2415031718
2000-02-09,2390352562
2000-02-10,2404454937
2000-02-11,2379775781
2000-02-14,2376250187
2000-02-15,2379775781
2000-02-16,2369199000
2000-02-17,2439710875
2000-02-18,2379775781
2000-02-22,2277533562
2000-02-23,2358622218
2000-02-24,2337468656
2000-02-25,2210547281
2000-02-28,2277533562
2000-02-29,2242277625
2000-03-01,2143561000
2000-03-02,2143561000
2000-03-03,2143561000
2000-03-06,2199970500
2000-03-07,2214072875
2000-03-08,2171765750
2000-03-09,2270482375
2000-03-10,2277533562
2000-03-13,2199970500
2000-03-14,2143561000
2000-03-15,2277533562
2000-03-16,2538427500
2000-03-17,2432659687
2000-03-20,2538427500
2000-03-21,2517273937
2000-03-22,2517273937
2000-03-23,2369199000
2000-03-24,2369199000
2000-03-27,2312789500
2000-03-28,2474966812
2000-03-29,2615990562
2000-03-30,2587785812
2000-03-31,3604416000
2000-04-03,3604416000
2000-04-04,3595029500
2000-04-05,3717054000
2000-04-06,3810919000
2000-04-07,4064354500
2000-04-10,4270857500
2000-04-11,4306057025
2000-04-12,4449201000
2000-04-13,4392882000
2000-04-14,4054968000
2000-04-17,3932943500
2000-04-18,4045581500
2000-04-19,4130060000
2000-04-20,4242698000
2000-04-24,4148833000
2000-04-25,4345949500
2000-04-26,4299017000
2000-04-27,4233311500
2000-04-28,4430428000
2000-05-01,4430428000
2000-05-02,4355336000
2000-05-03,4289630500
2000-05-04,4374109000
2000-05-05,4486747000
2000-05-08,4655704000
2000-05-09,4768342000
2000-05-10,4796501500
2000-05-11,4974845000
2000-05-12,5162575000
2000-05-15,5190734500
2000-05-16,5068710000
2000-05-17,5040550500
2000-05-18,4993618000
2000-05-19,5059323500
2000-05-22,4974845000
2000-05-23,4956072000
2000-05-24,4965458500
2000-05-25,4937299000
2000-05-26,5003004500
2000-05-30,5078096500
2000-05-31,4880980000
2000-06-01,5003004500
2000-06-02,5031164000
2000-06-05,4956072000
2000-06-06,4871593500
2000-06-07,4927912500
2000-06-08,4871593500
2000-06-09,4927912500
2000-06-12,4974845000
2000-06-13,5021777500
2000-06-14,5106256000
2000-06-15,5134415500
2000-06-16,5153188500
2000-06-19,5031164000
2000-06-20,4899753000
2000-06-21,4796501500
2000-06-22,4824661000
2000-06-23,4758955500
2000-06-26,4834047500
2000-06-27,4909139500
2000-06-28,4956072000
2000-06-29,5003004500
2000-06-30,5105474158
2000-07-03,5241984000
2000-07-05,5341264000
2000-07-06,5400832000
2000-07-07,5410760000
2000-07-10,5460400000
2000-07-11,5519968000
2000-07-12,5500112000
2000-07-13,5480256000
2000-07-14,5480256000
2000-07-17,5539824000
2000-07-18,5519968000
2000-07-19,5500112000
2000-07-20,5678816000
2000-07-21,5708600000
2000-07-24,5698672000
2000-07-25,5708600000
2000-07-26,5708600000
2000-07-27,5688744000
2000-07-28,5529896000
2000-07-31,5708600000
2000-08-01,5649032000
2000-08-02,5629176000
2000-08-03,5609320000
2000-08-04,5579536000
2000-08-07,5519968000
2000-08-08,5519968000
2000-08-09,5529896000
2000-08-10,5519968000
2000-08-11,5609320000
2000-08-14,5510040000
2000-08-15,5430616000
2000-08-16,5241984000
2000-08-17,5579536000
2000-08-18,5480256000
2000-08-21,5361120000
2000-08-22,5390904000
2000-08-23,5301552000
2000-08-24,5341264000
2000-08-25,5351192000
2000-08-28,5311480000
2000-08-29,5351192000
2000-08-30,5311480000
2000-08-31,5460400000
2000-09-01,5440544000
2000-09-05,5668888000
2000-09-06,5549752000
2000-09-07,5529896000
2000-09-08,5400832000
2000-09-11,5470328000
2000-09-12,5460400000
2000-09-13,5490184000
2000-09-14,5460400000
2000-09-15,5440544000
2000-09-18,5341264000
2000-09-19,5420688000
2000-09-20,5549752000
2000-09-21,5738384000
2000-09-22,5867448000
2000-09-25,6036224000
2000-09-26,5797952000
2000-09-27,5966728000
2000-09-28,5996512000
2000-09-29,6066008000
2000-10-02,5790998579
2000-10-03,5692679418
2000-10-04,5505873012
2000-10-05,5515704928
2000-10-06,5240411277
2000-10-09,5033941040
2000-10-10,5328898522
2000-10-11,4856966550
2000-10-12,4797975053
2000-10-13,5142092117
2000-10-16,5122428284
2000-10-17,4866798466
2000-10-18,5004445291
2000-10-19,5260075110
2000-10-20,5201083613
2000-10-23,5407553851
2000-10-24,5623856005
2000-10-25,5564864509
2000-10-26,5466545348
2000-10-27,5319066606
2000-10-30,5456713432
2000-10-31,5437049599
2000-11-01,5161755949
2000-11-02,5338730438
2000-11-03,5269907026
2000-11-06,5092932536
2000-11-07,5151924033
2000-11-08,5230579361
2000-11-09,5024109123
2000-11-10,4768479305
2000-11-13,4866798466
2000-11-14,4945453795
2000-11-15,4847134634
2000-11-16,4748815473
2000-11-17,4640664396
2000-11-20,4345706913
2000-11-21,4237555836
2000-11-22,4168732423
