,NTAP
2000-01-03,12788250000
2000-01-04,11172417000
2000-01-05,11792271000
2000-01-06,10540527000
2000-01-07,12788250000
2000-01-10,13332879000
2000-01-11,12412125000
2000-01-12,13107204000
2000-01-13,12896574000
2000-01-14,14094156000
2000-01-18,17771154000
2000-01-19,16323825000
2000-01-20,17301750000
2000-01-21,17620704000
2000-01-24,15345900000
2000-01-25,16125231000
2000-01-26,16305771000
2000-01-27,15478296000
2000-01-28,17842482000
2000-01-31,18058362000
2000-02-01,19396818000
2000-02-02,20350288000
2000-02-03,20620138000
2000-02-04,23016406000
2000-02-07,22555862000
2000-02-08,23746800000
2000-02-09,23149532000
2000-02-10,25052874000
2000-02-11,27873706000
2000-02-14,26682768000
2000-02-15,27265644000
2000-02-16,31561656000
2000-02-17,31370962000
2000-02-18,30090074000
2000-02-22,30334738000
2000-02-23,32169718000
2000-02-24,35980000000
2000-02-25,34709906000
2000-02-28,33101600000
2000-02-29,33957924000
2000-03-01,34191794000
2000-03-02,34047874000
2000-03-03,35969206000
2000-03-06,38149594000
2000-03-07,38250338000
2000-03-08,39275768000
2000-03-09,43244362000
2000-03-10,42614712000
2000-03-13,41038788000
2000-03-14,35451094000
2000-03-15,31133494000
2000-03-16,32842544000
2000-03-17,36116724000
2000-03-20,32932494000
2000-03-21,33263510000
2000-03-22,37080988000
2000-03-23,37915724000
2000-03-24,35980000000
2000-03-27,34990550000
2000-03-28,34382488000
2000-03-29,33033238000
2000-03-30,28470974000
2000-03-31,29773450000
2000-04-03,24423224000
2000-04-04,24106600000
2000-04-05,25027688000
2000-04-06,26265400000
2000-04-07,28762412000
2000-04-10,24333274000
2000-04-11,22894074000
2000-04-12,20397062000
2000-04-13,20487012000
2000-04-14,18126724000
2000-04-17,18688012000
2000-04-18,21677950000
2000-04-19,21789488000
2000-04-20,20465424000
2000-04-24,18216674000
2000-04-25,24736250000
2000-04-26,21994574000
2000-04-27,24308088000
2000-04-28,23184552460
2000-05-01,22262689000
2000-05-02,20459724750
2000-05-03,20930063250
2000-05-04,21284384920
2000-05-05,21911502920
2000-05-08,19813793210
2000-05-09,19892182960
2000-05-10,18186422000
2000-05-11,18167608460
2000-05-12,18245998210
2000-05-15,20735656670
2000-05-16,22811417250
2000-05-17,21557181250
2000-05-18,21635571000
2000-05-19,20422097670
2000-05-22,20400148540
2000-05-23,18186422000
2000-05-24,20400148540
2000-05-25,19246251420
2000-05-26,18283625290
2000-05-30,20948876790
2000-05-31,20243369040
2000-06-01,21851926710
2000-06-02,23341331960
2000-06-05,24021754990
2000-06-06,23165738920
2000-06-07,24498364670
2000-06-08,26749718290
2000-06-09,26693277670
2000-06-12,24517178210
2000-06-13,26984887540
2000-06-14,23714467170
2000-06-15,24830737210
2000-06-16,25065906460
2000-06-19,26947260460
2000-06-20,27182429710
2000-06-21,27455226040
2000-06-22,26338956000
2000-06-23,24125229460
2000-06-26,25730651540
2000-06-27,25965820790
2000-06-28,25887431040
2000-06-29,24398025790
2000-06-30,25241499500
2000-07-03,25965820790
2000-07-05,24476415540
2000-07-06,24476415540
2000-07-07,25573872040
2000-07-10,25476668750
2000-07-11,26182176500
2000-07-12,28220310000
2000-07-13,29650139040
2000-07-14,30142426670
2000-07-17,31983018000
2000-07-18,31337086460
2000-07-19,31493865960
2000-07-20,35294201040
2000-07-21,34297083420
2000-07-24,32237000790
2000-07-25,33296830210
2000-07-26,31964204460
2000-07-27,29866494750
2000-07-28,27048955000
2000-07-31,27427640370
2000-08-01,26294766490
2000-08-02,24484077620
2000-08-03,24961412120
2000-08-04,26908936880
2000-08-07,28560514250
2000-08-08,29177866870
2000-08-09,28818274880
2000-08-10,27268528870
2000-08-11,28223197870
2000-08-14,28878737250
2000-08-15,27029861620
2000-08-16,28102273130
2000-08-17,30072073500
2000-08-18,29893868620
2000-08-21,30352109740
2000-08-22,30033886740
2000-08-23,31822300000
2000-08-24,32360096870
2000-08-25,32080060630
2000-08-28,33057005240
2000-08-29,34765862750
2000-08-30,35462771120
2000-08-31,37232091000
2000-09-01,36754756500
2000-09-05,35940105620
2000-09-06,32341003490
2000-09-07,36834312250
2000-09-08,36137403880
2000-09-11,35182734880
2000-09-12,34746769370
2000-09-13,35640976000
2000-09-14,36815218870
2000-09-15,37569407380
2000-09-18,39898799740
2000-09-19,41330803240
2000-09-20,44910811990
2000-09-21,43437439500
2000-09-22,46899705740
2000-09-25,41509008120
2000-09-26,40713450620
2000-09-27,40773912990
2000-09-28,43233776780
2000-09-29,40535245740
2000-10-02,38883668370
2000-10-03,38285409130
2000-10-04,37804892400
2000-10-05,37849443620
2000-10-06,37569407380
2000-10-09,38186760000
2000-10-10,36955236990
2000-10-11,38724556870
2000-10-12,36216959630
2000-10-13,38645001120
2000-10-16,42501863880
2000-10-17,43278328000
2000-10-18,42482770500
2000-10-19,46263259740
2000-10-20,47297484490
2000-10-23,44672144740
2000-10-24,42543232870
2000-10-25,38902761750
2000-10-26,37171628630
2000-10-27,39695421000
2000-10-30,34270380130
2000-10-31,38404513000
2000-11-01,35438651870
2000-11-02,34170334760
2000-11-03,34977152260
2000-11-06,35703288010
2000-11-07,39049967000
2000-11-08,34551152620
2000-11-09,31365837130
2000-11-10,29126111750
2000-11-13,27270431500
2000-11-14,31062473750
2000-11-15,24569206510
2000-11-16,23497752870
2000-11-17,20835255120
2000-11-20,21703390750
2000-11-21,19686347000
2000-11-22,18879529500
2000-11-24,20293073760
2000-11-27,17569257880
2000-11-28,16852803940
2000-11-29,16136350000
2000-11-30,15936259260
2000-12-01,17407894380
2000-12-04,18679438760
2000-12-05,26321614120
2000-12-06,24649888260
2000-12-07,24327161260
2000-12-08,28138567130
2000-12-11,27231704260
2000-12-12,26686295630
2000-12-13,23478389250
2000-12-14,22310117510
2000-12-15,21038573130
2000-12-18,21199936630
2000-12-19,19405574510
2000-12-20,17346576250
