,HST
2000-01-03,1895831708
2000-01-04,1882354231
2000-01-05,1810474356
2000-01-06,1839675555
2000-01-07,1866630509
2000-01-10,1965465337
2000-01-11,1978942814
2000-01-12,1994666536
2000-01-13,1994666536
2000-01-14,2021621490
2000-01-18,2035098966
2000-01-19,2147411271
2000-01-20,2106978841
2000-01-21,2064300165
2000-01-24,2064300165
2000-01-25,2091255119
2000-01-26,2091255119
2000-01-27,2077777642
2000-01-28,2021621490
2000-01-31,1994666536
2000-02-01,2050822689
2000-02-02,2050822689
2000-02-03,2064300165
2000-02-04,2064300165
2000-02-07,2091255119
2000-02-08,2120456318
2000-02-09,2120456318
2000-02-10,2106978841
2000-02-11,2050822689
2000-02-14,2064300165
2000-02-15,2064300165
2000-02-16,2091255119
2000-02-17,2120456318
2000-02-18,2077777642
2000-02-22,2035098966
2000-02-23,2050822689
2000-02-24,2021621490
2000-02-25,2008144013
2000-02-28,1994666536
2000-02-29,1994666536
2000-03-01,1951987860
2000-03-02,1951987860
2000-03-03,1938510384
2000-03-06,1994666536
2000-03-07,1965465337
2000-03-08,1978942814
2000-03-09,1994666536
2000-03-10,2008144013
2000-03-13,2008144013
2000-03-14,1994666536
2000-03-15,2008144013
2000-03-16,2008144013
2000-03-17,2021621490
2000-03-20,2021621490
2000-03-21,1994666536
2000-03-22,2008144013
2000-03-23,2008144013
2000-03-24,2024404342
2000-03-27,1981089384
2000-03-28,2024404342
2000-03-29,1981089384
2000-03-30,2008446200
2000-03-31,2024404342
2000-04-03,2038082750
2000-04-04,2038082750
2000-04-05,2008446200
2000-04-06,2165747889
2000-04-07,2236419662
2000-04-10,2252377804
2000-04-11,2266056212
2000-04-12,2380042943
2000-04-13,2350406393
2000-04-14,2279734620
2000-04-17,2252377804
2000-04-18,2279734620
2000-04-19,2236419662
2000-04-20,2266056212
2000-04-24,2336727985
2000-04-25,2380042943
2000-04-26,2323049577
2000-04-27,2407399758
2000-04-28,2437036308
2000-05-01,2437036308
2000-05-02,2393721351
2000-05-03,2366364535
2000-05-04,2350406393
2000-05-05,2336727985
2000-05-08,2279734620
2000-05-09,2266056212
2000-05-10,2309371170
2000-05-11,2293413027
2000-05-12,2293413027
2000-05-15,2309371170
2000-05-16,2336727985
2000-05-17,2309371170
2000-05-18,2279734620
2000-05-19,2279734620
2000-05-22,2266056212
2000-05-23,2222741254
2000-05-24,2209062846
2000-05-25,2165747889
2000-05-26,2165747889
2000-05-30,2152069481
2000-05-31,2195384439
2000-06-01,2165747889
2000-06-02,2195384439
2000-06-05,2179426296
2000-06-06,2165747889
2000-06-07,2165747889
2000-06-08,2152069481
2000-06-09,2165747889
2000-06-12,2165747889
2000-06-13,2179426296
2000-06-14,2236419662
2000-06-15,2195384439
2000-06-16,2210585154
2000-06-19,2210585154
2000-06-20,2197064756
