,CAR
2000-01-03,2818397115
2000-01-04,2695228089
2000-01-05,2651756668
2000-01-06,2687982852
2000-01-07,2774925694
2000-01-10,2550323353
2000-01-11,2470625748
2000-01-12,2666247142
2000-01-13,2666247142
2000-01-14,2702473326
2000-01-18,2608285248
2000-01-19,2622775721
2000-01-20,2622775721
2000-01-21,2405418617
2000-01-24,2332966249
2000-01-25,2427154328
2000-01-26,2412663854
2000-01-27,2434399564
2000-01-28,2303985302
2000-01-31,2311230539
2000-02-01,2521342406
2000-02-02,2593794774
2000-02-03,2441644801
2000-02-04,2470625748
2000-02-07,2477870985
2000-02-08,2434399564
2000-02-09,2318475776
2000-02-10,2166325803
2000-02-11,2093873435
2000-02-14,2079382961
2000-02-15,2086628198
2000-02-16,1999685356
2000-02-17,2144590092
2000-02-18,1992440120
2000-02-22,2028666304
2000-02-23,1963459172
2000-02-24,1985194883
2000-02-25,1970704409
2000-02-28,1941723462
2000-02-29,2064892488
2000-03-01,2014175830
2000-03-02,1985194883
2000-03-03,2035911540
2000-03-06,1999685356
2000-03-07,1876516331
2000-03-08,1898252041
2000-03-09,2028666304
2000-03-10,2101118672
2000-03-13,2035911540
2000-03-14,2043156777
2000-03-15,1992440120
2000-03-16,1999685356
2000-03-17,1963459172
2000-03-20,2006930593
2000-03-21,2086628198
2000-03-22,2043156777
2000-03-23,2043156777
2000-03-24,2050402014
2000-03-27,2144590092
2000-03-28,2195306750
2000-03-29,2144590092
2000-03-30,2072137724
2000-03-31,2093000000
2000-04-03,2100000000
2000-04-04,1932000000
2000-04-05,2002000000
2000-04-06,2016000000
2000-04-07,1995000000
2000-04-10,2072000000
2000-04-11,1988000000
2000-04-12,1974000000
2000-04-13,1904000000
2000-04-14,1778000000
2000-04-17,1771000000
2000-04-18,1904000000
2000-04-19,1701000000
2000-04-20,1708000000
2000-04-24,1680000000
2000-04-25,1764000000
2000-04-26,1715000000
2000-04-27,1694000000
2000-04-28,1729000000
2000-05-01,1729000000
2000-05-02,1680000000
2000-05-03,1629600000
2000-05-04,1638000000
2000-05-05,1638000000
2000-05-08,1638000000
2000-05-09,1603000000
2000-05-10,1561000000
2000-05-11,1561000000
2000-05-12,1589000000
2000-05-15,1610000000
2000-05-16,1659000000
2000-05-17,1701000000
2000-05-18,1694000000
2000-05-19,1694000000
2000-05-22,1596000000
2000-05-23,1540000000
2000-05-24,1512000000
2000-05-25,1519000000
2000-05-26,1463000000
2000-05-30,1477000000
2000-05-31,1484000000
2000-06-01,1470000000
2000-06-02,1498000000
2000-06-05,1421000000
2000-06-06,1456000000
2000-06-07,1414000000
2000-06-08,1414000000
2000-06-09,1421000000
2000-06-12,1386000000
2000-06-13,1361500000
2000-06-14,1393000000
2000-06-15,1512000000
2000-06-16,1512000000
2000-06-19,1498000000
2000-06-20,1449000000
2000-06-21,1435000000
2000-06-22,1414000000
2000-06-23,1400000000
2000-06-26,1393000000
2000-06-27,1442000000
2000-06-28,1680000000
2000-06-29,1666000000
2000-06-30,1624000000
2000-07-03,1711000000
2000-07-05,1689250000
2000-07-06,1667500000
2000-07-07,1674750000
2000-07-10,1645750000
2000-07-11,1616750000
2000-07-12,1616750000
2000-07-13,1638500000
2000-07-14,1682000000
2000-07-17,1703750000
2000-07-18,1595000000
2000-07-19,1624000000
2000-07-20,1609500000
2000-07-21,1573250000
2000-07-24,1558750000
2000-07-25,1544250000
2000-07-26,1428250000
2000-07-27,1413750000
2000-07-28,1442750000
2000-07-31,1486250000
2000-08-01,1493500000
2000-08-02,1479000000
2000-08-03,1471750000
2000-08-04,1551500000
2000-08-07,1551500000
2000-08-08,1522500000
2000-08-09,1537000000
2000-08-10,1471750000
2000-08-11,1508000000
2000-08-14,1544250000
2000-08-15,1500750000
2000-08-16,1515250000
2000-08-17,1486250000
2000-08-18,1471750000
2000-08-21,1508000000
2000-08-22,1486250000
2000-08-23,1464500000
2000-08-24,1486250000
2000-08-25,1522500000
2000-08-28,1515250000
2000-08-29,1493500000
2000-08-30,1515250000
2000-08-31,1531925000
2000-09-01,1500750000
2000-09-05,1725500000
2000-09-06,1508000000
2000-09-07,1508000000
2000-09-08,1479000000
2000-09-11,1515250000
2000-09-12,1508000000
2000-09-13,1486250000
2000-09-14,1464500000
2000-09-15,1471750000
2000-09-18,1392000000
2000-09-19,1363000000
2000-09-20,1334000000
2000-09-21,1305000000
2000-09-22,1247000000
2000-09-25,1247000000
2000-09-26,1247000000
2000-09-27,1232500000
2000-09-28,1305000000
2000-09-29,1261500000
2000-10-02,1442647149
2000-10-03,1383244031
2000-10-04,1408702510
2000-10-05,1417188669
2000-10-06,1340813232
2000-10-09,1357785552
2000-10-10,1315354753
2000-10-11,1281410114
2000-10-12,1247465475
2000-10-13,1230493156
2000-10-16,1289896274
2000-10-17,1213520837
2000-10-18,1154117719
2000-10-19,1323840913
2000-10-20,1332327072
2000-10-23,1332327072
2000-10-24,1357785552
2000-10-25,1323840913
2000-10-26,1349299392
2000-10-27,1485077947
2000-10-30,1612370343
2000-10-31,1629342662
2000-11-01,1637828822
2000-11-02,1654801141
2000-11-03,1705718099
2000-11-06,1705718099
2000-11-07,1671773460
2000-11-08,1680259620
2000-11-09,1654801141
2000-11-10,1629342662
2000-11-13,1561453384
2000-11-14,1451133308
2000-11-15,1485077947
2000-11-16,1434160989
2000-11-17,1374757871
2000-11-20,1340813232
2000-11-21,1323840913
2000-11-22,1255951635
2000-11-24,1306868593
2000-11-27,1272923955
2000-11-28,1298382434
2000-11-29,1281410114
2000-11-30,1247465475
2000-12-01,1255951635
2000-12-04,1205034677
2000-12-05,1272923955
2000-12-06,1264437795
2000-12-07,1247465475
2000-12-08,1264437795
2000-12-11,1366271711
2000-12-12,1408702510
2000-12-13,1358800000
2000-12-14,1335100000
2000-12-15,1271900000
2000-12-18,1271900000
2000-12-19,1216600000
2000-12-20,1200800000
2000-12-21,1129700000
2000-12-22,1185000000
2000-12-26,1145500000
2000-12-27,1185000000
2000-12-28,1185000000
2000-12-29,1216600000
2001-01-02,1216600000
2001-01-03,1429900000
2001-01-04,1429900000
2001-01-05,1422000000
2001-01-08,1390400000
2001-01-09,1414100000
2001-01-10,1469400000
2001-01-11,1501000000
2001-01-12,1580000000
2001-01-16,1564200000
2001-01-17,1619500000
2001-01-18,1690600000
2001-01-19,1651100000
2001-01-22,1627400000
