,ABC
2000-01-03,796850473
2000-01-04,743590544
2000-01-05,800947390
2000-01-06,860352696
2000-01-07,973017930
2000-01-10,999647894
2000-01-11,1030374776
2000-01-12,1030374776
2000-01-13,1212687609
2000-01-14,1136894634
2000-01-18,1087731622
2000-01-19,1091828540
2000-01-20,1034471694
2000-01-21,985308682
2000-01-24,995550976
2000-01-25,960727177
2000-01-26,927951836
2000-01-27,960727177
2000-01-28,960727177
2000-01-31,927951836
2000-02-01,956630259
2000-02-02,966872553
2000-02-03,960727177
2000-02-04,944339506
2000-02-07,938194130
2000-02-08,915661083
2000-02-09,882885742
2000-02-10,874691907
2000-02-11,846013484
2000-02-14,837819649
2000-02-15,813238143
2000-02-16,815286602
2000-02-17,858304237
2000-02-18,802995849
2000-02-22,807092767
2000-02-23,794802014
2000-02-24,768172050
2000-02-25,716960580
2000-02-28,743590544
2000-02-29,745639003
2000-03-01,762026673
2000-03-02,764075132
2000-03-03,733348250
2000-03-06,710815203
2000-03-07,669846027
2000-03-08,661652192
2000-03-09,665749110
2000-03-10,665749110
2000-03-13,659603733
2000-03-14,614537640
2000-03-15,700572909
2000-03-16,835771190
2000-03-17,809141226
2000-03-20,815286602
2000-03-21,819383520
2000-03-22,819383520
2000-03-23,772268967
2000-03-24,768172050
2000-03-27,764075132
2000-03-28,764075132
2000-03-29,768172050
2000-03-30,743590544
2000-03-31,768172050
2000-04-03,755179702
2000-04-04,802636350
2000-04-05,829459673
2000-04-06,866599658
2000-04-07,864536325
2000-04-10,802636350
2000-04-11,881042986
2000-04-12,899612978
2000-04-13,918182971
2000-04-14,883106318
2000-04-17,895486313
2000-04-18,924372968
2000-04-19,932626299
2000-04-20,932626299
2000-04-24,922309636
2000-04-25,963576286
2000-04-26,984209612
2000-04-27,1006906269
2000-04-28,1031666260
2000-05-01,1006906269
2000-05-02,932626299
2000-05-03,932626299
2000-05-04,940879629
2000-05-05,980082947
2000-05-08,961512954
2000-05-09,961512954
2000-05-10,938816296
2000-05-11,938816296
2000-05-12,911992973
2000-05-15,928499634
2000-05-16,1031666260
2000-05-17,1021349597
2000-05-18,1035792925
2000-05-19,1134832886
2000-05-22,1128642888
2000-05-23,1180226201
2000-05-24,1316406147
2000-05-25,1306089485
2000-05-26,1283392827
2000-05-30,1285456159
2000-05-31,1250379507
2000-06-01,1308152817
2000-06-02,1301962820
2000-06-05,1256569504
2000-06-06,1353546133
2000-06-07,1322596145
2000-06-08,1279266162
2000-06-09,1328786142
2000-06-12,1351482800
2000-06-13,1508296072
2000-06-14,1419572773
2000-06-15,1477346084
2000-06-16,1518612734
2000-06-19,1483536081
2000-06-20,1502106074
2000-06-21,1500042742
2000-06-22,1471156086
2000-06-23,1467029421
2000-06-26,1543372724
2000-06-27,1448459429
2000-06-28,1530992729
2000-06-29,1605272700
2000-06-30,1599082703
2000-07-03,1586037662
2000-07-05,1592273721
2000-07-06,1762725999
2000-07-07,1802221039
2000-07-10,1806378412
2000-07-11,1702444096
2000-07-12,1658791683
2000-07-13,1598509780
2000-07-14,1581880289
2000-07-17,1598509780
2000-07-18,1600588466
2000-07-19,1540306563
2000-07-20,1600588466
2000-07-21,1610981898
2000-07-24,1627611388
2000-07-25,1575644230
2000-07-26,1640083506
2000-07-27,1714916214
2000-07-28,1806378412
2000-07-31,1814693157
2000-08-01,1823007902
2000-08-02,1800142353
2000-08-03,1852109511
2000-08-04,1870817688
2000-08-07,1968515945
2000-08-08,1964358572
2000-08-09,1922784846
2000-08-10,1897840610
2000-08-11,1935256963
2000-08-14,1922784846
2000-08-15,1906155355
2000-08-16,1841716079
2000-08-17,1912391414
2000-08-18,1854188197
2000-08-21,1962279886
2000-08-22,1904076669
2000-08-23,1864581629
2000-08-24,1829243961
2000-08-25,1808457098
2000-08-28,1785591548
2000-08-29,1748175195
2000-08-30,1777276803
