,SCHW
2000-01-03,30053029253
2000-01-04,29638840767
2000-01-05,29845935010
2000-01-06,29845935010
2000-01-07,31575781039
2000-01-10,31673237154
2000-01-11,31770693268
2000-01-12,30552491839
2000-01-13,32891438583
2000-01-14,33293445054
2000-01-18,31673237154
2000-01-19,32489432111
2000-01-20,31880331396
2000-01-21,31271230682
2000-01-24,30857042196
2000-01-25,29894663067
2000-01-26,30966680325
2000-01-27,30308851553
2000-01-28,28579005524
2000-01-31,28579005524
2000-02-01,28932283938
2000-02-02,29029740053
2000-02-03,28932283938
2000-02-04,30808314139
2000-02-07,32891438583
2000-02-08,32075243625
2000-02-09,30662129967
2000-02-10,31271230682
2000-02-11,31673237154
2000-02-14,31015408382
2000-02-15,31222502625
2000-02-16,30857042196
2000-02-17,32026515568
2000-02-18,31064136439
2000-02-22,30455035725
2000-02-23,32136153697
2000-02-24,30808314139
2000-02-25,30759586082
2000-02-28,30308851553
2000-02-29,34109640012
2000-03-01,37764244299
2000-03-02,36643498984
2000-03-03,38982445728
2000-03-06,38726623427
2000-03-07,37618060127
2000-03-08,36546042870
2000-03-09,36948049341
2000-03-10,43039056486
2000-03-13,41321392471
2000-03-14,39494090328
2000-03-15,39384452199
2000-03-16,40602653628
2000-03-17,44866358630
2000-03-20,43855251444
2000-03-21,44208529858
2000-03-22,46754570845
2000-03-23,49739164346
2000-03-24,52784667918
2000-03-27,48728057160
2000-03-28,48825513274
2000-03-29,48277322631
2000-03-30,47911862202
2000-03-31,52128400000
2000-04-03,52073528000
2000-04-04,45722094000
2000-04-05,48698900000
2000-04-06,53157250000
2000-04-07,50413650000
2000-04-10,51044678000
2000-04-11,49494544000
2000-04-12,46641200000
2000-04-13,44816706000
2000-04-14,37038600000
2000-04-17,38410400000
2000-04-18,41044256000
2000-04-19,40413228000
2000-04-20,40234894000
2000-04-24,40358356000
2000-04-25,42073106000
2000-04-26,41154000000
2000-04-27,41606694000
2000-04-28,40701306000
2000-05-01,41730156000
2000-05-02,40920794000
2000-05-03,41387206000
