,UPC
2021-03-23,103312500
2021-03-24,90697500
2021-03-25,88087500
2021-03-26,88305000
2021-03-29,122017499
2021-03-30,95047500
2021-03-31,87217500
2021-04-01,114187500
2021-04-05,122887500
2021-04-06,112665000
2021-04-07,110925000
2021-04-08,104182500
2021-04-09,100920000
2021-04-12,91785000
2021-04-13,88957500
2021-04-14,85260000
2021-04-15,78735000
2021-04-16,84172500
2021-04-19,77212500
2021-04-20,74820000
2021-04-21,78300000
2021-04-22,77212500
2021-04-23,76125000
2021-04-26,81127500
2021-04-27,78300000
2021-04-28,81562500
2021-04-29,80692500
2021-04-30,80040000
2021-05-03,76560000
2021-05-04,75907500
2021-05-05,74602500
2021-05-06,69382500
2021-05-07,69382500
2021-05-10,66555000
2021-05-11,71775000
2021-05-12,70252500
2021-05-13,67207500
2021-05-14,70470000
2021-05-17,69382500
2021-05-18,69382500
2021-05-19,69817500
2021-05-20,71775000
2021-05-21,71122500
2021-05-24,71557500
2021-05-25,70035000
2021-05-26,71775000
2021-05-27,71775000
2021-05-28,69817500
2021-06-01,69600000
2021-06-02,68512500
2021-06-03,67425000
2021-06-04,64815000
2021-06-07,66772500
2021-06-08,67425000
2021-06-09,65467499
2021-06-10,64162500
2021-06-11,64597500
2021-06-14,67207500
2021-06-15,70470000
2021-06-16,67425000
2021-06-17,66119999
2021-06-18,65467499
2021-06-21,64597500
2021-06-22,65830000
2021-06-23,66011250
2021-06-24,65902500
2021-06-25,66337500
2021-06-28,63727499
2021-06-29,80475000
2021-06-30,68947500
2021-07-01,68730000
2021-07-02,68730000
2021-07-06,65250000
2021-07-07,63727499
2021-07-08,63945000
2021-07-09,64162500
2021-07-12,63727499
2021-07-13,62422499
2021-07-14,59812500
2021-07-15,59377500
2021-07-16,59377500
2021-07-19,56550000
2021-07-20,57637500
2021-07-21,57637500
2021-07-22,83302500
2021-07-23,66119999
2021-07-26,60682499
2021-07-27,55897500
2021-07-28,52200000
2021-07-29,52852500
2021-07-30,51547500
2021-08-02,56332500
2021-08-03,51982500
2021-08-04,58725000
2021-08-05,56985000
2021-08-06,57855000
2021-08-09,57420000
2021-08-10,57202500
2021-08-11,55027500
2021-08-12,54810000
2021-08-13,52852500
2021-08-16,52200000
2021-08-17,50931250
2021-08-18,52635000
