,STR
2017-09-08,444334950
2017-09-11,303599279
2017-09-12,303599279
2017-09-13,303599279
2017-09-14,303599279
2017-09-15,303599279
2017-09-18,303599279
2017-09-19,303599279
2017-09-20,303599279
2017-09-21,303599279
2017-09-22,303599279
2017-09-25,303599279
2017-09-26,303599279
2017-09-27,303599279
2017-09-28,303599279
2017-09-29,303599279
2017-10-02,303599279
2017-10-03,303599279
2017-10-04,303599279
2017-10-05,303599279
2017-10-06,303599279
2017-10-09,303599279
2017-10-10,303599279
2017-10-11,303599279
2017-10-12,440208000
2017-10-13,300779472
2017-10-16,440208000
2017-10-17,440208000
2017-10-18,300779472
2017-10-19,439290900
2017-10-20,439749450
2017-10-23,300466160
2017-10-24,300466160
2017-10-25,440208000
2017-10-26,300779472
2017-10-27,300779472
2017-10-30,439290900
2017-10-31,439290900
2017-11-01,439290900
2017-11-02,439290900
2017-11-03,439290900
2017-11-06,439290900
2017-11-07,439290900
2017-11-08,439290900
2017-11-09,439290900
2017-11-10,439290900
2017-11-13,440208000
2017-11-14,440208000
2017-11-15,440208000
2017-11-16,440208000
2017-11-17,440208000
2017-11-20,440208000
2017-11-21,440208000
2017-11-22,440208000
2017-11-24,440208000
2017-11-27,440208000
2017-11-28,440208000
2017-11-29,440208000
2017-11-30,440208000
2017-12-01,440208000
2017-12-04,440208000
2017-12-05,440208000
2017-12-06,440208000
2017-12-07,440208000
2017-12-08,440208000
2017-12-11,440208000
2017-12-12,440208000
2017-12-13,440208000
2017-12-14,440208000
2017-12-15,440208000
2017-12-18,440208000
2017-12-19,440208000
2017-12-20,440208000
2017-12-21,440208000
2017-12-22,440208000
2017-12-26,440208000
2017-12-27,440208000
2017-12-28,440208000
2017-12-29,440208000
2018-01-02,440208000
2018-01-03,440208000
2018-01-04,440208000
2018-01-05,442500750
2018-01-08,442500750
2018-01-09,444793499
2018-01-10,444793499
2018-01-11,442500750
2018-01-12,442500750
2018-01-16,442500750
2018-01-17,442500750
2018-01-18,442500750
2018-01-19,444793499
2018-01-22,444793499
2018-01-23,444793499
2018-01-24,441583650
2018-01-25,441583650
2018-01-26,441583650
2018-01-29,441583650
2018-01-30,441583650
2018-01-31,441125099
2018-02-01,447086250
2018-02-02,448920449
2018-02-05,448920449
2018-02-06,449379000
2018-02-07,440208000
2018-02-08,441125099
2018-02-09,441125099
2018-02-12,441583650
2018-02-13,441583650
2018-02-14,444793499
2018-02-15,441125099
2018-02-16,441239737
2018-02-20,441125099
2018-02-21,441125099
2018-02-22,441125099
2018-02-23,441125099
2018-02-26,441125099
2018-02-27,441125099
2018-02-28,441125099
2018-03-01,442615387
2018-03-02,441583650
2018-03-05,441583650
2018-03-06,441583650
2018-03-07,441583650
2018-03-08,441125099
2018-03-09,441125099
2018-03-12,441125099
2018-03-13,441125099
2018-03-14,441125099
2018-03-15,441125099
2018-03-16,441125099
2018-03-19,440208000
2018-03-20,441125099
2018-03-21,441125099
2018-03-22,442042200
2018-03-23,441125099
2018-03-26,441125099
2018-03-27,441125099
2018-03-28,441125099
2018-03-29,441125099
2018-04-02,441125099
2018-04-03,441125099
2018-04-04,441125099
2018-04-05,441125099
2018-04-06,441125099
2018-04-09,442042200
2018-04-10,442042200
2018-04-11,442042200
2018-04-12,442042200
2018-04-13,442042200
2018-04-16,441583650
2018-04-17,441583650
2018-04-18,441583650
2018-04-19,441583650
2018-04-20,441583650
2018-04-23,441583650
2018-04-24,441583650
2018-04-25,441583650
2018-04-26,458550000
2018-04-27,442500750
2018-04-30,442042200
2018-05-01,442042200
2018-05-02,444793499
2018-05-03,443876400
2018-05-04,443417850
2018-05-07,443876400
2018-05-08,443876400
