,MLM
2000-12-01,1851904139
2000-12-04,1857480763
2000-12-05,1947171478
2000-12-06,1961577759
2000-12-07,1970407415
2000-12-08,2030356131
2000-12-11,2049409599
2000-12-12,1963436634
2000-12-13,1882110856
2000-12-14,1846792233
2000-12-15,1789167110
2000-12-18,1811938328
2000-12-19,1741765800
2000-12-20,1765931174
2000-12-21,1937877104
2000-12-22,1904882074
2000-12-26,1916964761
2000-12-27,1940200697
2000-12-28,1952283384
2000-12-29,1965760227
2001-01-02,1918695765
2001-01-03,2034495362
2001-01-04,2037790473
2001-01-05,2038261203
2001-01-08,1999190607
2001-01-09,1994954036
2001-01-10,1918225035
2001-01-11,1906927513
2001-01-12,1918225035
2001-01-16,1949763949
2001-01-17,1949293219
2001-01-18,1904573863
2001-01-19,1857030126
2001-01-22,1812310769
2001-01-23,1835847273
2001-01-24,1882920280
2001-01-25,1932346937
2001-01-26,1930934747
2001-01-29,1936112777
2001-01-30,1977066294
2001-01-31,1994483306
2001-02-01,1984127245
2001-02-02,1978007754
2001-02-05,2025551491
2001-02-06,2053324565
2001-02-07,2058973326
2001-02-08,2042497773
2001-02-09,2045792884
2001-02-12,2065563547
2001-02-13,2097102461
2001-02-14,2076390338
2001-02-15,2115931664
2001-02-16,2124404805
2001-02-20,2154060800
2001-02-21,2112165824
2001-02-22,2104163412
2001-02-23,2109341443
2001-02-26,2212431329
2001-02-27,2194543586
2001-02-28,2163004671
2001-03-01,2146529119
2001-03-02,2207724028
2001-03-05,2207724028
2001-03-06,2227494691
2001-03-07,2211960598
2001-03-08,2217138629
2001-03-09,2198309426
2001-03-12,2193602126
2001-03-13,2160180291
2001-03-14,2104163412
2001-03-15,2118285315
2001-03-16,2041556313
2001-03-19,2102280492
2001-03-20,2118285315
2001-03-21,2048617264
2001-03-22,1958237091
2001-03-23,1974241913
2001-03-26,2006251558
2001-03-27,1977066294
2001-03-28,1971417533
2001-03-29,1960590741
2001-03-30,2010017398
2001-04-02,2014161637
2001-04-03,1977540517
2001-04-04,2028905206
2001-04-05,2042697576
2001-04-06,1998466871
2001-04-09,2049831560
2001-04-10,2156841328
2001-04-11,2090257473
2001-04-12,2078843097
2001-04-16,2066477524
2001-04-17,2056965545
2001-04-18,2106903437
2001-04-19,2111659426
2001-04-20,2089781874
2001-04-23,2062197133
2001-04-24,2105476640
2001-04-25,2132585781
2001-04-26,2204401225
2001-04-27,2192511251
2001-04-30,2186328465
2001-05-01,2156841328
2001-05-02,2185852866
2001-05-03,2196791642
2001-05-04,2206779220
2001-05-07,2273838675
2001-05-08,2282875056
2001-05-09,2283350654
2001-05-10,2342324927
2001-05-11,2338044536
2001-05-14,2359446490
2001-05-15,2368482870
2001-05-16,2383702037
2001-05-17,2417469564
2001-05-18,2411286777
2001-05-21,2422225554
2001-05-22,2438395919
2001-05-23,2349458911
2001-05-24,2343751724
2001-05-25,2339946932
2001-05-29,2320922973
2001-05-30,2354214901
2001-05-31,2348032114
2001-06-01,2309032999
2001-06-04,2287631045
2001-06-05,2302374613
2001-06-06,2288582243
2001-06-07,2271460680
2001-06-08,2278119066
2001-06-11,2270985081
2001-06-12,2302374613
2001-06-13,2301899014
2001-06-14,2256717112
2001-06-15,2226754377
2001-06-18,2212010809
2001-06-19,2209632814
2001-06-20,2282875056
2001-06-21,2285728649
2001-06-22,2269558284
2001-06-25,2226754377
2001-06-26,2235790757
2001-06-27,2236266356
2001-06-28,2265277894
2001-06-29,2353739302
2001-07-02,2385947786
2001-07-03,2409633248
2001-07-05,2420750914
2001-07-06,2378697134
2001-07-09,2313924645
2001-07-10,2381597395
2001-07-11,2383530902
2001-07-12,2412050132
2001-07-13,2383047525
2001-07-16,2228366955
2001-07-17,2204198116
2001-07-18,2192113697
2001-07-19,2222566434
2001-07-20,2233200723
2001-07-23,2189696813
2001-07-24,2078520154
2001-07-25,2042266895
2001-07-26,2050000923
2001-07-27,2073686386
2001-07-30,2077553400
2001-07-31,2130724846
2001-08-01,2127824585
2001-08-02,2126857832
2001-08-03,2131691599
2001-08-06,2057251575
2001-08-07,2078520154
2001-08-08,2088187689
2001-08-09,2078520154
2001-08-10,2112839905
2001-08-13,2095438341
2001-08-14,2128307962
2001-08-15,2094471587
2001-08-16,2106556007
2001-08-17,2073203009
2001-08-20,2026315461
2001-08-21,2002629999
2001-08-22,1978461160
2001-08-23,1965893364
2001-08-24,2004563506
2001-08-27,1957675959
2001-08-28,1928189975
2001-08-29,1907888150
2001-08-30,1943174655
2001-08-31,1909338281
2001-09-04,1923356207
2001-09-05,1997796231
2001-09-06,2041783518
2001-09-07,1981844798
2001-09-10,1983294928
2001-09-17,1885169442
2001-09-18,1914172048
2001-09-19,1909821657
2001-09-20,1786077202
2001-09-21,1740156408
2001-09-24,1798161621
2001-09-25,1793327853
2001-09-26,1788494086
2001-09-27,1844082415
2001-09-28,1890486586
2001-10-01,1855757996
2001-10-02,1868382200
2001-10-03,1917907924
2001-10-04,1968890287
2001-10-05,1951896166
2001-10-08,1887318506
2001-10-09,1901884896
2001-10-10,1949468434
2001-10-11,2026184751
2001-10-12,2041236687
2001-10-15,2017444918
2001-10-16,2060658539
2001-10-17,2063086271
2001-10-18,2046577696
2001-10-19,2075710475
2001-10-22,2104843253
2001-10-23,1971803564
2001-10-24,1995595334
2001-10-25,1956266082
2001-10-26,1993653148
2001-10-29,1967433648
2001-10-30,1923734480
2001-10-31,1938300869
2001-11-01,1956751629
2001-11-02,1965977009
2001-11-05,2044149965
2001-11-06,2005306260
2001-11-07,2013075001
2001-11-08,2048034335
2001-11-09,2008705084
2001-11-12,2039780048
2001-11-13,2091733503
2001-11-14,2181559570
2001-11-15,2166507635
2001-11-16,2160681079
2001-11-19,2171848644
2001-11-20,2135432671
2001-11-21,2073282743
2001-11-23,2125236198
2001-11-26,2068427280
2001-11-27,2123294013
2001-11-28,2124265106
2001-11-29,2069398373
2001-11-30,2063571817
2001-12-03,2068912826
2001-12-04,2053375344
2001-12-05,2200010330
2001-12-06,2173790829
2001-12-07,2180102931
2001-12-10,2197097052
2001-12-11,2184958395
2001-12-12,2189813858
2001-12-13,2155825616
2001-12-14,2136403764
2001-12-17,2157282255
2001-12-18,2204865793
2001-12-19,2173790829
2001-12-20,2178646292
2001-12-21,2172819737
2001-12-24,2216518905
2001-12-26,2206322432
2001-12-27,2241281766
2001-12-28,2239339581
2001-12-31,2262645804
2002-01-02,2261189165
2002-01-03,2283524295
2002-01-04,2336448843
2002-01-07,2320425815
2002-01-08,2282553203
2002-01-09,2287894212
2002-01-10,2216033358
2002-01-11,2156311162
2002-01-14,2183987302
2002-01-15,2176218561
2002-01-16,2173790829
2002-01-17,2153397884
2002-01-18,2132033847
2002-01-22,2108727624
2002-01-23,2030554668
2002-01-24,2084450308
2002-01-25,2081537030
2002-01-28,2050947613
2002-01-29,2020358195
2002-01-30,1976173481
2002-01-31,1979572305
2002-02-01,2001421889
2002-02-04,1993167602
2002-02-05,1995595334
2002-02-06,1956266082
2002-02-07,1906740359
2002-02-08,1904798174
2002-02-11,1950925073
2002-02-12,1965491462
2002-02-13,1980543398
2002-02-14,1988797685
2002-02-15,1984913315
2002-02-19,1961121546
2002-02-20,1959179360
2002-02-21,1985398861
2002-02-22,1990739871
2002-02-25,1991710963
2002-02-26,2019872649
2002-02-27,2056288622
2002-02-28,2027155844
2002-03-01,2060172993
2002-03-04,2112126448
2002-03-05,2102901068
2002-03-06,2109698716
2002-03-07,2117467457
2002-03-08,2077167114
2002-03-11,2076681567
2002-03-12,2054831983
2002-03-13,2078138206
2002-03-14,2079594845
2002-03-15,2064057363
2002-03-18,2039294502
2002-03-19,2046577696
2002-03-20,2030554668
2002-03-21,2026670297
2002-03-22,2029583575
2002-03-25,1978601213
2002-03-26,2012589454
2002-03-27,1999479704
2002-03-28,2049976520
2002-04-01,2034699912
2002-04-02,2023011832
2002-04-03,2011323752
2002-04-04,2015706782
2002-04-05,2007914729
2002-04-08,2038108936
2002-04-09,2074634185
2002-04-10,2109698425
2002-04-11,2094114319
2002-04-12,2113594452
2002-04-15,2113107448
2002-04-16,1994278636
2002-04-17,1948013320
2002-04-18,1965058436
2002-04-19,1939734263
2002-04-22,1887624907
2002-04-23,1843794607
2002-04-24,1840872587
2002-04-25,1836976560
2002-04-26,1921228136
2002-04-29,1911488070
2002-04-30,1897364973
2002-05-01,1927559180
2002-05-02,1928533186
2002-05-03,1909540056
2002-05-06,1881780867
2002-05-07,1900773996
2002-05-08,1924637160
2002-05-09,1956292376
2002-05-10,1952883353
2002-05-13,1965058436
2002-05-14,2002557692
2002-05-15,2006453719
2002-05-16,2004505706
2002-05-17,1996226649
2002-05-20,1995739646
2002-05-21,1981129546
2002-05-22,1960188403
2002-05-23,1968954463
2002-05-24,1977720523
2002-05-28,1977720523
2002-05-29,1951422343
2002-05-30,1941195273
