,HWM
2000-01-03,58484501182
2000-01-04,58755471509
2000-01-05,62142528338
2000-01-06,61329617357
2000-01-07,61148970473
2000-01-10,60968323588
2000-01-11,60607029819
2000-01-12,60065089164
2000-01-13,58981207856
2000-01-14,57807003106
2000-01-18,56361828028
2000-01-19,56452151470
2000-01-20,53110184103
2000-01-21,54465035738
2000-01-24,53065094641
2000-01-25,52252183660
2000-01-26,51439272678
2000-01-27,50942421487
2000-01-28,50219833948
2000-01-31,50355391370
2000-02-01,52116626237
2000-02-02,54058652507
2000-02-03,52381993702
2000-02-04,51113225688
2000-02-07,49391326241
2000-02-08,47805438726
2000-02-09,46853790214
2000-02-10,47488174221
2000-02-11,49074206739
2000-02-14,52381993702
2000-02-15,53560135429
2000-02-16,53469509142
2000-02-17,55780551954
2000-02-18,54466398296
2000-02-22,52563246275
2000-02-23,51566357122
2000-02-24,50524227326
2000-02-25,50886732473
2000-02-28,51521116480
2000-02-29,49663205102
2000-03-01,50569467968
2000-03-02,48439822732
2000-03-03,49255459312
2000-03-06,48394437088
2000-03-07,47080428432
2000-03-08,48847568521
2000-03-09,49074206739
2000-03-10,48575689661
2000-03-13,49346085599
2000-03-14,44406880474
2000-03-15,46446044425
2000-03-16,49980469606
2000-03-17,46899175859
2000-03-20,47533559866
2000-03-21,49527338173
2000-03-22,48485063375
2000-03-23,50388215395
2000-03-24,51883621626
2000-03-27,52246126773
2000-03-28,51566357122
2000-03-29,52291367415
2000-03-30,52110114842
2000-03-31,50931973115
2000-04-03,52019488555
2000-04-04,51249237619
2000-04-05,50161722179
2000-04-06,51430490193
2000-04-07,49255459312
2000-04-10,49074206739
2000-04-11,51022599402
2000-04-12,50977358759
2000-04-13,50614853613
2000-04-14,48077317586
2000-04-17,46853790214
2000-04-18,45403769627
2000-04-19,45585022201
2000-04-20,47171054719
2000-04-24,47035042788
2000-04-25,49663205102
2000-04-26,47578800508
2000-04-27,47306921648
2000-04-28,47035042788
2000-05-01,45992912992
2000-05-02,46853790214
2000-05-03,46310032494
2000-05-04,47037891551
2000-05-05,48493609665
2000-05-08,48129680137
2000-05-09,48129680137
2000-05-10,47447385057
2000-05-11,47401821080
2000-05-12,47464416958
2000-05-15,49403433486
2000-05-16,48721138406
2000-05-17,47583785844
2000-05-18,47765750608
2000-05-19,47310838697
2000-05-22,46355596471
2000-05-23,45081843122
2000-05-24,44945296763
2000-05-25,43808089772
2000-05-26,41715494984
2000-05-30,42261389276
2000-05-31,42534336423
2000-06-01,41988442130
2000-06-02,45127261527
2000-06-05,44444966447
2000-06-06,44672349616
2000-06-07,43853508177
2000-06-08,43171213097
2000-06-09,42230091337
2000-06-12,42033860535
2000-06-13,41033054332
2000-06-14,43580561031
2000-06-15,44581367234
2000-06-16,45218243909
2000-06-19,43762525795
2000-06-20,43762525795
2000-06-21,41777945291
2000-06-22,42397790064
2000-06-23,44035472941
2000-06-26,42033860535
2000-06-27,43580561031
2000-06-28,43159712924
2000-06-29,42215825299
2000-06-30,42215825299
2000-07-03,43307613885
2000-07-05,42943684356
2000-07-06,42124842917
2000-07-07,40214212893
2000-07-10,43671543413
2000-07-11,47310838697
2000-07-12,46764944405
2000-07-13,47401821080
2000-07-14,47947715372
2000-07-17,44763331998
2000-07-18,44126455324
2000-07-19,44581367234
2000-07-20,44399402470
2000-07-21,46219050112
2000-07-24,46128067730
2000-07-25,45582173437
2000-07-26,44581367234
2000-07-27,45855120584
2000-07-28,45127261527
2000-07-31,44035472941
2000-08-01,45218243909
2000-08-02,46491997258
2000-08-03,45669938368
2000-08-04,45578598491
2000-08-07,47314056149
2000-08-08,50602291712
2000-08-09,48958173930
2000-08-10,49049513807
2000-08-11,48684154300
2000-08-14,49871572698
2000-08-15,50054252451
2000-08-16,50328272081
2000-08-17,50510951835
2000-08-18,50054252451
2000-08-21,48318794793
2000-08-22,47862095410
2000-08-23,48866834054
2000-08-24,48501474547
2000-08-25,48775494177
2000-08-28,49780232821
2000-08-29,47679415656
2000-08-30,47770755533
2000-08-31,48621312465
2000-09-01,48501474547
2000-09-05,49414873314
2000-09-06,49232193561
2000-09-07,47862095410
2000-09-08,48592814423
2000-09-11,47022937694
2000-09-12,44208500340
2000-09-13,44482519970
2000-09-14,43203761696
2000-09-15,41788066678
2000-09-18,39458826750
2000-09-19,40920264778
2000-09-20,36809970324
2000-09-21,35439872173
2000-09-22,36535950694
2000-09-25,34709153159
2000-09-26,34899140103
2000-09-27,34343793653
2000-09-28,35629859117
2000-09-29,36992650078
2000-10-02,35805231680
2000-10-03,39367486873
2000-10-04,39824186257
2000-10-05,39641506503
2000-10-06,40280885640
2000-10-09,41833663545
2000-10-10,43295101573
2000-10-11,39732846380
2000-10-12,37906048845
2000-10-13,37723369092
2000-10-16,36901310201
2000-10-17,37997388722
2000-10-18,36079251310
2000-10-19,35531212050
2000-10-20,34435133529
2000-10-23,35074512666
2000-10-24,36444610817
2000-10-25,36444610817
2000-10-26,36170591187
2000-10-27,36535950694
2000-10-30,41285624285
2000-10-31,41925003422
2000-11-01,42655722436
2000-11-02,40729334971
2000-11-03,40545869498
2000-11-06,42288791490
2000-11-07,42563989699
2000-11-08,42472256963
2000-11-09,41921860544
2000-11-10,41738395071
2000-11-13,41371464126
2000-11-14,42380524226
2000-11-15,42930920645
2000-11-16,41004533180
2000-11-17,39628542134
2000-11-20,38436016560
2000-11-21,38527749297
2000-11-22,38344283824
2000-11-24,38344283824
2000-11-27,39445076661
2000-11-28,40821067707
2000-11-29,40912800444
2000-11-30,41371464126
2000-12-01,42563989699
2000-12-04,45499437265
2000-12-05,46233299156
2000-12-06,45958100947
2000-12-07,42839187908
2000-12-08,44857308110
2000-12-11,47242359257
2000-12-12,46416764629
2000-12-13,47976221148
2000-12-14,46600230102
2000-12-15,45407704528
2000-12-18,47425824729
2000-12-19,49168746722
2000-12-20,46141566420
2000-12-21,46600230102
2000-12-22,51095134186
2000-12-26,50728203241
2000-12-27,50177806822
2000-12-28,50819935977
2000-12-29,49168746722
2001-01-02,47334091993
2001-01-03,47976221148
2001-01-04,49535677667
2001-01-05,48618350303
2001-01-08,49352212194
2001-01-09,47517557466
2001-01-10,48067953884
2001-01-11,46233299156
2001-01-12,46691962838
2001-01-16,49260479458
2001-01-17,49260479458
2001-01-18,50544737768
2001-01-19,47976221148
2001-01-22,49260479458
2001-01-23,49810875876
2001-01-24,50728203241
2001-01-25,52012461551
2001-01-26,50728203241
2001-01-29,49931963089
2001-01-30,51986776384
