,SYF
2014-07-31,17986000000
2014-08-01,17986000000
2014-08-04,17986000000
2014-08-05,17986000000
2014-08-06,17970360000
2014-08-07,17931260000
2014-08-08,17946900000
2014-08-11,17931260000
2014-08-12,17986000000
2014-08-13,18126760000
2014-08-14,17993820000
2014-08-15,17986000000
2014-08-18,18118940000
2014-08-19,19088620000
2014-08-20,19698580000
2014-08-21,19854980000
2014-08-22,19831520000
2014-08-25,19643840000
2014-08-26,19589100000
2014-08-27,19917540000
2014-08-28,20089580000
2014-08-29,20167780000
2014-09-02,20167780000
2014-09-03,20167780000
2014-09-04,20097400000
2014-09-05,20152140000
2014-09-08,19424880000
2014-09-09,19581280000
2014-09-10,19315400000
2014-09-11,19276300000
2014-09-12,19159000000
2014-09-15,18885300000
2014-09-16,19010420000
2014-09-17,19198100000
2014-09-18,19291940000
2014-09-19,19870620000
2014-09-22,19424880000
2014-09-23,19221560000
2014-09-24,19487440000
2014-09-25,19260660000
2014-09-26,19370140000
2014-09-29,19315400000
2014-09-30,20469790000
2014-10-01,20194636000
2014-10-02,20494804000
2014-10-03,20703254000
2014-10-06,20845000000
2014-10-07,20719930000
2014-10-08,20861676000
2014-10-09,20469790000
2014-10-10,20177960000
2014-10-13,20394748000
2014-10-14,20719930000
2014-10-15,20444776000
2014-10-16,20511480000
2014-10-17,20661564000
2014-10-20,20603198000
2014-10-21,20986746000
2014-10-22,21161844000
2014-10-23,21520378000
2014-10-24,21770518000
2014-10-27,22120714000
2014-10-28,22387530000
2014-10-29,22512600000
2014-10-30,22337502000
2014-10-31,22529276000
2014-11-03,22796092000
2014-11-04,22520938000
2014-11-05,22904486000
2014-11-06,22996204000
2014-11-07,23471470000
2014-11-10,23988426000
2014-11-11,24271918000
2014-11-12,24205214000
2014-11-13,24171862000
2014-11-14,24221890000
2014-11-17,24288594000
2014-11-18,24138510000
2014-11-19,24130172000
2014-11-20,24380312000
2014-11-21,24321946000
2014-11-24,24155186000
2014-11-25,23896708000
2014-11-26,24013440000
2014-11-28,24188538000
2014-12-01,24080144000
2014-12-02,24221890000
2014-12-03,24180200000
2014-12-04,24305270000
2014-12-05,24388650000
2014-12-08,24605438000
2014-12-09,24613776000
2014-12-10,24722170000
2014-12-11,24613776000
2014-12-12,24180200000
2014-12-15,23871694000
2014-12-16,23713272000
2014-12-17,24096820000
2014-12-18,24805550000
2014-12-19,25014000000
