,RAD
2001-01-30,1071868125
2001-01-31,1097593002
2001-02-01,1100451275
2001-02-02,1131892697
2001-02-05,1171909150
2001-02-06,1231933722
2001-02-07,1286241750
2001-02-08,1217642147
2001-02-09,1151900916
2001-02-12,1174767422
2001-02-13,1157617575
2001-02-14,1274808447
2001-02-15,1280525091
2001-02-16,1266233516
2001-02-20,1303391597
2001-02-21,1331974747
2001-02-22,1283383477
2001-02-23,1237650366
2001-02-26,1317683172
2001-02-27,1423440841
2001-02-28,1492040458
2001-03-01,1554923402
2001-03-02,1740713877
2001-03-05,3053811814
2001-03-06,2984743300
2001-03-07,2940342085
2001-03-08,2836739500
2001-03-09,2743003685
2001-03-12,2639401100
2001-03-13,2703536030
2001-03-14,2826872530
2001-03-15,2812072200
2001-03-16,2787404900
2001-03-19,2861406800
2001-03-20,2960076000
2001-03-21,3029144514
2001-03-22,2994610269
2001-03-23,3009410600
2001-03-26,3029144514
2001-03-27,3182081700
2001-03-28,3300484814
2001-03-29,3413954171
2001-03-30,3300484814
2001-04-02,3152481014
2001-04-03,3004477214
2001-04-04,2960076000
2001-04-05,2999543630
2001-04-06,2945275669
2001-04-09,2817005585
2001-04-10,2979809914
2001-04-11,2969942969
2001-04-12,2910741400
2001-04-16,2831806114
2001-04-17,2792338285
2001-04-18,2940342085
2001-04-19,3043944869
2001-04-20,3182081700
2001-04-23,3058745200
2001-04-24,3177148314
2001-04-25,3428754700
2001-04-26,3507689985
2001-04-27,3522490514
2001-04-30,3596492414
2001-05-01,3690228228
2001-05-02,3621159714
2001-05-03,3596492414
2001-05-04,3502756600
2001-05-07,3527423900
2001-05-08,3996102600
2001-05-09,4213174914
2001-05-10,4178640471
2001-05-11,4139173014
2001-05-14,4045437200
2001-05-15,3981302071
2001-05-16,4297043585
2001-05-17,4208241528
2001-05-18,4065171114
2001-05-21,4223041685
2001-05-22,4346378185
2001-05-23,4247708985
2001-05-24,4464781300
2001-05-25,4469714685
2001-05-29,4459847914
2001-05-30,4326644271
2001-05-31,4129305871
2001-06-01,4321710885
2001-06-04,4196908631
2001-06-05,4082317200
2001-06-06,4153936800
2001-06-07,4115739536
2001-06-08,4101415831
2001-06-11,4020246736
2001-06-12,3752866968
2001-06-13,4206457768
2001-06-14,4301950568
2001-06-15,4650499431
2001-06-18,4535908000
2001-06-19,4321049200
2001-06-20,4545457136
2001-06-21,4464288400
2001-06-22,4306725136
2001-06-25,4316274631
2001-06-26,4378344736
2001-06-27,4087091768
2001-06-28,4220781831
2001-06-29,4297176000
2001-07-02,4344922400
2001-07-03,4268528231
2001-07-05,4192134063
2001-07-06,4001148463
2001-07-09,3853134336
2001-07-10,3958176631
2001-07-11,4005923031
2001-07-12,3934303431
2001-07-13,3910430231
2001-07-16,3819712000
2001-07-17,3891331600
2001-07-18,3948627136
2001-07-19,4130063600
2001-07-20,4082317200
2001-07-23,4087091768
2001-07-24,4048894863
2001-07-25,4244655031
2001-07-26,4206457768
2001-07-27,4325823768
2001-07-30,4282851936
2001-07-31,4020246736
2001-08-01,4130063600
2001-08-02,4096641263
2001-08-03,4173035431
2001-08-06,4153936800
2001-08-07,4091866336
2001-08-08,4106190400
2001-08-09,4053669431
2001-08-10,4072768063
2001-08-13,4058444000
2001-08-14,3910430231
2001-08-15,3781514736
2001-08-16,3728993768
2001-08-17,3638275536
2001-08-20,3595304063
2001-08-21,3518909536
2001-08-22,3609627768
2001-08-23,3752866968
2001-08-24,3814937431
2001-08-27,3795838800
2001-08-28,3728993768
2001-08-29,3733768336
2001-08-30,3748092400
2001-08-31,3791064231
2001-09-04,4020246144
2001-09-05,4054565171
2001-09-06,3907482995
2001-09-07,4020246144
2001-09-10,4113398262
2001-09-17,3824136576
2001-09-18,3853552937
2001-09-19,3794720214
2001-09-20,3603513312
2001-09-21,3162266784
2001-09-24,3427014774
2001-09-25,3402501078
2001-09-26,3373084716
2001-09-27,3446625804
2001-09-28,3784914515
2001-10-01,3745692822
2001-10-02,3505458528
2001-10-03,3402501078
2001-10-04,3020087273
2001-10-05,2750436617
2001-10-08,2819075040
2001-10-09,2926935351
2001-10-10,2936740854
2001-10-11,3024990135
2001-10-12,3123044919
2001-10-15,3226002540
2001-10-16,3270126899
2001-10-17,3078920168
2001-10-18,3000476439
2001-10-19,3020087273
2001-10-22,3020087273
2001-10-23,3010281942
2001-10-24,3044600969
2001-10-25,3064212000
2001-10-26,3260321568
2001-10-29,3083823030
2001-10-30,2789658678
2001-10-31,2706312087
2001-11-01,2794561344
2001-11-02,2843588736
2001-11-05,2902421655
2001-11-06,2922032489
2001-11-07,2961254550
2001-11-08,2931837992
2001-11-09,2838686070
2001-11-12,2735728424
2001-11-13,2564132552
2001-11-14,2529813353
2001-11-15,2534716215
2001-11-16,2618062806
2001-11-19,2740631286
2001-11-20,2642576502
2001-11-21,2549424384
2001-11-23,2573938080
2001-11-26,2539618856
2001-11-27,2485688823
2001-11-28,2500396992
2001-11-29,2421953238
2001-11-30,2299384758
2001-12-03,2398339948
2001-12-04,2336179922
2001-12-05,2227400000
2001-12-06,2279200000
2001-12-07,2237760051
2001-12-10,2232579922
2001-12-11,2217039948
2001-12-12,2123800000
2001-12-13,2170420077
2001-12-14,2077179922
2001-12-17,2066820077
2001-12-18,2040920077
2001-12-19,2056460051
2001-12-20,2066820077
2001-12-21,2046100000
2001-12-24,2066820077
2001-12-26,2211860051
2001-12-27,2408700000
2001-12-28,2517479922
2001-12-31,2621079922
2002-01-02,2538200000
2002-01-03,2403520077
2002-01-04,2408700000
2002-01-07,2434600000
2002-01-08,2268839948
2002-01-09,2118620077
2002-01-10,1559180025
2002-01-11,1559180025
2002-01-14,1507380025
2002-01-15,1305360051
2002-01-16,1336439948
2002-01-17,1300180025
2002-01-18,1113700000
2002-01-22,1067080025
2002-01-23,1196580025
2002-01-24,1336439948
2002-01-25,1455580025
2002-01-28,1362339948
2002-01-29,1238019974
2002-01-30,1170680025
2002-01-31,1232839948
2002-02-01,1253560051
2002-02-04,1258739948
2002-02-05,1232839948
2002-02-06,1476300000
2002-02-07,1336439948
2002-02-08,1269100000
2002-02-11,1336439948
2002-02-12,1357160051
2002-02-13,1460760051
2002-02-14,1517739948
2002-02-15,1393419974
2002-02-19,1398600000
2002-02-20,1341619974
2002-02-21,1326080025
2002-02-22,1305360051
2002-02-25,1320900000
2002-02-26,1362339948
2002-02-27,1569539948
2002-02-28,1730120077
2002-03-01,1564360051
