,XRX
2000-01-03,10186815786
2000-01-04,9713605259
2000-01-05,9897453944
2000-01-06,10002967101
2000-01-07,10239572365
2000-01-10,10002967101
2000-01-11,9897453944
2000-01-12,9871874996
2000-01-13,10134059207
2000-01-14,9924631575
2000-01-18,9950210523
2000-01-19,10030144733
2000-01-20,9635269733
2000-01-21,9318730260
2000-01-24,9160460523
2000-01-25,9240394733
2000-01-26,9265973681
2000-01-27,9029368418
2000-01-28,8634493418
2000-01-31,8792763155
2000-02-01,8765585523
2000-02-02,8818342102
2000-02-03,9160460523
2000-02-04,9265973681
2000-02-07,9134881575
2000-02-08,9160460523
2000-02-09,9107703944
2000-02-10,8687249997
2000-02-11,8528980260
2000-02-14,9265973681
2000-02-15,9371486839
2000-02-16,9107703944
2000-02-17,8792763155
2000-02-18,8845519733
2000-02-22,8818342102
2000-02-23,8687249997
2000-02-24,8581736839
2000-02-25,8476223681
2000-02-28,8740006576
2000-02-29,9160460523
2000-03-01,9082124997
2000-03-02,8923855260
2000-03-03,8818342102
2000-03-06,9054947365
2000-03-07,8712828944
2000-03-08,8951032891
2000-03-09,9424243417
2000-03-10,10213993417
2000-03-13,10319506575
2000-03-14,9924631575
2000-03-15,10845473680
2000-03-16,10792717101
2000-03-17,10872651312
2000-03-20,10950986838
2000-03-21,11871828943
2000-03-22,11371440785
2000-03-23,11318684206
2000-03-24,11293105259
2000-03-27,11318684206
2000-03-28,11267526312
2000-03-29,11267526312
2000-03-30,11187592101
2000-03-31,10950986838
2000-04-03,10975305560
2000-04-04,11140285100
2000-04-05,11195278280
2000-04-06,12073502700
2000-04-07,12183489060
2000-04-10,11908523159
2000-04-11,11661887080
2000-04-12,11690216900
2000-04-13,11278601280
2000-04-14,10673676300
2000-04-17,10921978840
2000-04-18,10975305560
2000-04-19,11305264640
2000-04-20,10948642200
2000-04-24,10592019760
2000-04-25,11716880260
2000-04-26,12293475420
2000-04-27,11881859800
2000-04-28,11635223719
2000-05-01,11881859800
2000-05-02,11745210080
2000-05-03,11745210080
2000-05-04,11745210080
2000-05-05,12183489060
2000-05-08,12348468600
2000-05-09,12293475420
2000-05-10,12073502700
2000-05-11,11195278280
2000-05-12,11853529980
2000-05-15,11690216900
