,CHD
2000-01-03,1004880420
2000-01-04,981673020
2000-01-05,981673020
2000-01-06,1016484120
2000-01-07,1053615960
2000-01-10,1039691520
2000-01-11,1030408560
2000-01-12,1009521899
2000-01-13,1055936700
2000-01-14,1046653740
2000-01-18,1011842640
2000-01-19,1000238939
2000-01-20,995597460
2000-01-21,960786359
2000-01-24,939899700
2000-01-25,884201940
2000-01-26,902767860
2000-01-27,886522680
2000-01-28,858673800
2000-01-31,854032320
2000-02-01,796013820
2000-02-02,821541960
2000-02-03,800655300
2000-02-04,784410120
2000-02-07,749599020
2000-02-08,705504960
2000-02-09,635882760
2000-02-10,633562020
2000-02-11,617316840
2000-02-14,649807200
2000-02-15,714787920
2000-02-16,703184220
2000-02-17,698542740
2000-02-18,659090160
2000-02-22,663731640
2000-02-23,670693860
2000-02-24,652127940
2000-02-25,642844980
2000-02-28,663731640
2000-02-29,659090160
2000-03-01,659090160
2000-03-02,654448680
2000-03-03,682297560
2000-03-06,691580520
2000-03-07,661410900
2000-03-08,649807200
2000-03-09,654448680
2000-03-10,577864260
2000-03-13,580185000
2000-03-14,573222780
2000-03-15,587147220
2000-03-16,610354620
2000-03-17,591788700
2000-03-20,619637580
2000-03-21,617316840
2000-03-22,612675360
2000-03-23,624279060
2000-03-24,594109440
2000-03-27,589467960
2000-03-28,580185000
2000-03-29,582505740
2000-03-30,635882760
2000-03-31,654688320
2000-04-03,682157760
2000-04-04,650110080
2000-04-05,650110080
2000-04-06,636375360
2000-04-07,629508000
2000-04-10,647820960
2000-04-11,640953600
2000-04-12,634086240
2000-04-13,652399200
2000-04-14,624929760
2000-04-17,638664480
2000-04-18,634086240
2000-04-19,624929760
2000-04-20,638664480
2000-04-24,643242720
2000-04-25,615773280
2000-04-26,636375360
2000-04-27,640953600
2000-04-28,682157760
2000-05-01,721072800
2000-05-02,725651040
2000-05-03,718783680
2000-05-04,732518400
2000-05-05,748542240
2000-05-08,732518400
2000-05-09,727940160
2000-05-10,723361920
2000-05-11,732518400
2000-05-12,693603360
