,IBM
2000-01-03,197091480000
2000-01-04,190391436000
2000-01-05,197091480000
2000-01-06,193697028000
2000-01-07,192843972000
2000-01-10,200485932000
2000-01-11,202192044000
2000-01-12,203027328000
2000-01-13,200912460000
2000-01-14,203240592000
2000-01-18,196664952000
2000-01-19,203027328000
2000-01-20,202192044000
2000-01-21,206439552000
2000-01-24,206439552000
2000-01-25,202405308000
2000-01-26,198371064000
2000-01-27,192843972000
2000-01-28,189556152000
2000-01-31,190711332000
2000-02-01,186890352000
2000-02-02,192843972000
2000-02-03,198993084000
2000-02-04,196451688000
2000-02-07,193910292000
2000-02-08,201872148000
2000-02-09,199419612000
2000-02-10,202405308000
2000-02-11,196025160000
2000-02-14,197198112000
2000-02-15,198993084000
2000-02-16,196664952000
2000-02-17,198371064000
2000-02-18,191137860000
2000-02-22,188596464000
2000-02-23,184775484000
2000-02-24,187743408000
2000-02-25,183495900000
2000-02-28,177542280000
2000-02-29,174574356000
2000-03-01,170326848000
2000-03-02,175214148000
2000-03-03,183495900000
2000-03-06,175107516000
2000-03-07,175000884000
2000-03-08,180527976000
2000-03-09,183495900000
2000-03-10,178821864000
2000-03-13,182962740000
2000-03-14,184562220000
2000-03-15,181789788000
2000-03-16,185202012000
2000-03-17,186890352000
2000-03-20,191564388000
2000-03-21,192843972000
2000-03-22,194123556000
2000-03-23,195811896000
2000-03-24,204946704000
2000-03-27,215574360000
2000-03-28,208127892000
2000-03-29,202192044000
2000-03-30,208554420000
2000-03-31,200039292000
2000-04-03,206155188000
2000-04-04,204794136000
2000-04-05,211228200000
2000-04-06,207427860000
2000-04-07,208064196000
2000-04-10,206367300000
2000-04-11,201736188000
2000-04-12,192226500000
2000-04-13,186941376000
2000-04-14,177431688000
2000-04-17,189062496000
2000-04-18,188426160000
2000-04-19,177431688000
2000-04-20,175752468000
2000-04-24,179977032000
2000-04-25,190105380000
2000-04-26,186729264000
2000-04-27,186941376000
2000-04-28,188426160000
2000-05-01,189256932000
2000-05-02,188214048000
2000-05-03,182716812000
2000-05-04,181868364000
2000-05-05,182292588000
2000-05-08,185456592000
2000-05-09,184201596000
2000-05-10,174055572000
2000-05-11,176477184000
2000-05-12,176477184000
2000-05-15,176070636000
2000-05-16,184201596000
2000-05-17,182292588000
2000-05-18,179234640000
2000-05-19,179870976000
2000-05-22,184625820000
2000-05-23,181444140000
2000-05-24,185244480000
2000-05-25,179977032000
2000-05-26,180701748000
2000-05-30,187471656000
2000-05-31,181338084000
2000-06-01,179128584000
2000-06-02,183883428000
2000-06-05,190635660000
2000-06-06,189893268000
2000-06-07,204475968000
2000-06-08,202354848000
