,CHRW
2000-12-01,2464163520
2000-12-04,2553861780
2000-12-05,2553861780
2000-12-06,2613096480
2000-12-07,2697717480
2000-12-08,2750182500
2000-12-11,2750182500
2000-12-12,2570785980
2000-12-13,2491242240
2000-12-14,2486164980
2000-12-15,2327077500
2000-12-18,2501396760
2000-12-19,2533552740
2000-12-20,2501396760
2000-12-21,2496319500
2000-12-22,2496319500
2000-12-26,2454009000
2000-12-27,2718026520
2000-12-28,2692640220
2000-12-29,2660484240
2001-01-02,2521035360
2001-01-03,2694841680
2001-01-04,2667842640
2001-01-05,2637468720
2001-01-08,2536222320
2001-01-09,2510910720
2001-01-10,2483911680
2001-01-11,2362416000
2001-01-12,2305043040
2001-01-16,2347229040
2001-01-17,2367478320
2001-01-18,2394477360
2001-01-19,2367478320
2001-01-22,2372540640
2001-01-23,2404602000
2001-01-24,2262857040
2001-01-25,2347229040
2001-01-26,2315167680
2001-01-29,2353978800
2001-01-30,2342166720
2001-01-31,2526097680
2001-02-01,2362416000
2001-02-02,2478849360
2001-02-05,2436663360
2001-02-06,2494036320
2001-02-07,2492348880
2001-02-08,2473787040
2001-02-09,2468724720
2001-02-12,2451850320
2001-02-13,2510910720
2001-02-14,2499098640
2001-02-15,2546346960
2001-02-16,2532847440
2001-02-20,2553096720
2001-02-21,2494036320
2001-02-22,2499098640
2001-02-23,2504160960
2001-02-26,2515973040
2001-02-27,2499098640
2001-02-28,2521035360
2001-03-01,2531160000
2001-03-02,2510910720
2001-03-05,2494036320
2001-03-06,2558159040
2001-03-07,2615532000
2001-03-08,2573346000
2001-03-09,2563221360
2001-03-12,2409664320
2001-03-13,2384352720
2001-03-14,2227420800
2001-03-15,2146423680
2001-03-16,1992866640
2001-03-19,2183547360
2001-03-20,2305043040
2001-03-21,2299980720
2001-03-22,2283106320
2001-03-23,2342166720
2001-03-26,2357353680
2001-03-27,2283106320
2001-03-28,2159923200
2001-03-29,2220671040
2001-03-30,2310105360
2001-04-02,2230293320
2001-04-03,2093641460
2001-04-04,2140879140
2001-04-05,2151001500
2001-04-06,2124008540
2001-04-09,2044716719
2001-04-10,2113886180
2001-04-11,2049777900
2001-04-12,1989043739
2001-04-16,2036281420
2001-04-17,2070022620
2001-04-18,2049777900
2001-04-19,2140879140
2001-04-20,2193178000
2001-04-23,2174620340
2001-04-24,2252225100
2001-04-25,2312959260
2001-04-26,2306211020
2001-04-27,2311272200
2001-04-30,2282592180
2001-05-01,2319707500
2001-05-02,2382128720
2001-05-03,2339952220
2001-05-04,2377067540
2001-05-07,2358509880
2001-05-08,2382128720
2001-05-09,2361884000
2001-05-10,2420931100
2001-05-11,2429366400
2001-05-14,2436114640
2001-05-15,2522154700
2001-05-16,2530590000
2001-05-17,2611568880
2001-05-18,2614943000
2001-05-21,2638561840
2001-05-22,2545773540
2001-05-23,2471542900
2001-05-24,2530590000
2001-05-25,2522154700
2001-05-29,2490100560
2001-05-30,2446237000
2001-05-31,2518780580
2001-06-01,2425992280
2001-06-04,2464794660
2001-06-05,2518780580
2001-06-06,2444549940
2001-06-07,2464794660
2001-06-08,2485039380
2001-06-11,2446237000
2001-06-12,2493474680
2001-06-13,2476604080
2001-06-14,2479978200
2001-06-15,2383815780
2001-06-18,2292714540
2001-06-19,2255599220
2001-06-20,2235354500
2001-06-21,2247163920
2001-06-22,2301149840
2001-06-25,2235354500
2001-06-26,2277531000
2001-06-27,2291027480
2001-06-28,2370319300
2001-06-29,2353448700
2001-07-02,2382148440
2001-07-03,2363603760
2001-07-05,2383834320
