,WM
2000-01-03,10786601540
2000-01-04,10743157230
2000-01-05,10786601540
2000-01-06,10705919250
2000-01-07,10277682480
2000-01-10,10321126790
2000-01-11,10203206520
2000-01-12,10432840730
2000-01-13,10513523020
2000-01-14,10395602750
2000-01-18,10395602750
2000-01-19,10631443290
2000-01-20,10395602750
2000-01-21,10321126790
2000-01-24,10122524230
2000-01-25,9967365980
2000-01-26,10277682480
2000-01-27,10743157230
2000-01-28,10978997770
2000-01-31,10861077500
2000-02-01,10861077500
2000-02-02,10786601540
2000-02-03,11252076290
2000-02-04,11053473730
2000-02-07,10786601540
2000-02-08,10395602750
2000-02-09,10122524230
2000-02-10,9309495000
2000-02-11,8961940520
2000-02-14,9117098770
2000-02-15,9036416480
2000-02-16,9346732980
2000-02-17,9855652040
2000-02-18,9619811500
2000-02-22,10010810290
2000-02-23,9774969750
2000-02-24,9774969750
2000-02-25,9464653250
2000-02-28,9309495000
2000-02-29,9309495000
2000-03-01,9154336750
2000-03-02,8999178500
2000-03-03,9079860790
2000-03-06,8806782270
2000-03-07,8651624020
2000-03-08,8651624020
2000-03-09,8651624020
2000-03-10,8688862000
2000-03-13,8651624020
2000-03-14,8223387250
2000-03-15,8223387250
2000-03-16,8341307520
2000-03-17,8844020250
2000-03-20,8924702540
2000-03-21,8651624020
2000-03-22,8688862000
2000-03-23,8688862000
2000-03-24,8415783480
2000-03-27,8844020250
2000-03-28,8105466980
2000-03-29,8769544290
2000-03-30,8570941730
2000-03-31,8502379850
2000-04-03,8812912350
2000-04-04,8850176250
2000-04-05,8576907650
2000-04-06,8887440150
2000-04-07,9278711100
2000-04-10,9663771400
2000-04-11,9508505150
2000-04-12,9471241250
2000-04-13,9042706400
2000-04-14,8576907650
2000-04-17,8384377500
2000-04-18,8887440150
2000-04-19,8576907650
2000-04-20,8694910000
2000-04-24,9197972650
2000-04-25,9353238900
2000-04-26,9353238900
2000-04-27,9278711100
2000-04-28,9937040000
2000-05-01,9819037650
2000-05-02,9589243600
2000-05-03,9197972650
2000-05-04,9278711100
2000-05-05,9781773750
2000-05-08,9626507500
2000-05-09,9315975000
2000-05-10,9315975000
2000-05-11,11762971100
2000-05-12,11918237350
2000-05-15,11682232650
2000-05-16,11644968750
2000-05-17,11644968750
2000-05-18,11415174700
2000-05-19,11334436250
2000-05-22,11334436250
2000-05-23,11682232650
2000-05-24,11725707200
2000-05-25,12073503600
2000-05-26,12657304700
2000-05-30,12576566250
2000-05-31,12657304700
2000-06-01,12613830150
2000-06-02,11992765150
2000-06-05,12346772200
2000-06-06,12036239700
2000-06-07,11992765150
2000-06-08,11526966400
2000-06-09,11880973450
2000-06-12,11880973450
2000-06-13,11415174700
2000-06-14,11334436250
2000-06-15,11104642200
2000-06-16,10831373600
2000-06-19,11104642200
2000-06-20,10986639850
2000-06-21,11061167650
2000-06-22,10986639850
2000-06-23,10638843450
2000-06-26,10831373600
2000-06-27,10868637500
2000-06-28,10713371250
2000-06-29,10676107350
2000-06-30,11808595000
2000-07-03,11690509050
2000-07-05,11845885300
2000-07-06,12044766900
2000-07-07,11926680950
2000-07-10,11808595000
2000-07-11,11845885300
2000-07-12,11963971250
2000-07-13,12082057200
2000-07-14,12156637800
2000-07-17,11808595000
2000-07-18,11690509050
2000-07-19,11578638150
2000-07-20,11615928450
2000-07-21,11460552200
2000-07-24,11267885650
2000-07-25,11578638150
2000-07-26,11497842500
2000-07-27,11690509050
2000-07-28,11653218750
2000-07-31,11615928450
2000-08-01,11653218750
2000-08-02,11808595000
2000-08-03,11845885300
2000-08-04,12392809700
2000-08-07,13325067200
2000-08-08,13206981250
2000-08-09,12355519400
2000-08-10,12200143150
2000-08-11,12312014050
2000-08-14,12703562200
2000-08-15,12274723750
2000-08-16,12082057200
2000-08-17,11926680950
2000-08-18,12119347500
2000-08-21,12156637800
2000-08-22,12200143150
2000-08-23,12082057200
2000-08-24,11889390650
2000-08-25,11734014400
2000-08-28,11771304700
2000-08-29,11690509050
2000-08-30,11845885300
2000-08-31,11771304700
2000-09-01,11653218750
