,ECL
2000-01-03,4858609920
2000-01-04,4729665920
2000-01-05,4915345280
2000-01-06,5134550080
2000-01-07,5134550080
2000-01-10,5237705280
2000-01-11,5180969920
2000-01-12,5085551360
2000-01-13,5044289280
2000-01-14,5085551360
2000-01-18,4956607360
2000-01-19,4892135360
2000-01-20,4876662080
2000-01-21,4778664640
2000-01-24,4690982720
2000-01-25,4592985280
2000-01-26,4665193920
2000-01-27,4649720640
2000-01-28,4448568000
2000-01-31,4536249920
2000-02-01,4520776640
2000-02-02,4391832640
2000-02-03,4482093440
2000-02-04,4528513280
2000-02-07,4505303360
2000-02-08,4407305920
2000-02-09,4262888640
2000-02-10,4270625279
2000-02-11,4190680000
2000-02-14,4190680000
2000-02-15,4304150720
2000-02-16,4224205439
2000-02-17,4213889920
2000-02-18,4005000640
2000-02-22,4084945920
2000-02-23,4012737280
2000-02-24,3754849280
2000-02-25,3754849280
2000-02-28,3690377280
2000-02-29,3643957440
2000-03-01,3723902720
2000-03-02,3708429440
2000-03-03,3956001920
2000-03-06,3674904000
2000-03-07,3659430720
2000-03-08,3754849280
2000-03-09,3901845440
2000-03-10,3917318720
2000-03-13,3845110080
2000-03-14,3974054080
2000-03-15,4198416640
2000-03-16,4464041280
2000-03-17,4440831360
2000-03-20,4399569280
2000-03-21,4513040000
2000-03-22,4433094720
2000-03-23,4368622720
2000-03-24,4456304640
2000-03-27,4456304640
2000-03-28,4464041280
2000-03-29,4505303360
2000-03-30,4706456000
2000-03-31,4707731280
2000-04-03,4771904280
2000-04-04,4741101240
2000-04-05,4846344960
2000-04-06,4861746480
2000-04-07,4805274240
2000-04-10,4861746480
2000-04-11,4910517960
2000-04-12,4925919480
2000-04-13,4869447240
2000-04-14,4700030520
2000-04-17,4669227480
2000-04-18,4563983760
2000-04-19,4571684520
2000-04-20,4700030520
2000-04-24,4869447240
2000-04-25,4949021760
2000-04-26,4990092480
2000-04-27,5005494000
2000-04-28,5013194760
2000-05-01,5156942280
2000-05-02,5141540760
2000-05-03,5118438480
2000-05-04,5118438480
2000-05-05,5167209960
2000-05-08,5038863960
2000-05-09,5133840000
2000-05-10,5133840000
2000-05-11,5221115280
2000-05-12,5246784480
2000-05-15,5239083720
2000-05-16,5133840000
2000-05-17,5133840000
2000-05-18,5028596280
2000-05-19,5005494000
2000-05-22,5077367760
2000-05-23,5005494000
