,CFG
2017-06-01,17469828687
2017-06-02,17282471103
2017-06-05,17206515327
2017-06-06,17145750705
2017-06-07,17479956123
2017-06-08,18036965154
2017-06-09,18401552883
2017-06-12,18538273282
2017-06-13,18674993680
2017-06-14,18523082126
2017-06-15,18588910466
2017-06-16,18416744039
2017-06-19,18507890971
2017-06-20,18199004145
2017-06-21,17824288979
2017-06-22,17712887173
2017-06-23,17464764968
2017-06-26,17550848182
2017-06-27,17641995114
2017-06-28,17895181037
2017-06-29,18052156309
2017-06-30,17870723191
2017-07-03,18301463717
2017-07-05,18471756482
2017-07-06,18331515381
2017-07-07,18566920087
2017-07-10,18556902865
2017-07-11,18396627321
2017-07-12,18291446495
2017-07-13,18456730650
2017-07-14,18151205394
2017-07-17,18076076232
2017-07-18,17825645694
2017-07-19,17665370150
2017-07-20,17655352929
2017-07-21,17269689900
2017-07-24,17755525144
2017-07-25,17955869574
2017-07-26,17615284042
2017-07-27,17550172103
2017-07-28,17500085995
2017-07-31,17570206546
2017-08-01,17640327096
2017-08-02,17840671527
2017-08-03,17640327096
2017-08-04,17840671527
2017-08-07,17705439036
2017-08-08,17700430425
2017-08-09,17545163492
2017-08-10,16884026871
2017-08-11,16723751327
2017-08-14,17139466020
2017-08-15,17024267973
2017-08-16,17004233530
2017-08-17,16433251903
2017-08-18,16558467172
2017-08-21,16378157185
2017-08-22,16738777159
2017-08-23,16778846046
2017-08-24,17029276584
2017-08-25,16954147422
2017-08-28,16763820213
2017-08-29,16683682441
2017-08-30,16723751327
2017-08-31,16593527447
2017-09-01,16833940764
2017-09-05,16353114131
2017-09-06,16413217460
2017-09-07,16067623318
2017-09-08,16433251903
2017-09-11,16758811602
2017-09-12,17269689900
2017-09-13,17374870726
2017-09-14,17419948223
2017-09-15,17610275432
2017-09-18,17825645694
2017-09-19,17940843742
2017-09-20,17925817910
2017-09-21,18166231226
2017-09-22,18206300112
2017-09-25,18261394830
2017-09-26,18441704818
2017-09-27,18642049248
2017-09-28,18566920087
2017-09-29,18967608948
2017-10-02,18317814178
2017-10-03,18130797268
2017-10-04,17997916832
2017-10-05,18273520700
2017-10-06,18450694614
2017-10-09,18362107657
2017-10-10,18608182539
2017-10-11,18431008624
2017-10-12,18288285193
2017-10-13,18199698235
2017-10-16,18234148719
2017-10-17,18052053306
2017-10-18,18298128188
2017-10-19,18421165629
2017-10-20,18864100415
2017-10-23,18947765875
2017-10-24,18883786406
2017-10-25,18716455486
2017-10-26,18952687373
2017-10-27,18923158387
2017-10-30,18741062975
2017-10-31,18706612491
2017-11-01,18883786406
2017-11-02,19065881818
2017-11-03,19105253799
2017-11-06,19056038823
2017-11-07,18539281572
2017-11-08,18362107657
2017-11-09,18116032776
2017-11-10,18052053306
2017-11-13,18307971183
2017-11-14,18736141477
2017-11-15,18770591960
2017-11-16,18662319012
2017-11-17,18785356453
2017-11-20,18824728434
2017-11-21,18652476017
2017-11-22,18618025534
2017-11-24,18578653553
2017-11-27,18519595581
2017-11-28,19085567809
2017-11-29,20015730861
2017-11-30,20030495354
2017-12-01,20025573856
2017-12-04,20596467581
2017-12-05,20124003809
2017-12-06,19996044870
2017-12-07,20389764681
2017-12-08,20542331107
2017-12-11,20384843183
2017-12-12,20630918064
2017-12-13,20345471202
2017-12-14,20114160813
2017-12-15,20522645117
2017-12-18,20685054538
2017-12-19,20709662027
2017-12-20,20635839562
2017-12-21,20965579903
2017-12-22,20980344396
2017-12-26,20926207922
2017-12-27,20847463960
2017-12-28,20886835941
2017-12-29,20660447050
2018-01-02,20806526376
2018-01-03,21045401679
2018-01-04,21294026994
2018-01-05,21391527117
2018-01-08,21479277229
2018-01-09,21542652309
2018-01-10,21888777748
2018-01-11,22083777995
2018-01-12,22191028131
2018-01-16,22059402964
2018-01-17,22347028329
2018-01-18,22308028279
2018-01-19,22824778934
2018-01-22,23307404546
2018-01-23,23336654583
2018-01-24,23097779280
2018-01-25,22751653842
2018-01-26,22888154015
2018-01-29,22790653891
2018-01-30,22507903533
2018-01-31,22376278366
2018-02-01,22819903928
2018-02-02,22434778440
2018-02-05,21294026994
2018-02-06,21742527562
2018-02-07,21859527711
2018-02-08,20567651073
2018-02-09,20986901604
2018-02-12,21430527167
2018-02-13,21640152433
2018-02-14,22351903335
2018-02-15,22434778440
2018-02-16,22390903384
2018-02-20,22468903483
2018-02-21,22571278613
2018-02-22,22156903088
2018-02-23,22634653693
2018-02-26,21713277525
2018-02-27,21328152037
2018-02-28,21201401876
2018-03-01,21220901901
2018-03-02,21537777303
2018-03-05,21869277723
2018-03-06,22093528007
2018-03-07,22152028081
2018-03-08,22044777945
2018-03-09,22551778588
2018-03-12,22498153520
2018-03-13,22293403261
2018-03-14,22000902890
2018-03-15,21918027785
2018-03-16,21874152729
2018-03-19,21893652754
2018-03-20,21825402667
2018-03-21,21898527760
2018-03-22,20938151543
2018-03-23,20119150504
2018-03-26,21021026648
2018-03-27,20275150702
2018-03-28,20255650677
2018-03-29,20465275943
2018-04-02,19922992949
2018-04-03,20267161440
2018-04-04,20732516020
2018-04-05,20853702109
2018-04-06,20107195803
2018-04-09,20233229335
2018-04-10,20698583915
2018-04-11,20446516851
2018-04-12,20960345866
2018-04-13,20494991287
2018-04-16,20538618278
2018-04-17,20015094376
2018-04-18,19889060844
2018-04-19,20291398658
2018-04-20,20349567980
2018-04-23,20606482488
2018-04-24,20490143843
2018-04-25,20611329932
2018-04-26,20349567980
2018-04-27,20587092714
2018-04-30,20112043247
2018-05-01,19850281296
2018-05-02,19879365957
2018-05-03,19588519345
2018-05-04,19889060844
2018-05-07,19908450618
2018-05-08,20029636707
2018-05-09,20441669408
2018-05-10,20533770835
2018-05-11,20553160609
2018-05-14,20524075948
2018-05-15,20708278802
2018-05-16,20621024819
2018-05-17,20601635045
2018-05-18,20145975352
2018-05-21,20305940989
2018-05-22,20451364295
2018-05-23,20257466553
2018-05-24,20136280465
2018-05-25,20121738134
2018-05-29,19103774991
2018-05-30,19603061675
2018-05-31,19801806860
2018-06-01,20179907457
2018-06-04,20315635876
2018-06-05,20112043247
2018-06-06,20543465722
2018-06-07,20315635876
2018-06-08,20349567980
2018-06-11,20286551214
2018-06-12,20461059182
2018-06-13,20281703771
2018-06-14,20068416255
2018-06-15,20213839561
2018-06-18,20286551214
2018-06-19,20238076779
2018-06-20,20305940989
2018-06-21,20325330763
2018-06-22,19961772497
2018-06-25,19801806860
2018-06-26,19457638369
2018-06-27,19176486644
2018-06-28,19152249426
2018-06-29,18856555370
2018-07-02,18743207373
2018-07-03,18543305212
2018-07-05,18648015868
2018-07-06,18728928648
2018-07-09,19276279803
2018-07-10,19057339341
2018-07-11,18938349959
2018-07-12,18833639303
2018-07-13,18733688223
2018-07-16,19028781889
2018-07-17,19057339341
2018-07-18,19533296867
2018-07-19,19352433007
2018-07-20,19133492545
2018-07-23,19290558528
2018-07-24,19057339341
2018-07-25,19000224437
2018-07-26,19019262738
2018-07-27,19085896792
2018-07-30,19071618066
2018-07-31,18933590384
2018-08-01,19000224437
2018-08-02,19176328722
2018-08-03,19238203200
2018-08-06,19100175518
2018-08-07,19233443625
2018-08-08,19519018141
2018-08-09,19319115980
2018-08-10,19166809572
2018-08-13,18962147835
2018-08-14,19228684050
2018-08-15,18919311658
2018-08-16,19257241501
2018-08-17,19366711732
2018-08-20,19442864937
2018-08-21,19642767098
2018-08-22,19633247947
2018-08-23,19533296867
2018-08-24,19490460689
2018-08-27,19718920302
2018-08-28,19752237329
2018-08-29,19576133044
2018-08-30,19476181963
2018-08-31,19590411770
2018-09-04,19623728796
2018-09-05,19742718178
2018-09-06,19604690495
2018-09-07,19519018141
2018-09-10,19400028759
2018-09-11,19528537291
2018-09-12,19209645749
2018-09-13,18928830809
2018-09-14,19104935093
2018-09-17,18985945712
2018-09-18,18947869110
2018-09-19,19238203200
2018-09-20,19528537291
2018-09-21,19504739415
2018-09-24,19233443625
2018-09-25,19104935093
2018-09-26,18757486099
2018-09-27,18529026487
2018-09-28,18357681777
2018-10-01,17927117327
2018-10-02,17791589067
2018-10-03,18146766574
2018-10-04,18272948057
2018-10-05,18123399633
2018-10-08,18333702104
2018-10-09,18212194010
2018-10-10,17833649562
2018-10-11,17286863136
2018-10-12,16875604970
2018-10-15,16754096876
2018-10-16,16688669440
2018-10-17,16772790429
2018-10-18,16319471769
2018-10-19,16997113065
2018-10-22,16716709770
2018-10-23,16936359018
2018-10-24,16370879039
2018-10-25,16772790429
2018-10-26,16758770264
2018-10-29,16898971911
2018-10-30,16978419512
2018-10-31,17455105113
2018-11-01,17483145443
2018-11-02,17534552714
2018-11-05,17632693867
2018-11-06,17632693867
2018-11-07,17824302785
2018-11-08,17899076997
2018-11-09,17786915679
2018-11-12,17581286596
2018-11-13,17614000314
2018-11-14,16922338853
2018-11-15,17095254218
2018-11-16,16945705794
2018-11-19,16800830758
2018-11-20,16464346804
2018-11-21,16590528287
2018-11-23,16445653251
2018-11-26,16852238029
2018-11-27,16847564641
2018-11-28,17025153394
2018-11-29,16838217864
2018-11-30,16992439677
2018-12-03,17081234053
2018-12-04,16095149132
2018-12-06,15786705508
2018-12-07,15426854613
2018-12-10,14978209341
2018-12-11,14805293976
2018-12-12,14781927034
2018-12-13,14431422916
2018-12-14,14141672844
2018-12-17,14057551856
2018-12-18,13931370373
2018-12-19,13552825925
2018-12-20,13482725101
2018-12-21,13328503289
2018-12-24,13057446770
2018-12-26,13781821949
2018-12-27,13823882443
2018-12-28,13819209055
2018-12-31,13697002603
2019-01-02,14056358877
2019-01-03,13991859033
2019-01-04,14567750498
2019-01-07,14747428635
2019-01-08,14747428635
2019-01-09,14940928167
2019-01-10,14853392665
2019-01-11,15033070802
2019-01-14,15231177466
2019-01-15,15249605993
2019-01-16,15641212189
2019-01-17,15618176530
2019-01-18,16323067683
2019-01-22,16207889390
