,WFC
2000-01-03,66374903999
2000-01-04,62981503999
2000-01-05,62472494000
2000-01-06,65221147999
2000-01-07,66374903999
2000-01-10,64270996000
2000-01-11,63219042000
2000-01-12,65017544000
2000-01-13,68614547999
2000-01-14,70718456000
2000-01-18,65967696000
2000-01-19,62370692000
2000-01-20,61725946000
2000-01-21,62133153999
2000-01-24,60877596000
2000-01-25,63829853999
2000-01-26,64915742000
2000-01-27,66171300000
2000-01-28,65764092000
2000-01-31,67868000000
2000-02-01,68614547999
2000-02-02,66171300000
2000-02-03,65967696000
2000-02-04,65424752000
2000-02-07,64780006000
2000-02-08,66069497999
2000-02-09,64270996000
2000-02-10,62370692000
2000-02-11,64270996000
2000-02-14,64169194000
2000-02-15,63931656000
2000-02-16,61725946000
2000-02-17,59282697999
2000-02-18,56839450000
2000-02-22,59384500000
2000-02-23,56194703999
2000-02-24,55787496000
2000-02-25,55448156000
2000-02-28,57891403999
2000-02-29,56092902000
2000-03-01,58841556000
2000-03-02,57585997999
2000-03-03,58841556000
2000-03-06,58434347999
2000-03-07,56092902000
2000-03-08,56839450000
2000-03-09,55685694000
2000-03-10,54599806000
2000-03-13,55346353999
2000-03-14,54090796000
2000-03-15,59384500000
2000-03-16,65322950000
2000-03-17,65322950000
2000-03-20,64372797999
2000-03-21,67121452000
2000-03-22,67868000000
2000-03-23,70311248000
2000-03-24,69564700000
2000-03-27,68716350000
2000-03-28,69021756000
2000-03-29,66917847999
2000-03-30,66476706000
2000-03-31,65745880000
2000-04-03,70455840000
2000-04-04,69778380000
2000-04-05,68455720000
2000-04-06,65326500000
2000-04-07,64132880000
2000-04-10,63713500000
2000-04-11,65132940000
2000-04-12,67746000000
2000-04-13,67358880000
2000-04-14,62616660000
2000-04-17,63519940000
2000-04-18,65842660000
2000-04-19,65745880000
2000-04-20,67455660000
2000-04-24,68971880000
2000-04-25,69455780000
2000-04-26,69455780000
2000-04-27,67842780000
2000-04-28,66229780000
2000-05-01,66326559999
2000-05-02,66745940000
2000-05-03,65423280000
2000-05-04,64132880000
2000-05-05,64326440000
2000-05-08,66552380000
2000-05-09,66939500000
2000-05-10,67036280000
2000-05-11,68552500000
2000-05-12,70455840000
2000-05-15,72391440000
2000-05-16,70359060000
2000-05-17,69262220000
2000-05-18,69649340000
2000-05-19,69552560000
2000-05-22,70778440000
2000-05-23,70681660000
2000-05-24,71778500000
2000-05-25,70778440000
2000-05-26,71584940000
2000-05-30,72391440000
2000-05-31,72875340000
2000-06-01,74101220000
2000-06-02,77036880000
2000-06-05,72778560000
2000-06-06,72488220000
2000-06-07,73391500000
2000-06-08,72294660000
2000-06-09,69649340000
2000-06-12,70972000000
2000-06-13,70584880000
2000-06-14,71584940000
2000-06-15,67746000000
2000-06-16,61810160000
2000-06-19,64939380000
2000-06-20,63100559999
2000-06-21,61810160000
2000-06-22,64229660000
2000-06-23,63616720000
2000-06-26,64713559999
2000-06-27,66133000000
2000-06-28,66229780000
2000-06-29,65745880000
2000-06-30,62519880000
2000-07-03,66621636000
2000-07-05,67866288000
2000-07-06,69602250000
2000-07-07,70028052000
2000-07-10,69798774000
2000-07-11,70519362000
2000-07-12,70617624000
2000-07-13,69897036000
2000-07-14,71534736000
2000-07-17,71043426000
2000-07-18,68881662000
2000-07-19,69078186000
2000-07-20,70945164000
2000-07-21,69405726000
2000-07-24,68488614000
2000-07-25,68685138000
2000-07-26,67047438000
2000-07-27,68783400000
2000-07-28,67964550000
2000-07-31,67669764000
2000-08-01,67440486000
2000-08-02,67866288000
2000-08-03,71764014000
2000-08-04,72353586000
2000-08-07,72877650000
2000-08-08,72353586000
2000-08-09,73401714000
2000-08-10,73303452000
2000-08-11,73696500000
2000-08-14,74122302000
2000-08-15,72779388000
2000-08-16,72255324000
2000-08-17,72975912000
2000-08-18,72484602000
2000-08-21,72681126000
2000-08-22,74613612000
2000-08-23,73893024000
2000-08-24,73074174000
2000-08-25,72779388000
2000-08-28,72157062000
2000-08-29,70846902000
2000-08-30,71141688000
2000-08-31,70715886000
2000-09-01,70322838000
2000-09-05,71534736000
2000-09-06,72779388000
2000-09-07,73696500000
2000-09-08,75334200000
2000-09-11,75760002000
2000-09-12,75858264000
2000-09-13,76153050000
2000-09-14,74417088000
2000-09-15,75235938000
2000-09-18,73172436000
2000-09-19,74515350000
2000-09-20,73991286000
2000-09-21,73074174000
2000-09-22,74122302000
2000-09-25,75760002000
2000-09-26,75530724000
2000-09-27,75858264000
2000-09-28,76578852000
2000-09-29,75235938000
2000-10-02,80750254000
2000-10-03,81951384000
2000-10-04,80853208000
2000-10-05,81814112000
2000-10-06,79892304000
2000-10-09,79137308000
2000-10-10,76906638000
2000-10-11,75293692000
2000-10-12,73371884000
2000-10-13,74435742000
2000-10-16,74744604000
2000-10-17,71518712000
2000-10-18,72513934000
2000-10-19,73234612000
2000-10-20,72616888000
2000-10-23,72376662000
2000-10-24,74332788000
2000-10-25,72925750000
2000-10-26,73783700000
2000-10-27,74950512000
2000-10-30,78622538000
2000-10-31,79480488000
2000-11-01,79583442000
2000-11-02,79789350000
2000-11-03,79789350000
2000-11-06,80338438000
2000-11-07,79789350000
2000-11-08,80544346000
2000-11-09,82054338000
2000-11-10,80853208000
2000-11-13,78931400000
2000-11-14,79995258000
2000-11-15,76803684000
2000-11-16,76357550000
2000-11-17,76803684000
2000-11-20,75499600000
2000-11-21,77215500000
2000-11-22,74229834000
2000-11-24,74435742000
2000-11-27,76048688000
2000-11-28,78382312000
2000-11-29,80544346000
2000-11-30,81402296000
2000-12-01,81299342000
2000-12-04,80235484000
2000-12-05,82466154000
2000-12-06,83221150000
2000-12-07,85040004000
2000-12-08,84834096000
2000-12-11,85383184000
2000-12-12,85692046000
2000-12-13,85795000000
2000-12-14,85589092000
2000-12-15,86549996000
2000-12-18,90393612000
2000-12-19,90633838000
2000-12-20,90839746000
2000-12-21,90839746000
2000-12-22,92555646000
2000-12-26,94271546000
2000-12-27,94923588000
2000-12-28,95678584000
2000-12-29,95541312000
2001-01-02,92555646000
2001-01-03,91148608000
2001-01-04,89226800000
2001-01-05,89878842000
2001-01-08,89020892000
2001-01-09,84834096000
2001-01-10,83530012000
2001-01-11,84525234000
2001-01-12,83530012000
2001-01-16,85692046000
2001-01-17,84731142000
2001-01-18,83118196000
2001-01-19,84182054000
2001-01-22,85142958000
2001-01-23,85142958000
2001-01-24,86103862000
2001-01-25,86858858000
2001-01-26,88368850000
2001-01-29,87751126000
2001-01-30,89089528000
2001-01-31,88368850000
2001-02-01,86481360000
2001-02-02,86206816000
2001-02-05,88128624000
2001-02-06,87339310000
2001-02-07,87064766000
2001-02-08,87682490000
2001-02-09,86961812000
2001-02-12,87167720000
2001-02-13,85795000000
2001-02-14,86275452000
2001-02-15,85314548000
2001-02-16,86000908000
2001-02-20,83530012000
2001-02-21,82397518000
2001-02-22,82603426000
2001-02-23,83186832000
2001-02-26,85074322000
2001-02-27,85932272000
2001-02-28,85177276000
2001-03-01,85040004000
2001-03-02,86103862000
2001-03-05,85520456000
2001-03-06,84902732000
2001-03-07,87922716000
2001-03-08,88746348000
2001-03-09,86652950000
2001-03-12,82020020000
2001-03-13,84868414000
2001-03-14,79892304000
2001-03-15,83598648000
2001-03-16,82191610000
2001-03-19,82431836000
2001-03-20,80407074000
2001-03-21,77936178000
2001-03-22,75499600000
2001-03-23,77936178000
2001-03-26,79274580000
2001-03-27,83392740000
2001-03-28,83495694000
2001-03-29,82431836000
2001-03-30,84902732000
2001-04-02,85230530000
2001-04-03,83961504000
2001-04-04,78885400000
2001-04-05,81697836000
2001-04-06,79331274000
2001-04-09,78816804000
2001-04-10,81011876000
2001-04-11,80428810000
2001-04-12,81937922000
2001-04-16,80840386000
2001-04-17,78370930000
2001-04-18,81629240000
2001-04-19,82280902000
2001-04-20,82178008000
2001-04-23,81560644000
2001-04-24,82143710000
2001-04-25,80703194000
2001-04-26,79125486000
2001-04-27,82006518000
2001-04-30,80566002000
2001-05-01,81183366000
2001-05-02,81629240000
2001-05-03,81389154000
2001-05-04,81114770000
2001-05-07,81183366000
2001-05-08,79708552000
2001-05-09,78885400000
2001-05-10,78748208000
2001-05-11,78027950000
2001-05-14,78199440000
2001-05-15,77479182000
2001-05-16,78370930000
2001-05-17,77890758000
2001-05-18,78851102000
2001-05-21,79228380000
2001-05-22,80943280000
2001-05-23,82212306000
2001-05-24,81972220000
2001-05-25,80394512000
2001-05-29,80188724000
2001-05-30,80085830000
2001-05-31,80737492000
2001-06-01,81149068000
2001-06-04,82932564000
2001-06-05,83652822000
2001-06-06,82040816000
2001-06-07,81732134000
2001-06-08,79639956000
2001-06-11,78473824000
2001-06-12,77856460000
2001-06-13,76107262000
2001-06-14,74838236000
2001-06-15,73980786000
2001-06-18,74220872000
2001-06-19,74598150000
2001-06-20,76313050000
2001-06-21,79228380000
2001-06-22,79194082000
2001-06-25,77822162000
2001-06-26,77719268000
2001-06-27,78508122000
2001-06-28,79605658000
2001-06-29,79605658000
2001-07-02,80466624000
2001-07-03,80637684000
2001-07-05,79645536000
2001-07-06,78687600000
2001-07-09,78379692000
2001-07-10,77387544000
2001-07-11,77455968000
2001-07-12,78140208000
2001-07-13,79542900000
2001-07-16,78756024000
2001-07-17,81253500000
2001-07-18,80329776000
2001-07-19,80569260000
2001-07-20,79098144000
2001-07-23,78516540000
2001-07-24,77695452000
2001-07-25,78037572000
2001-07-26,77798088000
2001-07-27,77695452000
2001-07-30,78345480000
2001-07-31,78790236000
2001-08-01,79679748000
2001-08-02,79953444000
2001-08-03,79953444000
2001-08-06,78927084000
2001-08-07,78927084000
2001-08-08,78071784000
2001-08-09,77969148000
2001-08-10,78687600000
2001-08-13,79713960000
2001-08-14,79782384000
2001-08-15,80535048000
2001-08-16,79234992000
2001-08-17,78824448000
2001-08-20,80569260000
2001-08-21,80945592000
2001-08-22,81629832000
2001-08-23,81390348000
2001-08-24,81698256000
2001-08-27,81287712000
2001-08-28,80158716000
2001-08-29,78619176000
2001-08-30,78448116000
2001-08-31,78687600000
2001-09-04,79508688000
2001-09-05,78995508000
2001-09-06,77592816000
2001-09-07,76532244000
2001-09-10,75711156000
2001-09-17,74411100000
2001-09-18,74855856000
2001-09-19,75471672000
2001-09-20,73521588000
2001-09-21,72632076000
2001-09-24,73863708000
2001-09-25,74513736000
2001-09-26,74719008000
2001-09-27,74753220000
2001-09-28,76053276000
2001-10-01,75715380000
2001-10-02,75953800000
2001-10-03,76226280000
2001-10-04,75374780000
2001-10-05,73331180000
2001-10-08,70981040000
2001-10-09,70981040000
2001-10-10,71730360000
2001-10-11,71287580000
2001-10-12,69959240000
2001-10-15,69448340000
2001-10-16,68460600000
2001-10-17,66178580000
2001-10-18,66553240000
2001-10-19,66417000000
2001-10-22,67643160000
2001-10-23,68120000000
2001-10-24,68630899999
2001-10-25,70504200000
2001-10-26,69993300000
2001-10-29,68120000000
2001-10-30,67881580000
2001-10-31,67268500000
2001-11-01,68290300000
2001-11-02,68256240000
2001-11-05,69618640000
2001-11-06,72207200000
2001-11-07,72547800000
2001-11-08,72377500000
2001-11-09,72139080000
2001-11-12,72581860000
2001-11-13,72275320000
2001-11-14,72105020000
2001-11-15,71287580000
2001-11-16,72139080000
2001-11-19,72139080000
2001-11-20,72070960000
2001-11-21,72105020000
2001-11-23,72990580000
2001-11-26,73876140000
2001-11-27,73433360000
2001-11-28,72649980000
2001-11-29,73399300000
2001-11-30,72888400000
2001-12-03,72309380000
2001-12-04,73194940000
2001-12-05,73876140000
2001-12-06,74284860000
2001-12-07,74455160000
2001-12-10,74318920000
2001-12-11,73978320000
2001-12-12,73910200000
2001-12-13,72752160000
2001-12-14,72684040000
2001-12-17,73126820000
2001-12-18,74182680000
2001-12-19,74250800000
2001-12-20,74489220000
2001-12-21,73467420000
2001-12-24,73739900000
2001-12-26,73535540000
2001-12-27,73910200000
2001-12-28,74250800000
2001-12-31,74046440000
2002-01-02,73978320000
2002-01-03,74250800000
2002-01-04,74455160000
2002-01-07,74557340000
2002-01-08,74284860000
2002-01-09,73910200000
2002-01-10,74046440000
2002-01-11,73739900000
2002-01-14,73263060000
2002-01-15,77179960000
2002-01-16,77248080000
2002-01-17,77690860000
2002-01-18,77282140000
2002-01-22,79496040000
2002-01-23,79972880000
2002-01-24,80279420000
2002-01-25,80211300000
2002-01-28,80279420000
2002-01-29,77861160000
2002-01-30,78542360000
2002-01-31,79019200000
2002-02-01,79530100000
2002-02-04,77861160000
2002-02-05,77248080000
2002-02-06,77077780000
2002-02-07,77316200000
2002-02-08,77963340000
2002-02-11,78985140000
2002-02-12,79053260000
2002-02-13,79496040000
2002-02-14,79325740000
2002-02-15,78644540000
2002-02-19,77486500000
2002-02-20,78235820000
2002-02-21,77929280000
2002-02-22,78440180000
2002-02-25,79359800000
2002-02-26,79427920000
2002-02-27,79802580000
2002-02-28,79870700000
2002-03-01,81471520000
2002-03-04,83685420000
2002-03-05,82799860000
2002-03-06,83617300000
2002-03-07,83276700000
2002-03-08,83549180000
2002-03-11,83957900000
2002-03-12,84979700000
2002-03-13,84468800000
2002-03-14,84128200000
2002-03-15,86001500000
2002-03-18,85456540000
2002-03-19,85490600000
2002-03-20,84366620000
2002-03-21,83787600000
2002-03-22,84400680000
2002-03-25,83515120000
2002-03-26,83685420000
2002-03-27,84536920000
2002-03-28,84128200000
2002-04-01,83672768000
2002-04-02,83843808000
2002-04-03,82612320000
2002-04-04,83399104000
2002-04-05,83775392000
2002-04-08,84049056000
2002-04-09,84288512000
2002-04-10,84835840000
2002-04-11,83980640000
2002-04-12,85485792000
2002-04-15,84835840000
2002-04-16,85691040000
2002-04-17,87401440000
2002-04-18,87811936000
2002-04-19,87401440000
2002-04-22,85896288000
2002-04-23,85246336000
2002-04-24,86340992000
2002-04-25,86888320000
2002-04-26,87230400000
2002-04-29,86512032000
2002-04-30,87469856000
2002-05-01,87230400000
2002-05-02,88906592000
2002-05-03,88496096000
2002-05-06,87196192000
2002-05-07,87743520000
2002-05-08,88598720000
2002-05-09,87093568000
2002-05-10,85862080000
2002-05-13,87538272000
2002-05-14,89248672000
2002-05-15,89385504000
2002-05-16,90103872000
2002-05-17,90274912000
2002-05-20,89351296000
2002-05-21,89967040000
2002-05-22,89111840000
2002-05-23,91027488000
2002-05-24,90480160000
2002-05-28,90172288000
2002-05-29,89693376000
2002-05-30,89556544000
2002-05-31,89624960000
2002-06-03,88085600000
2002-06-04,87196192000
2002-06-05,87333024000
2002-06-06,84904256000
2002-06-07,85451584000
2002-06-10,85520000000
2002-06-11,84664800000
2002-06-12,85520000000
2002-06-13,84151680000
2002-06-14,85246336000
2002-06-17,88085600000
2002-06-18,88325056000
2002-06-19,87572480000
2002-06-20,87230400000
2002-06-21,87435648000
2002-06-24,86067328000
2002-06-25,86033120000
2002-06-26,85006880000
2002-06-27,85793664000
2002-06-28,85622624000
2002-07-01,83912538000
2002-07-02,84422748000
2002-07-03,83504370000
2002-07-05,85749294000
2002-07-08,86531616000
2002-07-09,85477182000
2002-07-10,83470356000
2002-07-11,82926132000
2002-07-12,81803670000
2002-07-15,80170998000
2002-07-16,80273040000
2002-07-17,81259446000
2002-07-18,79082550000
2002-07-19,76599528000
2002-07-22,75545094000
2002-07-23,72517848000
2002-07-24,77279808000
2002-07-25,78980508000
2002-07-26,81123390000
2002-07-29,84286692000
2002-07-30,84524790000
2002-07-31,86497602000
2002-08-01,83946552000
2002-08-02,83198244000
2002-08-05,81803670000
2002-08-06,83334300000
2002-08-07,84830916000
2002-08-08,87449994000
2002-08-09,88096260000
2002-08-12,87177882000
2002-08-13,85443168000
2002-08-14,87688092000
2002-08-15,87824148000
2002-08-16,87415980000
2002-08-19,89524848000
2002-08-20,87824148000
2002-08-21,87586050000
2002-08-22,88300344000
2002-08-23,87824148000
2002-08-26,89286750000
2002-08-27,89626890000
2002-08-28,88538442000
2002-08-29,87824148000
2002-08-30,88776540000
2002-09-03,86905770000
2002-09-04,86701686000
2002-09-05,86497602000
2002-09-06,87586050000
2002-09-09,87892176000
2002-09-10,87143868000
2002-09-11,86395560000
2002-09-12,83742468000
2002-09-13,83470356000
2002-09-16,83368314000
2002-09-17,82041768000
2002-09-18,80647194000
2002-09-19,78266214000
2002-09-20,79762830000
2002-09-23,82688034000
2002-09-24,81633600000
2002-09-25,82585992000
2002-09-26,83300286000
2002-09-27,82415922000
2002-09-30,81905712000
2002-10-01,82090830000
2002-10-02,80375700000
2002-10-03,77651670000
2002-10-04,75432090000
2002-10-07,73212510000
2002-10-08,76104690000
2002-10-09,74994900000
2002-10-10,76003800000
2002-10-11,78795090000
2002-10-14,79434060000
2002-10-15,83705070000
2002-10-16,83604180000
2002-10-17,83469660000
2002-10-18,84680340000
2002-10-21,85285680000
2002-10-22,84882120000
2002-10-23,85252050000
2002-10-24,84411300000
2002-10-25,85790130000
2002-10-28,84781230000
2002-10-29,84310410000
2002-10-30,85151160000
2002-10-31,84882120000
2002-11-01,85218420000
2002-11-04,84243150000
2002-11-05,84041370000
2002-11-06,81788160000
2002-11-07,79400430000
2002-11-08,76440990000
2002-11-11,77315370000
2002-11-12,78021600000
2002-11-13,78156120000
2002-11-14,79871250000
