,GM
2011-04-04,48746950000
2011-04-05,49469349999
2011-04-06,49469349999
2011-04-07,48626550000
2011-04-08,47437600000
2011-04-11,46308850000
2011-04-12,46880750000
2011-04-13,46444300000
2011-04-14,46022900000
2011-04-15,45511200000
2011-04-18,45104850000
2011-04-19,44532950000
2011-04-20,45044650000
2011-04-21,46579750000
2011-04-25,46865700000
2011-04-26,47061350000
2011-04-27,47828900000
2011-04-28,48024550000
2011-04-29,48295450000
2011-05-02,48430900000
2011-05-03,49649950000
2011-05-04,49725200000
2011-05-05,48190100000
2011-05-06,48024550000
2011-05-09,47241950000
2011-05-10,47573050000
2011-05-11,47106500000
2011-05-12,47287100000
2011-05-13,46760350000
2011-05-16,46805500000
2011-05-17,46805500000
2011-05-18,47437600000
2011-05-19,47362350000
2011-05-20,46925900000
2011-05-23,46594800000
2011-05-24,46399150000
2011-05-25,47061350000
2011-05-26,46173400000
2011-05-27,47076400000
2011-05-31,47874050000
2011-06-01,45496150000
2011-06-02,44548000000
2011-06-03,43825600000
2011-06-06,42982800000
2011-06-07,43313900000
2011-06-08,43434300000
2011-06-09,44322250000
2011-06-10,43419250000
2011-06-13,43027950000
2011-06-14,43810550000
2011-06-15,43569750000
2011-06-16,43027950000
2011-06-17,43645000000
2011-06-20,44427600000
2011-06-21,44532950000
2011-06-22,45104850000
2011-06-23,45360700000
2011-06-24,45029600000
2011-06-27,45541300000
2011-06-28,45902500000
2011-06-29,45601500000
2011-06-30,47422320000
2011-07-01,47765960000
2011-07-05,48203320000
2011-07-06,48718780000
2011-07-07,49671600000
2011-07-08,49327960000
2011-07-11,48031500000
2011-07-12,47922160000
2011-07-13,48031500000
2011-07-14,47016200000
2011-07-15,46485120000
2011-07-18,45454200000
2011-07-19,45813460000
2011-07-20,45672880000
2011-07-21,46797520000
2011-07-22,47016200000
2011-07-25,46079000000
2011-07-26,45438580000
2011-07-27,43954680000
2011-07-28,43892200000
2011-07-29,43236160000
2011-08-01,43845340000
2011-08-02,42252100000
2011-08-03,42439540000
2011-08-04,40596380000
2011-08-05,41096220000
2011-08-08,38378340000
2011-08-09,39893480000
2011-08-10,37363040000
2011-08-11,40315220000
2011-08-12,40221500000
2011-08-15,41268040000
2011-08-16,40346460000
2011-08-17,38956280000
2011-08-18,36863200000
2011-08-19,34613920000
2011-08-22,33911020000
2011-08-23,34457720000
2011-08-24,34941940000
2011-08-25,34832600000
2011-08-26,35722940000
2011-08-29,37159980000
2011-08-30,36831960000
2011-08-31,37534860000
2011-09-01,35972860000
2011-09-02,34473340000
2011-09-06,33489280000
2011-09-07,35707320000
2011-09-08,35113760000
2011-09-09,33989120000
2011-09-12,34160940000
2011-09-13,34364000000
2011-09-14,34645160000
2011-09-15,35457400000
2011-09-16,35316820000
2011-09-19,36004100000
2011-09-20,35035660000
2011-09-21,33239360000
2011-09-22,31614879999
2011-09-23,32802000000
2011-09-26,32926959999
2011-09-27,33098780000
2011-09-28,31880420000
2011-09-29,32427120000
2011-09-30,31722960000
2011-10-03,31015560000
2011-10-04,33672240000
2011-10-05,35008440000
2011-10-06,35134200000
2011-10-07,34599720000
2011-10-10,35558640000
2011-10-11,35370000000
2011-10-12,36800520000
2011-10-13,36391800000
2011-10-14,37979520000
2011-10-17,36438960000
2011-10-18,37004880000
2011-10-19,36297480000
2011-10-20,36093120000
2011-10-21,38278200000
2011-10-24,39268560000
2011-10-25,39079920000
2011-10-26,39284280000
2011-10-27,41375040000
2011-10-28,41579400000
2011-10-31,40636200000
2011-11-01,36674760000
2011-11-02,36470400000
2011-11-03,37775160000
2011-11-04,37114920000
2011-11-07,37743720000
2011-11-08,39362880000
2011-11-09,35071320000
2011-11-10,35684400000
2011-11-11,35385720000
2011-11-14,36140280000
2011-11-15,36706200000
2011-11-16,35605800000
2011-11-17,34253880000
2011-11-18,34080960000
2011-11-21,33090600000
2011-11-22,32587560000
2011-11-23,31817279999
2011-11-25,31974480000
2011-11-28,32603279999
2011-11-29,31927319999
2011-11-30,33467880000
2011-12-01,32949120000
2011-12-02,33452160000
2011-12-05,33939480000
2011-12-06,34080960000
2011-12-07,34489680000
2011-12-08,32980560000
2011-12-09,33247799999
2011-12-12,32697600000
2011-12-13,31612920000
2011-12-14,30606840000
2011-12-15,31597200000
2011-12-16,31675799999
2011-12-19,29946600000
2011-12-20,30952680000
2011-12-21,31943040000
2011-12-22,32540400000
2011-12-23,32226000000
2011-12-27,31581480000
2011-12-28,31219920000
2011-12-29,31770120000
2011-12-30,31864440000
2012-01-03,33090600000
2012-01-04,33247799999
2012-01-05,34851240000
2012-01-06,36030240000
2012-01-09,35904480000
2012-01-10,36533280000
2012-01-11,38466840000
2012-01-12,38781240000
2012-01-13,38183880000
2012-01-17,38042400000
2012-01-18,38529720000
2012-01-19,39017040000
2012-01-20,39300000000
2012-01-23,39174240000
2012-01-24,38969880000
2012-01-25,39174240000
2012-01-26,38859840000
2012-01-27,38309640000
2012-01-30,38089560000
2012-01-31,37759440000
2012-02-01,38309640000
2012-02-02,38215320000
2012-02-03,41154960000
2012-02-06,41972400000
2012-02-07,41217840000
2012-02-08,40479000000
2012-02-09,40463280000
2012-02-10,40086000000
2012-02-13,39834480000
2012-02-14,39928800000
2012-02-15,39189960000
2012-02-16,42711240000
2012-02-17,42978480000
2012-02-21,42538320000
2012-02-22,41736600000
2012-02-23,42113880000
2012-02-24,40982040000
2012-02-27,41595120000
2012-02-28,41092080000
2012-02-29,40903440000
2012-03-01,41610840000
2012-03-02,41579400000
2012-03-05,40872000000
2012-03-06,38639760000
2012-03-07,39111360000
2012-03-08,40007400000
2012-03-09,40274640000
2012-03-12,39913080000
2012-03-13,40982040000
2012-03-14,41375040000
2012-03-15,40950600000
2012-03-16,40196040000
2012-03-19,39913080000
2012-03-20,39441480000
2012-03-21,39755880000
2012-03-22,39378600000
2012-03-23,39567240000
2012-03-26,40211760000
2012-03-27,39850200000
2012-03-28,39535800000
2012-03-29,39787320000
2012-03-30,40321800000
2012-04-02,41986440000
2012-04-03,40072260000
2012-04-04,39381900000
2012-04-05,38926890000
2012-04-09,37969800000
2012-04-10,37200990000
2012-04-11,37703070000
2012-04-12,38126700000
2012-04-13,37342200000
2012-04-16,36745980000
2012-04-17,37718760000
2012-04-18,37891350000
2012-04-19,37671690000
2012-04-20,37028400000
2012-04-23,36008550000
2012-04-24,35914410000
2012-04-25,36573390000
2012-04-26,37216680000
2012-04-27,36918570000
2012-04-30,36087000000
2012-05-01,36573390000
2012-05-02,35977170000
2012-05-03,35098530000
2012-05-04,35082840000
2012-05-07,35161290000
2012-05-08,34878870000
2012-05-09,35208360000
2012-05-10,35098530000
2012-05-11,34518000000
2012-05-14,33937470000
2012-05-15,33607980000
2012-05-16,34376790000
2012-05-17,33906090000
2012-05-18,33231420000
2012-05-21,33796260000
2012-05-22,33733500000
2012-05-23,34721970000
2012-05-24,34580760000
2012-05-25,35208360000
2012-05-29,35851650000
2012-05-30,35098530000
2012-05-31,34831800000
2012-06-01,34533690000
2012-06-04,33121590000
2012-06-05,33341250000
2012-06-06,34251269999
2012-06-07,34282650000
2012-06-08,34596450000
2012-06-11,34392480000
2012-06-12,34784730000
2012-06-13,34314030000
2012-06-14,34204200000
2012-06-15,34110059999
2012-06-18,33623670000
2012-06-19,34110059999
2012-06-20,33702120000
2012-06-21,32384160000
2012-06-22,32321400000
2012-06-25,31238790000
2012-06-26,31144650000
2012-06-27,30846540000
2012-06-28,31097580000
2012-06-29,30940680000
2012-07-02,30724900000
2012-07-03,32451900000
2012-07-05,32247800000
2012-07-06,31886699999
2012-07-09,31745400000
2012-07-10,31086000000
2012-07-11,31242999999
2012-07-12,30348099999
2012-07-13,30803400000
2012-07-16,30426600000
2012-07-17,30772000000
2012-07-18,31509900000
2012-07-19,31619800000
2012-07-20,30395200000
2012-07-23,30301000000
2012-07-24,29861400000
2012-07-25,29516000000
2012-07-26,30002700000
2012-07-27,30881900000
2012-07-30,30395200000
2012-07-31,30944700000
2012-08-01,30866200000
2012-08-02,30049800000
2012-08-03,31462800000
2012-08-06,31164500000
2012-08-07,32059400000
2012-08-08,31996600000
2012-08-09,32420499999
2012-08-10,32247800000
2012-08-13,32137900000
2012-08-14,31729700000
2012-08-15,31619800000
2012-08-16,33488099999
2012-08-17,34555700000
2012-08-20,34335900000
2012-08-21,33959100000
2012-08-22,34116100000
2012-08-23,33503800000
2012-08-24,33252600000
2012-08-27,33315400000
2012-08-28,32875800000
2012-08-29,33441000000
2012-08-30,33142700000
2012-08-31,33519500000
2012-09-04,33456699999
2012-09-05,34163200000
2012-09-06,35246500000
2012-09-07,36690900000
2012-09-10,36078600000
2012-09-11,36062900000
2012-09-12,36314100000
2012-09-13,36942100000
2012-09-14,37899800000
2012-09-17,37366000000
2012-09-18,38355100000
2012-09-19,38857500000
2012-09-20,38339400000
2012-09-21,38936000000
2012-09-24,38245200000
2012-09-25,36926400000
2012-09-26,36722300000
2012-09-27,36392600000
2012-09-28,35717500000
2012-10-01,31679480000
2012-10-02,32488960000
2012-10-03,33463080000
2012-10-04,33819799999
2012-10-05,34025600000
2012-10-08,33710040000
2012-10-09,33435640000
2012-10-10,33243560000
2012-10-11,33833520000
2012-10-12,33531680000
2012-10-15,33586560000
2012-10-16,34011880000
2012-10-17,34382320000
2012-10-18,35068320000
2012-10-19,33737480000
2012-10-22,33778640000
2012-10-23,32749640000
2012-10-24,32502680000
2012-10-25,32420360000
2012-10-26,31940160000
2012-10-31,34986000000
2012-11-01,35232960000
2012-11-02,35383880000
2012-11-05,35082040000
2012-11-06,35932680000
2012-11-07,34341160000
2012-11-08,33915840000
2012-11-09,34354880000
2012-11-12,34656720000
2012-11-13,34053040000
2012-11-14,33161240000
2012-11-15,32763360000
2012-11-16,32722200000
