,EXPD
2000-01-03,8762648601
2000-01-04,8616604458
2000-01-05,8640945148
2000-01-06,8681512966
2000-01-07,8616604458
2000-01-10,8738307911
2000-01-11,8535468823
2000-01-12,8137904210
2000-01-13,8381311116
2000-01-14,8981714816
2000-01-18,8494901005
2000-01-19,8592263767
2000-01-20,8600377331
2000-01-21,8592263767
2000-01-24,8519241696
2000-01-25,8511128132
2000-01-26,8705853656
2000-01-27,8705853656
2000-01-28,8535468823
2000-01-31,8551695950
2000-02-01,8559809513
2000-02-02,8478673878
2000-02-03,8973601253
2000-02-04,9103418269
2000-02-07,8592263767
2000-02-08,8559809513
2000-02-09,8113563520
2000-02-10,7545614073
2000-02-11,7707885344
2000-02-14,7651090399
2000-02-15,7610522581
2000-02-16,7642976835
2000-02-17,7407683493
2000-02-18,7026346008
2000-02-22,6937096809
2000-02-23,6620667832
2000-02-24,6766711975
2000-02-25,6888415428
2000-02-28,7926951559
2000-02-29,7659203962
2000-03-01,7715998907
2000-03-02,7837702360
2000-03-03,7910724432
2000-03-06,7456364874
2000-03-07,7407683493
2000-03-08,7432024184
2000-03-09,7302207168
2000-03-10,7229185096
2000-03-13,7002005317
2000-03-14,7075027389
2000-03-15,7237298659
2000-03-16,7821475233
2000-03-17,7902610868
2000-03-20,7553727637
2000-03-21,8072995702
2000-03-22,8292061917
2000-03-23,8697740093
2000-03-24,8900579181
2000-03-27,8592263767
2000-03-28,8908692744
2000-03-29,8827557109
2000-03-30,8559809513
2000-03-31,8122035230
2000-04-03,7533718795
2000-04-04,8081179922
2000-04-05,8056666737
2000-04-06,8097522045
2000-04-07,7746166396
2000-04-10,7599087288
2000-04-11,7770679581
2000-04-12,7991298244
2000-04-13,7868732320
2000-04-14,7803363828
2000-04-17,7174192084
2000-04-18,8440706632
2000-04-19,8285456462
2000-04-20,8220087969
2000-04-24,7868732320
2000-04-25,8734864850
2000-04-26,8579614680
2000-04-27,8506075125
2000-04-28,8734864850
2000-05-01,8326311770
2000-05-02,8122035230
2000-05-03,7737995335
2000-05-04,8326311770
2000-05-05,8971825636
2000-05-08,8783891220
2000-05-09,9061707314
2000-05-10,8628641049
2000-05-11,8947312452
2000-05-12,8685838480
2000-05-15,8734864850
2000-05-16,9192444300
2000-05-17,9176102176
2000-05-18,8857430774
2000-05-19,8873772897
2000-05-22,8669496357
2000-05-23,8604127864
2000-05-24,8963654575
2000-05-25,8399851324
2000-05-26,8130206291
2000-05-30,8277285400
2000-05-31,8285456462
2000-06-01,8448877694
2000-06-02,8734864850
2000-06-05,8506075125
2000-06-06,8816575466
2000-06-07,9037194129
2000-06-08,8783891220
2000-06-09,8800233343
2000-06-12,9012680944
2000-06-13,8620469988
2000-06-14,8873772897
2000-06-15,8718522727
2000-06-16,8988167760
2000-06-19,8922799267
2000-06-20,9265983854
2000-06-21,9233299608
2000-06-22,8734864850
2000-06-23,8440706632
2000-06-26,9216957484
2000-06-27,8783891220
2000-06-28,9396720840
2000-06-29,9167931115
2000-06-30,9769536437
2000-07-03,9868218624
2000-07-05,9975124325
2000-07-06,10460311741
2000-07-07,10049135965
2000-07-10,10032688934
2000-07-11,10295841431
2000-07-12,10320511977
2000-07-13,10320511977
2000-07-14,10304064946
2000-07-17,10180712213
2000-07-18,9975124325
2000-07-19,9703748313
2000-07-20,10328735493
2000-07-21,9687301282
2000-07-24,9958677294
2000-07-25,10073806512
2000-07-26,10320511977
2000-07-27,9662630736
2000-07-28,9522830972
2000-07-31,10328735493
2000-08-01,10180712213
2000-08-02,10090253543
2000-08-03,9711971829
2000-08-04,9662630736
2000-08-07,9884665655
2000-08-08,9818877530
2000-08-09,9917559717
2000-08-10,9917559717
2000-08-11,9901112686
2000-08-14,9818877530
2000-08-15,9662630736
2000-08-16,9892889170
2000-08-17,9621513158
2000-08-18,9440595816
2000-08-21,9276125506
2000-08-22,8889620277
2000-08-23,8864949730
2000-08-24,9095208165
2000-08-25,9276125506
2000-08-28,9251454960
2000-08-29,9457042848
2000-08-30,9662630736
2000-08-31,10073806512
2000-09-01,10073806512
2000-09-05,9942230263
2000-09-06,9975124325
2000-09-07,9958677294
2000-09-08,10230053306
2000-09-11,10008018387
2000-09-12,10114924089
2000-09-13,10262947368
2000-09-14,10180712213
2000-09-15,10205382760
2000-09-18,9588619096
2000-09-19,9818877530
2000-09-20,9942230263
2000-09-21,9884665655
2000-09-22,10230053306
2000-09-25,9917559717
2000-09-26,9235007928
2000-09-27,9119878711
2000-09-28,9457042848
2000-09-29,9267901991
2000-10-02,2271746162
2000-10-03,2290249072
2000-10-04,2255299131
2000-10-05,2222405069
2000-10-06,2140169914
2000-10-09,2059990637
2000-10-10,2055878880
2000-10-11,2062046516
2000-10-12,2082605305
2000-10-13,2238852100
2000-10-16,2257355010
2000-10-17,2228572705
2000-10-18,2210069796
2000-10-19,2421825320
2000-10-20,2467054656
2000-10-23,2419769441
2000-10-24,2467054656
2000-10-25,2467054656
2000-10-26,2536954537
2000-10-27,2559569205
2000-10-30,2627413208
2000-10-31,2666474907
2000-11-01,2678810180
2000-11-02,2705536606
2000-11-03,2756933578
2000-11-06,2845336369
2000-11-07,2863839279
2000-11-08,2689089575
2000-11-09,2791883519
2000-11-10,2736374789
2000-11-13,2775436488
2000-11-14,2874118674
2000-11-15,2941962677
2000-11-16,2956353829
2000-11-17,2939906798
2000-11-20,2929627404
2000-11-21,2933739161
2000-11-22,2917292130
2000-11-24,2956353829
2000-11-27,3026253711
2000-11-28,2830945217
2000-11-29,2763101214
2000-11-30,2666474907
2000-12-01,2699368969
2000-12-04,2736374789
2000-12-05,2660307270
2000-12-06,2621245572
2000-12-07,2643860239
2000-12-08,2672642544
2000-12-11,2734318910
2000-12-12,2923459767
2000-12-13,2802162913
2000-12-14,2787771761
2000-12-15,2462942898
2000-12-18,2493781081
2000-12-19,2502004596
2000-12-20,2403322410
2000-12-21,2390987137
2000-12-22,2483501687
2000-12-26,2473222292
2000-12-27,2608910298
2000-12-28,2767212972
2000-12-29,2758989456
2001-01-02,2568601497
2001-01-03,2812835966
2001-01-04,2885278394
2001-01-05,2845952505
2001-01-08,2845952505
2001-01-09,2730044621
2001-01-10,2665881328
2001-01-11,2707277001
2001-01-12,2684509381
2001-01-16,2672090679
2001-01-17,2709346784
2001-01-18,2715556135
2001-01-19,2645183491
2001-01-22,2713486352
2001-01-23,2655532410
2001-01-24,2651392842
2001-01-25,2719695702
2001-01-26,2771440293
2001-01-29,3028093465
2001-01-30,2949441687
2001-01-31,3017744547
2001-02-01,2994976927
2001-02-02,2924604283
2001-02-05,2965999956
2001-02-06,2961860388
2001-02-07,2953581254
2001-02-08,2949441687
2001-02-09,2872859692
2001-02-12,2899766879
