,ADBE
2001-01-23,14269636125
2001-01-24,14434689750
2001-01-25,13699450875
2001-01-26,13939528875
2001-01-29,12964212000
2001-01-30,12664114500
2001-01-31,10488407625
2001-02-01,10908544125
2001-02-02,10458397875
2001-02-05,10893539250
2001-02-06,10563432000
2001-02-07,9678144375
2001-02-08,8627803125
2001-02-09,8492759250
2001-02-12,9092954250
2001-02-13,8927900625
2001-02-14,9618124875
2001-02-15,9348037125
2001-02-16,8717832375
2001-02-20,8222671500
2001-02-21,7217344875
2001-02-22,7307374125
2001-02-23,7832544750
2001-02-26,7607471625
2001-02-27,7322379000
2001-02-28,6977266875
2001-03-01,6737188875
2001-03-02,6594138062
2001-03-05,6445286187
2001-03-06,6787645500
2001-03-07,6832301062
2001-03-08,6460171375
2001-03-09,6415515812
2001-03-12,6192238000
2001-03-13,6519712125
2001-03-14,6222008375
2001-03-15,5954075000
2001-03-16,6817415875
2001-03-19,7561675250
2001-03-20,7814723437
2001-03-21,7755182687
2001-03-22,8573868000
2001-03-23,8499442062
2001-03-26,7999895170
2001-03-27,8716765323
2001-03-28,8090397586
2001-03-29,7756968910
2001-03-30,8328560586
2001-04-02,8097542000
2001-04-03,7354473440
2001-04-04,7030571760
2001-04-05,8311889176
2001-04-06,8109450149
2001-04-09,8533380766
2001-04-10,9850421680
2001-04-11,9700378990
2001-04-12,9778973256
2001-04-16,9724195766
2001-04-17,9800407926
2001-04-18,10941207743
2001-04-19,11443732150
2001-04-20,10945971480
2001-04-23,10236245740
2001-04-24,10176704990
2001-04-25,10638740733
2001-04-26,10638740733
2001-04-27,10864995583
2001-04-30,10698281483
2001-05-01,10491080150
2001-05-02,10200521766
2001-05-03,9676563166
2001-05-04,9850421680
2001-05-07,9807552340
2001-05-08,10017136256
2001-05-09,9888527760
2001-05-10,9593205163
2001-05-11,9493177180
2001-05-14,9324081926
2001-05-15,9238342770
2001-05-16,9786117670
2001-05-17,10383906323
2001-05-18,10124308653
2001-05-21,10834035346
2001-05-22,11022183163
2001-05-23,10591109086
2001-05-24,10824508350
2001-05-25,10645886100
2001-05-29,9926633840
2001-05-30,9555099083
2001-05-31,9471742510
2001-06-01,9660110056
2001-06-04,9600597306
2001-06-05,9921965680
2001-06-06,9729143893
2001-06-07,10200484873
2001-06-08,10005283053
2001-06-11,10067176790
2001-06-12,9802940180
2001-06-13,9564889180
2001-06-14,9286369033
2001-06-15,9417298036
2001-06-18,9650587540
2001-06-19,10176680250
2001-06-20,10783710300
2001-06-21,10786091286
2001-06-22,10374263056
2001-06-25,10598030520
2001-06-26,10628977626
2001-06-27,10557561373
2001-06-28,11155069860
2001-06-29,11188397000
2001-07-02,11176494450
2001-07-03,10783710300
2001-07-05,10631357660
2001-07-06,10321891360
2001-07-09,10469482980
2001-07-10,10224290450
2001-07-11,9864832963
2001-07-12,10221909463
2001-07-13,9610118393
2001-07-16,9386350930
2001-07-17,9800559193
2001-07-18,9533942550
2001-07-19,9969576356
2001-07-20,9686294713
2001-07-23,9662490090
2001-07-24,9517278980
2001-07-25,9991000946
2001-07-26,10236193000
2001-07-27,10250476536
2001-07-30,9650587540
2001-07-31,8924532466
2001-08-01,9191149110
2001-08-02,9176866050
2001-08-03,9031654463
2001-08-06,8750754283
2001-08-07,8193714943
2001-08-08,8108017536
2001-08-09,8277033270
2001-08-10,8105636549
2001-08-13,8534127873
2001-08-14,8212759500
2001-08-15,7979469520
2001-08-16,8153246750
2001-08-17,7798550283
2001-08-20,8148485729
2001-08-21,7962805950
2001-08-22,8231804056
2001-08-23,8212759500
2001-08-24,8517464303
2001-08-27,8541270356
2001-08-28,8108017536
2001-08-29,8019937713
2001-08-30,7793790216
2001-08-31,7951487410
2001-09-04,7598981246
2001-09-05,7617908200
2001-09-06,7270134130
2001-09-07,7596615910
2001-09-10,7776416996
2001-09-17,7156575250
2001-09-18,7121088100
2001-09-19,6174764100
2001-09-20,6139276950
2001-09-21,5931085670
2001-09-24,5983133490
2001-09-25,5928719860
2001-09-26,5656651710
2001-09-27,5403510040
2001-09-28,5673212380
2001-10-01,5696870480
2001-10-02,5767844780
2001-10-03,6574585990
2001-10-04,6778045650
2001-10-05,6834825090
2001-10-08,7080869330
2001-10-09,6820630230
2001-10-10,6929457490
2001-10-11,7544568090
2001-10-12,7525641610
2001-10-15,7331645190
2001-10-16,7345840050
2001-10-17,6808801180
2001-10-18,6903433580
2001-10-19,7123453910
2001-10-22,7341108430
2001-10-23,7397887870
2001-10-24,7937292549
2001-10-25,7814269956
2001-10-26,7731467080
2001-10-29,7177867540
2001-10-30,6801703750
2001-10-31,6245738400
2001-11-01,6420808340
2001-11-02,6375857950
2001-11-05,6683413250
2001-11-06,6761484980
2001-11-07,7111624860
2001-11-08,6851385760
2001-11-09,6811166990
2001-11-12,6860849000
2001-11-13,7255939270
2001-11-14,7414448540
2001-11-15,7516178370
2001-11-16,7546933900
2001-11-19,7960951123
2001-11-20,7617908200
2001-11-21,7615541916
2001-11-23,7842660623
2001-11-26,8263774330
2001-11-27,8100533913
2001-11-28,7584787333
2001-11-29,7953852746
2001-11-30,7589518953
2001-12-03,7561128760
2001-12-04,8121826203
2001-12-05,8668327840
2001-12-06,8817373870
2001-12-07,8632841163
2001-12-10,8450673793
2001-12-11,8039022379
2001-12-12,7518544180
2001-12-13,7246476030
2001-12-14,7530373230
2001-12-17,7461764740
2001-12-18,7807173000
2001-12-19,7717271746
2001-12-20,7255939270
2001-12-21,7440472450
2001-12-24,7326913570
2001-12-26,7255939270
2001-12-27,7530373230
2001-12-28,7629737250
2001-12-31,7345840050
2002-01-02,7532739040
2002-01-03,7826099953
2002-01-04,8493258373
2002-01-07,8554768959
2002-01-08,8668327840
2002-01-09,8902543503
2002-01-10,8623377450
2002-01-11,8524012956
2002-01-14,8422283126
2002-01-15,8580792870
2002-01-16,8303992626
2002-01-17,8505086950
2002-01-18,8180971453
2002-01-22,8053217240
2002-01-23,8204629080
2002-01-24,8479063040
2002-01-25,8065046290
2002-01-28,8320553296
2002-01-29,8315822623
2002-01-30,8074510003
2002-01-31,7972779700
2002-02-01,8500355330
2002-02-04,8254311090
2002-02-05,8211726510
2002-02-06,8029558666
2002-02-07,7996437799
2002-02-08,8469599799
2002-02-11,8635206500
2002-02-12,8576061250
2002-02-13,8862324260
2002-02-14,8755862336
2002-02-15,8443575416
2002-02-19,8176239833
2002-02-20,8266139666
2002-02-21,8015364753
2002-02-22,8311091003
2002-02-25,8585524490
2002-02-26,8760593956
2002-02-27,8822105490
2002-02-28,8606817253
2002-03-01,9180305080
2002-03-04,9756753920
2002-03-05,9523315960
2002-03-06,9609068680
2002-03-07,9242237600
2002-03-08,9301788100
2002-03-11,9609068680
2002-03-12,9080259763
2002-03-13,8939720583
2002-03-14,8715811180
2002-03-15,9332754360
2002-03-18,9213653360
2002-03-19,9394686403
2002-03-20,9173158543
2002-03-21,9316080220
2002-03-22,9468529500
2002-03-25,9063586100
2002-03-26,9220799420
2002-03-27,9254147223
2002-03-28,9597158580
2002-04-01,9675764763
2002-04-02,9218417400
2002-04-03,9211270863
2002-04-04,9125519096
2002-04-05,9020709263
2002-04-08,9256529720
2002-04-09,8965923280
2002-04-10,9051676000
2002-04-11,8663406263
2002-04-12,9299406080
2002-04-15,9380395236
2002-04-16,9556663763
2002-04-17,9406597456
2002-04-18,9408979000
2002-04-19,9363721096
2002-04-22,9237473083
2002-04-23,8827766596
2002-04-24,8758687540
2002-04-25,9030237820
2002-04-26,9054057543
2002-04-29,8865878916
2002-04-30,9518551920
2002-05-01,9556663763
2002-05-02,9015945223
2002-05-03,8932575000
2002-05-06,8634822500
2002-05-07,8658642223
2002-05-08,9863944820
2002-05-09,9489967680
2002-05-10,9230327500
2002-05-13,9704349956
2002-05-14,10237921960
2002-05-15,10016394100
2002-05-16,9933023400
2002-05-17,9790101723
2002-05-20,9304170596
2002-05-21,8849204776
2002-05-22,8799181403
2002-05-23,8839676220
2002-05-24,8973068863
2002-05-28,8734866863
2002-05-29,8539541223
2002-05-30,8701518583
2002-05-31,8592160523
2002-06-03,8401752999
2002-06-04,8530278400
2002-06-05,8656423223
2002-06-06,8377952000
2002-06-07,8539799276
2002-06-10,8946795900
2002-06-11,8823030700
2002-06-12,8880153576
2002-06-13,8613581423
2002-06-14,7466373700
2002-06-17,7076037300
2002-06-18,7161720900
2002-06-19,6445310800
2002-06-20,6616678000
2002-06-21,6288224200
2002-06-24,6461971500
2002-06-25,6540514800
2002-06-26,6569076000
2002-06-27,6638098900
2002-06-28,6783285000
2002-07-01,6426270000
2002-07-02,6285844100
2002-07-03,6435790400
2002-07-05,6814226300
2002-07-08,6580976500
2002-07-09,6478632200
2002-07-10,6323925700
2002-07-11,6131137600
2002-07-12,6083535600
2002-07-15,6304884900
2002-07-16,6323925700
2002-07-17,6397708800
2002-07-18,6157318700
2002-07-19,5805063900
2002-07-22,5843145500
2002-07-23,5688439000
2002-07-24,6107336600
2002-07-25,5576574300
2002-07-26,5828864900
2002-07-29,6095436100
2002-07-30,5935969400
2002-07-31,5702719600
2002-08-01,4005708299
2002-08-02,4153274500
2002-08-05,3974767000
2002-08-06,4138993900
2002-08-07,4193736200
2002-08-08,4229437700
2002-08-09,4215157100
2002-08-12,4307981000
2002-08-13,4253238700
2002-08-14,4586452700
2002-08-15,4745919400
2002-08-16,4793521400
2002-08-19,4969648800
2002-08-20,4803041800
2002-08-21,4841123400
2002-08-22,4943467700
2002-08-23,4874444800
2002-08-26,4969648800
2002-08-27,4957748300
2002-08-28,4755439800
2002-08-29,4836363200
2002-08-30,4644788400
2002-09-03,4256567280
2002-09-04,4409082720
2002-09-05,4235769719
2002-09-06,4450677840
2002-09-09,4494583800
2002-09-10,4457610360
2002-09-11,4432191120
2002-09-12,4263499800
2002-09-13,4799614680
2002-09-16,4667896800
2002-09-17,4612436640
2002-09-18,4605504120
2002-09-19,4536178920
2002-09-20,4517692200
2002-09-23,4367487600
2002-09-24,4524624720
2002-09-25,4582395720
2002-09-26,4570841520
2002-09-27,4561598160
2002-09-30,4413704400
2002-10-01,4487651280
2002-10-02,4621680000
2002-10-03,4843520640
2002-10-04,4695626880
2002-10-07,4623990840
2002-10-08,4614747480
2002-10-09,4198796280
2002-10-10,4723356960
2002-10-11,5079226320
2002-10-14,5222498400
2002-10-15,5335729560
2002-10-16,5127753960
2002-10-17,5298756120
2002-10-18,5502110040
2002-10-21,5756302440
2002-10-22,5550637680
2002-10-23,5696220600
2002-10-24,5693909760
2002-10-25,5488245000
2002-10-28,5425852320
2002-10-29,5243295960
2002-10-30,5465136600
2002-10-31,5462825760
2002-11-01,5654625480
2002-11-04,6327079920
2002-11-05,5966588880
2002-11-06,6026670720
2002-11-07,5911128720
2002-11-08,5941169640
2002-11-11,5705463960
2002-11-12,6116793480
2002-11-13,6269308920
2002-11-14,6484217040
2002-11-15,6689881800
2002-11-18,6424135200
2002-11-19,6329390760
2002-11-20,6562785600
2002-11-21,6978736800
2002-11-22,6888614040
2002-11-25,6997223520
2002-11-26,6671395080
2002-11-27,6927898320
2002-11-29,6823910520
2002-12-02,6643665000
2002-12-03,6398715960
2002-12-04,6049779120
2002-12-05,5973521400
2002-12-06,6028981560
2002-12-09,5744748240
2002-12-10,6010494840
2002-12-11,5994318960
2002-12-12,5978143080
2002-12-13,5959656360
2002-12-16,6137591040
2002-12-17,6202294560
2002-12-18,6015116520
2002-12-19,5901885360
2002-12-20,5948102160
2002-12-23,6135280200
2002-12-24,6061333320
2002-12-26,5936547960
2002-12-27,5818695120
2002-12-30,5751680760
2002-12-31,5730883200
2003-01-02,5915750400
2003-01-03,6077509200
2003-01-06,6357120840
2003-01-07,6588204840
2003-01-08,6269308920
2003-01-09,6525812160
2003-01-10,6620556600
2003-01-13,6597448200
2003-01-14,6726855240
2003-01-15,6463419480
2003-01-16,6285484800
2003-01-17,5975832240
2003-01-21,5931926280
2003-01-22,5957345520
2003-01-23,6195362040
2003-01-24,5978143080
2003-01-27,5964278040
2003-01-28,6165321120
2003-01-29,6172253640
2003-01-30,6105239280
2003-01-31,6105239280
2003-02-03,6253133040
2003-02-04,6107550120
2003-02-05,6128347680
2003-02-06,6128347680
2003-02-07,6040535760
2003-02-10,6153766920
2003-02-11,6169942800
2003-02-12,6188429520
2003-02-13,6223092120
2003-02-14,6338634120
2003-02-18,6553542240
2003-02-19,6530433840
2003-02-20,6553542240
2003-02-21,6726855240
2003-02-24,6553542240
2003-02-25,6535055520
2003-02-26,6257754720
