,SBUX
2000-01-03,18212409600
2000-01-04,17621097600
2000-01-05,17857622400
2000-01-06,18508065600
2000-01-07,18448934400
2000-01-10,19217640000
2000-01-11,18685459200
2000-01-12,18685459200
2000-01-13,20045476800
2000-01-14,19513296000
2000-01-18,19276771200
2000-01-19,18862852800
2000-01-20,18508065600
2000-01-21,18448934400
2000-01-24,18153278400
2000-01-25,19217640000
2000-01-26,21464625600
2000-01-27,21346363200
2000-01-28,22055937600
2000-01-31,23652480000
2000-02-01,23889004800
2000-02-02,23534217600
2000-02-03,23238561600
2000-02-04,25426416000
2000-02-07,25308153600
2000-02-08,25899465600
2000-02-09,25485547199
2000-02-10,23652480000
2000-02-11,24302923200
2000-02-14,25071628800
2000-02-15,25603809600
2000-02-16,25249022399
2000-02-17,25603809600
2000-02-18,24480316800
2000-02-22,24539448000
2000-02-23,25781203200
2000-02-24,25899465600
2000-02-25,24953366400
2000-02-28,25189891200
2000-02-29,25958596800
2000-03-01,25662940800
2000-03-02,24598579200
2000-03-03,27496008000
2000-03-06,26490777600
2000-03-07,25249022399
2000-03-08,25012497600
2000-03-09,26727302399
2000-03-10,26313384000
2000-03-13,25662940800
2000-03-14,24716841600
2000-03-15,26017728000
2000-03-16,28382976000
2000-03-17,27377745600
2000-03-20,26017728000
2000-03-21,28856025600
2000-03-22,28915156800
2000-03-23,29092550400
2000-03-24,28560369600
2000-03-27,28915156800
2000-03-28,28028188800
2000-03-29,29329075200
2000-03-30,29388206400
2000-03-31,33113471999
2000-04-03,30917472320
2000-04-04,32409628320
2000-04-05,29544688800
2000-04-06,28052532800
2000-04-07,29902806240
2000-04-10,27336297920
2000-04-11,28291277760
2000-04-12,28052532800
2000-04-13,29723747520
2000-04-14,26261945600
2000-04-17,26978180479
2000-04-18,27933160320
2000-04-19,27813787840
2000-04-20,27933160320
2000-04-24,29783433760
2000-04-25,28470336479
2000-04-26,27694415359
2000-04-27,27634729120
2000-04-28,22561398720
2000-05-01,23098574880
2000-05-02,23814809760
2000-05-03,23755123520
2000-05-04,24948848320
2000-05-05,25127907040
2000-05-08,24650417120
2000-05-09,24889162080
2000-05-10,24292299680
2000-05-11,24829475840
2000-05-12,24292299680
2000-05-15,24232613439
2000-05-16,24829475840
2000-05-17,24172927200
2000-05-18,22919516160
2000-05-19,22501712480
2000-05-22,22262967520
2000-05-23,21128928960
2000-05-24,23158261120
2000-05-25,22262967520
2000-05-26,21725791360
2000-05-30,24650417120
2000-05-31,25366652000
2000-06-01,25724769439
2000-06-02,27455670399
2000-06-05,26560376800
2000-06-06,27992846560
2000-06-07,25784455680
2000-06-08,26321631840
2000-06-09,26679749280
2000-06-12,25247279520
2000-06-13,26799121760
2000-06-14,26261945600
2000-06-15,25903828160
2000-06-16,26023200640
2000-06-19,26202259359
2000-06-20,26500690560
2000-06-21,26978180479
2000-06-22,26739435520
2000-06-23,26321631840
2000-06-26,27037866720
2000-06-27,27992846560
2000-06-28,28470336479
2000-06-29,28231591520
2000-06-30,28470336479
2000-07-03,7241457732
2000-07-05,7211347720
2000-07-06,7166182703
2000-07-07,7873767970
2000-07-10,7482337822
2000-07-11,7512447834
2000-07-12,7587722862
2000-07-13,7527502840
2000-07-14,7527502840
2000-07-17,7497392828
2000-07-18,7482337822
2000-07-19,7482337822
2000-07-20,7527502840
2000-07-21,7512447834
2000-07-24,7467282817
2000-07-25,7256512737
2000-07-26,7090907675
2000-07-27,6804862567
2000-07-28,6970467629
2000-07-31,7060797663
2000-08-01,7136072692
2000-08-02,7392007788
2000-08-03,7542557845
2000-08-04,7843657959
2000-08-07,8054428038
2000-08-08,8069483044
2000-08-09,8099593055
2000-08-10,8069483044
2000-08-11,8039373033
2000-08-14,7888822976
2000-08-15,7662997891
2000-08-16,7602777868
2000-08-17,7196292715
2000-08-18,6895192601
2000-08-21,7015632646
2000-08-22,7060797663
2000-08-23,6744642544
2000-08-24,6804862567
2000-08-25,6729587538
2000-08-28,6789807561
2000-08-29,6609147493
2000-08-30,6910247607
2000-08-31,6895192601
2000-09-01,7090907675
2000-09-05,7075852669
2000-09-06,6955412624
2000-09-07,7075852669
2000-09-08,6819917573
2000-09-11,6850027584
2000-09-12,7030687652
2000-09-13,7331787766
2000-09-14,7136072692
2000-09-15,7286622749
2000-09-18,7060797663
2000-09-19,7075852669
2000-09-20,7121017686
2000-09-21,7271567743
2000-09-22,7361897777
2000-09-25,7512447834
2000-09-26,7437172805
2000-09-27,7497392828
2000-09-28,7723217913
2000-09-29,7542557845
2000-10-02,7621258000
2000-10-03,7455250400
2000-10-04,7681624400
2000-10-05,7741990800
2000-10-06,7575983199
2000-10-09,7636349599
2000-10-10,7651441200
2000-10-11,7560891600
2000-10-12,7228876400
2000-10-13,7409975600
2000-10-16,7651441200
2000-10-17,7500525200
2000-10-18,7606166400
2000-10-19,7741990800
2000-10-20,7606166400
2000-10-23,7545800000
2000-10-24,7621258000
2000-10-25,7681624400
2000-10-26,7741990800
2000-10-27,7500525200
2000-10-30,7847632000
2000-10-31,8436204400
2000-11-01,8406021200
2000-11-02,8496570800
2000-11-03,8828586000
2000-11-06,8813494400
2000-11-07,8873860800
2000-11-08,8451295999
2000-11-09,8451295999
2000-11-10,8390929599
2000-11-13,8375838000
2000-11-14,8873860800
2000-11-15,8979502000
2000-11-16,8722944800
2000-11-17,9039868400
2000-11-20,9402066800
