,PX
2021-10-21,1415239599
2021-10-22,1405867152
2021-10-25,1464444950
2021-10-26,1463273394
2021-10-27,1446871610
2021-10-28,1430469827
2021-10-29,1464444950
2021-11-01,1423440491
2021-11-02,1443356942
2021-11-03,1435156051
2021-11-04,1455072502
2021-11-05,1464444950
2021-11-08,1463273394
2021-11-09,1472645841
2021-11-10,1470302729
2021-11-11,1482018289
2021-11-12,1575742766
2021-11-15,1639006788
2021-11-16,1635492120
2021-11-17,1635492120
2021-11-18,1643693011
2021-11-19,1634320564
2021-11-22,1631977452
2021-11-23,1549968535
2021-11-24,1581600546
2021-11-26,1554654758
2021-11-29,1542939199
2021-11-30,1613232556
2021-12-01,1642521455
2021-12-02,1681182802
2021-12-03,1681182802
2021-12-06,1698756142
2021-12-07,1758505495
2021-12-08,1725701929
2021-12-09,1684697470
2021-12-10,1643693011
2021-12-13,1580428990
2021-12-14,1552311647
2021-12-15,1573399654
2021-12-16,1526537415
2021-12-17,1489047625
2021-12-20,1422268935
2021-12-21,1441013830
2021-12-22,1455072502
2021-12-23,1476160509
2021-12-27,1482018289
2021-12-28,1492562293
2021-12-29,1540596087
2021-12-30,1586286769
2021-12-31,1638358140
2022-01-03,1602028310
2022-01-04,1573901990
2022-01-05,1546947600
2022-01-06,1531712510
2022-01-07,1535228300
2022-01-10,1493038820
2022-01-11,1523509000
2022-01-12,1541087950
2022-01-13,1582105500
2022-01-14,1558666900
2022-01-18,1500070400
2022-01-19,1490694960
2022-01-20,1480147590
2022-01-21,1435614250
2022-01-24,1418035300
2022-01-25,1408659860
2022-01-26,1367642310
2022-01-27,1372330030
2022-01-28,1381705470
2022-01-31,1415691440
2022-02-01,1473116010
2022-02-02,1488351100
2022-02-03,1466084430
2022-02-04,1483663380
2022-02-07,1476631800
2022-02-08,1470772150
2022-02-09,1473116010
2022-02-10,1464912500
2022-02-11,1468428290
2022-02-14,1430926530
2022-02-15,1494210750
2022-02-16,1559838830
2022-02-17,1529368650
2022-02-18,1502414260
2022-02-22,1436786180
2022-02-23,1477803730
2022-02-24,1441473900
2022-02-25,1462568640
2022-02-28,1457880920
2022-03-01,1395768630
2022-03-02,1441473900
2022-03-03,1425066880
2022-03-04,1416863370
2022-03-07,1406316000
2022-03-08,1382877400
2022-03-09,1429754600
2022-03-10,1393424770
2022-03-11,1371158100
2022-03-14,1367642310
2022-03-15,1386393190
2022-03-16,1402800210
2022-03-17,1432098460
2022-03-18,1394596700
2022-03-21,1419207230
2022-03-22,1439130040
2022-03-23,1439130040
2022-03-24,1453193200
2022-03-25,1453193200
2022-03-28,1448505480
2022-03-29,1426238810
2022-03-30,1426238810
2022-03-31,1420379160
2022-04-01,1439130040
2022-04-04,1450849340
2022-04-05,1393424770
2022-04-06,1333656340
2022-04-07,1348891430
2022-04-08,1354751080
2022-04-11,1340687920
2022-04-12,1334828270
2022-04-13,1384049330
2022-04-14,1371158100
2022-04-18,1338344060
2022-04-19,1381705470
2022-04-20,1421551090
2022-04-21,1388737050
2022-04-22,1394596700
2022-04-25,1432098460
2022-04-26,1430926530
2022-04-27,1416863370
2022-04-28,1435614250
2022-04-29,1418035300
2022-05-02,1434442320
2022-05-03,1425066880
2022-05-04,1460224780
2022-05-05,1428582670
2022-05-06,1436786180
2022-05-09,1328968620
2022-05-10,1259824750
2022-05-11,1272715980
2022-05-12,1293810720
2022-05-13,1312561600
2022-05-16,1319593180
2022-05-17,1337172130
2022-05-18,1348891430
2022-05-19,1310217740
2022-05-20,1334828270
2022-05-23,1346547570
2022-05-24,1323108970
2022-05-25,1314905460
2022-05-26,1368814240
2022-05-27,1366470380
2022-05-31,1347719500
2022-06-01,1341859850
2022-06-02,1388737050
2022-06-03,1405144070
2022-06-06,1338344060
2022-06-07,1353579150
2022-06-08,1317249320
2022-06-09,1320765110
2022-06-10,1237558080
2022-06-13,1200056320
2022-06-14,1222322990
2022-06-15,1278575630
2022-06-16,1235214220
2022-06-17,1276231770
2022-06-21,1287951070
2022-06-22,1241073870
2022-06-23,1219979130
2022-06-24,1237558080
2022-06-27,1276231770
2022-06-28,1319593180
2022-06-29,1285607210
2022-06-30,1303375200
2022-07-01,1338538200
2022-07-05,1390110600
2022-07-06,1377217500
2022-07-07,1413552600
2022-07-08,1395971100
2022-07-11,1377217500
2022-07-12,1388938500
2022-07-13,1347915000
2022-07-14,1342054500
2022-07-15,1398315300
2022-07-18,1403003700
2022-07-19,1395971100
2022-07-20,1394799000
2022-07-21,1395971100
2022-07-22,1371357000
2022-07-25,1351431300
2022-07-26,1347915000
2022-07-27,1370184900
2022-07-28,1379561700
2022-07-29,1386594300
2022-08-01,1428789900
2022-08-02,1407692100
2022-08-03,1432306200
2022-08-04,1433478300
2022-08-05,1419413100
2022-08-08,1422929400
2022-08-09,1431134100
2022-08-10,1449887700
2022-08-11,1435822500
2022-08-12,1570614000
2022-08-15,1526074200
2022-08-16,1534278900
2022-08-17,1545999900
2022-08-18,1570614000
2022-08-19,1522557900
2022-08-22,1499115900
2022-08-23,1488567000
2022-08-24,1487394900
2022-08-25,1488567000
2022-08-26,1521385800
2022-08-29,1489739100
2022-08-30,1461608700
2022-08-31,1462780800
2022-09-01,1444027200
2022-09-02,1438166700
2022-09-06,1373701200
2022-09-07,1422929400
2022-09-08,1394799000
2022-09-09,1393626900
2022-09-12,1407692100
2022-09-13,1356119700
2022-09-14,1367840700
2022-09-15,1344398700
2022-09-16,1339710300
2022-09-19,1325645100
2022-09-20,1292826300
2022-09-21,1318612500
2022-09-22,1255319100
2022-09-23,1243598100
2022-09-26,1254147000
2022-09-27,1229532900
2022-09-28,1243598100
2022-09-29,1213123500
2022-09-30,1213723960
2022-10-03,1235644830
2022-10-04,1274871650
2022-10-05,1266795540
2022-10-06,1255258240
2022-10-07,1225261260
2022-10-10,1205647850
2022-10-11,1184880710
2022-10-12,1181419520
2022-10-13,1199879200
2022-10-14,1191803090
2022-10-17,1190649360
2022-10-18,1209109040
2022-10-19,1203340390
2022-10-20,1190649360
2022-10-21,1209109040
2022-10-24,1222953800
2022-10-25,1243720940
2022-10-26,1229876180
2022-10-27,1225261260
2022-10-28,1247182130
2022-10-31,1198725470
2022-11-01,1209109040
2022-11-02,1217185150
2022-11-03,1168728490
2022-11-04,1156037460
2022-11-07,1153730000
2022-11-08,1139885240
2022-11-09,1121425560
2022-11-10,1216031420
2022-11-11,1186034440
2022-11-14,1121425560
2022-11-15,1153730000
2022-11-16,1143346430
2022-11-17,1150268810
2022-11-18,1182573250
2022-11-21,1169882220
2022-11-22,1186034440
2022-11-23,1175650870
2022-11-25,1198725470
2022-11-28,1182573250
2022-11-29,1179112060
2022-11-30,1180265790
2022-12-01,1206801580
2022-12-02,1217185150
2022-12-05,1214877690
2022-12-06,1181419520
2022-12-07,1188341900
2022-12-08,1188341900
2022-12-09,1184880710
2022-12-12,1214877690
2022-12-13,1225261260
2022-12-14,1248335860
2022-12-15,1205647850
2022-12-16,1204494120
2022-12-19,1177958330
2022-12-20,1205647850
2022-12-21,1174497140
2022-12-22,1136424050
2022-12-23,1126040480
2022-12-27,1198725470
2022-12-28,1144500160
2022-12-29,1191803090
2022-12-30,1231029910
2023-01-03,1257742850
2023-01-04,1276290210
2023-01-05,1244991540
2023-01-06,1261220480
2023-01-09,1280927050
2023-01-10,1304111250
2023-01-11,1307588880
2023-01-12,1342365180
2023-01-13,1349320440
2023-01-17,1348161230
2023-01-18,1344683600
2023-01-19,1306429670
2023-01-20,1305270460
2023-01-23,1324977030
2023-01-24,1293678360
2023-01-25,1305270460
2023-01-26,1305270460
2023-01-27,1312225720
2023-01-30,1290200730
2023-01-31,1309907300
2023-02-01,1311066510
2023-02-02,1347002020
2023-02-03,1369027010
2023-02-06,1338887550
2023-02-07,1344683600
2023-02-08,1333091500
2023-02-09,1305270460
2023-02-10,1318021770
2023-02-13,1313384930
2023-02-14,1313384930
2023-02-15,1319180980
2023-02-16,1335409920
2023-02-17,1333091500
2023-02-21,1285563890
2023-02-22,1287882310
2023-02-23,1285563890
2023-02-24,1262379690
2023-02-27,1275131000
2023-02-28,1248469170
2023-03-01,1254265220
2023-03-02,1233399440
2023-03-03,1249628380
2023-03-06,1232240230
2023-03-07,1205578400
2023-03-08,1193986300
2023-03-09,1151095530
2023-03-10,1115160020
2023-03-13,1071110040
2023-03-14,1061836360
2023-03-15,1056040309
2023-03-16,1072269250
2023-03-17,1050244260
2023-03-20,1072269250
2023-03-21,1124433700
2023-03-22,1107045550
2023-03-23,1112841600
2023-03-24,1144140270
2023-03-27,1158050790
2023-03-28,1138344220
2023-03-29,1151095530
2023-03-30,1138344220
2023-03-31,1174458480
2023-04-03,1158194960
2023-04-04,1121021200
2023-04-05,1112889440
2023-04-06,1115212800
2023-04-10,1134961360
2023-04-11,1141931440
2023-04-12,1151224880
2023-04-13,1174458480
2023-04-14,1217440640
2023-04-17,1210470560
2023-04-18,1208147200
2023-04-19,1244159280
2023-04-20,1217440640
2023-04-21,1197692080
2023-04-24,1190722000
2023-04-25,1159356640
2023-04-26,1172135120
2023-04-27,1173296800
2023-04-28,1200015440
2023-05-01,1212793920
2023-05-02,1180266880
2023-05-03,1201177120
2023-05-04,1173296800
2023-05-05,1177943520
2023-05-08,1161680000
2023-05-09,1158194960
2023-05-10,1175620160
2023-05-11,1175620160
2023-05-12,1173296800
2023-05-15,1169811760
2023-05-16,1249967680
2023-05-17,1255776080
2023-05-18,1226734080
2023-05-19,1247644320
2023-05-22,1263907840
2023-05-23,1255776080
2023-05-24,1230219120
2023-05-25,1219764000
2023-05-26,1234865840
2023-05-30,1215117280
2023-05-31,1234865840
2023-06-01,1260422800
2023-06-02,1277848000
2023-06-05,1291788160
2023-06-06,1323153520
2023-06-07,1332446960
2023-06-08,1331285280
2023-06-09,1326638560
2023-06-12,1313860080
2023-06-13,1326638560
2023-06-14,1341740400
2023-06-15,1355680560
2023-06-16,1334770320
2023-06-20,1341740400
2023-06-21,1340578720
2023-06-22,1319668480
2023-06-23,1266231200
2023-06-26,1253452720
2023-06-27,1285979760
2023-06-28,1292949840
2023-06-29,1299919920
2023-06-30,1313455500
2023-07-03,1311130800
2023-07-05,1290208500
2023-07-06,1278585000
2023-07-07,1299507300
2023-07-10,1289046150
2023-07-11,1308806100
2023-07-12,1326241350
2023-07-13,1349488350
2023-07-14,1326241350
2023-07-17,1322754300
2023-07-18,1343676600
2023-07-19,1363436550
2023-07-20,1348326000
2023-07-21,1337864850
2023-07-24,1354137750
2023-07-25,1330890750
2023-07-26,1361111850
2023-07-27,1346001300
2023-07-28,1350650700
2023-07-31,1377384750
2023-08-01,1380871800
2023-08-02,1359949500
2023-08-03,1347163650
2023-08-04,1375060050
2023-08-07,1393657650
2023-08-08,1385521200
2023-08-09,1361111850
2023-08-10,1377384750
2023-08-11,1466885700
2023-08-14,1458749250
2023-08-15,1435502250
2023-08-16,1457586900
2023-08-17,1447125750
2023-08-18,1454099850
2023-08-21,1411092900
2023-08-22,1418067000
2023-08-23,1430852850
2023-08-24,1421554050
2023-08-25,1408768200
2023-08-28,1420391700
2023-08-29,1421554050
2023-08-30,1416904650
2023-08-31,1400631750
2023-09-01,1364598900
2023-09-05,1332053100
2023-09-06,1356462450
2023-09-07,1337864850
2023-09-08,1339027200
2023-09-11,1333215450
2023-09-12,1330890750
2023-09-13,1316942550
2023-09-14,1318104900
2023-09-15,1308806100
2023-09-18,1311130800
2023-09-19,1307643750
2023-09-20,1315780200
2023-09-21,1315780200
2023-09-22,1299507300
2023-09-25,1340189550
2023-09-26,1322754300
2023-09-27,1323916650
2023-09-28,1348326000
2023-09-29,1354137750
2023-10-02,1318863760
2023-10-03,1268941980
2023-10-04,1273585867
2023-10-05,1231790888
2023-10-06,1223664087
2023-10-09,1196961740
2023-10-10,1229468945
2023-10-11,1219020201
2023-10-12,1184191052
2023-10-13,1170259392
2023-10-16,1184191052
2023-10-17,1208571456
2023-10-18,1152844818
2023-10-19,1123820528
2023-10-20,1079703606
2023-10-23,1064610975
2023-10-24,1071576805
2023-10-25,1057645145
2023-10-26,1056484174
2023-10-27,1056484174
2023-10-30,1094796237
2023-10-31,1093635266
2023-11-01,1092474294
2023-11-02,1129625386
2023-11-03,1170259392
2023-11-06,1163293563
2023-11-07,1148200932
2023-11-08,1171420364
2023-11-09,1154005790
2023-11-10,1101762067
2023-11-13,1070415833
2023-11-14,1114532755
2023-11-15,1107566925
2023-11-16,1072737776
2023-11-17,1065771947
2023-11-20,1095957209
2023-11-21,1088991379
2023-11-22,1124981499
2023-11-24,1133108301
2023-11-27,1116854698
2023-11-28,1121498584
2023-11-29,1158649676
2023-11-30,1184191052
2023-12-01,1163293563
2023-12-04,1128464414
2023-12-05,1118015670
2023-12-06,1122659556
2023-12-07,1141235102
2023-12-08,1152844818
2023-12-11,1121498584
2023-12-12,1083186521
2023-12-13,1148200932
2023-12-14,1173742307
2023-12-15,1184191052
2023-12-18,1180708137
2023-12-19,1196961740
2023-12-20,1187673967
2023-12-21,1124981499
2023-12-22,1135430244
2023-12-26,1169098421
2023-12-27,1170259392
2023-12-28,1209732428
2023-12-29,1186512995
2024-01-02,1115693726
2024-01-03,1099440124
2024-01-04,1084347493
2024-01-05,1013528224
2024-01-08,1035586685
2024-01-09,1028620855
2024-01-10,1018172110
2024-01-11,1013528224
2024-01-12,1010045309
2024-01-16,1028620855
2024-01-17,1021655025
2024-01-18,1058806117
2024-01-19,1051840287
2024-01-22,1065771947
2024-01-23,1076220691
2024-01-24,1063450003
2024-01-25,1055323202
2024-01-26,1071576805
2024-01-29,1079703606
2024-01-30,1085508464
2024-01-31,1068093890
2024-02-01,1028620855
2024-02-02,1013528224
2024-02-05,1042552514
2024-02-06,1041391543
2024-02-07,1053001259
2024-02-08,1070415833
2024-02-09,1063450003
2024-02-12,1091313322
2024-02-13,1044874458
2024-02-14,1057645145
2024-02-15,1094796237
2024-02-16,1092474294
2024-02-20,1076220691
2024-02-21,1007723366
2024-02-22,1013528224
2024-02-23,1012367252
2024-02-26,1027459883
2024-02-27,1057645145
2024-02-28,1056484174
2024-02-29,1076220691
2024-03-01,967089359
2024-03-04,927616324
2024-03-05,907879806
2024-03-06,907879806
2024-03-07,933421182
2024-03-08,939226040
2024-03-11,951996728
2024-03-12,956640614
2024-03-13,958962558
2024-03-14,939226040
2024-03-15,953157700
2024-03-18,936904097
2024-03-19,933421182
2024-03-20,957801586
2024-03-21,962445472
2024-03-22,945030898
2024-03-25,929938267
2024-03-26,921811466
2024-03-27,972894217
2024-03-28,977538104
2024-04-01,979860047
2024-04-02,971733245
2024-04-03,970572274
2024-04-04,975216160
2024-04-05,975216160
2024-04-08,970572274
2024-04-09,961284501
2024-04-10,898592033
2024-04-11,906718835
2024-04-12,892787175
2024-04-15,878855516
2024-04-16,869567743
2024-04-17,869567743
2024-04-18,861440942
2024-04-19,869567743
2024-04-22,875372601
2024-04-23,881177459
2024-04-24,881177459
2024-04-25,859118998
2024-04-26,866084828
2024-04-29,876533573
2024-04-30,824289850
2024-05-01,853314140
2024-05-02,854475112
2024-05-03,876533573
2024-05-06,863507111
2024-05-07,878434270
2024-05-08,873829110
2024-05-09,935998770
2024-05-10,941755220
2024-05-13,956721990
2024-05-14,957873280
2024-05-15,953268119
2024-05-16,954419409
2024-05-17,947511670
2024-05-20,940603930
2024-05-21,944057799
2024-05-22,946360380
2024-05-23,935998770
2024-05-24,942906510
2024-05-28,924485869
2024-05-29,926788450
2024-05-30,931393610
2024-05-31,930242320
2024-06-03,924485869
2024-06-04,916426840
2024-06-05,931393610
2024-06-06,935998770
2024-06-07,932544900
2024-06-10,938301350
2024-06-11,949814250
2024-06-12,929091030
2024-06-13,927939740
2024-06-14,921032000
2024-06-17,909519100
2024-06-18,931393610
2024-06-20,956721990
2024-06-21,948662960
2024-06-24,963629729
2024-06-25,949814250
2024-06-26,955570700
2024-06-27,962478439
2024-06-28,976293920
2024-07-01,942906510
2024-07-02,950965540
2024-07-03,955570700
2024-07-05,946360380
2024-07-08,962478439
2024-07-09,1013135200
