,VNT
2020-09-24,5725600000
2020-09-25,5729000000
2020-09-28,5560500000
2020-09-29,5139250000
2020-09-30,5223500000
2020-10-01,5729000000
2020-10-02,5897500000
2020-10-05,5771125000
2020-10-06,5897500000
2020-10-07,5771125000
2020-10-08,5644750000
2020-10-09,4736535000
2020-10-12,4692725000
2020-10-13,4509060000
2020-10-14,4719685000
2020-10-15,4675875000
2020-10-16,4761810000
2020-10-19,4760125000
2020-10-20,4792140000
2020-10-21,4810675000
2020-10-22,5031410000
2020-10-23,5103865000
2020-10-26,4969065000
2020-10-27,4829210000
2020-10-28,4761810000
2020-10-29,4765180000
2020-10-30,4842690000
2020-11-02,5048260000
2020-11-03,5022985000
2020-11-04,4970750000
2020-11-05,4945475000
2020-11-06,4876390000
2020-11-09,4808990000
2020-11-10,4761810000
2020-11-11,4888185000
2020-11-12,4808990000
2020-11-13,4814045000
2020-11-16,4905035000
2020-11-17,5162840000
2020-11-18,5255515000
2020-11-19,5176320000
2020-11-20,5253830000
2020-11-23,5358300000
2020-11-24,5520060000
2020-11-25,5671709999
2020-11-27,5744165000
2020-11-30,5589145000
2020-12-01,5560500000
2020-12-02,5575665000
2020-12-03,5590830000
2020-12-04,5572295000
2020-12-07,5477935000
2020-12-08,5392000000
2020-12-09,5385260000
2020-12-10,5376835000
2020-12-11,5253830000
2020-12-14,5434125000
2020-12-15,5523430000
2020-12-16,5508265000
2020-12-17,5644750000
2020-12-18,5713834999
2020-12-21,5757645000
2020-12-22,5735740000
2020-12-23,5754275000
2020-12-24,5723945000
2020-12-28,5624530000
2020-12-29,5506580000
2020-12-30,5536910000
2020-12-31,5634580000
2021-01-04,5602527000
2021-01-05,5575534999
2021-01-06,5664946000
2021-01-07,5772914000
2021-01-08,5874134000
2021-01-11,5860638000
2021-01-12,5734113000
2021-01-13,5801593000
2021-01-14,6056330000
2021-01-15,5921370000
2021-01-19,5745922000
2021-01-20,5745922000
2021-01-21,5722304000
2021-01-22,5703747000
2021-01-25,5779662000
2021-01-26,5749296000
2021-01-27,5459132000
2021-01-28,5531673000
2021-01-29,5470941000
2021-02-01,5575534999
2021-02-02,5713869000
2021-02-03,5683503000
2021-02-04,5774600999
2021-02-05,5794845000
2021-02-08,5853890000
2021-02-09,5769540000
2021-02-10,5653137000
2021-02-11,5723991000
2021-02-12,5754357000
2021-02-16,5555291000
2021-02-17,5531673000
2021-02-18,5383217000
2021-02-19,5290432000
2021-02-22,5197647000
2021-02-23,5357912000
