,HI
2008-03-20,1125000000
2008-03-24,1234375000
2008-03-25,1437500000
2008-03-26,1437500000
2008-03-27,1458125000
2008-03-28,1446875000
2008-03-31,1381250000
2008-04-01,1343750000
2008-04-02,1306250000
2008-04-03,1268750000
2008-04-04,1273125000
2008-04-07,1231875000
2008-04-08,1248125000
2008-04-09,1253125000
2008-04-10,1214375000
2008-04-11,1218750000
2008-04-14,1231875000
2008-04-15,1211250000
2008-04-16,1182500000
2008-04-17,1125625000
2008-04-18,1138125000
2008-04-21,1132500000
2008-04-22,1139375000
2008-04-23,1126250000
2008-04-24,1138750000
2008-04-25,1229375000
2008-04-28,1191250000
2008-04-29,1143125000
2008-04-30,1190000000
2008-05-01,1206250000
2008-05-02,1205000000
2008-05-05,1192500000
2008-05-06,1186250000
2008-05-07,1207500000
2008-05-08,1221875000
2008-05-09,1238750000
2008-05-12,1300625000
2008-05-13,1339375000
2008-05-14,1409375000
2008-05-15,1469375000
2008-05-16,1472500000
2008-05-19,1518125000
2008-05-20,1485000000
2008-05-21,1476250000
2008-05-22,1455000000
2008-05-23,1433125000
2008-05-27,1383750000
2008-05-28,1351250000
2008-05-29,1354375000
2008-05-30,1384375000
2008-06-02,1434375000
2008-06-03,1400625000
2008-06-04,1435625000
2008-06-05,1442500000
2008-06-06,1436875000
2008-06-09,1438750000
2008-06-10,1472500000
2008-06-11,1444375000
2008-06-12,1412500000
2008-06-13,1373750000
2008-06-16,1375625000
2008-06-17,1429375000
2008-06-18,1441875000
2008-06-19,1438125000
2008-06-20,1491250000
2008-06-23,1485000000
2008-06-24,1425000000
2008-06-25,1403750000
2008-06-26,1393125000
2008-06-27,1464375000
2008-06-30,1326800000
2008-07-01,1399960000
2008-07-02,1357180000
2008-07-03,1377020000
2008-07-07,1350980000
2008-07-08,1406160000
2008-07-09,1407400000
2008-07-10,1434680000
2008-07-11,1442120000
2008-07-14,1432200000
2008-07-15,1414840000
2008-07-16,1426000000
2008-07-17,1428480000
2008-07-18,1437160000
2008-07-21,1444600000
2008-07-22,1430960000
2008-07-23,1422900000
2008-07-24,1403680000
2008-07-25,1435920000
2008-07-28,1422280000
2008-07-29,1429720000
2008-07-30,1457620000
2008-07-31,1435300000
2008-08-01,1452660000
2008-08-04,1435920000
2008-08-05,1460100000
2008-08-06,1462580000
2008-08-07,1484900000
2008-08-08,1499780000
2008-08-11,1479320000
2008-08-12,1489240000
2008-08-13,1486760000
2008-08-14,1491100000
2008-08-15,1498540000
2008-08-18,1468160000
2008-08-19,1465680000
2008-08-20,1447080000
2008-08-21,1398720000
2008-08-22,1427240000
2008-08-25,1424760000
2008-08-26,1433440000
2008-08-27,1431580000
2008-08-28,1450180000
2008-08-29,1474360000
2008-09-02,1468780000
2008-09-03,1471260000
2008-09-04,1453280000
2008-09-05,1457000000
2008-09-08,1488000000
2008-09-09,1414840000
2008-09-10,1417320000
2008-09-11,1419800000
2008-09-12,1419180000
2008-09-15,1385700000
2008-09-16,1378880000
2008-09-17,1395000000
2008-09-18,1376400000
2008-09-19,1361520000
2008-09-22,1334860000
2008-09-23,1290220000
2008-09-24,1258600000
2008-09-25,1253020000
2008-09-26,1253020000
2008-09-29,1226360000
2008-09-30,1249920000
2008-10-01,1294560000
2008-10-02,1292080000
2008-10-03,1262320000
2008-10-06,1227600000
2008-10-07,1158160000
2008-10-08,1129020000
2008-10-09,1127160000
2008-10-10,1069500000
2008-10-13,1147000000
2008-10-14,1132120000
2008-10-15,1038500000
2008-10-16,1089960000
2008-10-17,1122200000
2008-10-20,1122820000
2008-10-21,1132740000
2008-10-22,1114140000
2008-10-23,1127780000
2008-10-24,1094920000
2008-10-27,1079420000
2008-10-28,1192880000
2008-10-29,1156920000
2008-10-30,1160640000
2008-10-31,1178000000
2008-11-03,1169940000
2008-11-04,1170560000
2008-11-05,1169940000
2008-11-06,1169940000
2008-11-07,1186060000
2008-11-10,1173660000
2008-11-11,1148240000
2008-11-12,1153820000
2008-11-13,1181100000
2008-11-14,1161880000
2008-11-17,1131500000
2008-11-18,1089960000
2008-11-19,983320000
2008-11-20,894040000
2008-11-21,865520000
2008-11-24,920080000
2008-11-25,1014320000
2008-11-26,1021139999
2008-11-28,987040000
2008-12-01,952320000
2008-12-02,921320000
2008-12-03,967200000
2008-12-04,964720000
2008-12-05,956040000
2008-12-08,1014320000
2008-12-09,1010600000
2008-12-10,1036020000
2008-12-11,1014320000
2008-12-12,985180000
2008-12-15,926900000
2008-12-16,947980000
2008-12-17,939300000
2008-12-18,928760000
2008-12-19,954180000
2008-12-22,996959999
2008-12-23,1007500000
2008-12-24,1000059999
2008-12-26,1016799999
2008-12-29,1003160000
2008-12-30,1016799999
2008-12-31,1029156000
2009-01-02,1107515000
2009-01-05,1060006000
2009-01-06,1103813000
2009-01-07,1077282000
2009-01-08,1089005000
2009-01-09,1061240000
2009-01-12,1040879000
2009-01-13,1137131000
2009-01-14,1123557000
2009-01-15,1090856000
2009-01-16,1175385000
2009-01-20,1091473000
2009-01-21,1165513000
2009-01-22,1121089000
2009-01-23,1105664000
2009-01-26,1159343000
2009-01-27,1180321000
2009-01-28,1196363000
2009-01-29,1159343000
2009-01-30,1140833000
2009-02-02,1167364000
2009-02-03,1172300000
2009-02-04,1151322000
2009-02-05,1138982000
2009-02-06,1182172000
2009-02-09,1195129000
2009-02-10,1185874000
2009-02-11,1167981000
2009-02-12,1177236000
2009-02-13,1176002000
2009-02-17,1108132000
2009-02-18,1114302000
2009-02-19,1114302000
2009-02-20,1107515000
2009-02-23,1080984000
2009-02-24,1083452000
2009-02-25,1087771000
2009-02-26,1064942000
2009-02-27,1034709000
2009-03-02,977328000
2009-03-03,1040262000
2009-03-04,999540000
2009-03-05,964988000
2009-03-06,990285000
2009-03-09,955733000
2009-03-10,977945000
2009-03-11,968690000
2009-03-12,1039645000
2009-03-13,1033475000
2009-03-16,1028539000
2009-03-17,1033475000
2009-03-18,989051000
2009-03-19,969307000
2009-03-20,977945000
2009-03-23,995220999
2009-03-24,953265000
2009-03-25,905756000
2009-03-26,989668000
2009-03-27,977945000
2009-03-30,950797000
2009-03-31,987817000
2009-04-01,989668000
2009-04-02,1042113000
2009-04-03,1048900000
2009-04-06,1003242000
2009-04-07,940308000
2009-04-08,988434000
2009-04-09,1048900000
2009-04-13,988434000
2009-04-14,973009000
2009-04-15,989668000
2009-04-16,1016816000
2009-04-17,1048900000
2009-04-20,1037176999
2009-04-21,1085920000
2009-04-22,1082835000
2009-04-23,1027304999
2009-04-24,1042113000
2009-04-27,1053835999
2009-04-28,1056920999
2009-04-29,1101345000
2009-04-30,1121706000
2009-05-01,1090239000
2009-05-04,1085920000
2009-05-05,1085920000
2009-05-06,1074197000
2009-05-07,1112451000
2009-05-08,1095792000
2009-05-11,1058154999
2009-05-12,1042113000
2009-05-13,1030390000
2009-05-14,1014348000
2009-05-15,1012497000
2009-05-18,1040262000
2009-05-19,1093324000
2009-05-20,1077282000
2009-05-21,1034092000
2009-05-22,1040879000
2009-05-26,1082835000
2009-05-27,1064325000
2009-05-28,1035326000
2009-05-29,1058772000
2009-06-01,1114919000
2009-06-02,1116770000
2009-06-03,1056920999
2009-06-04,1060006000
2009-06-05,1074814000
2009-06-08,1066793000
2009-06-09,1043964000
2009-06-10,1065559000
2009-06-11,1066176000
2009-06-12,1052601999
2009-06-15,1026688000
2009-06-16,1017432999
2009-06-17,1061857000
2009-06-18,1055070000
2009-06-19,1067410000
2009-06-22,1045198000
2009-06-23,1029773000
2009-06-24,1006944000
2009-06-25,1004476000
2009-06-26,1002625000
2009-06-29,1034092000
2009-06-30,1021696000
2009-07-01,1054238000
2009-07-02,1038888000
2009-07-06,1053624000
2009-07-07,1044414000
2009-07-08,1036431999
2009-07-09,1025380000
2009-07-10,1025994000
2009-07-13,1042572000
2009-07-14,1068359999
2009-07-15,1085552000
2009-07-16,1069588000
2009-07-17,1084324000
2009-07-20,1086780000
2009-07-21,1094148000
2009-07-22,1054238000
2009-07-23,1068359999
2009-07-24,1076342000
2009-07-27,1080026000
2009-07-28,1074500000
2009-07-29,1076956000
2009-07-30,1104586000
2009-07-31,1112568000
2009-08-03,1106428000
2009-08-04,1120550000
2009-08-05,1126690000
2009-08-06,1159846000
2009-08-07,1181336000
2009-08-10,1150022000
2009-08-11,1147566000
2009-08-12,1181950000
2009-08-13,1201598000
2009-08-14,1211422000
2009-08-17,1188704000
2009-08-18,1183178000
2009-08-19,1201598000
2009-08-20,1202826000
2009-08-21,1232912000
2009-08-24,1233526000
2009-08-25,1239052000
2009-08-26,1222474000
2009-08-27,1243350000
2009-08-28,1235368000
2009-08-31,1229228000
2009-09-01,1247034000
2009-09-02,1251946000
2009-09-03,1253174000
2009-09-04,1268524000
2009-09-08,1272208000
2009-09-09,1281418000
2009-09-10,1287558000
2009-09-11,1285716000
2009-09-14,1276506000
2009-09-15,1258700000
2009-09-16,1274664000
2009-09-17,1274050000
2009-09-18,1252560000
2009-09-21,1264226000
2009-09-22,1280804000
2009-09-23,1277734000
2009-09-24,1267296000
2009-09-25,1266682000
2009-09-28,1280190000
2009-09-29,1262998000
2009-09-30,1258866000
2009-10-01,1266900000
2009-10-02,1246506000
2009-10-05,1249596000
2009-10-06,1263192000
2009-10-07,1269372000
2009-10-08,1269990000
2009-10-09,1279260000
2009-10-12,1300272000
2009-10-13,1292238000
2009-10-14,1288530000
2009-10-15,1292856000
2009-10-16,1298418000
2009-10-19,1280496000
2009-10-20,1283586000
2009-10-21,1274316000
2009-10-22,1299036000
2009-10-23,1277406000
2009-10-26,1244034000
2009-10-27,1264428000
2009-10-28,1232292000
2009-10-29,1238472000
2009-10-30,1234764000
2009-11-02,1237854000
2009-11-03,1202010000
2009-11-04,1213134000
2009-11-05,1226730000
2009-11-06,1247742000
2009-11-09,1241562000
2009-11-10,1258248000
2009-11-11,1262574000
2009-11-12,1229202000
2009-11-13,1229820000
2009-11-16,1239708000
2009-11-17,1261338000
2009-11-18,1246506000
2009-11-19,1226112000
2009-11-20,1244034000
2009-11-23,1232910000
2009-11-24,1147626000
2009-11-25,1163694000
2009-11-27,1127850000
2009-11-30,1130940000
2009-12-01,1142064000
2009-12-02,1169874000
2009-12-03,1156278000
2009-12-04,1179144000
2009-12-07,1182234000
2009-12-08,1176054000
2009-12-09,1193976000
2009-12-10,1210662000
2009-12-11,1216224000
2009-12-14,1204482000
2009-12-15,1204482000
2009-12-16,1168638000
2009-12-17,1161840000
2009-12-18,1152570000
2009-12-21,1152570000
2009-12-22,1155660000
2009-12-23,1161222000
2009-12-24,1151952000
2009-12-28,1164312000
2009-12-29,1155660000
2009-12-30,1168020000
2009-12-31,1166196000
2010-01-04,1176100000
2010-01-05,1179814000
2010-01-06,1184766000
2010-01-07,1186623000
2010-01-08,1205812000
2010-01-11,1158768000
2010-01-12,1151959000
2010-01-13,1155673000
2010-01-14,1143293000
2010-01-15,1129675000
2010-01-19,1134008000
2010-01-20,1117295000
2010-01-21,1108629000
2010-01-22,1108629000
