,OXY
2000-01-03,7347276000
2000-01-04,7192674000
2000-01-05,7236846000
2000-01-06,7435620000
2000-01-07,7656480000
2000-01-10,7413534000
2000-01-11,7700652000
2000-01-12,7656480000
2000-01-13,7899426000
2000-01-14,7766910000
2000-01-18,7766910000
2000-01-19,7877339999
2000-01-20,7811082000
2000-01-21,7656480000
2000-01-24,7369362000
2000-01-25,6993900000
2000-01-26,7170588000
2000-01-27,7104330000
2000-01-28,7060158000
2000-01-31,7015986000
2000-02-01,6993900000
2000-02-02,6927642000
2000-02-03,6883470000
2000-02-04,6883470000
2000-02-07,6861384000
2000-02-08,6817212000
2000-02-09,6706782000
2000-02-10,6684696000
2000-02-11,6530093999
2000-02-14,6088374000
2000-02-15,6331320000
2000-02-16,6353406000
2000-02-17,6220889999
2000-02-18,6088374000
2000-02-22,6088374000
2000-02-23,5933772000
2000-02-24,5801256000
2000-02-25,5558310000
2000-02-28,5602482000
2000-02-29,5668740000
2000-03-01,5668740000
2000-03-02,5955858000
2000-03-03,6066288000
2000-03-06,6088374000
2000-03-07,6287147999
2000-03-08,6154632000
2000-03-09,6066288000
2000-03-10,6154632000
2000-03-13,6132546000
2000-03-14,6066288000
2000-03-15,6132546000
2000-03-16,6441750000
2000-03-17,6441750000
2000-03-20,6375492000
2000-03-21,6530093999
2000-03-22,6596352000
2000-03-23,6640524000
2000-03-24,6706782000
2000-03-27,6706782000
2000-03-28,6750954000
2000-03-29,6883470000
2000-03-30,7148502000
2000-03-31,7339119999
2000-04-03,7361248000
2000-04-04,7294864000
2000-04-05,7405503999
2000-04-06,7671040000
2000-04-07,7582528000
2000-04-10,7560400000
2000-04-11,7626784000
2000-04-12,7671040000
2000-04-13,7648911999
2000-04-14,7582528000
2000-04-17,7383376000
2000-04-18,7117840000
2000-04-19,7228480000
2000-04-20,7272736000
2000-04-24,7405503999
2000-04-25,7560400000
2000-04-26,7693168000
2000-04-27,7759552000
2000-04-28,7582528000
2000-05-01,7737424000
2000-05-02,7737424000
2000-05-03,7516144000
2000-05-04,7671040000
2000-05-05,7848064000
2000-05-08,8025088000
2000-05-09,8047216000
2000-05-10,8091472000
2000-05-11,8179984000
2000-05-12,8202111999
2000-05-15,8157856000
2000-05-16,8268496000
2000-05-17,8357008000
2000-05-18,8534032000
2000-05-19,8534032000
2000-05-22,8467648000
2000-05-23,8290624000
2000-05-24,8268496000
2000-05-25,8025088000
2000-05-26,8069344000
2000-05-30,8091472000
2000-05-31,8379136000
2000-06-01,8268496000
2000-06-02,8002960000
2000-06-05,7870192000
2000-06-06,8135728000
2000-06-07,8069344000
2000-06-08,8025088000
2000-06-09,7980832000
2000-06-12,8047216000
2000-06-13,8002960000
2000-06-14,8025088000
2000-06-15,7958703999
2000-06-16,8357008000
2000-06-19,8047216000
2000-06-20,7980832000
2000-06-21,8312752000
2000-06-22,8202111999
2000-06-23,8290624000
2000-06-26,7892319999
2000-06-27,7759552000
2000-06-28,7671040000
2000-06-29,7582528000
2000-06-30,7457840000
2000-07-03,7635056000
2000-07-05,7280624000
2000-07-06,7413535999
2000-07-07,7435688000
2000-07-10,7369232000
2000-07-11,7878728000
2000-07-12,7612904000
2000-07-13,7479992000
2000-07-14,7435688000
2000-07-17,7280624000
2000-07-18,7214168000
2000-07-19,7103407999
2000-07-20,7125560000
2000-07-21,7014800000
2000-07-24,6815432000
2000-07-25,6682520000
2000-07-26,6616064000
2000-07-27,6837584000
2000-07-28,6881888000
2000-07-31,7169864000
2000-08-01,6992648000
2000-08-02,7036952000
2000-08-03,7036952000
2000-08-04,7014800000
2000-08-07,7169864000
2000-08-08,7125560000
2000-08-09,7147712000
2000-08-10,7192016000
2000-08-11,7169864000
