,MCK
2001-01-23,9012120000
2001-01-24,8884590000
2001-01-25,9017788000
2001-01-26,9065966000
2001-01-29,9145318000
2001-01-30,9224670000
2001-01-31,9258678000
2001-02-01,9357868000
2001-02-02,9423050000
2001-02-05,9508070000
2001-02-06,9550580000
2001-02-07,9542078000
2001-02-08,9658272000
2001-02-09,9635600000
2001-02-12,9635600000
2001-02-13,9593090000
2001-02-14,9434386000
2001-02-15,9352200000
2001-02-16,9363536000
2001-02-20,9281350000
2001-02-21,9544912000
2001-02-22,9219002000
2001-02-23,8915764000
2001-02-26,9221836000
2001-02-27,8703214000
2001-02-28,8241271999
2001-03-01,8459490000
2001-03-02,8598356000
2001-03-05,8499166000
2001-03-06,8261110000
2001-03-07,8108074000
2001-03-08,8320624000
2001-03-09,8147750000
2001-03-12,7906860000
2001-03-13,7731152000
2001-03-14,7507266000
2001-03-15,7365566000
2001-03-16,7079332000
2001-03-19,7362732000
2001-03-20,7382570000
2001-03-21,7229534000
2001-03-22,6795932000
2001-03-23,7464756000
2001-03-26,7586618000
2001-03-27,7436416000
2001-03-28,7442084000
2001-03-29,7580950000
2001-03-30,7580950000
2001-04-02,7656783000
2001-04-03,7483604000
2001-04-04,7304747000
2001-04-05,7355849000
2001-04-06,7194026000
2001-04-09,7213899000
2001-04-10,7381400000
2001-04-11,7551740000
2001-04-12,7736275000
2001-04-16,7770343000
2001-04-17,7878225000
2001-04-18,7952039000
2001-04-19,7824284000
2001-04-20,7764665000
2001-04-23,7824284000
2001-04-24,7724919000
2001-04-25,7642588000
2001-04-26,7605681000
2001-04-27,7724919000
2001-04-30,8755476000
2001-05-01,8962723000
2001-05-02,9169970000
2001-05-03,9152936000
2001-05-04,9311920000
2001-05-07,9317598000
2001-05-08,9402768000
2001-05-09,9558913000
2001-05-10,9624210000
2001-05-11,9510650000
2001-05-14,9482260000
2001-05-15,9451031000
2001-05-16,9695185000
2001-05-17,9652600000
2001-05-18,9635566000
2001-05-21,9615693000
2001-05-22,9655439000
2001-05-23,9763321000
2001-05-24,9485098999
2001-05-25,9817262000
2001-05-29,9661117000
2001-05-30,9658278000
2001-05-31,9814423000
2001-06-01,9683829000
2001-06-04,9743448000
2001-06-05,9783194000
2001-06-06,9561752000
2001-06-07,9970568000
2001-06-08,10092645000
2001-06-11,9871203000
2001-06-12,9754804000
2001-06-13,9927983000
2001-06-14,9854169000
2001-06-15,9874042000
2001-06-18,10050060000
2001-06-19,10084128000
2001-06-20,10277180000
2001-06-21,10447520000
2001-06-22,10362350000
2001-06-25,10504300000
2001-06-26,10487266000
2001-06-27,10495783000
2001-06-28,10470232000
2001-06-29,10538368000
2001-07-02,10493700000
2001-07-03,10573500000
2001-07-05,10291350000
2001-07-06,10362600000
2001-07-09,10416750000
2001-07-10,10516500000
2001-07-11,10530750000
2001-07-12,10659000000
2001-07-13,10402500000
2001-07-16,10374000000
2001-07-17,10288500000
2001-07-18,10254300000
2001-07-19,10334100000
2001-07-20,10445250000
2001-07-23,10835700000
2001-07-24,10787250000
2001-07-25,10944000000
2001-07-26,11015250000
2001-07-27,11100750000
2001-07-30,11434200000
2001-07-31,11813250000
2001-08-01,11511150000
2001-08-02,11297400000
2001-08-03,11314500000
2001-08-06,11229000000
2001-08-07,11115000000
2001-08-08,10827150000
2001-08-09,10610550000
2001-08-10,10969650000
2001-08-13,11328750000
2001-08-14,11457000000
2001-08-15,11565300000
2001-08-16,11571000000
2001-08-17,11525400000
2001-08-20,11303099999
2001-08-21,11303099999
2001-08-22,11280300000
2001-08-23,11428500000
2001-08-24,11385750000
2001-08-27,11351550000
2001-08-28,11260350000
2001-08-29,11191950000
2001-08-30,11080800000
2001-08-31,11186250000
2001-09-04,11402850000
2001-09-05,11519700000
2001-09-06,11437050000
2001-09-07,11357250000
2001-09-10,11129250000
2001-09-17,10542150000
2001-09-18,10570650000
2001-09-19,10507950000
2001-09-20,10174500000
2001-09-21,9721350000
2001-09-24,9795450000
2001-09-25,10029150000
2001-09-26,10402500000
2001-09-27,10650450000
2001-09-28,10770150000
2001-10-01,10981320000
2001-10-02,11052720000
2001-10-03,11112695999
2001-10-04,11024160000
2001-10-05,10992744000
