,TMC
2021-09-10,1931386107
2021-09-13,2555340812
2021-09-14,2235153529
2021-09-15,2052482580
2021-09-16,2543025916
2021-09-17,2130476918
2021-09-20,1826709496
2021-09-21,1890336456
2021-09-22,1419291704
2021-09-23,1120655488
2021-09-24,1048818598
2021-09-27,1145285279
2021-09-28,1073448389
2021-09-29,888724957
2021-09-30,1030218742
2021-10-01,1172240144
2021-10-04,1086576441
2021-10-05,1005421354
2021-10-06,933283499
2021-10-07,901723188
2021-10-08,804787945
2021-10-11,793516405
2021-10-12,845365488
2021-10-13,811550869
2021-10-14,818313793
2021-10-15,836348256
2021-10-18,876925800
2021-10-19,861145644
2021-10-20,831839640
2021-10-21,840856872
2021-10-22,750684554
2021-10-25,703344086
2021-10-26,705598394
2021-10-27,703344086
2021-10-28,674038083
2021-10-29,651495003
2021-11-01,656003619
2021-11-02,701089778
2021-11-03,719124242
2021-11-04,791262097
2021-11-05,721378550
2021-11-08,770973325
2021-11-09,703344086
2021-11-10,732650090
2021-11-11,705598394
2021-11-12,746175938
2021-11-15,782244865
2021-11-16,795770713
2021-11-17,820568101
2021-11-18,825076717
2021-11-19,879180108
2021-11-22,721378550
2021-11-23,716869934
2021-11-24,732650090
2021-11-26,714615626
2021-11-29,692072546
2021-11-30,687563930
2021-12-01,595137304
2021-12-02,590628688
2021-12-03,511727909
2021-12-06,543288220
2021-12-07,538779604
2021-12-08,556814068
2021-12-09,529762372
2021-12-10,482421905
2021-12-13,466641749
2021-12-14,453115901
2021-12-15,426064206
2021-12-16,450861594
2021-12-17,439590054
2021-12-20,408029742
2021-12-21,448607286
2021-12-22,502710677
2021-12-23,462133133
2021-12-27,417046974
2021-12-28,387740970
2021-12-29,387740970
2021-12-30,437335746
2021-12-31,470236809
2022-01-03,443107762
2022-01-04,458933039
2022-01-05,420500223
2022-01-06,404674946
2022-01-07,391110422
2022-01-10,379806653
2022-01-11,391110422
2022-01-12,386588915
2022-01-13,354938360
2022-01-14,345895345
2022-01-18,348156099
2022-01-19,327809314
2022-01-20,327809314
2022-01-21,309723282
2022-01-24,296158759
2022-01-25,302941021
2022-01-26,284854990
2022-01-27,271290466
2022-01-28,280333482
2022-01-31,343634591
2022-02-01,354938360
2022-02-02,325548560
2022-02-03,309723282
2022-02-04,323287806
2022-02-07,325548560
2022-02-08,318766298
2022-02-09,370763637
2022-02-10,350416852
2022-02-11,348156099
2022-02-14,345895345
2022-02-15,388849669
2022-02-16,391110422
2022-02-17,363981376
2022-02-18,357199114
2022-02-22,350416852
2022-02-23,361720622
2022-02-24,366242130
2022-02-25,393371176
2022-02-28,391110422
2022-03-01,363981376
2022-03-02,325548560
2022-03-03,325548560
2022-03-04,316505544
2022-03-07,373024391
2022-03-08,497365855
2022-03-09,461193793
2022-03-10,540320179
2022-03-11,587796011
2022-03-14,721180490
2022-03-15,644314858
2022-03-16,657879381
2022-03-17,628489581
2022-03-18,612664304
2022-03-21,547102441
2022-03-22,495105101
2022-03-23,461193793
2022-03-24,429543239
2022-03-25,348156099
2022-03-28,379806653
2022-03-29,404674946
2022-03-30,490583594
2022-03-31,588238769
2022-04-01,556442079
2022-04-04,604137114
2022-04-05,531458965
2022-04-06,558713271
2022-04-07,517831812
2022-04-08,501933467
2022-04-11,472407969
2022-04-12,454238432
2022-04-13,470136777
2022-04-14,449696047
2022-04-18,420170549
2022-04-19,440611279
2022-04-20,424712933
2022-04-21,422441741
2022-04-22,433797702
2022-04-25,404272204
2022-04-26,381560282
2022-04-27,361119553
2022-04-28,356577169
2022-04-29,349763592
2022-05-02,361119553
2022-05-03,397458628
2022-05-04,399729820
2022-05-05,374746706
2022-05-06,333865247
2022-05-09,299797365
2022-05-10,288441404
2022-05-11,265729482
2022-05-12,295254980
2022-05-13,317966902
2022-05-16,295254980
2022-05-17,322509286
2022-05-18,311153325
2022-05-19,313424518
2022-05-20,308882133
2022-05-23,320238094
2022-05-24,302068557
2022-05-25,308882133
2022-05-26,315695710
2022-05-27,352034784
2022-05-31,354305976
2022-06-01,333865247
2022-06-02,342950016
2022-06-03,331594055
2022-06-06,333865247
2022-06-07,338407631
2022-06-08,317966902
2022-06-09,297526172
2022-06-10,277085443
2022-06-13,258915906
2022-06-14,256644714
2022-06-15,263458290
2022-06-16,233932792
2022-06-17,256644714
2022-06-21,249831137
2022-06-22,249831137
2022-06-23,243017561
2022-06-24,240746368
2022-06-27,258915906
2022-06-28,245288753
2022-06-29,227119216
2022-06-30,246933213
2022-07-01,249330623
2022-07-05,242138393
2022-07-06,233747459
2022-07-07,238230615
2022-07-08,238470356
2022-07-11,214352413
2022-07-12,218212243
2022-07-13,208454785
2022-07-14,196563632
2022-07-15,211091936
2022-07-18,206464935
2022-07-19,212170770
2022-07-20,222791296
2022-07-21,216534056
2022-07-22,207375951
2022-07-25,202509209
2022-07-26,194693653
2022-07-27,203540095
2022-07-28,211331677
2022-07-29,214304465
2022-08-01,218404036
2022-08-02,215575092
2022-08-03,206416987
2022-08-04,208886319
2022-08-05,225596265
2022-08-08,217325201
2022-08-09,209653490
2022-08-10,203779836
2022-08-11,230391085
2022-08-12,239740984
2022-08-15,238542279
2022-08-16,256522852
2022-08-17,246933213
2022-08-18,227034711
2022-08-19,212050900
2022-08-22,206177246
2022-08-23,202125623
2022-08-24,203779836
2022-08-25,198697327
2022-08-26,193710715
2022-08-29,201382426
2022-08-30,268509902
2022-08-31,234658475
2022-09-01,256522852
2022-09-02,234538604
2022-09-06,244535803
2022-09-07,244535803
