,AMZN
2000-01-03,30743229600
2000-01-04,28198487999
2000-01-05,24003103200
2000-01-06,22558790400
2000-01-07,23934326400
2000-01-10,23796772800
2000-01-11,22971451200
2000-01-12,21871022400
2000-01-13,22696344000
2000-01-14,22077352800
2000-01-18,22077352800
2000-01-19,22971451200
2000-01-20,22283683200
2000-01-21,21320808000
2000-01-24,24140656800
2000-01-25,23796772800
2000-01-26,22283683200
2000-01-27,23040228000
2000-01-28,21183254400
2000-01-31,22214906400
2000-02-01,23177781600
2000-02-02,23865549600
2000-02-03,28955032800
2000-02-04,27029282400
2000-02-07,25791300000
2000-02-08,28611148800
2000-02-09,27579496800
2000-02-10,26203960800
2000-02-11,26203960800
2000-02-14,25584969600
2000-02-15,25378639200
2000-02-16,24278210400
2000-02-17,23727996000
2000-02-18,22283683200
2000-02-22,21871022400
2000-02-23,24209433600
2000-02-24,23521665600
2000-02-25,23796772800
2000-02-28,22627567200
2000-02-29,23659219200
2000-03-01,22627567200
2000-03-02,21527138400
2000-03-03,21527138400
2000-03-06,22008576000
2000-03-07,21871022400
2000-03-08,21871022400
2000-03-09,23659219200
2000-03-10,22971451200
2000-03-13,22490013600
2000-03-14,22558790400
2000-03-15,21939799200
2000-03-16,22765120800
2000-03-17,22283683200
2000-03-20,22077352800
2000-03-21,24897201600
2000-03-22,24278210400
2000-03-23,23246558400
2000-03-24,24965978400
2000-03-27,25172308800
2000-03-28,24140656800
2000-03-29,22765120800
2000-03-30,22902674400
2000-03-31,23442362000
2000-04-03,22252749600
2000-04-04,22392704000
2000-04-05,21762909200
2000-04-06,22462681200
2000-04-07,23652293600
2000-04-10,22182772400
2000-04-11,22182772400
2000-04-12,19733570400
2000-04-13,16794528000
2000-04-14,16374664799
2000-04-17,16444642000
2000-04-18,19243730000
2000-04-19,18683912400
2000-04-20,18334026400
2000-04-24,17424322800
2000-04-25,18334026400
2000-04-26,18753889600
2000-04-27,18473980800
2000-04-28,19313707200
2000-05-01,20993160000
2000-05-02,19663593200
2000-05-03,18963821200
2000-05-04,19243730000
2000-05-05,20503319600
2000-05-08,19593616000
2000-05-09,19663593200
2000-05-10,18683912400
2000-05-11,19173752800
2000-05-12,18823866800
2000-05-15,19593616000
2000-05-16,20643274000
2000-05-17,21343046000
2000-05-18,19383684400
2000-05-19,18404003600
2000-05-22,18124094800
2000-05-23,16304687600
2000-05-24,17004459600
2000-05-25,15954801599
2000-05-26,16304687600
2000-05-30,18124094800
2000-05-31,16934482400
2000-06-01,17564277200
2000-06-02,20223410800
2000-06-05,19103775600
2000-06-06,17704231600
2000-06-07,18124094800
2000-06-08,18124094800
2000-06-09,18264049200
2000-06-12,16934482400
2000-06-13,17144414000
2000-06-14,16234710399
2000-06-15,16234710399
2000-06-16,16094755999
2000-06-19,15884824400
2000-06-20,16164733200
2000-06-21,16094755999
2000-06-22,14695212000
2000-06-23,11826146800
2000-06-26,11896124000
2000-06-27,12805827600
2000-06-28,13225690800
2000-06-29,13015759200
2000-06-30,12883925600
2000-07-03,13096298000
2000-07-05,12954716400
2000-07-06,12742344000
2000-07-07,12813134800
2000-07-10,12388390000
2000-07-11,11751272800
2000-07-12,12388390000
2000-07-13,12388390000
2000-07-14,15078440400
2000-07-17,14582904800
2000-07-18,14795277199
2000-07-19,14441323200
2000-07-20,14299741600
2000-07-21,14582904800
2000-07-24,13733415200
2000-07-25,13308670400
2000-07-26,12742344000
2000-07-27,11114155600
2000-07-28,10618620000
2000-07-31,10689410800
2000-08-01,10689410800
2000-08-02,10901783200
2000-08-03,11184946400
2000-08-04,11538900400
2000-08-07,11963645200
2000-08-08,11680482000
2000-08-09,10901783200
2000-08-10,10760201600
2000-08-11,11892854400
2000-08-14,12317599200
2000-08-15,13308670400
2000-08-16,13662624400
2000-08-17,13521042800
2000-08-18,13804206000
2000-08-21,13308670400
