,MBI
2000-01-03,5122501364
2000-01-04,4868308754
2000-01-05,4911417442
2000-01-06,5042230014
2000-01-07,5091284728
2000-01-10,4985742767
2000-01-11,4991688793
2000-01-12,4991688793
2000-01-13,4991688793
2000-01-14,5011013377
2000-01-18,5042230014
2000-01-19,5079392676
2000-01-20,4961958663
2000-01-21,4905471417
2000-01-24,4893579365
2000-01-25,4837092118
2000-01-26,4819254040
2000-01-27,4825200066
2000-01-28,4768712819
2000-01-31,4961958663
2000-02-01,4819254040
2000-02-02,4750874742
2000-02-03,4856416702
2000-02-04,4744928716
2000-02-07,4416410781
2000-02-08,4062622237
2000-02-09,3964512808
2000-02-10,3939242198
2000-02-11,3884241458
2000-02-14,3890187484
2000-02-15,3927350146
2000-02-16,3939242198
2000-02-17,3933296172
2000-02-18,3896133510
2000-02-22,3908025562
2000-02-23,3853024822
2000-02-24,3710320199
2000-02-25,3641940900
2000-02-28,3704374173
2000-02-29,3802483601
2000-03-01,3853024822
2000-03-02,3796537575
2000-03-03,3815862159
2000-03-06,3685049588
2000-03-07,3630048848
2000-03-08,3653832952
2000-03-09,3995729445
2000-03-10,3896133510
2000-03-13,4032892107
2000-03-14,4330193405
2000-03-15,4651278807
2000-03-16,4936688053
2000-03-17,4701820027
2000-03-20,4670603391
2000-03-21,4856416702
2000-03-22,4825200066
2000-03-23,4880200806
2000-03-24,4973850715
2000-03-27,4768712819
2000-03-28,4868308754
2000-03-29,4930742027
2000-03-30,5066014117
2000-03-31,5119188904
2000-04-03,5119188904
2000-04-04,5033647862
2000-04-05,4989402495
2000-04-06,5063144773
2000-04-07,5033647862
2000-04-10,5100015911
2000-04-11,5100015911
2000-04-12,5113289521
2000-04-13,5107390139
2000-04-14,4805046801
2000-04-17,4878789079
2000-04-18,4946631974
2000-04-19,4756376898
2000-04-20,4878789079
2000-04-24,4934833210
2000-04-25,5156060042
2000-04-26,4965804966
2000-04-27,4836018558
2000-04-28,4861090932
2000-05-01,4915660218
2000-05-02,4872889697
2000-05-03,4805046801
2000-05-04,4793248037
2000-05-05,4866990315
2000-05-08,4849292168
2000-05-09,4830119176
2000-05-10,4878789079
2000-05-11,4959905584
2000-05-12,4989402495
