,BKNG
2000-01-03,8533139760
2000-01-04,8991015552
2000-01-05,9979749762
2000-01-06,9573766560
2000-01-07,9532141488
2000-01-10,9032640624
2000-01-11,8793435210
2000-01-12,8512327224
2000-01-13,8595577368
2000-01-14,9469703880
2000-01-18,9854874546
2000-01-19,10396000482
2000-01-20,10312750338
2000-01-21,10572768288
2000-01-24,9979749762
2000-01-25,10479250626
2000-01-26,11030644080
2000-01-27,10676830968
2000-01-28,9927579672
2000-01-31,9657016704
2000-02-01,9532141488
2000-02-02,9917312154
2000-02-03,9917312154
2000-02-04,10052454888
2000-02-07,10031642352
2000-02-08,9667561722
2000-02-09,9729999330
2000-02-10,9365641200
2000-02-11,8970203016
2000-02-14,9053453160
2000-02-15,8824515264
2000-02-16,8814247746
2000-02-17,9157515840
2000-02-18,8491514688
2000-02-22,8345826936
2000-02-23,8637202440
2000-02-24,9448891344
2000-02-25,9480248898
2000-02-28,8970203016
2000-02-29,9313748610
2000-03-01,10718456040
2000-03-02,11904770592
2000-03-03,12487521600
2000-03-06,15016383474
2000-03-07,13091085144
2000-03-08,14579320218
2000-03-09,15599134482
2000-03-10,15734277216
2000-03-13,15973760130
2000-03-14,15807259842
2000-03-15,14818525632
2000-03-16,14641757826
2000-03-17,14985025920
2000-03-20,12935129874
2000-03-21,13528148400
2000-03-22,14485525056
2000-03-23,14652025344
2000-03-24,15068276064
2000-03-27,15318026496
2000-03-28,14475257538
2000-03-29,13621943562
2000-03-30,13507335864
2000-03-31,13234566240
2000-04-03,10815122099
2000-04-04,12448763869
2000-04-05,11900907971
2000-04-06,12758949015
2000-04-07,12914179448
2000-04-10,12055862684
2000-04-11,10763562434
2000-04-12,9946603689
2000-04-13,10277467845
2000-04-14,9685496726
2000-04-17,8612945420
2000-04-18,10587652992
2000-04-19,10763562434
2000-04-20,11228702294
2000-04-24,10215430816
2000-04-25,10680846395
2000-04-26,10566973982
2000-04-27,10742883425
2000-04-28,10463578933
2000-05-01,10515414317
2000-05-02,9843208641
2000-05-03,9597542005
2000-05-04,9584858879
2000-05-05,9502142840
2000-05-08,9078085280
2000-05-09,8757698489
2000-05-10,8530229381
2000-05-11,8188887861
2000-05-12,8220044235
2000-05-15,8344118294
2000-05-16,8943809576
2000-05-17,8385476313
2000-05-18,7785785030
2000-05-19,7403085490
2000-05-22,7351525826
2000-05-23,6699999159
2000-05-24,6038270847
2000-05-25,5996912827
2000-05-26,5976233817
2000-05-30,6493209061
2000-05-31,6307097973
2000-06-01,6937945631
2000-06-02,7692591627
2000-06-05,8106171822
2000-06-06,7289488796
2000-06-07,7444443510
2000-06-08,7537636913
2000-06-09,7465122519
2000-06-12,6948147276
2000-06-13,7196295393
2000-06-14,7144735728
2000-06-15,7072221334
2000-06-16,7144735728
2000-06-19,7372204835
2000-06-20,7692591627
2000-06-21,7444443510
2000-06-22,7496278894
2000-06-23,6917266621
2000-06-26,6286418964
2000-06-27,6617283120
2000-06-28,6648439494
2000-06-29,6090106231
2000-06-30,6347005193
2000-07-03,6683696400
2000-07-05,6203305721
2000-07-06,6360094099
2000-07-07,6276547894
2000-07-10,6224192272
2000-07-11,5430503325
2000-07-12,5952667106
2000-07-13,6422753753
2000-07-14,6589846163
2000-07-17,6610732714
2000-07-18,6474830887
2000-07-19,6641923297
2000-07-20,6777825124
2000-07-21,6694278919
2000-07-24,5200751261
2000-07-25,5221637812
2000-07-26,4783020236
2000-07-27,4313212076
2000-07-28,4093764045
2000-07-31,3947558186
2000-08-01,4167006218
2000-08-02,4146119666
2000-08-03,4062573461
2000-08-04,4051990942
2000-08-07,4595041275
2000-08-08,4678587480
2000-08-09,4281743006
2000-08-10,3968444737
2000-08-11,4010217840
2000-08-14,4104346564
2000-08-15,4239969903
2000-08-16,4198196801
2000-08-17,4219083352
2000-08-18,4417644833
2000-08-21,4260856455
2000-08-22,4135537147
2000-08-23,4250552423
2000-08-24,4532381621
2000-08-25,4427948865
2000-08-28,4459417935
2000-08-29,4595041275
2000-08-30,4636814377
2000-08-31,4542964140
2000-09-01,4334098628
2000-09-05,4835375858
2000-09-06,4595041275
2000-09-07,4334098628
2000-09-08,4302629557
2000-09-11,4427948865
2000-09-12,4595041275
2000-09-13,4668283448
2000-09-14,4511495070
2000-09-15,4365289211
2000-09-18,4260856455
2000-09-19,4198196801
2000-09-20,3916367603
2000-09-21,3603069334
2000-09-22,3655146468
2000-09-25,3415090373
2000-09-26,3114602522
2000-09-27,1796243407
2000-09-28,1984222368
2000-09-29,1984222368
2000-10-02,1815966094
2000-10-03,1648980706
2000-10-04,1565488012
2000-10-05,970741722
2000-10-06,928995375
2000-10-09,1085405022
2000-10-10,1132439239
2000-10-11,908122201
2000-10-12,866375854
2000-10-13,1054234416
2000-10-16,960165981
2000-10-17,861087984
2000-10-18,814053766
2000-10-19,855800113
2000-10-20,905339111
2000-10-23,939292807
2000-10-24,902834331
2000-10-25,887249028
2000-10-26,845502681
2000-10-27,939292807
2000-10-30,928995375
2000-10-31,960165981
2000-11-01,1033361242
2000-11-02,1142736671
2000-11-03,787892722
2000-11-06,751434246
2000-11-07,714975769
2000-11-08,542702511
2000-11-09,537414640
2000-11-10,558287813
2000-11-13,511531905
2000-11-14,516541466
2000-11-15,459209817
2000-11-16,459209817
2000-11-17,433048772
2000-11-20,407166037
2000-11-21,386292864
2000-11-22,381004993
2000-11-24,422751340
2000-11-27,417463470
2000-11-28,386292864
2000-11-29,428039211
2000-11-30,417463470
2000-12-01,407166037
2000-12-04,349556078
2000-12-05,339258646
2000-12-06,297512299
2000-12-07,313097602
2000-12-08,407166037
2000-12-11,375717123
2000-12-12,370429252
2000-12-13,365419690
2000-12-14,344546517
2000-12-15,302800170
2000-12-18,261053823
2000-12-19,255765952
2000-12-20,208731735
2000-12-21,214019605
2000-12-22,214019605
2000-12-26,187858561
2000-12-27,234892779
2000-12-28,219307476
2000-12-29,219307476
2001-01-02,265334913
2001-01-03,342043111
2001-01-04,365621451
2001-01-05,324123573
2001-01-08,294886432
2001-01-09,342043111
2001-01-10,389199790
2001-01-11,489171950
2001-01-12,559906968
2001-01-16,660193506
2001-01-17,630641987
2001-01-18,554248167
2001-01-19,524696648
2001-01-22,512750289
2001-01-23,495145129
2001-01-24,507091488
2001-01-25,489171950
2001-01-26,495145129
2001-01-29,495145129
2001-01-30,559906968
2001-01-31,501118308
2001-02-01,536328629
2001-02-02,495145129
2001-02-05,518723469
2001-02-06,559906968
2001-02-07,507091488
2001-02-08,577826506
2001-02-09,518723469
2001-02-12,524696648
2001-02-13,501118308
2001-02-14,483513148
2001-02-15,565880148
2001-02-16,495145129
2001-02-20,512750289
2001-02-21,453961629
2001-02-22,383226611
2001-02-23,483513148
2001-02-26,542301808
2001-02-27,518723469
2001-02-28,507091488
