,GP
2016-04-06,16300942
2016-04-07,16300942
2016-04-08,16300942
2016-04-11,16300942
2016-04-12,16300942
2016-04-13,17269732
2016-04-14,17269732
2016-04-15,17269732
2016-04-18,17682521
2016-04-19,18819796
2016-04-20,16932762
2016-04-21,16848519
2016-04-22,16848519
2016-04-25,16848519
2016-04-26,16848519
2016-04-27,16848519
2016-04-28,16848519
2016-04-29,16848519
2016-05-02,16848519
2016-05-03,16848519
2016-05-04,16848519
2016-05-05,17539309
2016-05-06,17539309
2016-05-09,17539309
2016-05-10,17539309
2016-05-11,17539309
2016-05-12,17741491
2016-05-13,18407007
2016-05-16,21818833
2016-05-17,23924898
2016-05-18,23124593
2016-05-19,21574529
2016-05-20,23587927
2016-05-23,28642483
2016-05-24,26367933
2016-05-25,29206909
2016-05-26,29906122
2016-05-27,32483946
2016-05-31,33065220
2016-06-01,34370980
2016-06-02,35567225
2016-06-03,49147132
2016-06-06,58952970
2016-06-07,45305669
2016-06-08,55903388
2016-06-09,46729369
2016-06-10,52356775
2016-06-13,52230411
2016-06-14,49593618
2016-06-15,51320591
2016-06-16,45752155
2016-06-17,45465730
2016-06-20,45465730
2016-06-21,42972149
2016-06-22,41700086
2016-06-23,41211479
2016-06-24,37909169
2016-06-27,34345707
2016-06-28,38920080
2016-06-29,37942866
2016-06-30,37513229
2016-07-01,37625890
2016-07-05,35488152
2016-07-06,35488152
2016-07-07,37178064
2016-07-08,37178064
2016-07-11,38445498
2016-07-12,39712932
2016-07-13,41732376
2016-07-14,41732376
2016-07-15,38023020
2016-07-18,38023020
2016-07-19,38023020
2016-07-20,38867976
2016-07-21,37135816
2016-07-22,36164116
2016-07-25,34288314
2016-07-26,34288314
2016-07-27,34288314
2016-07-28,34288314
2016-07-29,44529181
2016-08-01,44529181
2016-08-02,44529181
2016-08-03,42247800
2016-08-04,42247800
2016-08-05,42737874
2016-08-08,42805470
2016-08-09,41377495
2016-08-10,41377495
2016-08-11,42154854
2016-08-12,42154854
2016-08-15,43608179
2016-08-16,43608179
2016-08-17,43608179
2016-08-18,48052647
2016-08-19,51694408
2016-08-22,51694408
2016-08-23,51694408
2016-08-24,51694408
2016-08-25,56003683
2016-08-26,55615003
2016-08-29,55615003
2016-08-30,53891293
2016-08-31,51888747
2016-09-01,53004089
2016-09-02,53004089
2016-09-06,53511063
2016-09-07,58724442
2016-09-08,58783588
2016-09-09,54922140
2016-09-12,54677102
2016-09-13,48939851
2016-09-14,47562573
2016-09-15,47562573
2016-09-16,51288829
2016-09-19,51288829
2016-09-20,51288829
2016-09-21,51288829
2016-09-22,51288829
2016-09-23,49007447
2016-09-26,48390630
