,GP
2020-06-24,36652794
2020-06-25,36869674
2020-06-26,34971970
2020-06-29,40979559
2020-06-30,49313190
2020-07-01,60464328
2020-07-02,64573555
2020-07-06,70443878
2020-07-07,66816018
2020-07-08,75104915
2020-07-09,65360178
2020-07-10,66921684
2020-07-13,75116655
2020-07-14,75140136
2020-07-15,70890022
2020-07-16,64295301
2020-07-17,69774661
2020-07-20,72604157
2020-07-21,76267239
2020-07-22,77893083
2020-07-23,85436683
2020-07-24,87843516
2020-07-27,88054848
2020-07-28,86880783
2020-07-29,103963423
2020-07-30,106135443
2020-07-31,103963423
2020-08-03,100969559
2020-08-04,104491752
2020-08-05,103951683
2020-08-06,111016734
2020-08-07,130321175
2020-08-10,140887756
2020-08-11,135287468
2020-08-12,136191498
2020-08-13,133843368
2020-08-14,129147110
2020-08-17,126798981
2020-08-18,114806615
2020-08-19,126798981
2020-08-20,161786107
2020-08-21,191372536
2020-08-24,353393456
2020-08-25,287645836
2020-08-26,297684089
2020-08-27,369830361
2020-08-28,352219392
2020-08-31,331253952
2020-09-01,291000307
2020-09-02,295193395
2020-09-03,242025039
2020-09-04,228607157
2020-09-08,230619840
2020-09-09,261313244
2020-09-10,268022184
2020-09-11,265506332
2020-09-14,243702274
2020-09-15,242528209
2020-09-16,224414069
2020-09-17,231793904
2020-09-18,235651545
2020-09-21,220388705
2020-09-22,216363340
2020-09-23,192882048
2020-09-24,186005383
2020-09-25,187514895
2020-09-28,182315466
2020-09-29,176277419
2020-09-30,201100500
2020-10-01,252597540
2020-10-02,239190439
2020-10-05,251820316
2020-10-06,242882250
2020-10-07,250460176
2020-10-08,248322812
2020-10-09,259981160
2020-10-12,245019613
2020-10-13,240550580
2020-10-14,230446678
2020-10-15,223063058
2020-10-16,217233884
2020-10-19,212181933
2020-10-20,206352759
2020-10-21,194305800
2020-10-22,188670931
2020-10-23,191196907
2020-10-26,181093005
2020-10-27,177789807
2020-10-28,162051037
2020-10-29,176623972
2020-10-30,174680914
2020-11-02,181870228
2020-11-03,180510088
2020-11-04,177012583
2020-11-05,202855255
2020-11-06,197414692
2020-11-09,201300808
2020-11-10,177984112
2020-11-11,196248858
2020-11-12,204604007
2020-11-13,244825308
2020-11-16,328182496
2020-11-17,321964710
2020-11-18,363157540
2020-11-19,368209491
2020-11-20,428249983
2020-11-23,547942356
2020-11-24,500726046
2020-11-25,513550229
2020-11-27,491010756
2020-11-30,428832900
2020-12-01,360437259
2020-12-02,380256450
2020-12-03,371901301
2020-12-04,360437259
2020-12-07,356162531
2020-12-08,427278454
2020-12-09,379090615
2020-12-10,371706995
2020-12-11,354996696
2020-12-14,336926257
2020-12-15,359465730
2020-12-16,349944745
2020-12-17,345864324
2020-12-18,369181020
2020-12-21,391720492
2020-12-22,401047171
2020-12-23,445931811
2020-12-24,440879860
2020-12-28,558629175
2020-12-29,501308964
2020-12-30,575533779
2020-12-31,565624183
2021-01-04,632909861
2021-01-05,620666687
2021-01-06,643285433
2021-01-07,672544544
2021-01-08,641625341
2021-01-11,624609404
2021-01-12,608631024
2021-01-13,637890135
2021-01-14,634984975
2021-01-15,614856367
2021-01-19,599293009
2021-01-20,636022532
2021-01-21,630419724
2021-01-22,626892030
2021-01-25,627722075
2021-01-26,629382167
2021-01-27,567543761
2021-01-28,612988764
2021-01-29,597425406
2021-02-01,632287327
2021-02-02,630834747
2021-02-03,620666687
2021-02-04,633117372
2021-02-05,591200064
2021-02-08,637682624
2021-02-09,628967144
2021-02-10,620666687
2021-02-11,591822598
2021-02-12,639965250
2021-02-16,625646961
2021-02-17,612158718
2021-02-18,595557804
2021-02-19,607593467
2021-02-22,543679946
2021-02-23,512553232
2021-02-24,545547549
2021-02-25,510478117
2021-02-26,505912866
2021-03-01,521268712
2021-03-02,523758849
2021-03-03,518363552
2021-03-04,482671586
2021-03-05,463165511
2021-03-08,448847223
2021-03-09,500102546
2021-03-10,533719397
2021-03-11,567543761
2021-03-12,556130632
2021-03-15,586634812
2021-03-16,564638601
2021-03-17,568788829
2021-03-18,522928803
2021-03-19,558413258
2021-03-22,542849900
2021-03-23,490557020
2021-03-24,420418157
2021-03-25,414400325
2021-03-26,407137425
2021-03-29,379745916
2021-03-30,453412474
2021-03-31,516080926
2021-04-01,489126814
2021-04-05,460280334
2021-04-06,455016378
2021-04-07,448067956
2021-04-08,447857397
2021-04-09,448699630
2021-04-12,417326451
2021-04-13,444277907
2021-04-14,421537616
2021-04-15,403008490
2021-04-16,382373782
2021-04-19,377952058
2021-04-20,356896233
2021-04-21,399639558
2021-04-22,382584340
2021-04-23,412273053
2021-04-26,418800359
2021-04-27,407009097
2021-04-28,405324631
2021-04-29,400271233
2021-04-30,384058247
2021-05-03,374162010
2021-05-04,360686282
2021-05-05,356054000
2021-05-06,340472690
2021-05-07,346368321
2021-05-10,323206913
2021-05-11,339630457
2021-05-12,312468443
2021-05-13,304888346
2021-05-14,318364074
2021-05-17,338367107
2021-05-18,341314923
2021-05-19,334366501
2021-05-20,338367107
2021-05-21,351000602
2021-05-24,337103758
2021-05-25,339419899
2021-05-26,345104971
2021-05-27,357317350
2021-05-28,346789437
2021-06-01,359844049
2021-06-02,367003029
2021-06-03,358791258
2021-06-04,360475724
2021-06-07,362791864
2021-06-08,387216621
2021-06-09,373530335
2021-06-10,358580699
2021-06-11,365950238
2021-06-14,377952058
2021-06-15,372056427
2021-06-16,394586160
2021-06-17,407640772
2021-06-18,412694170
2021-06-21,391217228
2021-06-22,381742107
2021-06-23,386584947
2021-06-24,377320384
2021-06-25,379004850
2021-06-28,392480578
2021-06-29,437329485
2021-06-30,413325844
2021-07-01,396368300
2021-07-02,399843310
2021-07-06,396585488
2021-07-07,376821370
2021-07-08,366830717
2021-07-09,385508895
2021-07-12,401363627
2021-07-13,396585488
2021-07-14,370522915
2021-07-15,387246400
2021-07-16,361835391
2021-07-19,337293134
2021-07-20,364007272
2021-07-21,390504221
2021-07-22,384205766
2021-07-23,380296380
2021-07-26,387029212
2021-07-27,387897964
2021-07-28,386377647
2021-07-29,382251073
2021-07-30,371608856
2021-08-02,378124499
2021-08-03,372043232
2021-08-04,378558875
2021-08-05,375952618
2021-08-06,367699470
2021-08-09,367265094
2021-08-10,373129172
2021-08-11,332949372
2021-08-12,338813451
2021-08-13,331429055
2021-08-16,305800858
2021-08-17,296461770
2021-08-18,291900819
2021-08-19,267141375
2021-08-20,276914840
2021-08-23,282778919
2021-08-24,297547710
2021-08-25,284299235
2021-08-26,284299235
2021-08-27,294072700
2021-08-30,295810205
2021-08-31,298633651
2021-09-01,294724265
2021-09-02,302325849
2021-09-03,289077374
2021-09-07,291900819
2021-09-08,286471117
2021-09-09,283430483
2021-09-10,286253928
2021-09-13,284950800
2021-09-14,276480464
2021-09-15,291032067
2021-09-16,292335196
2021-09-17,304063354
2021-09-20,292986760
2021-09-21,295810205
2021-09-22,299719591
2021-09-23,309493056
2021-09-24,322307155
2021-09-27,326650917
2021-09-28,305366482
2021-09-29,312533690
2021-09-30,323175907
2021-10-01,321099439
2021-10-04,307775811
2021-10-05,300447815
2021-10-06,288234490
2021-10-07,283793280
2021-10-08,284237401
2021-10-11,284459462
2021-10-12,299337513
2021-10-13,307997871
2021-10-14,306887569
2021-10-15,307997871
2021-10-18,296672787
2021-10-19,303556662
2021-10-20,304222843
2021-10-21,303556662
2021-10-22,297561029
2021-10-25,302446360
2021-10-26,291787457
2021-10-27,288900671
2021-10-28,316658230
2021-10-29,317990593
2021-11-01,323097983
2021-11-02,324430346
2021-11-03,329759797
2021-11-04,320655318
2021-11-05,317768532
2021-11-08,356407054
2021-11-09,343083426
2021-11-10,318434713
2021-11-11,320433258
2021-11-12,324652407
2021-11-15,309996416
2021-11-16,325984769
2021-11-17,334867188
2021-11-18,304444904
2021-11-19,307775811
2021-11-22,320877379
2021-11-23,305555206
2021-11-24,305111085
2021-11-26,291787457
2021-11-29,303556662
2021-11-30,299559574
2021-12-01,287568308
2021-12-02,287790369
2021-12-03,277131466
2021-12-06,261587233
2021-12-07,276243224
2021-12-08,285791824
2021-12-09,280018252
2021-12-10,286013885
2021-12-13,271579954
2021-12-14,261809294
2021-12-15,266472564
2021-12-16,250040089
2021-12-17,229832586
2021-12-20,238715005
2021-12-21,256479842
2021-12-22,226501679
2021-12-23,196745576
2021-12-27,189417580
2021-12-28,180091041
2021-12-29,174983650
2021-12-30,197855878
2021-12-31,210513325
2022-01-03,203241863
2022-01-04,182895799
2022-01-05,175676228
2022-01-06,172175830
2022-01-07,171081956
2022-01-10,159486887
2022-01-11,161674636
2022-01-12,159705662
2022-01-13,153798740
2022-01-14,152267316
2022-01-18,150298342
2022-01-19,142859996
2022-01-20,137828174
2022-01-21,126233105
2022-01-24,113762937
2022-01-25,111575188
2022-01-26,113981712
2022-01-27,109824989
2022-01-28,112012738
2022-01-31,123389032
2022-02-01,149204468
2022-02-02,137171849
2022-02-03,128420854
2022-02-04,129952278
2022-02-07,132358802
2022-02-08,136515525
2022-02-09,142422446
2022-02-10,143735096
2022-02-11,142203672
2022-02-14,132577577
2022-02-15,140672247
2022-02-16,144391420
2022-02-17,138484499
2022-02-18,138703273
2022-02-22,125139231
2022-02-23,123826582
2022-02-24,127326980
2022-02-25,134109001
2022-02-28,133671451
2022-03-01,142203672
2022-03-02,139359598
2022-03-03,136953074
2022-03-04,127983304
2022-03-07,121857608
2022-03-08,131921252
2022-03-09,138265724
2022-03-10,133233901
2022-03-11,126014330
2022-03-14,118138435
2022-03-15,114638037
2022-03-16,125576781
2022-03-17,127764529
2022-03-18,129952278
2022-03-21,130171053
2022-03-22,139797148
2022-03-23,143078771
2022-03-24,157080363
2022-03-25,151392216
2022-03-28,154236290
2022-03-29,154892615
2022-03-30,152923641
2022-03-31,149860792
2022-04-01,185202824
2022-04-04,209510694
2022-04-05,206732652
2022-04-06,207427162
2022-04-07,192842440
2022-04-08,194694468
2022-04-11,178952228
2022-04-12,176637193
2022-04-13,178952228
2022-04-14,173627647
2022-04-18,166914045
2022-04-19,172933136
2022-04-20,165988031
2022-04-21,154412854
2022-04-22,152560826
2022-04-25,153255336
2022-04-26,140985649
2022-04-27,139133621
2022-04-28,145152713
2022-04-29,141217153
2022-05-02,138439110
2022-05-03,134040543
2022-05-04,142143167
2022-05-05,138670614
2022-05-06,127558445
2022-05-09,107649141
2022-05-10,102556063
2022-05-11,94453440
2022-05-12,99315014
2022-05-13,106954630
2022-05-16,90749383
2022-05-17,92832915
2022-05-18,92601412
2022-05-19,92601412
2022-05-20,92369908
2022-05-23,92601412
2022-05-24,90517880
2022-05-25,92832915
2022-05-26,92832915
2022-05-27,104176588
2022-05-31,100472532
2022-06-01,94916447
2022-06-02,97925993
2022-06-03,96536972
2022-06-06,98620503
2022-06-07,97231482
2022-06-08,95842461
2022-06-09,93064419
2022-06-10,90749383
2022-06-13,81026235
2022-06-14,75701654
2022-06-15,78479696
2022-06-16,77322179
2022-06-17,78942703
2022-06-21,80794731
2022-06-22,81257739
2022-06-23,86119313
2022-06-24,89591866
2022-06-27,84498788
2022-06-28,79637214
2022-06-29,80100221
2022-06-30,76396164
2022-07-01,72232243
2022-07-05,79640678
2022-07-06,74778892
2022-07-07,77094028
2022-07-08,78251596
2022-07-11,78483110
2022-07-12,78020083
2022-07-13,76631001
2022-07-14,73852838
2022-07-15,75936460
2022-07-18,75704947
2022-07-19,77788569
2022-07-20,88206681
2022-07-21,93994521
2022-07-22,83807923
2022-07-25,85197004
2022-07-26,75473433
2022-07-27,72232243
2022-07-28,72926784
2022-07-29,72926784
2022-08-01,71074675
2022-08-02,70611648
2022-08-03,73158297
2022-08-04,75241920
2022-08-05,75936460
2022-08-08,79409164
2022-08-09,74547379
2022-08-10,76399488
2022-08-11,78714624
2022-08-12,86817600
2022-08-15,81724300
2022-08-16,82187328
2022-08-17,80103705
2022-08-18,77094028
2022-08-19,72926784
2022-08-22,72000729
2022-08-23,75473433
2022-08-24,75473433
2022-08-25,76167974
2022-08-26,72463756
2022-08-29,71537702
2022-08-30,72463756
2022-08-31,70843161
2022-09-01,70148620
2022-09-02,70843161
2022-09-06,70380134
2022-09-07,72000729
2022-09-08,72926784
2022-09-09,74778892
2022-09-12,77094028
2022-09-13,74315865
2022-09-14,73158297
2022-09-15,74084352
2022-09-16,69454080
2022-09-19,67601971
2022-09-20,63897753
2022-09-21,62508672
2022-09-22,58804454
2022-09-23,56952345
2022-09-26,53711155
2022-09-27,54405696
2022-09-28,56026291
2022-09-29,52322073
2022-09-30,53942668
2022-10-03,55929802
2022-10-04,57099882
2022-10-05,56163818
2022-10-06,57567913
2022-10-07,55929802
2022-10-10,53823659
2022-10-11,51483500
2022-10-12,50313420
2022-10-13,47739245
2022-10-14,46803182
2022-10-17,46803182
2022-10-18,46569166
2022-10-19,46335150
2022-10-20,44931054
2022-10-21,46335150
2022-10-24,46803182
2022-10-25,47973261
2022-10-26,59206025
2022-10-27,57099882
2022-10-28,56163818
2022-10-31,59908072
2022-11-01,62014216
2022-11-02,57567913
2022-11-03,59674057
2022-11-04,59206025
2022-11-07,56865866
2022-11-08,53121611
2022-11-09,49611372
2022-11-10,55461770
2022-11-11,62248232
2022-11-14,62716263
2022-11-15,61780200
2022-11-16,62248232
2022-11-17,60142088
2022-11-18,59440041
2022-11-21,54759722
2022-11-22,53589643
2022-11-23,53589643
2022-11-25,53823659
2022-11-28,51951532
2022-11-29,50547436
2022-11-30,52653579
2022-12-01,52653579
2022-12-02,53589643
2022-12-05,52653579
2022-12-06,52185547
2022-12-07,51717516
2022-12-08,53121611
2022-12-09,52653579
2022-12-12,51951532
2022-12-13,51951532
2022-12-14,51483500
2022-12-15,50781452
2022-12-16,50313420
2022-12-19,47271213
2022-12-20,47037197
2022-12-21,47739245
2022-12-22,45633102
2022-12-23,45165070
2022-12-27,43058927
2022-12-28,40718768
2022-12-29,40484752
2022-12-30,40484752
2023-01-03,42807864
2023-01-04,45240129
2023-01-05,44023996
2023-01-06,44023996
2023-01-09,50834338
2023-01-10,54725962
2023-01-11,65671155
2023-01-12,66157608
2023-01-13,75886668
2023-01-17,95831241
2023-01-18,89993805
2023-01-19,84399595
2023-01-20,86345407
2023-01-23,94615108
2023-01-24,88291219
2023-01-25,84156369
2023-01-26,85615728
2023-01-27,87561540
2023-01-30,85615728
2023-01-31,89264125
2023-02-01,89264125
2023-02-02,94858335
2023-02-03,93642202
2023-02-06,88777672
2023-02-07,88534446
2023-02-08,87804766
2023-02-09,73940856
2023-02-10,71751817
2023-02-13,76373121
2023-02-14,70778911
2023-02-15,74670535
2023-02-16,71022138
2023-02-17,69806005
2023-02-21,64941475
2023-02-22,66644061
2023-02-23,66400834
2023-02-24,62509210
2023-02-27,60806625
2023-02-28,56671774
2023-03-01,54482736
2023-03-02,54969188
2023-03-03,58374360
2023-03-06,57887907
2023-03-07,56428547
2023-03-08,58860813
2023-03-09,57644680
2023-03-10,54969188
2023-03-13,55212415
2023-03-14,53509830
2023-03-15,53996283
2023-03-16,53509830
2023-03-17,53996283
2023-03-20,51807244
2023-03-21,53023377
2023-03-22,52536924
2023-03-23,49861432
2023-03-24,50591112
2023-03-27,52293697
2023-03-28,50104659
2023-03-29,50834338
2023-03-30,53266603
2023-03-31,56185321
2023-04-03,56527975
2023-04-04,55780910
2023-04-05,53290690
2023-04-06,55282866
2023-04-10,60263304
2023-04-11,57026019
2023-04-12,56029932
2023-04-13,69975159
2023-04-14,71469291
2023-04-17,73710488
2023-04-18,69228093
2023-04-19,67235918
2023-04-20,63251567
2023-04-21,66737874
2023-04-24,64745699
2023-04-25,63251567
2023-04-26,64994721
2023-04-27,70473203
2023-04-28,70224181
2023-05-01,68481028
2023-05-02,67982984
2023-05-03,69726137
2023-05-04,64994721
2023-05-05,66737874
2023-05-08,67733962
2023-05-09,70971247
2023-05-10,69726137
2023-05-11,69975159
2023-05-12,69228093
2023-05-15,69726137
2023-05-16,67484940
2023-05-17,69228093
2023-05-18,68979071
2023-05-19,66488852
2023-05-22,68730049
2023-05-23,68979071
2023-05-24,68481028
2023-05-25,65990808
2023-05-26,63500589
2023-05-30,62006458
2023-05-31,57275041
2023-06-01,62255480
2023-06-02,63500589
2023-06-05,62006458
2023-06-06,63998633
2023-06-07,61010370
2023-06-08,64247655
2023-06-09,62753523
2023-06-12,65492764
2023-06-13,68730049
2023-06-14,68730049
2023-06-15,69228093
2023-06-16,69228093
2023-06-20,68232006
2023-06-21,66488852
2023-06-22,66239830
2023-06-23,64994721
2023-06-26,64745699
2023-06-27,67484940
2023-06-28,68232006
2023-06-29,68979071
2023-06-30,65243743
2023-07-03,67862123
2023-07-05,69858068
2023-07-06,69359081
2023-07-07,71105533
2023-07-10,80835764
2023-07-11,79837792
2023-07-12,79338805
2023-07-13,86574105
2023-07-14,86823598
2023-07-17,125245536
2023-07-18,138219177
2023-07-19,130235398
2023-07-20,133229315
2023-07-21,111024429
2023-07-24,107282033
2023-07-25,98549774
2023-07-26,104787102
2023-07-27,101294198
2023-07-28,105286088
2023-07-31,115515305
2023-08-01,111523415
2023-08-02,102042677
2023-08-03,100296226
2023-08-04,100795212
2023-08-07,96054843
2023-08-08,90316502
2023-08-09,92312447
2023-08-10,94557884
2023-08-11,100795212
2023-08-14,105535581
2023-08-15,99797240
2023-08-16,95555857
2023-08-17,89318529
2023-08-18,90565995
2023-08-21,89318529
2023-08-22,89069036
2023-08-23,90067009
2023-08-24,87322585
2023-08-25,87073091
2023-08-28,87821571
2023-08-29,89568022
2023-08-30,91563967
2023-08-31,91813460
2023-09-01,90815488
2023-09-05,89568022
2023-09-06,91064981
2023-09-07,89318529
2023-09-08,90565995
2023-09-11,91064981
2023-09-12,93559912
2023-09-13,91064981
2023-09-14,92561940
2023-09-15,89318529
2023-09-18,85077147
2023-09-19,81584243
2023-09-20,84578160
2023-09-21,82083229
2023-09-22,85825626
2023-09-25,79338805
2023-09-26,71604519
2023-09-27,77592354
2023-09-28,79089312
2023-09-29,78590326
2023-10-02,74636637
2023-10-03,74137395
2023-10-04,77632087
2023-10-05,76883224
2023-10-06,79629054
2023-10-09,80627537
2023-10-10,83872608
2023-10-11,80627537
2023-10-12,78630570
2023-10-13,77881708
2023-10-16,79005002
2023-10-17,81875642
2023-10-18,78880191
2023-10-19,74886258
2023-10-20,70393082
2023-10-23,73388532
2023-10-24,74387016
2023-10-25,70642703
2023-10-26,69644219
2023-10-27,67647253
2023-10-30,67397632
2023-10-31,67896873
2023-11-01,68645736
2023-11-02,73638153
2023-11-03,75884741
2023-11-06,80877158
2023-11-07,80128296
2023-11-08,79878675
2023-11-09,85245523
2023-11-10,83622988
2023-11-13,79379433
2023-11-14,76383983
2023-11-15,73388532
2023-11-16,70892324
2023-11-17,72140428
2023-11-20,72390049
2023-11-21,69893840
2023-11-22,68895357
2023-11-24,71141945
2023-11-27,68895357
2023-11-28,65151044
2023-11-29,68396115
2023-11-30,70892324
2023-12-01,75135878
2023-12-04,78630570
2023-12-05,77132845
2023-12-06,73887774
2023-12-07,74387016
2023-12-08,74886258
2023-12-11,72639670
2023-12-12,71391565
2023-12-13,77632087
2023-12-14,78131329
2023-12-15,79629054
2023-12-18,81126779
2023-12-19,82125262
2023-12-20,76633604
2023-12-21,75385499
2023-12-22,77382466
2023-12-26,83123746
2023-12-27,80627537
2023-12-28,81126779
2023-12-29,78131329
2024-01-02,78131329
2024-01-03,76633604
2024-01-04,76633604
2024-01-05,78880191
2024-01-08,79379433
2024-01-09,76883224
2024-01-10,74886258
2024-01-11,73638153
2024-01-12,71391565
2024-01-16,70143461
2024-01-17,69144978
2024-01-18,70393082
2024-01-19,70143461
2024-01-22,70143461
2024-01-23,68146494
2024-01-24,66399148
2024-01-25,66648769
2024-01-26,69893840
2024-01-29,69893840
2024-01-30,67647253
2024-01-31,66399148
2024-02-01,68396115
2024-02-02,66648769
2024-02-05,63154077
2024-02-06,64402181
2024-02-07,64402181
2024-02-08,66149527
2024-02-09,69644219
2024-02-12,71141945
2024-02-13,64651802
2024-02-14,61406731
2024-02-15,58660902
2024-02-16,56414314
2024-02-20,54417347
2024-02-21,53418864
2024-02-22,52670001
2024-02-23,50673034
2024-02-26,50673034
2024-02-27,52670001
2024-02-28,53169243
2024-02-29,53169243
2024-03-01,55915072
2024-03-04,55665451
2024-03-05,53918105
2024-03-06,54916589
2024-03-07,54916589
2024-03-08,54916589
2024-03-11,55915072
2024-03-12,53169243
2024-03-13,53169243
2024-03-14,51172276
2024-03-15,51671518
2024-03-18,50922655
2024-03-19,48176825
2024-03-20,49424930
2024-03-21,50673034
2024-03-22,48426446
2024-03-25,48676067
2024-03-26,50423413
2024-03-27,49924172
2024-03-28,49175309
2024-04-01,47927205
2024-04-02,46429479
2024-04-03,45181375
2024-04-04,44931754
2024-04-05,44182892
2024-04-08,43184408
2024-04-09,42435546
2024-04-10,42685167
2024-04-11,44182892
2024-04-12,41437062
2024-04-15,41936304
2024-04-16,42185925
2024-04-17,42934787
2024-04-18,43184408
2024-04-19,43933271
2024-04-22,42685167
2024-04-23,46928721
2024-04-24,47178342
2024-04-25,45930238
2024-04-26,45680617
2024-04-29,46429479
2024-04-30,46429479
2024-05-01,44432513
2024-05-02,45181375
2024-05-03,44682133
2024-05-06,45430996
2024-05-07,34447678
2024-05-08,32949953
2024-05-09,34198057
2024-05-10,31701849
2024-05-13,32201090
2024-05-14,33449195
2024-05-15,32949953
2024-05-16,34198057
2024-05-17,33449195
2024-05-20,31452228
2024-05-21,32201090
2024-05-22,31452228
2024-05-23,30453744
2024-05-24,30952986
2024-05-28,30453744
2024-05-29,29954503
2024-05-30,29954503
2024-05-31,29455261
2024-06-03,29704882
2024-06-04,28456778
2024-06-05,28706398
2024-06-06,28706398
2024-06-07,29954503
2024-06-10,27957536
2024-06-11,28956019
2024-06-12,28706398
2024-06-13,28706398
2024-06-14,28456778
2024-06-17,27458294
2024-06-18,27707915
2024-06-20,26709432
2024-06-21,25461327
2024-06-24,26709432
2024-06-25,25211706
2024-06-26,24714961
2024-06-27,25740896
2024-06-28,25990808
2024-07-01,25990808
2024-07-02,25241073
2024-07-03,26490631
2024-07-05,27990101
2024-07-08,32238598
2024-07-09,30989040
2024-07-10,29739482
2024-07-11,30739129
2024-07-12,31488864
2024-07-15,30489217
2024-07-16,30989040
2024-07-17,28989747
2024-07-18,28739836
2024-07-19,27990101
2024-07-22,28240013
2024-07-23,29989394
2024-07-24,28989747
2024-07-25,27240366
2024-07-26,27740189
2024-07-29,27490278
2024-07-30,26240720
2024-07-31,25990808
2024-08-01,24991162
2024-08-02,23741603
2024-08-05,23241780
2024-08-06,22542028
2024-08-07,21742310
2024-08-08,21992222
2024-08-09,20242841
