,FLS
2000-01-03,621596400
2000-01-04,609119100
2000-01-05,619327800
2000-01-06,621596400
2000-01-07,626133600
2000-01-10,614790600
2000-01-11,604581900
2000-01-12,617059200
2000-01-13,612522000
2000-01-14,604581900
2000-01-18,604581900
2000-01-19,619327800
2000-01-20,617059200
2000-01-21,612522000
2000-01-24,580761600
2000-01-25,588701700
2000-01-26,588701700
2000-01-27,578493000
2000-01-28,580761600
2000-01-31,578493000
2000-02-01,573955800
2000-02-02,569418600
2000-02-03,571687200
2000-02-04,588701700
2000-02-07,584164500
2000-02-08,571687200
2000-02-09,560344200
2000-02-10,512703599
2000-02-11,488883299
2000-02-14,467331600
2000-02-15,455988599
2000-02-16,453720000
2000-02-17,453720000
2000-02-18,444645600
2000-02-22,453720000
2000-02-23,451451400
2000-02-24,436705500
2000-02-25,434436900
2000-02-28,434436900
2000-02-29,434436900
2000-03-01,434436900
2000-03-02,425362500
2000-03-03,425362500
2000-03-06,418556700
2000-03-07,399273600
2000-03-08,423093900
2000-03-09,436705500
2000-03-10,429899700
2000-03-13,434436900
2000-03-14,432168300
2000-03-15,449182800
2000-03-16,451451400
2000-03-17,475271700
2000-03-20,475271700
2000-03-21,475271700
2000-03-22,473003100
2000-03-23,479808900
2000-03-24,512703599
2000-03-27,495689100
2000-03-28,482077500
2000-03-29,493420499
2000-03-30,505897800
2000-03-31,486601830
2000-04-03,499078800
2000-04-04,505884420
2000-04-05,493407449
2000-04-06,491138910
2000-04-07,510421500
2000-04-10,493407449
2000-04-11,482064750
2000-04-12,484333289
2000-04-13,501347340
2000-04-14,508152960
2000-04-17,501347340
2000-04-18,505884420
2000-04-19,499078800
2000-04-20,495675990
2000-04-24,470722050
2000-04-25,465050699
2000-04-26,491138910
2000-04-27,534241170
2000-04-28,534241170
2000-05-01,527435550
2000-05-02,529704090
2000-05-03,552389490
2000-05-04,609102990
2000-05-05,614774340
2000-05-08,606834450
2000-05-09,604565910
2000-05-10,609102990
2000-05-11,637459740
2000-05-12,654473790
2000-05-15,628385580
2000-05-16,647668170
2000-05-17,649936710
2000-05-18,654473790
2000-05-19,635191200
2000-05-22,637459740
2000-05-23,637459740
2000-05-24,621579960
2000-05-25,604565910
2000-05-26,609102990
2000-05-30,617042880
2000-05-31,604565910
2000-06-01,621579960
2000-06-02,656742330
2000-06-05,665816490
2000-06-06,649936710
2000-06-07,649936710
2000-06-08,635191200
2000-06-09,630654120
2000-06-12,628385580
2000-06-13,630654120
2000-06-14,623848500
2000-06-15,609102990
2000-06-16,593223210
2000-06-19,602297370
2000-06-20,580746240
2000-06-21,586417590
2000-06-22,562597920
2000-06-23,560329380
2000-06-26,560329380
2000-06-27,578477700
2000-06-28,602297370
2000-06-29,595491750
2000-06-30,569629440
2000-07-03,580976640
2000-07-05,578707200
2000-07-06,576437760
2000-07-07,569629440
2000-07-10,565090560
2000-07-11,574168320
2000-07-12,584380800
2000-07-13,600266880
2000-07-14,580976640
2000-07-17,576437760
2000-07-18,552608640
2000-07-19,567360000
2000-07-20,567360000
2000-07-21,565090560
2000-07-24,565090560
2000-07-25,574168320
2000-07-26,569629440
2000-07-27,578707200
2000-07-28,571898880
2000-07-31,586650240
2000-08-01,602536320
2000-08-02,593458560
2000-08-03,595728000
2000-08-04,591189120
2000-08-07,595728000
2000-08-08,617287680
2000-08-09,630904320
2000-08-10,624096000
2000-08-11,633173760
2000-08-14,635443200
2000-08-15,633173760
2000-08-16,630904320
2000-08-17,661541760
2000-08-18,654733440
2000-08-21,657002880
2000-08-22,674023680
2000-08-23,657002880
2000-08-24,666080640
2000-08-25,669484800
2000-08-28,659272320
2000-08-29,692179200
2000-08-30,700122240
