,WAT
2001-01-23,8965183250
2001-01-24,9233650625
2001-01-25,9062807750
2001-01-26,8989589375
2001-01-29,9437035000
2001-01-30,9248294690
2001-01-31,9571105849
2001-02-01,9095999689
2001-02-02,9249595699
2001-02-05,9059553339
2001-02-06,9450051339
2001-02-07,9696065079
2001-02-08,9356331689
2001-02-09,9111620000
2001-02-12,9300360309
2001-02-13,9280836190
2001-02-14,9224864810
2001-02-15,9365443309
2001-02-16,9304266070
2001-02-20,9131145160
2001-02-21,8955421190
2001-02-22,8551905809
2001-02-23,8698994040
2001-02-26,8851288000
2001-02-27,8747154809
2001-02-28,8572732890
2001-03-01,8291574330
2001-03-02,8272049169
2001-03-05,8200458000
2001-03-06,8044258669
2001-03-07,7716240349
2001-03-08,7776117100
2001-03-09,7640744330
2001-03-12,6443217000
2001-03-13,6625449660
2001-03-14,6443217000
2001-03-15,6469250330
2001-03-16,6098276839
2001-03-19,6182885000
2001-03-20,5636187669
2001-03-21,5792387000
2001-03-22,4685976000
2001-03-23,5239181500
2001-03-26,5435731899
2001-03-27,5559389729
2001-03-28,5634886270
2001-03-29,5805403339
2001-03-30,6046210830
2001-04-02,5598584450
2001-04-03,5353124000
2001-04-04,5145527240
2001-04-05,5581611000
2001-04-06,5601195861
2001-04-09,5703035520
2001-04-10,5026714000
2001-04-11,4845230170
2001-04-12,5046298861
2001-04-16,4850452861
2001-04-17,5392293069
2001-04-18,6136508000
2001-04-19,6201790000
2001-04-20,6051641138
2001-04-23,5947190069
2001-04-24,5774845720
2001-04-25,5806181210
2001-04-26,5966774930
2001-04-27,6443333138
2001-04-30,6815440930
2001-05-01,7269803520
2001-05-02,7365115240
2001-05-03,7259358138
2001-05-04,6985174000
2001-05-07,7043927930
2001-05-08,6841553861
2001-05-09,6776271861
2001-05-10,6717517930
2001-05-11,6763215069
2001-05-14,6615677618
2001-05-15,6649624520
2001-05-16,6724046000
2001-05-17,7156212970
2001-05-18,6900307138
2001-05-21,7291999138
2001-05-22,7318112069
2001-05-23,6962978381
2001-05-24,7128794138
2001-05-25,7251524690
2001-05-29,6919892000
2001-05-30,6541256138
2001-05-31,6486419520
2001-06-01,6508615138
2001-06-04,6516449240
2001-06-05,6658764000
2001-06-06,6658764000
2001-06-07,6606538138
2001-06-08,6502087069
2001-06-11,6084282138
2001-06-12,5633836861
2001-06-13,5736982029
2001-06-14,5528079760
2001-06-15,5639059029
2001-06-18,5558109480
2001-06-19,3910391930
2001-06-20,3603566400
2001-06-21,3825525069
2001-06-22,3805940600
2001-06-25,3616622930
2001-06-26,3536978760
2001-06-27,3517394290
2001-06-28,3473002400
2001-06-29,3604872170
2001-07-02,3581297149
2001-07-03,3451852800
2001-07-05,3433547520
2001-07-06,3321100800
2001-07-09,3281875200
2001-07-10,3223036800
2001-07-11,3119742850
2001-07-12,3072672000
2001-07-13,3135432960
2001-07-16,3081824640
2001-07-17,3097515010
2001-07-18,2961532800
2001-07-19,3085747200
2001-07-20,3353788800
2001-07-23,3321100800
2001-07-24,3667593469
2001-07-25,3781347840
2001-07-26,3853261309
2001-07-27,4067694850
2001-07-30,3930404989
2001-07-31,3857184000
2001-08-01,3889872000
2001-08-02,3831033469
2001-08-03,3804883200
2001-08-06,3691128960
2001-08-07,3726432000
2001-08-08,3700281469
2001-08-09,3608755200
2001-08-10,3650595840
2001-08-13,3858491520
2001-08-14,3825803520
2001-08-15,3817958530
2001-08-16,3785270530
2001-08-17,3723816960
2001-08-20,3791808000
2001-08-21,3732969469
2001-08-22,4053312000
2001-08-23,4203677061
2001-08-24,4428570109
2001-08-27,4632543360
2001-08-28,4609008000
2001-08-29,4522711680
2001-08-30,4463873149
2001-08-31,4331813890
2001-09-04,4393266938
2001-09-05,4510944000
2001-09-06,4643003258
2001-09-07,4521404421
2001-09-10,4458642938
2001-09-17,4327890938
2001-09-18,4105612800
2001-09-19,4046774530
2001-09-20,3730354690
2001-09-21,3667593469
2001-09-24,4074232320
2001-09-25,4092537469
2001-09-26,4445568000
2001-09-27,4628621061
2001-09-28,4676999040
2001-10-01,4532293110
2001-10-02,4481191931
2001-10-03,4718354027
2001-10-04,4782558500
2001-10-05,4697389387
2001-10-08,4659391371
2001-10-09,4726216030
2001-10-10,4834970362
2001-10-11,4907036181
2001-10-12,4751111277
2001-10-15,4807453878
2001-10-16,4717044000
2001-10-17,4635806151
2001-10-18,4655460238
2001-10-19,4586015000
2001-10-22,4491673988
2001-10-23,4874278931
2001-10-24,4783868527
2001-10-25,4913587500
2001-10-26,4840211128
2001-10-29,4806143720
2001-10-30,4622702988
2001-10-31,4650219472
2001-11-01,4664632137
2001-11-02,4671184112
2001-11-05,4738008640
2001-11-06,4880830250
2001-11-07,4900484862
2001-11-08,4980412027
2001-11-09,4992204637
2001-11-12,5009238670
2001-11-13,5115372291
2001-11-14,4977791972
2001-11-15,4943724170
2001-11-16,4874278931
2001-11-19,4965999362
2001-11-20,4884760988
2001-11-21,4825798332
2001-11-23,4933242112
2001-11-26,4890002280
2001-11-27,4876899511
2001-11-28,4751111277
2001-11-29,4817936330
2001-11-30,4789109818
2001-12-03,4717044000
2001-12-04,4925380110
2001-12-05,5064271112
2001-12-06,5087856332
2001-12-07,5011859250
2001-12-10,4980412027
2001-12-11,4913587500
2001-12-12,4749801250
2001-12-13,4697389387
2001-12-14,4697389387
2001-12-17,4745870511
2001-12-18,4959447387
2001-12-19,5104889708
2001-12-20,5100958970
2001-12-21,5097028362
2001-12-24,5106200261
2001-12-26,5334190458
2001-12-27,5136336931
2001-12-28,5241160000
2001-12-31,5077373750
2002-01-02,5077373750
2002-01-03,4977791972
2002-01-04,5095717678
2002-01-07,5076063722
2002-01-08,4963378651
2002-01-09,5031513862
2002-01-10,5024961887
2002-01-11,4941103458
2002-01-14,4874278931
2002-01-15,4743249931
2002-01-16,4533603137
2002-01-17,4599117637
2002-01-18,4441883362
2002-01-22,4219133931
2002-01-23,4500845887
2002-01-24,4498225832
2002-01-25,4575532417
2002-01-28,4512638628
2002-01-29,4422228750
2002-01-30,4593876871
2002-01-31,4533603137
2002-02-01,4610910378
2002-02-04,4428780068
2002-02-05,4444503417
2002-02-06,4435331387
2002-02-07,4375058178
2002-02-08,4397333371
2002-02-11,4575532417
2002-02-12,4696079360
2002-02-13,4690838068
2002-02-14,4643667628
2002-02-15,4592566318
2002-02-19,4572912362
2002-02-20,4520500500
2002-02-21,4474640612
2002-02-22,4441883362
2002-02-25,4291199750
2002-02-26,4253201208
2002-02-27,4234857280
2002-02-28,4094656250
2002-03-01,3849631888
2002-03-04,3916456678
2002-03-05,3989833181
2002-03-06,3983281600
2002-03-07,4120862181
2002-03-08,4292509777
2002-03-11,4308233651
2002-03-12,4258442500
2002-03-13,4382920181
2002-03-14,4373748151
2002-03-15,4454986000
2002-03-18,4120862181
2002-03-19,3955765641
2002-03-20,4068450318
2002-03-21,3826046931
2002-03-22,3812943900
2002-03-25,3776255780
2002-03-26,3733016210
2002-03-27,3654398678
2002-03-28,3664880998
2002-04-01,3669129000
2002-04-02,3550770000
2002-04-03,3534988668
2002-04-04,3577072131
2002-04-05,3524467868
2002-04-08,3482384800
2002-04-09,3524467868
2002-04-10,3500796331
2002-04-11,3317997300
2002-04-12,3415314568
2002-04-15,3458712868
2002-04-16,3629676000
2002-04-17,3872969631
2002-04-18,3844037300
2002-04-19,3915052700
2002-04-22,3813790000
2002-04-23,3557345368
2002-04-24,3563921000
2002-04-25,3534988668
2002-04-26,3478439631
2002-04-29,3465288500
2002-04-30,3544194631
2002-05-01,3567866168
2002-05-02,3570496500
2002-05-03,3537619000
2002-05-06,3462658300
2002-05-07,3398218400
