,INVH
2017-10-05,11811894484
2017-10-06,11619619915
2017-10-09,11650799575
2017-10-10,11791108044
2017-10-11,11765124994
2017-10-12,11749535164
2017-10-13,11759928384
2017-10-16,11765124994
2017-10-17,11770321604
2017-10-18,11848270754
2017-10-19,11817091094
2017-10-20,11910630074
2017-10-23,11775518214
2017-10-24,11785911434
2017-10-25,11853467364
2017-10-26,11822287704
2017-10-27,11931416514
2017-10-30,11884647024
2017-10-31,11728748724
2017-11-01,11770321604
2017-11-02,12061331763
2017-11-03,11869057194
2017-11-06,12014562273
2017-11-07,12056135153
2017-11-08,12035348713
2017-11-09,12108101253
2017-11-10,12331555482
2017-11-13,12248409722
2017-11-14,12212033453
2017-11-15,11957399563
2017-11-16,12050938543
2017-11-17,11858663974
2017-11-20,11858663974
2017-11-21,12144477523
2017-11-22,12212033453
2017-11-24,12295179212
2017-11-27,12154870743
2017-11-28,11993775833
2017-11-29,12217230062
2017-11-30,12238016502
2017-12-01,12217230062
2017-12-04,12196443623
2017-12-05,11988579223
2017-12-06,11998972443
2017-12-07,12076921593
2017-12-08,12289982602
2017-12-11,12300375822
2017-12-12,12305572432
2017-12-13,12315965652
2017-12-14,12347145312
2017-12-15,12523830051
2017-12-18,12482257171
2017-12-19,12300375822
2017-12-20,12123691083
2017-12-21,12165263963
2017-12-22,12108101253
2017-12-26,12144477523
2017-12-27,12154870743
2017-12-28,12263999552
2017-12-29,12248409722
2018-01-02,12206836843
2018-01-03,12201640233
2018-01-04,11978186003
2018-01-05,11978186003
2018-01-08,12009365663
2018-01-09,11858663974
2018-01-10,11889843634
2018-01-11,11884647024
2018-01-12,11801501264
2018-01-16,11848270754
2018-01-17,11697569064
2018-01-18,11624816525
2018-01-19,11526080935
2018-01-22,11655996185
2018-01-23,11900236854
2018-01-24,11739141944
2018-01-25,11733945334
2018-01-26,11707962284
2018-01-29,11520884325
2018-01-30,11432541956
2018-01-31,11687175845
2018-02-01,11458525005
2018-02-02,11468918225
2018-02-05,11011616547
2018-02-06,11042796207
2018-02-07,11006419937
2018-02-08,10679033508
2018-02-09,10886897908
2018-02-12,10912880958
2018-02-13,10938864007
2018-02-14,11079172477
2018-02-15,11177908066
2018-02-16,11183104676
2018-02-20,11047992817
2018-02-21,10834931808
2018-02-22,11266250436
2018-02-23,11406558906
2018-02-26,11396165686
2018-02-27,11183104676
2018-02-28,11302626706
2018-03-01,11385772466
