,ADI
2000-01-03,15752281680
2000-01-04,14955759120
2000-01-05,15175850880
2000-01-06,14760122000
2000-01-07,15175850880
2000-01-10,16496401440
2000-01-11,15818658560
2000-01-12,16332206000
2000-01-13,16388102319
2000-01-14,17708652880
2000-01-18,17205586000
2000-01-19,17719133440
2000-01-20,17369781440
2000-01-21,16877195120
2000-01-24,17216066560
2000-01-25,18340980000
2000-01-26,17761055680
2000-01-27,16779376560
2000-01-28,16681558000
2000-01-31,16489005500
2000-02-01,17282594000
2000-02-02,16975739780
2000-02-03,18651093280
2000-02-04,19663359500
2000-02-07,20986007000
2000-02-08,20238270280
2000-02-09,20400515040
2000-02-10,20478110360
2000-02-11,20213580860
2000-02-14,20633301000
2000-02-15,21141197640
2000-02-16,22396831000
2000-02-17,24865773000
2000-02-18,23941683280
2000-02-22,25338399040
2000-02-23,26033229860
2000-02-24,28449265960
2000-02-25,27666258640
2000-02-28,26354192320
2000-02-29,27733272780
2000-03-01,28481009500
2000-03-02,27521649180
2000-03-03,29450951000
2000-03-06,32205584860
2000-03-07,29098245000
2000-03-08,29207583860
2000-03-09,31214481000
2000-03-10,30498487820
2000-03-13,29098245000
2000-03-14,25617036780
2000-03-15,23631302000
2000-03-16,27556919780
2000-03-17,27468743280
2000-03-20,28304656500
2000-03-21,29980010000
2000-03-22,32448952000
2000-03-23,31919893000
2000-03-24,30949951500
2000-03-27,31038128000
2000-03-28,28745539000
2000-03-29,30420892500
2000-03-30,27511068000
2000-03-31,28392833000
2000-04-03,26167258140
2000-04-04,25042126000
2000-04-05,25740483880
2000-04-06,27796759860
2000-04-07,27863774000
2000-04-10,25042126000
2000-04-11,24072184500
2000-04-12,21955948500
2000-04-13,21913623780
2000-04-14,20679152780
2000-04-17,22971741780
2000-04-18,23123405360
2000-04-19,22241640360
2000-04-20,22837713500
2000-04-24,21691419000
2000-04-25,23412624280
2000-04-26,23123405360
2000-04-27,25239641360
2000-04-28,27091347860
2000-05-01,27581348420
2000-05-02,25316333580
2000-05-03,24229978500
2000-05-04,24141224000
2000-05-05,24474940920
2000-05-08,23054868920
2000-05-09,21546042420
2000-05-10,19881008000
2000-05-11,21258477840
2000-05-12,21922361500
2000-05-15,21901060420
2000-05-16,24052469500
2000-05-17,26051220840
2000-05-18,25983767420
2000-05-19,24872561080
2000-05-22,24851260000
2000-05-23,24052469500
2000-05-24,23587395920
2000-05-25,24584996500
2000-05-26,24119922920
2000-05-30,26626350000
2000-05-31,27336386000
2000-06-01,29466494000
2000-06-02,31596602000
2000-06-05,30975320500
2000-06-06,30133927840
2000-06-07,31465245340
2000-06-08,33606003880
2000-06-09,33627304960
2000-06-12,32839165000
2000-06-13,33549201000
2000-06-14,31685356500
2000-06-15,31064075000
2000-06-16,31642754340
2000-06-19,35235536500
2000-06-20,34081728000
2000-06-21,34394143840
2000-06-22,33417844340
2000-06-23,32175281340
2000-06-26,32040374500
2000-06-27,30265284500
2000-06-28,29601400840
2000-06-29,27936366420
2000-06-30,26981368000
2000-07-03,28422741080
2000-07-05,24897412340
2000-07-06,25472541500
2000-07-07,26938765840
2000-07-10,26715104500
2000-07-11,26558896580
2000-07-12,28046422000
2000-07-13,29377739500
2000-07-14,30666454840
2000-07-17,31351639580
2000-07-18,29466494000
2000-07-19,28092574340
2000-07-20,26427539920
2000-07-21,26271332000
2000-07-24,25028769000
2000-07-25,26672502340
2000-07-26,25028769000
2000-07-27,22543643000
2000-07-28,22944813340
2000-07-31,23880841600
2000-08-01,23320241700
2000-08-02,22006224100
2000-08-03,21245665000
2000-08-04,20756479100
2000-08-07,21267089200
2000-08-08,22452561600
2000-08-09,24034381700
2000-08-10,24816365000
2000-08-11,26112529100
2000-08-14,27248011700
2000-08-15,27426546700
2000-08-16,33721690800
2000-08-17,33386045000
2000-08-18,33968069100
2000-08-21,33653847500
2000-08-22,34146604100
2000-08-23,35171395000
2000-08-24,34414406600
2000-08-25,33296777500
2000-08-28,33789534100
2000-08-29,34414406600
2000-08-30,34325139100
2000-08-31,35885535000
2000-09-01,36199756600
2000-09-05,34367987500
2000-09-06,32404102500
2000-09-07,34457255000
2000-09-08,31689962500
2000-09-11,31779230000
2000-09-12,31265049200
2000-09-13,31868497500
2000-09-14,33186085800
2000-09-15,32493370000
2000-09-18,29836769200
2000-09-19,31779230000
