,GTE
2005-07-05,828553.94
2005-07-06,8009556.12
2005-07-07,7610564.57
2005-07-08,7303647.99
2005-07-11,6782010.63
2005-07-12,7610564.57
2005-07-13,7272956.33
2005-07-14,6935468.92
2005-07-15,7088927.21
2005-07-18,6966160.58
2005-07-19,7088927.21
2005-07-20,7058235.55
2005-07-21,6843393.95
2005-07-22,6720627.31
2005-07-25,6505785.71
2005-07-26,6659244.0
2005-07-27,6567169.02
2005-07-28,6536477.36
2005-07-29,6413710.73
2005-08-01,6290944.1
2005-08-02,5984148.35
2005-08-03,5493081.82
2005-08-04,4940752.8
2005-08-05,5738615.08
2005-08-08,6904777.26
2005-08-09,6321635.76
2005-08-10,6597860.68
2005-08-11,6628552.34
2005-08-12,6106914.98
2005-08-15,5984148.35
2005-08-16,5554465.13
2005-08-17,5124902.75
2005-08-18,5799998.4
2005-08-19,5585156.79
2005-08-22,5799998.4
2005-08-23,5462390.16
2005-08-24,5309052.7
2005-08-25,5278361.04
2005-08-26,5278361.04
2005-08-29,5278361.04
2005-08-30,5247669.39
2005-08-31,5094211.09
2005-09-01,5032827.78
2005-09-02,4971444.46
2005-09-06,4725911.2
2005-09-07,4388302.96
2005-09-08,4695219.54
2005-09-09,4603144.56
2005-09-12,17279161.0
2005-09-13,16554162.0
2005-09-14,17399995.0
2005-09-15,16674995.0
2005-09-16,17520828.0
2005-09-19,16795828.0
2005-09-20,16070828.0
2005-09-21,14620829.0
2005-09-22,14862495.0
2005-09-23,18245828.0
2005-09-26,16795828.0
2005-09-27,18004161.0
2005-09-28,17279161.0
2005-09-29,16554162.0
2005-09-30,62763409.0
2005-10-03,61464856.0
2005-10-04,59733451.0
2005-10-05,58434898.0
2005-10-06,56270643.0
2005-10-07,56703494.0
2005-10-10,57136345.0
2005-10-11,66659069.0
2005-10-12,61897707.0
2005-10-13,61464856.0
2005-10-14,67524771.0
2005-10-17,74450389.0
2005-10-18,68390473.0
2005-10-19,69256176.0
2005-10-20,76181793.0
2005-10-21,83973113.0
2005-10-24,93495837.0
2005-10-25,88301624.0
2005-10-26,80943155.0
2005-10-27,92630135.0
2005-10-28,92197284.0
2005-10-31,87003071.0
2005-11-01,80943155.0
2005-11-02,83540262.0
2005-11-03,82241709.0
2005-11-04,80943155.0
2005-11-07,81808857.0
2005-11-08,87435922.0
2005-11-09,90898731.0
2005-11-10,89167326.0
2005-11-11,86570220.0
2005-11-14,91764433.0
2005-11-15,89167326.0
2005-11-16,103018561.0
2005-11-17,101287157.0
2005-11-18,104749966.0
2005-11-21,106048519.0
2005-11-22,104749966.0
2005-11-23,112108434.0
2005-11-25,130288181.0
2005-11-28,145005118.0
2005-11-29,137213798.0
2005-11-30,135915245.0
2005-12-01,137213798.0
2005-12-02,141975160.0
2005-12-05,137646649.0
2005-12-06,138079500.0
2005-12-07,143706565.0
2005-12-08,146303671.0
2005-12-09,151065033.0
2005-12-12,154527842.0
2005-12-13,171409035.0
2005-12-14,167080524.0
2005-12-15,162319162.0
2005-12-16,163184864.0
2005-12-19,161886311.0
2005-12-20,144139416.0
2005-12-21,131586734.0
2005-12-22,126825372.0
2005-12-23,117302648.0
2005-12-27,121198308.0
2005-12-28,115138392.0
2005-12-29,94794390.0
2005-12-30,159289204.0
2006-01-03,173171331.0
2006-01-04,168311931.0
2006-01-05,165219586.0
2006-01-06,156826078.0
2006-01-09,147549042.0
2006-01-10,149316096.0
2006-01-11,156384314.0
2006-01-12,157709605.0
2006-01-13,153733732.0
2006-01-17,150199624.0
2006-01-18,148432569.0
2006-01-19,156826078.0
2006-01-20,154617260.0
2006-01-23,158151368.0
2006-01-24,148432569.0
2006-01-25,130320262.0
2006-01-26,143131406.0
2006-01-27,141364352.0
2006-01-30,138713770.0
2006-01-31,118392644.0
2006-02-01,119717935.0
2006-02-02,117950881.0
2006-02-03,117509117.0
2006-02-06,116625590.0
2006-02-07,116625590.0
2006-02-08,115742063.0
2006-02-09,147549042.0
2006-02-10,140480824.0
2006-02-13,134296134.0
2006-02-14,136946716.0
2006-02-15,138272006.0
2006-02-16,141364352.0
2006-02-17,135179661.0
2006-02-21,135179661.0
2006-02-22,134737898.0
2006-02-23,135179661.0
2006-02-24,136063188.0
2006-02-27,131203789.0
2006-02-28,130320262.0
2006-03-01,128553207.0
2006-03-02,125902626.0
2006-03-03,144014933.0
2006-03-06,155942550.0
2006-03-07,151083151.0
2006-03-08,160801950.0
2006-03-09,153733732.0
2006-03-10,142689642.0
2006-03-13,113091481.0
2006-03-14,109115609.0
2006-03-15,109999136.0
2006-03-16,102930918.0
2006-03-17,125019098.0
2006-03-20,113091481.0
2006-03-21,109557372.0
2006-03-22,110882663.0
2006-03-23,113091481.0
2006-03-24,110440900.0
2006-03-27,110440900.0
2006-03-28,110882663.0
2006-03-29,112207954.0
2006-03-30,111766190.0
2006-03-31,122880927.0
2006-04-03,115478461.0
2006-04-04,113504471.0
2006-04-05,111036982.0
2006-04-06,110049987.0
2006-04-07,104621512.0
2006-04-10,111036982.0
2006-04-11,103634517.0
2006-04-12,87842590.0
2006-04-13,84388106.0
2006-04-17,85868599.0
2006-04-18,83894609.0
2006-04-19,83401111.0
2006-04-20,84881604.0
2006-04-21,83401111.0
2006-04-24,82414115.0
2006-04-25,82907613.0
2006-04-26,85375102.0
2006-04-27,94258060.0
2006-04-28,85375102.0
2006-05-01,72544161.0
2006-05-02,66622189.0
2006-05-03,65635194.0
2006-05-04,72544161.0
2006-05-05,72050664.0
2006-05-08,68102682.0
2006-05-09,68102682.0
2006-05-10,55765240.0
2006-05-11,53791249.0
2006-05-12,52804253.0
2006-05-15,60206719.0
2006-05-16,82414115.0
2006-05-17,72544161.0
2006-05-18,66622189.0
2006-05-19,62674207.0
2006-05-22,55765240.0
2006-05-23,61687212.0
2006-05-24,60206719.0
2006-05-25,62180710.0
2006-05-26,65635194.0
2006-05-30,65635194.0
2006-05-31,66128691.0
