,AVGO
2009-08-06,3823200000
2009-08-07,3870400000
2009-08-10,3776000000
2009-08-11,3705200000
2009-08-12,3776000000
2009-08-13,3917600000
2009-08-14,3917600000
2009-08-17,3823200000
2009-08-18,4035600000
2009-08-19,4224400000
2009-08-20,4200800000
2009-08-21,4200800000
2009-08-24,4130000000
2009-08-25,4224400000
2009-08-26,4224400000
2009-08-27,4295200000
2009-08-28,4366000000
2009-08-31,4295200000
2009-09-01,4224400000
2009-09-02,4177200000
2009-09-03,4130000000
2009-09-04,4200800000
2009-09-08,4177200000
2009-09-09,4082800000
2009-09-10,4035600000
2009-09-11,3988400000
2009-09-14,3917600000
2009-09-15,4059200000
2009-09-16,4153600000
2009-09-17,3917600000
2009-09-18,3823200000
2009-09-21,3917600000
2009-09-22,4082800000
2009-09-23,4106400000
2009-09-24,4130000000
2009-09-25,4035600000
2009-09-28,4153600000
2009-09-29,4012000000
2009-09-30,4035600000
2009-10-01,3846799999
2009-10-02,3799600000
2009-10-05,3894000000
2009-10-06,3894000000
2009-10-07,3799600000
2009-10-08,3776000000
2009-10-09,3846799999
2009-10-12,3846799999
2009-10-13,3894000000
2009-10-14,3988400000
2009-10-15,4059200000
2009-10-16,3870400000
2009-10-19,3823200000
2009-10-20,3894000000
2009-10-21,3894000000
2009-10-22,3846799999
2009-10-23,3799600000
2009-10-26,3728800000
2009-10-27,3658000000
2009-10-28,3516400000
2009-10-29,3540000000
2009-10-30,3540000000
2009-11-02,3516399925
2009-11-03,3421999927
2009-11-04,3492799926
2009-11-05,3610799923
2009-11-06,3610799923
2009-11-09,3705199921
2009-11-10,3657999922
2009-11-11,3634399923
2009-11-12,3681599922
2009-11-13,3681599922
2009-11-16,3775999920
2009-11-17,3799599919
2009-11-18,3775999920
2009-11-19,3681599922
2009-11-20,3634399923
2009-11-23,3587199924
2009-11-24,3610799923
2009-11-25,3657999922
2009-11-27,3752399920
2009-11-30,3752399920
2009-12-01,3775999920
2009-12-02,3681599922
2009-12-03,3752399920
2009-12-04,3893999917
2009-12-07,3988399915
2009-12-08,3964799916
2009-12-09,3964799916
2009-12-10,3964799916
2009-12-11,3917599917
2009-12-14,3988399915
2009-12-15,3941199916
2009-12-16,4011999915
2009-12-17,3846799918
2009-12-18,3870399918
2009-12-21,3893999917
2009-12-22,3941199916
2009-12-23,3964799916
2009-12-24,3964799916
2009-12-28,4106399913
2009-12-29,4129999912
2009-12-30,4177199911
2009-12-31,4318799908
2010-01-04,4460399905
2010-01-05,4483999905
2010-01-06,4507599904
2010-01-07,4483999905
2010-01-08,4531199904
2010-01-11,4554799903
2010-01-12,4483999905
2010-01-13,4342399908
2010-01-14,4342399908
