,HCA
2012-03-29,10472279449
2012-03-30,10844880434
2012-04-02,11417508540
2012-04-03,11830613160
2012-04-04,11804244780
2012-04-05,11848192080
2012-04-09,11799850050
2012-04-10,11580113550
2012-04-11,11747113290
2012-04-12,12116270610
2012-04-13,11865771000
2012-04-16,11944876140
2012-04-17,12133849530
2012-04-18,12081112770
2012-04-19,12129454800
2012-04-20,11856981540
2012-04-23,11540560980
2012-04-24,11804244780
2012-04-25,11887744650
2012-04-26,11997612900
2012-04-27,11966849790
2012-04-30,11830613160
2012-05-01,12111875880
2012-05-02,11861376270
2012-05-03,11760297480
2012-05-04,11729534370
2012-05-07,11540560980
2012-05-08,11689981800
2012-05-09,11619666120
2012-05-10,11544955710
2012-05-11,11536166250
2012-05-14,11377955970
2012-05-15,11303245560
2012-05-16,11149430010
2012-05-17,11180193120
2012-05-18,10824219990
2012-05-21,11360377050
2012-05-22,11457061110
2012-05-23,11426298000
2012-05-24,11470245300
2012-05-25,11435087460
2012-05-29,11580113550
2012-05-30,11475958000
2012-05-31,11471544170
2012-06-01,10919815420
2012-06-04,10769745200
2012-06-05,11047816490
2012-06-06,11374439910
2012-06-07,11233197350
2012-06-08,11365612250
2012-06-11,11515682470
2012-06-12,11564234600
2012-06-13,11573062260
2012-06-14,11652511200
2012-06-15,11798167590
2012-06-18,11859961210
2012-06-19,11983548450
2012-06-20,12018859090
2012-06-21,11709890990
2012-06-22,11586303750
2012-06-25,11303818630
2012-06-26,11559820770
2012-06-27,11745201630
2012-06-28,13007557010
2012-06-29,13431284690
2012-07-02,13237076170
2012-07-03,13020798500
2012-07-05,12685347420
2012-07-06,12539691030
2012-07-09,12424931450
2012-07-10,12371965490
2012-07-11,12318999530
2012-07-12,12283688890
2012-07-13,12429345280
2012-07-16,12257205910
2012-07-17,12416103790
2012-07-18,12623553800
2012-07-19,12266033570
2012-07-20,12146860160
2012-07-23,11926168660
2012-07-24,11811409080
2012-07-25,11987962280
2012-07-26,11873202700
2012-07-27,12054169730
2012-07-30,11979134620
2012-07-31,11687821840
2012-08-01,11581889920
2012-08-02,11670166520
2012-08-03,11740787800
2012-08-06,11277335650
2012-08-07,11868788870
2012-08-08,12027686750
2012-08-09,12098308030
2012-08-10,12010031430
2012-08-13,11957065470
2012-08-14,12001203770
2012-08-15,12036514410
2012-08-16,12407276130
2012-08-17,12804520830
2012-08-20,12817762320
2012-08-21,12623553800
2012-08-22,12491138900
2012-08-23,12416103790
2012-08-24,12411689960
2012-08-27,12517621880
2012-08-28,12513208050
2012-08-29,12499966560
2012-08-30,12583829330
2012-08-31,12601484650
2012-09-04,12597070820
2012-09-05,12680933590
2012-09-06,12950177220
2012-09-07,12936935730
2012-09-10,12888383600
2012-09-11,12769210190
2012-09-12,12870728280
2012-09-13,13373904900
2012-09-14,13753494280
2012-09-17,14053634720
2012-09-18,14419982610
2012-09-19,14455293250
2012-09-20,14349361330
2012-09-21,14371430480
2012-09-24,14212532600
2012-09-25,14053634720
2012-09-26,14111014510
2012-09-27,14587708149
2012-09-28,14675984750
2012-10-01,14958006750
2012-10-02,14740838652
2012-10-03,14572422576
2012-10-04,14262182436
2012-10-05,14164678392
2012-10-08,13881030264
2012-10-09,13619542146
2012-10-10,13473286080
2012-10-11,13734774198
2012-10-12,13703750184
2012-10-15,14093766360
2012-10-16,13672726170
2012-10-17,13632838152
2012-10-18,13641702156
2012-10-19,13318166010
2012-10-22,13628406150
2012-10-23,13136453928
2012-10-24,13570790124
2012-10-25,13854438252
2012-10-26,13974102306
2012-10-31,12591317682
2012-11-01,13300438002
2012-11-02,13592950134
2012-11-05,14284342445
2012-11-06,13708182186
2012-11-07,15002326770
2012-11-08,14297638452
2012-11-09,14457190523
2012-11-12,14412870504
2012-11-13,14045014338
2012-11-14,13459990074
2012-11-15,13260549984
2012-11-16,13517606100
2012-11-19,13956374298
2012-11-20,13898758272
2012-11-21,13898758272
2012-11-23,13943078292
2012-11-26,13721478192
2012-11-27,13628406150
2012-11-28,13606246140
2012-11-29,14067174348
2012-11-30,14071606350
2012-12-03,14275478442
2012-12-04,14186838402
2012-12-05,14359686480
2012-12-06,14723110644
2012-12-07,14962438752
2012-12-10,15011190773
2012-12-11,14616742595
2012-12-12,14585718581
2012-12-13,13672726170
2012-12-14,13628406150
2012-12-17,13832278242
2012-12-18,14076038352
2012-12-19,14053878342
2012-12-20,13814550234
2012-12-21,13801254228
2012-12-24,13743638202
2012-12-26,13491014088
2012-12-27,13561926120
2012-12-28,13358054028
2012-12-31,13451481554
2013-01-02,13955299060
2013-01-03,14111348730
2013-01-04,14240647028
2013-01-07,14410072384
2013-01-08,14133641540
2013-01-09,14735547409
2013-01-10,14789050154
2013-01-11,14802425840
2013-01-14,15092232370
2013-01-15,15600508438
2013-01-16,15685221116
2013-01-17,16291585548
2013-01-18,16474386590
2013-01-22,16942535600
2013-01-23,16746358872
2013-01-24,16822154425
2013-01-25,16826612988
2013-01-28,16666104756
2013-01-29,16345088291
2013-01-30,16973745534
2013-01-31,16786485930
2013-02-01,17040623964
2013-02-04,16768651682
2013-02-05,16724066062
2013-02-06,16576933516
2013-02-07,16527889334
2013-02-08,16594767764
2013-02-11,16345088291
2013-02-12,16251458490
2013-02-13,16447635218
2013-02-14,16420883846
2013-02-15,16175662936
2013-02-19,16233624241
2013-02-20,15787768041
2013-02-21,15957193398
2013-02-22,15943817712
2013-02-25,15698596802
2013-02-26,15890314968
2013-02-27,16354005416
2013-02-28,16536806458
2013-03-01,16478845152
2013-03-04,16340629730
2013-03-05,16469928027
2013-03-06,16456552341
2013-03-07,16514513648
2013-03-08,16608143450
2013-03-11,16848905798
2013-03-12,16951452724
2013-03-13,17067375336
2013-03-14,17143170890
2013-03-15,16906867104
2013-03-18,16844447236
2013-03-19,17062916774
2013-03-20,17192215072
2013-03-21,17192215072
2013-03-22,17526607222
2013-03-25,17566734280
2013-03-26,17918960678
2013-03-27,18025966166
2013-03-28,18115137406
2013-04-01,18204564168
2013-04-02,17820086634
2013-04-03,16948306178
2013-04-04,16849951460
2013-04-05,16756067411
2013-04-08,16854422130
2013-04-09,16823127447
2013-04-10,16393943223
2013-04-11,17180780967
2013-04-12,17131603608
2013-04-15,16416296568
2013-04-16,16930423502
2013-04-17,16782891426
2013-04-18,16505709948
2013-04-19,16836539453
2013-04-22,16863363468
2013-04-23,16925952834
2013-04-24,17060072903
2013-04-25,16961718185
2013-04-26,17100308925
2013-04-29,18048090753
2013-04-30,17833498641
2013-05-01,17654671881
2013-05-02,18092797443
2013-05-03,18329742900
2013-05-06,18508569660
2013-05-07,18410214942
2013-05-08,18079385436
2013-05-09,18034678746
2013-05-10,18209034837
2013-05-13,18191152161
2013-05-14,18244800189
2013-05-15,17972089380
2013-05-16,17654671881
2013-05-17,17475845121
2013-05-20,17077955580
2013-05-21,16836539453
2013-05-22,16671124701
2013-05-23,16943835510
2013-05-24,16778420757
2013-05-28,17127132939
2013-05-29,17001954207
2013-05-30,17355137058
2013-05-31,17462433114
2013-06-03,17560787832
2013-06-04,17444550438
2013-06-05,17037719559
2013-06-06,17167368960
2013-06-07,17703849240
2013-06-10,17989972056
2013-06-11,17761967937
2013-06-12,17672554557
2013-06-13,18012325401
2013-06-14,17837969310
2013-06-17,17551846494
2013-06-18,17359607727
2013-06-19,17323842375
2013-06-20,16845480792
2013-06-21,16738184735
2013-06-24,16362648540
2013-06-25,16371589877
2013-06-26,16326883188
2013-06-27,16268764491
2013-06-28,16121232414
2013-07-01,16533361395
2013-07-02,16519934193
2013-07-03,15884379966
2013-07-05,16049982124
2013-07-08,16314050430
2013-07-09,16502031257
2013-07-10,16681060618
2013-07-11,16667633416
2013-07-12,16837711307
2013-07-15,16654206214
2013-07-16,17392702324
2013-07-17,17227100166
2013-07-18,17526974344
2013-07-19,17289760442
2013-07-22,17553828748
2013-07-23,17500119940
2013-07-24,17347944984
2013-07-25,17312139112
2013-07-26,17786566916
2013-07-29,17477741270
2013-07-30,17495644206
2013-07-31,17455362600
2013-08-01,17491168472
2013-08-02,17473265536
2013-08-05,17706003704
2013-08-06,17155488422
2013-08-07,17034643604
2013-08-08,17245003102
2013-08-09,17459838334
2013-08-12,17352420718
2013-08-13,17289760442
2013-08-14,17509071408
2013-08-15,17191294294
2013-08-16,16963031860
2013-08-19,17030167869
2013-08-20,17267381772
2013-08-21,17124158284
2013-08-22,17231575900
2013-08-23,17124158284
2013-08-26,17625440492
2013-08-27,17231575900
2013-08-28,17262906038
2013-08-29,17343469250
2013-08-30,17092828145
2013-09-03,17312139112
2013-09-04,17236051634
2013-09-05,17316614846
2013-09-06,17688100768
