,VTR
2000-01-03,237643000
2000-01-04,237643000
2000-01-05,234248100
2000-01-06,237643000
2000-01-07,234248100
2000-01-10,237643000
2000-01-11,234248100
2000-01-12,230174220
2000-01-13,234248100
2000-01-14,237643000
2000-01-18,241716880
2000-01-19,241716880
2000-01-20,237643000
2000-01-21,234248100
2000-01-24,219310540
2000-01-25,208446860
2000-01-26,208446860
2000-01-27,208446860
2000-01-28,204372980
2000-01-31,215236660
2000-02-01,219310540
2000-02-02,222705440
2000-02-03,219310540
2000-02-04,208446860
2000-02-07,219310540
2000-02-08,208446860
2000-02-09,208446860
2000-02-10,204372980
2000-02-11,193509300
2000-02-14,189435420
2000-02-15,189435420
2000-02-16,196904200
2000-02-17,196904200
2000-02-18,196904200
2000-02-22,196904200
2000-02-23,196904200
2000-02-24,196904200
2000-02-25,200978080
2000-02-28,204372980
2000-02-29,200978080
2000-03-01,196904200
2000-03-02,200978080
2000-03-03,211841760
2000-03-06,211841760
2000-03-07,208446860
2000-03-08,200978080
2000-03-09,193509300
2000-03-10,189435420
2000-03-13,200978080
2000-03-14,186040520
2000-03-15,167029080
2000-03-16,186040520
2000-03-17,174497860
2000-03-20,174497860
2000-03-21,204372980
2000-03-22,222705440
2000-03-23,193509300
2000-03-24,193509300
2000-03-27,189435420
2000-03-28,186040520
2000-03-29,189435420
2000-03-30,196904200
2000-03-31,197278300
2000-04-03,197278300
2000-04-04,204761270
2000-04-05,201359920
2000-04-06,204761270
2000-04-07,212244240
2000-04-10,219727210
2000-04-11,223128560
2000-04-12,230611530
2000-04-13,227210180
2000-04-14,212244240
2000-04-17,219727210
2000-04-18,223128560
2000-04-19,227210180
2000-04-20,227210180
2000-04-24,223128560
2000-04-25,230611530
2000-04-26,230611530
2000-04-27,230611530
2000-04-28,234693150
2000-05-01,245577470
2000-05-02,245577470
2000-05-03,245577470
2000-05-04,245577470
2000-05-05,242176120
2000-05-08,242176120
2000-05-09,230611530
2000-05-10,230611530
2000-05-11,230611530
2000-05-12,230611530
2000-05-15,234693150
2000-05-16,227210180
2000-05-17,223128560
2000-05-18,223128560
2000-05-19,215645590
2000-05-22,227210180
2000-05-23,223128560
2000-05-24,230611530
2000-05-25,227210180
2000-05-26,227210180
2000-05-30,230611530
2000-05-31,227210180
2000-06-01,227210180
2000-06-02,227210180
2000-06-05,230611530
2000-06-06,223128560
2000-06-07,219727210
2000-06-08,223128560
2000-06-09,227210180
2000-06-12,215645590
2000-06-13,201359920
2000-06-14,186393980
2000-06-15,201359920
2000-06-16,208842890
2000-06-19,208842890
2000-06-20,223128560
2000-06-21,227210180
2000-06-22,223128560
2000-06-23,219727210
2000-06-26,219727210
2000-06-27,219727210
2000-06-28,215645590
2000-06-29,227210180
2000-06-30,189826020
2000-07-03,212278560
2000-07-05,230648820
2000-07-06,227246920
2000-07-07,223164640
2000-07-10,215680460
2000-07-11,215680460
2000-07-12,219762740
2000-07-13,234731100
2000-07-14,215680460
2000-07-17,223164640
2000-07-18,238133000
2000-07-19,238133000
2000-07-20,249699460
2000-07-21,249699460
2000-07-24,253101360
2000-07-25,249699460
2000-07-26,260585540
2000-07-27,249699460
2000-07-28,253101360
2000-07-31,272152000
2000-08-01,316376700
2000-08-02,316376700
2000-08-03,312974800
2000-08-04,293924160
2000-08-07,279636180
2000-08-08,305490620
2000-08-09,305490620
2000-08-10,305490620
2000-08-11,298006440
2000-08-14,293924160
2000-08-15,293924160
2000-08-16,293924160
2000-08-17,293924160
2000-08-18,293924160
2000-08-21,290522260
2000-08-22,290522260
2000-08-23,290522260
2000-08-24,290522260
2000-08-25,286439980
2000-08-28,275553900
2000-08-29,268069720
2000-08-30,293924160
2000-08-31,293924160
2000-09-01,286439980
2000-09-05,298006440
2000-09-06,298006440
2000-09-07,312974800
2000-09-08,323860880
2000-09-11,338829240
2000-09-12,338829240
2000-09-13,335427340
2000-09-14,293924160
2000-09-15,293924160
2000-09-18,298006440
2000-09-19,301408340
2000-09-20,308892520
2000-09-21,298006440
2000-09-22,298006440
2000-09-25,293924160
2000-09-26,286439980
2000-09-27,286439980
2000-09-28,301408340
2000-09-29,298006440
2000-10-02,298812360
2000-10-03,291307940
2000-10-04,291307940
2000-10-05,291307940
2000-10-06,291307940
2000-10-09,291307940
2000-10-10,283803520
2000-10-11,283803520
2000-10-12,287214620
2000-10-13,302223460
2000-10-16,298812360
2000-10-17,294719040
2000-10-18,298812360
2000-10-19,294719040
2000-10-20,306316780
2000-10-23,306316780
2000-10-24,302223460
2000-10-25,298812360
2000-10-26,291307940
2000-10-27,298812360
2000-10-30,298812360
2000-10-31,298812360
2000-11-01,291307940
2000-11-02,280392420
2000-11-03,280392420
2000-11-06,272888000
2000-11-07,291307940
2000-11-08,302223460
2000-11-09,302223460
2000-11-10,298812360
2000-11-13,276299100
2000-11-14,276299100
2000-11-15,283803520
2000-11-16,276299100
2000-11-17,280392420
2000-11-20,276299100
2000-11-21,276299100
2000-11-22,276299100
2000-11-24,272888000
2000-11-27,268794680
2000-11-28,268794680
2000-11-29,268794680
2000-11-30,268794680
2000-12-01,268794680
2000-12-04,287214620
2000-12-05,298812360
2000-12-06,313821200
2000-12-07,306316780
2000-12-08,313821200
2000-12-11,339745560
2000-12-12,328830040
2000-12-13,321325620
2000-12-14,328830040
2000-12-15,317232300
2000-12-18,317232300
2000-12-19,317232300
2000-12-20,321325620
2000-12-21,317232300
2000-12-22,324736720
2000-12-26,313821200
2000-12-27,317232300
2000-12-28,317232300
2000-12-29,336334460
2001-01-02,351343300
2001-01-03,395687600
2001-01-04,377267660
2001-01-05,392276500
2001-01-08,388183180
2001-01-09,388183180
2001-01-10,392276500
2001-01-11,403192020
2001-01-12,407285340
2001-01-16,410696440
2001-01-17,407285340
2001-01-18,403192020
2001-01-19,399780920
2001-01-22,403192020
2001-01-23,425705280
2001-01-24,425705280
2001-01-25,425705280
2001-01-26,422294180
2001-01-29,425705280
2001-01-30,428434160
2001-01-31,424340840
2001-02-01,418200860
2001-02-02,418883080
2001-02-05,423658620
2001-02-06,435256360
2001-02-07,436620800
2001-02-08,463227380
2001-02-09,463227380
2001-02-12,463909600
2001-02-13,466638480
2001-02-14,468002920
2001-02-15,480965100
2001-02-16,488469520
2001-02-20,487105080
2001-02-21,480965100
2001-02-22,483011760
2001-02-23,489833960
2001-02-26,498702820
2001-02-27,498702820
2001-02-28,503478360
2001-03-01,502796140
2001-03-02,500749480
2001-03-05,510300560
2001-03-06,507571680
2001-03-07,502113920
2001-03-08,507571680
2001-03-09,504842800
2001-03-12,502796140
2001-03-13,503478360
2001-03-14,499385040
2001-03-15,504160580
2001-03-16,499385040
2001-03-19,502796140
2001-03-20,498702820
2001-03-21,498020600
2001-03-22,502113920
2001-03-23,502113920
2001-03-26,502113920
2001-03-27,504842800
2001-03-28,500749480
2001-03-29,499385040
2001-03-30,507571680
2001-04-02,518540220
2001-04-03,520592490
2001-04-04,527433390
2001-04-05,527433390
2001-04-06,521276580
2001-04-09,524697030
2001-04-10,528117480
2001-04-11,532222020
2001-04-12,536326560
2001-04-16,532906110
2001-04-17,534274290
2001-04-18,532222020
2001-04-19,534958380
2001-04-20,536326560
2001-04-23,545219730
2001-04-24,551376540
2001-04-25,551376540
2001-04-26,547272000
2001-04-27,543851550
2001-04-30,528801570
2001-05-01,539062920
2001-05-02,530853840
2001-05-03,530853840
2001-05-04,532906110
2001-05-07,532906110
2001-05-08,532906110
2001-05-09,533590200
2001-05-10,530169750
2001-05-11,534274290
2001-05-14,534958380
2001-05-15,535642470
2001-05-16,534274290
2001-05-17,535642470
2001-05-18,547272000
2001-05-21,551376540
2001-05-22,539062920
2001-05-23,539062920
2001-05-24,545219730
2001-05-25,540431100
2001-05-29,541115190
2001-05-30,539747010
2001-05-31,554112900
2001-06-01,556849260
2001-06-04,567110610
2001-06-05,571215150
2001-06-06,563006070
2001-06-07,578056050
2001-06-08,571899240
2001-06-11,571215150
2001-06-12,580792410
2001-06-13,578740140
2001-06-14,575319690
2001-06-15,576003780
2001-06-18,575319690
2001-06-19,578056050
2001-06-20,593106030
2001-06-21,601999200
2001-06-22,602683290
2001-06-25,605419650
2001-06-26,632099160
2001-06-27,643044600
2001-06-28,653305950
2001-06-29,656042310
2001-07-02,654089050
2001-07-03,650664500
2001-07-05,658883420
2001-07-06,654089050
2001-07-09,656143780
2001-07-10,629432290
2001-07-11,612309540
2001-07-12,616419000
2001-07-13,625322830
2001-07-16,630117200
2001-07-17,634911570
2001-07-18,639021030
2001-07-19,649294680
2001-07-20,649979590
2001-07-23,650664500
2001-07-24,657513600
2001-07-25,656828690
2001-07-26,654089050
2001-07-27,656828690
2001-07-30,655458870
2001-07-31,658198510
2001-08-01,656828690
2001-08-02,656143780
2001-08-03,655458870
2001-08-06,682170360
2001-08-07,707512030
2001-08-08,697238380
2001-08-09,702717660
2001-08-10,697923290
2001-08-13,689704370
2001-08-14,698608200
2001-08-15,702717660
2001-08-16,719840410
2001-08-17,721895140
2001-08-20,752031180
2001-08-21,761619920
2001-08-22,761619920
2001-08-23,755455730
2001-08-24,761619920
2001-08-27,717100770
2001-08-28,707512030
2001-08-29,706827120
2001-08-30,699293110
2001-08-31,703402570
2001-09-04,709566760
2001-09-05,703402570
2001-09-06,703402570
2001-09-07,676691080
2001-09-10,680115630
2001-09-17,671896710
2001-09-18,630117200
2001-09-19,650664500
2001-09-20,650664500
2001-09-21,643815400
2001-09-24,678060900
2001-09-25,671896710
2001-09-26,659568330
2001-09-27,654089050
2001-09-28,650664500
2001-10-01,670492480
2001-10-02,704154500
2001-10-03,715833160
2001-10-04,741251420
