,AN
2000-12-04,2084287500
2000-12-05,2213212500
2000-12-06,2170237500
2000-12-07,2127262500
2000-12-08,2041312500
2000-12-11,2170237500
2000-12-12,2148750000
2000-12-13,2170237500
2000-12-14,2062800000
2000-12-15,1955362500
2000-12-18,1719000000
2000-12-19,1955362500
2000-12-20,1933875000
2000-12-21,1933875000
2000-12-22,2019825000
2000-12-26,1998337500
2000-12-27,2019825000
2000-12-28,2041312500
2000-12-29,2062800000
2001-01-02,1869412500
2001-01-03,1998337500
2001-01-04,2019825000
2001-01-05,2019825000
2001-01-08,1998337500
2001-01-09,1976850000
2001-01-10,1976850000
2001-01-11,1976850000
2001-01-12,1998337500
2001-01-16,2084287500
2001-01-17,2191725000
2001-01-18,2213212500
2001-01-19,2213212500
2001-01-22,2234700000
2001-01-23,2234700000
2001-01-24,2256187500
2001-01-25,2256187500
2001-01-26,2299162500
2001-01-29,2385972000
2001-01-30,2544120000
2001-01-31,2578500000
2001-02-01,2482236000
2001-02-02,2324088000
2001-02-05,2272518000
2001-02-06,2286270000
2001-02-07,2406600000
2001-02-08,2389410000
2001-02-09,2478798000
2001-02-12,2489112000
2001-02-13,2502864000
2001-02-14,2623194000
2001-02-15,2736648000
2001-02-16,2760714000
2001-02-20,2805408000
2001-02-21,2905109999
2001-02-22,2853540000
2001-02-23,2819159999
2001-02-26,2850101999
2001-02-27,2850101999
2001-02-28,2853540000
2001-03-01,2826036000
2001-03-02,2801970000
2001-03-05,2757276000
2001-03-06,2753838000
2001-03-07,2805408000
2001-03-08,2784780000
2001-03-09,2891358000
2001-03-12,2936051999
2001-03-13,2922300000
2001-03-14,2894796000
2001-03-15,2901672000
2001-03-16,2891358000
2001-03-19,2898234000
2001-03-20,2956680000
2001-03-21,2905109999
2001-03-22,2881044000
2001-03-23,2853540000
2001-03-26,2870730000
2001-03-27,2925738000
2001-03-28,2956680000
2001-03-29,3059820000
2001-03-30,3094200000
2001-04-02,2962095000
2001-04-03,2945360000
