,TXN
2000-01-03,83645842500
2000-01-04,80381614500
2000-01-05,78439398840
2000-01-06,76301329500
2000-01-07,76709358000
2000-01-10,81964765080
2000-01-11,81197671500
2000-01-12,82421757000
2000-01-13,83547915660
2000-01-14,88036229160
2000-01-18,90076371660
2000-01-19,89358241500
2000-01-20,92116514160
2000-01-21,90533363580
2000-01-24,89766270000
2000-01-25,92932571160
2000-01-26,91806412500
2000-01-27,92214441000
2000-01-28,87416025840
2000-01-31,87938302320
2000-02-01,92312367840
2000-02-02,97420884660
2000-02-03,109351638000
2000-02-04,107719524000
2000-02-07,109759666500
2000-02-08,113333996160
2000-02-09,114966110160
2000-02-10,118328265000
2000-02-11,112305764340
2000-02-14,109857593340
2000-02-15,110118731580
2000-02-16,110885825160
2000-02-17,116696151000
2000-02-18,110069768160
2000-02-22,121592493000
2000-02-23,120058305840
2000-02-24,128741152320
2000-02-25,124660867320
2000-02-28,127206965160
2000-02-29,135563388840
2000-03-01,134143449660
2000-03-02,141177861000
2000-03-03,153108614340
2000-03-06,150105524580
2000-03-07,145258146000
2000-03-08,140361804000
2000-03-09,147200361660
2000-03-10,148326520320
2000-03-13,140165950320
2000-03-14,128169912420
2000-03-15,119960379000
2000-03-16,130569120000
2000-03-17,138631763160
2000-03-20,136379445840
2000-03-21,139757921820
2000-03-22,145258146000
2000-03-23,142206092820
2000-03-24,144083023920
2000-03-27,147657353580
2000-03-28,145976276160
2000-03-29,139137718500
2000-03-30,133229465820
2000-03-31,137020480000
2000-04-03,129107547279
2000-04-04,124825657279
2000-04-05,130597645000
2000-04-06,137020480000
2000-04-07,142586937000
2000-04-10,133920391640
2000-04-11,131025834000
2000-04-12,120218343640
2000-04-13,121502910640
2000-04-14,112716472360
2000-04-17,130494879640
2000-04-18,128456700000
2000-04-19,122462054000
2000-04-20,124174810000
2000-04-24,120971956279
2000-04-25,129741267000
2000-04-26,127600322000
2000-04-27,136592291000
2000-04-28,139486848640
2000-05-01,137020480000
2000-05-02,133166779000
2000-05-03,130015307960
2000-05-04,133064013640
2000-05-05,131728063960
2000-05-08,125733417960
2000-05-09,121023338960
2000-05-10,110472762000
2000-05-11,119892920000
2000-05-12,120971956279
2000-05-15,122188013040
2000-05-16,126641178640
2000-05-17,124397468279
2000-05-18,124226192680
2000-05-19,119464731000
2000-05-22,114549121279
2000-05-23,109616384000
2000-05-24,117118255279
2000-05-25,119892920000
2000-05-26,114754652000
2000-05-30,123746621000
2000-05-31,123746621000
2000-06-01,133817626279
2000-06-02,146766061640
2000-06-05,143871504000
2000-06-06,137448669000
2000-06-07,141953217280
2000-06-08,140017803000
2000-06-09,143443315000
2000-06-12,133817626279
2000-06-13,141302370000
2000-06-14,139692379360
2000-06-15,137876858000
2000-06-16,137979623360
2000-06-19,149335195640
2000-06-20,148376052280
2000-06-21,149437961000
2000-06-22,136386760279
2000-06-23,128884889000
2000-06-26,128251169279
2000-06-27,122890243000
2000-06-28,122033865000
2000-06-29,118402822279
2000-06-30,118207934100
2000-07-03,118741410000
2000-07-05,109930453200
2000-07-06,114869407500
2000-07-07,117553995900
2000-07-10,116590297500
2000-07-11,113578740000
2000-07-12,114972660900
2000-07-13,121116238199
2000-07-14,124334302500
2000-07-17,126812384100
2000-07-18,121219491600
2000-07-19,115729852500
2000-07-20,113148517500
2000-07-21,107555625000
2000-07-24,108416070000
2000-07-25,116056821600
2000-07-26,110136960000
2000-07-27,97557254100
2000-07-28,98090730000
2000-07-31,100999034100
2000-08-01,99278144100
2000-08-02,96800062500
2000-08-03,94321980900
2000-08-04,93358282500
2000-08-07,98417699100
2000-08-08,102392955000
2000-08-09,104217098400
2000-08-10,102186448200
2000-08-11,100345095900
2000-08-14,109706737500
2000-08-15,113148517500
2000-08-16,114008962500
2000-08-17,115402883400
2000-08-18,121322745000
2000-08-21,116056821600
2000-08-22,113372233199
2000-08-23,116590297500
2000-08-24,119498601600
2000-08-25,115299630000
2000-08-28,117984218400
2000-08-29,115626599100
2000-08-30,114008962500
2000-08-31,115196376600
2000-09-01,115402883400
2000-09-05,113578740000
2000-09-06,107349118200
2000-09-07,105507765900
2000-09-08,99708366600
2000-09-11,98744668200
2000-09-12,97884223200
2000-09-13,97660507500
2000-09-14,103046893200
2000-09-15,101532510000
2000-09-18,101429256600
2000-09-19,109930453200
2000-09-20,102926430900
2000-09-21,98624205900
2000-09-22,96369840000
2000-09-25,88298865900
2000-09-26,83566418400
2000-09-27,81742275000
2000-09-28,83893387500
2000-09-29,81208799100
2000-10-02,86674905600
2000-10-03,84508032960
2000-10-04,87541654656
2000-10-05,84612042846
2000-10-06,81266391490
2000-10-09,78666144322
2000-10-10,74973793344
2000-10-11,72477556062
2000-10-12,68577185310
2000-10-13,77140665984
2000-10-16,75511177758
2000-10-17,69669289121
2000-10-18,63931410370
2000-10-19,79307538624
2000-10-20,82341160320
2000-10-23,84733387714
2000-10-24,79532893378
2000-10-25,73899024514
2000-10-26,76707291456
2000-10-27,77470030625
2000-10-30,80937026849
2000-10-31,85045417374
2000-11-01,81041036736
2000-11-02,82341160320
2000-11-03,80833016962
2000-11-06,80399642434
2000-11-07,77903405153
2000-11-08,73344305118
2000-11-09,72598900930
2000-11-10,67173051840
2000-11-13,73344305118
2000-11-14,79203528737
2000-11-15,83207909376
2000-11-16,80607662208
2000-11-17,75840542400
2000-11-20,73344305118
2000-11-21,72702910817
2000-11-22,72269536289
2000-11-24,76273916928
2000-11-27,76707291456
2000-11-28,70206673536
2000-11-29,67710436254
2000-11-30,64676814558
2000-12-01,65543563614
2000-12-04,68698530178
2000-12-05,79203528737
2000-12-06,80278297566
2000-12-07,74332399042
2000-12-08,85808156544
2000-12-11,89933882050
2000-12-12,91546035294
2000-12-13,83207909376
2000-12-14,85374782016
2000-12-15,81474411264
2000-12-18,82774534848
2000-12-19,83207909376
2000-12-20,74540418816
2000-12-21,76065897154
2000-12-22,82566515074
2000-12-26,81041036736
2000-12-27,86674905600
2000-12-28,86241531072
2000-12-29,82133140546
2001-01-02,81933076912
2001-01-03,88903846142
2001-01-04,92106153834
2001-01-05,83702307681
2001-01-08,83153846143
2001-01-09,79173076912
2001-01-10,82163076912
2001-01-11,87806923065
2001-01-12,84710769219
2001-01-16,84374615373
2001-01-17,89452307680
2001-01-18,90673076911
2001-01-19,89009999988
2001-01-22,85913846142
2001-01-23,79615384605
2001-01-24,76961538451
2001-01-25,74413846144
2001-01-26,73423076913
2001-01-29,77757692297
2001-01-30,79137692297
2001-01-31,77492307682
2001-02-01,77333076912
2001-02-02,76218461528
2001-02-05,72556153836
2001-02-06,72556153836
2001-02-07,68999999991
2001-02-08,68557692298
2001-02-09,66045384606
2001-02-12,66699999991
2001-02-13,66186923068
2001-02-14,68557692298
2001-02-15,71936923067
2001-02-16,64753846145
2001-02-20,61038461530
2001-02-21,60596153838
2001-02-22,57853846146
2001-02-23,53342307685
2001-02-26,51573076916
2001-02-27,53076923070
2001-02-28,52280769223
2001-03-01,57323076915
2001-03-02,62029230761
2001-03-05,61392307684
2001-03-06,63869230760
2001-03-07,61498461530
2001-03-08,61569230761
2001-03-09,57942307684
